Time,Coles Insurance TVC,Coles Insurance TVC,Coles Insurance TVC,Coles Insurance TVC,Coles Insurance TVC,Coles Insurance TVC,Coles Insurance TVC,Coles Insurance TVC,Coles Insurance TVC,Coles Insurance TVC,Coles Insurance TVC,Coles Insurance TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0924,0.5767,0.6061,0.6345,0.5563,0.5954,0.5917,0.5721,0.5819,0.4973,0.5834,0.5403
0.1,-0.0732,0.5775,0.5973,0.6259,0.5605,0.5932,0.5861,0.5762,0.5812,0.5051,0.5859,0.5455
0.2,-0.0538,0.5789,0.5897,0.6177,0.5663,0.592,0.5807,0.5803,0.5805,0.5136,0.5896,0.5516
0.3,-0.0341,0.5812,0.5833,0.6108,0.5742,0.5925,0.5759,0.5839,0.5799,0.5221,0.594,0.5581
0.4,-0.0142,0.5847,0.5786,0.6058,0.5841,0.595,0.572,0.5868,0.5794,0.5304,0.5994,0.5649
0.5,0.006,0.5896,0.5762,0.6033,0.5961,0.5997,0.5695,0.5886,0.579,0.5382,0.606,0.5721
0.6,0.0262,0.5964,0.5764,0.6035,0.6097,0.6066,0.5681,0.5891,0.5786,0.5455,0.6144,0.5799
0.7,0.0458,0.6051,0.5795,0.6067,0.625,0.6158,0.5676,0.5882,0.5779,0.552,0.6247,0.5884
0.8,0.0648,0.6162,0.5854,0.6132,0.6418,0.6275,0.568,0.586,0.577,0.5581,0.6369,0.5975
0.9,0.0828,0.63,0.5941,0.6236,0.6599,0.6417,0.5696,0.583,0.5763,0.5641,0.6508,0.6074
1,0.099,0.6464,0.6057,0.6385,0.6794,0.659,0.5733,0.58,0.5766,0.5702,0.6662,0.6182
1.1,0.1113,0.6656,0.6203,0.658,0.7007,0.6794,0.5792,0.5775,0.5783,0.5763,0.6828,0.6295
1.2,0.1176,0.6874,0.6372,0.6817,0.7242,0.703,0.5867,0.5759,0.5813,0.5818,0.6999,0.6408
1.3,0.1166,0.7116,0.6557,0.7085,0.7503,0.7294,0.5956,0.5754,0.5855,0.5863,0.7171,0.6517
1.4,0.1086,0.7385,0.6747,0.7374,0.7786,0.758,0.6056,0.5765,0.591,0.5901,0.7343,0.6622
1.5,0.0947,0.7682,0.6934,0.7676,0.8083,0.7879,0.6166,0.5796,0.5981,0.5942,0.7522,0.6732
1.6,0.0765,0.8,0.711,0.7982,0.8385,0.8183,0.6276,0.5853,0.6064,0.5991,0.7709,0.685
1.7,0.0553,0.8326,0.7263,0.8284,0.8678,0.8481,0.6372,0.593,0.6151,0.6049,0.7901,0.6975
1.8,0.0319,0.8647,0.7382,0.8569,0.8951,0.876,0.6443,0.6022,0.6232,0.6115,0.8093,0.7104
1.9,0.007,0.895,0.7457,0.8828,0.9192,0.901,0.648,0.6119,0.6299,0.6187,0.8275,0.7231
2,-0.0184,0.9222,0.7484,0.9052,0.939,0.9221,0.6482,0.6215,0.6349,0.6265,0.8439,0.7352
2.1,-0.0431,0.9449,0.7465,0.9234,0.9536,0.9385,0.6453,0.6305,0.6379,0.6347,0.8578,0.7462
2.2,-0.0654,0.9617,0.741,0.9368,0.9623,0.9496,0.6394,0.638,0.6387,0.6427,0.8683,0.7555
2.3,-0.0841,0.972,0.7325,0.9448,0.9651,0.955,0.6307,0.6431,0.6369,0.6499,0.8745,0.7622
2.4,-0.0984,0.9757,0.7221,0.9476,0.9619,0.9547,0.6196,0.645,0.6323,0.6554,0.876,0.7657
2.5,-0.1077,0.9736,0.7105,0.9454,0.9531,0.9492,0.6067,0.6436,0.6251,0.6591,0.8728,0.766
2.6,-0.1122,0.9664,0.6985,0.9388,0.9389,0.9388,0.5928,0.6391,0.6159,0.661,0.8651,0.763
2.7,-0.1125,0.9549,0.687,0.9284,0.9197,0.924,0.5788,0.6321,0.6055,0.6615,0.8532,0.7573
2.8,-0.1095,0.9395,0.6766,0.9147,0.8962,0.9055,0.5651,0.6233,0.5942,0.6608,0.838,0.7494
2.9,-0.104,0.9209,0.668,0.8985,0.8699,0.8842,0.5523,0.6131,0.5827,0.659,0.8207,0.7399
3,-0.0972,0.8998,0.6617,0.881,0.8421,0.8615,0.5408,0.6021,0.5714,0.6565,0.8028,0.7296
3.1,-0.0887,0.877,0.6578,0.8628,0.8141,0.8385,0.531,0.5906,0.5608,0.6533,0.7854,0.7193
3.2,-0.0791,0.8537,0.6564,0.8447,0.7872,0.816,0.5232,0.5789,0.5511,0.6498,0.7692,0.7095
3.3,-0.0692,0.8312,0.6573,0.8271,0.7625,0.7948,0.5174,0.5675,0.5424,0.6465,0.7547,0.7006
3.4,-0.0606,0.8105,0.6599,0.8105,0.7411,0.7758,0.5135,0.5563,0.5349,0.6437,0.7422,0.693
3.5,-0.0546,0.7919,0.6641,0.7951,0.7235,0.7593,0.5112,0.5456,0.5284,0.6418,0.732,0.6869
3.6,-0.052,0.7752,0.6698,0.7812,0.7097,0.7454,0.5106,0.5356,0.5231,0.6406,0.7244,0.6825
3.7,-0.0536,0.7599,0.677,0.7684,0.6995,0.7339,0.5114,0.5266,0.519,0.64,0.7197,0.6799
3.8,-0.06,0.7454,0.6855,0.7563,0.6924,0.7244,0.5134,0.5189,0.5162,0.6397,0.718,0.6788
3.9,-0.0716,0.7317,0.6948,0.7442,0.6885,0.7164,0.5161,0.5125,0.5143,0.6397,0.7187,0.6792
4,-0.088,0.7193,0.704,0.7319,0.6878,0.7099,0.5191,0.5072,0.5131,0.6401,0.7216,0.6808
4.1,-0.1078,0.7087,0.7125,0.7191,0.6907,0.7049,0.522,0.5031,0.5126,0.641,0.7262,0.6836
4.2,-0.1294,0.6999,0.7201,0.7059,0.6969,0.7014,0.5251,0.5001,0.5126,0.6426,0.732,0.6873
4.3,-0.1519,0.6922,0.7267,0.6921,0.7063,0.6992,0.5279,0.4983,0.5131,0.645,0.7384,0.6917
4.4,-0.1744,0.6854,0.732,0.6773,0.7189,0.6981,0.5301,0.4973,0.5137,0.6473,0.7446,0.696
4.5,-0.1953,0.6796,0.7355,0.6616,0.7344,0.698,0.5312,0.4971,0.5142,0.6487,0.7499,0.6993
4.6,-0.2107,0.6753,0.7368,0.6449,0.7522,0.6985,0.5312,0.4974,0.5143,0.6486,0.7535,0.701
4.7,-0.2168,0.6723,0.7357,0.6279,0.771,0.6995,0.5305,0.4981,0.5143,0.6467,0.7553,0.701
4.8,-0.2113,0.6704,0.732,0.6112,0.7892,0.7002,0.5295,0.499,0.5143,0.6434,0.7551,0.6993
4.9,-0.1949,0.6685,0.7261,0.5952,0.8052,0.7002,0.5286,0.4999,0.5143,0.6389,0.7528,0.6959
5,-0.1701,0.6663,0.7183,0.5797,0.8181,0.6989,0.5277,0.5003,0.514,0.6331,0.7482,0.6906
5.1,-0.1396,0.6639,0.7091,0.5646,0.8277,0.6962,0.5267,0.5005,0.5136,0.6263,0.7413,0.6838
5.2,-0.1054,0.6613,0.699,0.5507,0.8338,0.6922,0.5261,0.5009,0.5135,0.6188,0.7328,0.6758
5.3,-0.0686,0.6582,0.6888,0.5388,0.8361,0.6875,0.5263,0.5019,0.5141,0.611,0.7227,0.6669
5.4,-0.0295,0.6544,0.6786,0.53,0.8346,0.6823,0.5276,0.5035,0.5156,0.6027,0.7115,0.6571
5.5,0.0109,0.65,0.6683,0.5245,0.8292,0.6769,0.5298,0.5051,0.5175,0.5938,0.6991,0.6465
5.6,0.0512,0.6454,0.6578,0.5223,0.8204,0.6713,0.5329,0.5063,0.5196,0.5842,0.686,0.6351
5.7,0.0894,0.6414,0.6472,0.5228,0.8083,0.6656,0.5367,0.5071,0.5219,0.5742,0.6726,0.6234
5.8,0.1238,0.6385,0.6368,0.5257,0.7934,0.6596,0.541,0.5081,0.5245,0.5643,0.6599,0.6121
5.9,0.1538,0.6365,0.6269,0.5305,0.7761,0.6533,0.5457,0.5096,0.5277,0.5549,0.6481,0.6015
6,0.1789,0.6352,0.6175,0.5365,0.757,0.6467,0.5503,0.512,0.5312,0.5459,0.6374,0.5916
6.1,0.1993,0.6346,0.6083,0.5431,0.7373,0.6402,0.5545,0.5153,0.5349,0.5371,0.6274,0.5822
6.2,0.215,0.6345,0.5991,0.5499,0.7176,0.6338,0.5583,0.5194,0.5388,0.5283,0.6181,0.5732
6.3,0.2261,0.6348,0.5901,0.5565,0.6983,0.6274,0.5617,0.5243,0.543,0.52,0.6098,0.5649
6.4,0.2323,0.635,0.5817,0.5625,0.6795,0.621,0.565,0.53,0.5475,0.5128,0.6027,0.5578
6.5,0.233,0.6347,0.5746,0.5675,0.6613,0.6144,0.5683,0.5361,0.5522,0.5071,0.5972,0.5522
6.6,0.2273,0.634,0.5695,0.5711,0.6437,0.6074,0.5712,0.5424,0.5568,0.5031,0.5933,0.5482
6.7,0.2144,0.6329,0.567,0.573,0.6268,0.5999,0.5736,0.5485,0.5611,0.5004,0.5907,0.5455
6.8,0.1937,0.6316,0.5677,0.5732,0.6111,0.5921,0.5754,0.5546,0.565,0.4989,0.5893,0.5441
6.9,0.1652,0.6301,0.5722,0.5719,0.5973,0.5846,0.5768,0.5611,0.569,0.4984,0.5888,0.5436
7,0.1294,0.6282,0.5812,0.5692,0.5864,0.5778,0.5784,0.5685,0.5734,0.4984,0.5891,0.5438
7.1,0.0871,0.6264,0.5946,0.5657,0.5792,0.5725,0.581,0.5766,0.5788,0.499,0.5905,0.5448
7.2,0.0397,0.6254,0.6122,0.5623,0.5765,0.5694,0.5854,0.5856,0.5855,0.5008,0.5931,0.5469
7.3,-0.0108,0.6263,0.6337,0.56,0.5791,0.5695,0.5924,0.5956,0.594,0.5045,0.5975,0.551
7.4,-0.0627,0.63,0.6583,0.5601,0.5875,0.5738,0.6029,0.6069,0.6049,0.5109,0.6042,0.5576
7.5,-0.1149,0.6367,0.6852,0.5631,0.6017,0.5824,0.6168,0.6196,0.6182,0.5205,0.6135,0.567
7.6,-0.1658,0.6454,0.7128,0.5684,0.6206,0.5945,0.6335,0.633,0.6332,0.5326,0.6254,0.579
7.7,-0.2135,0.6552,0.7388,0.5743,0.6422,0.6083,0.6517,0.646,0.6488,0.5463,0.6389,0.5926
7.8,-0.2552,0.6652,0.761,0.5797,0.6641,0.6219,0.6701,0.6575,0.6638,0.5604,0.6531,0.6068
7.9,-0.2885,0.6748,0.7778,0.5839,0.6847,0.6343,0.6878,0.667,0.6774,0.5742,0.6674,0.6208
8,-0.3125,0.6841,0.7883,0.5872,0.7033,0.6452,0.7043,0.6746,0.6894,0.5875,0.6813,0.6344
8.1,-0.3285,0.6927,0.7923,0.59,0.7195,0.6548,0.7189,0.6807,0.6998,0.6007,0.6948,0.6478
8.2,-0.3385,0.7005,0.79,0.5927,0.7331,0.6629,0.7308,0.6853,0.708,0.6139,0.7077,0.6608
8.3,-0.3441,0.707,0.7816,0.5954,0.7438,0.6696,0.7393,0.6881,0.7137,0.6274,0.7198,0.6736
8.4,-0.3457,0.7117,0.7679,0.5977,0.7514,0.6746,0.7437,0.6894,0.7165,0.6411,0.7307,0.6859
8.5,-0.3434,0.7141,0.75,0.5995,0.7561,0.6778,0.7441,0.6893,0.7167,0.6547,0.7406,0.6976
8.6,-0.338,0.7135,0.7291,0.6,0.7583,0.6791,0.7409,0.6883,0.7146,0.6675,0.7489,0.7082
8.7,-0.3307,0.7095,0.7063,0.5986,0.758,0.6783,0.7345,0.6866,0.7106,0.6791,0.7554,0.7172
8.8,-0.3233,0.7021,0.6824,0.5945,0.7556,0.675,0.7248,0.6843,0.7046,0.689,0.7592,0.7241
8.9,-0.3172,0.6916,0.6585,0.5871,0.7514,0.6692,0.7119,0.6816,0.6967,0.6972,0.7603,0.7287
9,-0.3127,0.6785,0.6357,0.576,0.7459,0.6609,0.6957,0.6786,0.6872,0.7038,0.7585,0.7312
9.1,-0.31,0.6633,0.6151,0.5611,0.7396,0.6503,0.6763,0.6757,0.676,0.7092,0.7544,0.7318
9.2,-0.3085,0.6467,0.5976,0.5422,0.7328,0.6375,0.6539,0.6727,0.6633,0.7138,0.7486,0.7312
9.3,-0.3084,0.6291,0.5839,0.5196,0.7258,0.6227,0.6292,0.6696,0.6494,0.7178,0.7417,0.7297
9.4,-0.3101,0.6111,0.5748,0.4939,0.7188,0.6063,0.603,0.6664,0.6347,0.7215,0.7342,0.7279
9.5,-0.3142,0.593,0.5707,0.4658,0.712,0.5889,0.5767,0.6632,0.6199,0.7253,0.7269,0.7261
9.6,-0.3214,0.5752,0.5716,0.4362,0.7057,0.5709,0.5512,0.6602,0.6057,0.7292,0.7204,0.7248
9.7,-0.3319,0.5579,0.5775,0.4061,0.7002,0.5531,0.5272,0.6572,0.5922,0.7331,0.7146,0.7238
9.8,-0.345,0.5414,0.5877,0.3766,0.6958,0.5362,0.505,0.6539,0.5794,0.7367,0.7095,0.7231
9.9,-0.3591,0.526,0.6015,0.3488,0.6925,0.5206,0.4847,0.65,0.5673,0.7398,0.7048,0.7223
10,-0.3722,0.5119,0.6179,0.3236,0.6904,0.507,0.4668,0.6455,0.5562,0.7422,0.7004,0.7213
10.1,-0.3829,0.4994,0.6357,0.3021,0.6895,0.4958,0.4519,0.6405,0.5462,0.7441,0.6961,0.7201
10.2,-0.39,0.4887,0.6534,0.2848,0.6896,0.4872,0.4405,0.6349,0.5377,0.7453,0.6919,0.7186
10.3,-0.3931,0.4803,0.6698,0.2721,0.691,0.4816,0.4331,0.629,0.531,0.7458,0.6874,0.7166
10.4,-0.3923,0.4745,0.684,0.2642,0.6941,0.4792,0.43,0.6231,0.5265,0.7461,0.6829,0.7145
10.5,-0.3888,0.4716,0.6959,0.2611,0.6986,0.4798,0.4312,0.6178,0.5245,0.7473,0.6788,0.7131
10.6,-0.3824,0.4714,0.7055,0.2625,0.7038,0.4831,0.4362,0.6134,0.5248,0.7503,0.6754,0.7128
10.7,-0.3718,0.4729,0.7133,0.2675,0.7081,0.4878,0.4442,0.6098,0.527,0.755,0.6724,0.7137
10.8,-0.3556,0.4751,0.7188,0.275,0.7101,0.4925,0.4539,0.6065,0.5302,0.7606,0.6689,0.7147
10.9,-0.3334,0.4776,0.7217,0.2835,0.7085,0.496,0.4643,0.6031,0.5337,0.7659,0.664,0.715
11,-0.306,0.4806,0.7222,0.2924,0.7032,0.4978,0.4751,0.6002,0.5376,0.7703,0.6572,0.7137
11.1,-0.2748,0.4845,0.7209,0.3018,0.6949,0.4984,0.4868,0.5984,0.5426,0.7736,0.6483,0.7109
11.2,-0.2416,0.49,0.7191,0.3123,0.6847,0.4985,0.4997,0.5987,0.5492,0.7762,0.6376,0.7069
11.3,-0.2082,0.4972,0.7176,0.3243,0.6732,0.4988,0.5139,0.6013,0.5576,0.7782,0.6255,0.7018
11.4,-0.1758,0.5057,0.7163,0.3377,0.6609,0.4993,0.5286,0.6056,0.5671,0.7791,0.6121,0.6956
11.5,-0.1456,0.5148,0.7145,0.3515,0.6482,0.4999,0.5432,0.6106,0.5769,0.7777,0.5972,0.6875
11.6,-0.1181,0.5237,0.7114,0.3647,0.6353,0.5,0.5569,0.6152,0.5861,0.7729,0.5807,0.6768
11.7,-0.0941,0.5321,0.7068,0.3763,0.6226,0.4995,0.5697,0.6189,0.5943,0.7641,0.5624,0.6633
11.8,-0.0738,0.5398,0.7011,0.386,0.6109,0.4984,0.5813,0.6213,0.6013,0.7511,0.5426,0.6469
11.9,-0.0577,0.5468,0.6951,0.3938,0.6007,0.4973,0.5917,0.6227,0.6072,0.7343,0.5219,0.6281
12,-0.0463,0.5528,0.6893,0.4004,0.5921,0.4963,0.6011,0.623,0.612,0.7141,0.501,0.6075
12.1,-0.04,0.5575,0.6841,0.4062,0.5848,0.4955,0.6094,0.6221,0.6157,0.6908,0.4805,0.5856
12.2,-0.0385,0.5608,0.6796,0.4114,0.5779,0.4946,0.6166,0.6197,0.6181,0.6646,0.4612,0.5629
12.3,-0.041,0.5627,0.6762,0.4163,0.5709,0.4936,0.6226,0.6153,0.6189,0.636,0.4436,0.5398
12.4,-0.0466,0.5636,0.6743,0.4211,0.5637,0.4924,0.6271,0.6088,0.6179,0.606,0.4285,0.5172
12.5,-0.0548,0.5639,0.6741,0.4262,0.5568,0.4915,0.6297,0.6005,0.6151,0.5756,0.4163,0.496
12.6,-0.0654,0.5639,0.6757,0.4317,0.5506,0.4912,0.6302,0.5914,0.6108,0.546,0.4076,0.4768
12.7,-0.0788,0.5637,0.6786,0.4378,0.5451,0.4914,0.6285,0.5824,0.6054,0.5179,0.4017,0.4598
12.8,-0.0953,0.5636,0.6816,0.4444,0.5404,0.4924,0.6244,0.574,0.5992,0.492,0.3982,0.4451
12.9,-0.1141,0.5642,0.6836,0.4521,0.5369,0.4945,0.6175,0.5667,0.5921,0.4687,0.3965,0.4326
13,-0.1338,0.5659,0.6834,0.4611,0.5352,0.4982,0.6077,0.5603,0.584,0.449,0.3969,0.423
13.1,-0.1521,0.5689,0.6803,0.4712,0.5357,0.5035,0.5947,0.5546,0.5746,0.4336,0.3994,0.4165
13.2,-0.1671,0.5728,0.6743,0.4818,0.5378,0.5098,0.5785,0.5491,0.5638,0.4228,0.404,0.4134
13.3,-0.1775,0.5773,0.6663,0.4919,0.5406,0.5163,0.5602,0.5438,0.552,0.4164,0.4102,0.4133
13.4,-0.1832,0.5822,0.6574,0.5015,0.5437,0.5226,0.5415,0.539,0.5402,0.4141,0.4177,0.4159
13.5,-0.1843,0.5875,0.6487,0.5108,0.5473,0.529,0.5242,0.5356,0.5299,0.4159,0.4266,0.4212
13.6,-0.1813,0.5935,0.641,0.5204,0.5516,0.536,0.5101,0.5341,0.5221,0.4217,0.4372,0.4294
13.7,-0.175,0.5999,0.6347,0.5305,0.557,0.5437,0.4998,0.535,0.5174,0.4316,0.4494,0.4405
13.8,-0.1663,0.6063,0.6299,0.5403,0.5629,0.5516,0.4932,0.5377,0.5155,0.4452,0.4628,0.454
13.9,-0.1561,0.6121,0.6266,0.549,0.5685,0.5587,0.4898,0.5417,0.5158,0.4616,0.4767,0.4691
14,-0.1451,0.6167,0.6245,0.556,0.5732,0.5646,0.4892,0.5464,0.5178,0.4799,0.4905,0.4852
14.1,-0.1338,0.62,0.6236,0.5612,0.5767,0.569,0.4914,0.5516,0.5215,0.4997,0.5041,0.5019
14.2,-0.1233,0.6217,0.6234,0.5645,0.5793,0.5719,0.4964,0.5574,0.5269,0.521,0.5177,0.5194
14.3,-0.1152,0.622,0.6238,0.5658,0.5812,0.5735,0.5037,0.5642,0.534,0.5435,0.5314,0.5374
14.4,-0.1102,0.6209,0.6247,0.5655,0.5827,0.5741,0.5128,0.5715,0.5421,0.5667,0.545,0.5559
14.5,-0.108,0.6183,0.6255,0.5639,0.5838,0.5738,0.5229,0.5786,0.5507,0.5902,0.5578,0.574
14.6,-0.1073,0.6144,0.6255,0.5622,0.5846,0.5734,0.5338,0.5846,0.5592,0.6132,0.5683,0.5908
14.7,-0.1065,0.6094,0.624,0.5608,0.5849,0.5729,0.5454,0.589,0.5672,0.6354,0.5765,0.6059
14.8,-0.1041,0.6034,0.6206,0.5602,0.5845,0.5723,0.5576,0.592,0.5748,0.6562,0.5821,0.6192
14.9,-0.0993,0.5973,0.6152,0.5601,0.5835,0.5718,0.5701,0.5938,0.582,0.6759,0.5853,0.6306
