Time,Coles - Mastercard,Coles - Mastercard,Coles - Mastercard,Coles - Mastercard,Coles - Mastercard,Coles - Mastercard,Coles - Mastercard,Coles - Mastercard,Coles - Mastercard,Coles - Mastercard,Coles - Mastercard,Coles - Mastercard
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0982,0.7394,0.6129,0.7282,0.7499,0.739,0.7958,0.7228,0.7593,0.8981,0.8576,0.8778
0.1,-0.1049,0.7386,0.5988,0.7283,0.7584,0.7434,0.7738,0.7116,0.7427,0.8887,0.8489,0.8688
0.2,-0.113,0.7362,0.5863,0.7301,0.7675,0.7488,0.7513,0.7013,0.7263,0.8779,0.8384,0.8581
0.3,-0.1226,0.7329,0.5754,0.7334,0.7773,0.7554,0.7289,0.6922,0.7105,0.8656,0.8265,0.8461
0.4,-0.1337,0.7287,0.5666,0.7382,0.7881,0.7631,0.7073,0.6848,0.696,0.8523,0.8137,0.833
0.5,-0.1466,0.7238,0.5599,0.7434,0.7998,0.7716,0.6869,0.6797,0.6833,0.8381,0.8003,0.8192
0.6,-0.1615,0.718,0.5555,0.7484,0.8122,0.7803,0.6685,0.6773,0.6729,0.8237,0.787,0.8054
0.7,-0.1776,0.7116,0.5536,0.753,0.8251,0.789,0.6527,0.6775,0.6651,0.8097,0.7746,0.7922
0.8,-0.1927,0.7052,0.5539,0.757,0.8383,0.7977,0.64,0.6802,0.6601,0.7965,0.7639,0.7802
0.9,-0.2048,0.6994,0.5564,0.7607,0.8518,0.8063,0.6304,0.6851,0.6578,0.7845,0.7551,0.7698
1,-0.213,0.6944,0.5609,0.7639,0.8655,0.8147,0.6234,0.6922,0.6578,0.7731,0.7479,0.7605
1.1,-0.2176,0.6903,0.5674,0.7666,0.8788,0.8227,0.6185,0.7011,0.6598,0.7624,0.7425,0.7524
1.2,-0.2188,0.6871,0.576,0.769,0.8912,0.8301,0.6151,0.7116,0.6634,0.7527,0.7391,0.7459
1.3,-0.217,0.6851,0.5866,0.7711,0.9024,0.8368,0.613,0.7233,0.6682,0.7444,0.7384,0.7414
1.4,-0.2119,0.6844,0.5992,0.7734,0.9123,0.8428,0.612,0.7359,0.674,0.7377,0.7405,0.7391
1.5,-0.2032,0.6855,0.6135,0.7763,0.9211,0.8487,0.6123,0.7491,0.6807,0.7329,0.7454,0.7391
1.6,-0.1914,0.689,0.6292,0.7804,0.9289,0.8547,0.6138,0.7625,0.6882,0.7298,0.7524,0.7411
1.7,-0.1782,0.6952,0.6465,0.7857,0.9362,0.861,0.6168,0.7763,0.6966,0.7287,0.7616,0.7451
1.8,-0.1651,0.7039,0.6655,0.7923,0.9433,0.8678,0.6215,0.7906,0.706,0.7298,0.7727,0.7512
1.9,-0.1536,0.7148,0.6863,0.7997,0.95,0.8749,0.6277,0.8054,0.7166,0.7332,0.7857,0.7594
2,-0.1442,0.7267,0.7088,0.8072,0.9559,0.8815,0.6351,0.8203,0.7277,0.7389,0.8004,0.7697
2.1,-0.1365,0.7386,0.7323,0.8139,0.9598,0.8869,0.6428,0.8346,0.7387,0.7466,0.8166,0.7816
2.2,-0.1297,0.7491,0.7562,0.819,0.9608,0.8899,0.6502,0.8476,0.7489,0.7561,0.8336,0.7948
2.3,-0.1227,0.7572,0.7797,0.8213,0.9583,0.8898,0.6565,0.8587,0.7576,0.767,0.851,0.809
2.4,-0.114,0.7621,0.8026,0.8202,0.9524,0.8863,0.6615,0.8679,0.7647,0.7788,0.8679,0.8233
2.5,-0.1024,0.7632,0.8244,0.815,0.9433,0.8792,0.6648,0.875,0.7699,0.7908,0.8834,0.8371
2.6,-0.0875,0.76,0.8447,0.8059,0.9313,0.8686,0.6666,0.8798,0.7732,0.802,0.8964,0.8492
2.7,-0.0696,0.7527,0.8624,0.7935,0.9171,0.8553,0.6671,0.882,0.7745,0.8114,0.9061,0.8588
2.8,-0.05,0.7418,0.8767,0.779,0.9011,0.8401,0.6666,0.8815,0.774,0.8183,0.9123,0.8653
2.9,-0.0301,0.7285,0.8869,0.7637,0.8842,0.8239,0.6655,0.8786,0.772,0.8223,0.9148,0.8685
3,-0.0104,0.7138,0.8927,0.7485,0.867,0.8078,0.6639,0.874,0.769,0.8232,0.914,0.8686
3.1,0.0086,0.6982,0.8948,0.7341,0.8503,0.7922,0.662,0.8681,0.765,0.8214,0.91,0.8657
3.2,0.0271,0.6824,0.8935,0.7209,0.8345,0.7777,0.6597,0.8613,0.7605,0.8175,0.9029,0.8602
3.3,0.0446,0.667,0.8894,0.7097,0.8202,0.765,0.6573,0.8539,0.7556,0.812,0.8931,0.8525
3.4,0.0605,0.6534,0.883,0.7012,0.8082,0.7547,0.6555,0.846,0.7508,0.8057,0.8812,0.8434
3.5,0.0744,0.6426,0.8746,0.6951,0.7987,0.7469,0.6546,0.8382,0.7464,0.7995,0.8683,0.8339
3.6,0.0863,0.6353,0.8647,0.6911,0.7914,0.7412,0.6551,0.8307,0.7429,0.7947,0.8554,0.8251
3.7,0.0965,0.6313,0.8536,0.6889,0.7858,0.7374,0.6567,0.8234,0.7401,0.7924,0.8432,0.8178
3.8,0.105,0.6301,0.8416,0.6883,0.7812,0.7348,0.6594,0.8163,0.7379,0.7932,0.8325,0.8129
3.9,0.1119,0.631,0.829,0.6892,0.7768,0.733,0.6631,0.8094,0.7363,0.7974,0.8236,0.8105
4,0.1173,0.6338,0.8161,0.6917,0.7724,0.7321,0.6678,0.803,0.7354,0.8047,0.8173,0.811
4.1,0.1214,0.6387,0.8034,0.6961,0.7681,0.7321,0.6733,0.7973,0.7353,0.8149,0.8138,0.8143
4.2,0.1243,0.6455,0.7913,0.7025,0.7639,0.7332,0.6798,0.7922,0.736,0.8276,0.8133,0.8205
