Time,Colgate Toothpaste - Jennifer Hawkins 15 TVC,Colgate Toothpaste - Jennifer Hawkins 15 TVC,Colgate Toothpaste - Jennifer Hawkins 15 TVC,Colgate Toothpaste - Jennifer Hawkins 15 TVC,Colgate Toothpaste - Jennifer Hawkins 15 TVC,Colgate Toothpaste - Jennifer Hawkins 15 TVC,Colgate Toothpaste - Jennifer Hawkins 15 TVC,Colgate Toothpaste - Jennifer Hawkins 15 TVC,Colgate Toothpaste - Jennifer Hawkins 15 TVC,Colgate Toothpaste - Jennifer Hawkins 15 TVC,Colgate Toothpaste - Jennifer Hawkins 15 TVC,Colgate Toothpaste - Jennifer Hawkins 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.106,0.6532,0.8769,0.6385,0.5763,0.6074,0.683,0.6808,0.6819,0.9632,0.9239,0.9436
0.1,0.0667,0.6467,0.8805,0.6296,0.5832,0.6064,0.6855,0.6928,0.6892,0.9466,0.8991,0.9228
0.2,0.0256,0.6377,0.8766,0.621,0.5899,0.6055,0.6865,0.7017,0.6941,0.9278,0.8722,0.9
0.3,-0.0151,0.6258,0.8658,0.6128,0.5961,0.6045,0.6863,0.707,0.6967,0.908,0.8445,0.8762
0.4,-0.0535,0.6114,0.8492,0.6053,0.6014,0.6033,0.6858,0.7089,0.6973,0.8886,0.8171,0.8529
0.5,-0.0887,0.5946,0.8283,0.5987,0.6052,0.602,0.6852,0.7078,0.6965,0.8709,0.7913,0.8311
0.6,-0.1193,0.5756,0.8041,0.5928,0.6069,0.5999,0.6843,0.7036,0.694,0.8556,0.7678,0.8117
0.7,-0.1443,0.5545,0.778,0.5873,0.6058,0.5966,0.6828,0.6961,0.6895,0.8427,0.747,0.7948
0.8,-0.1633,0.532,0.7515,0.5819,0.6017,0.5918,0.6802,0.6853,0.6827,0.8317,0.7288,0.7803
0.9,-0.1771,0.5083,0.7259,0.5767,0.5948,0.5857,0.6761,0.6715,0.6738,0.8226,0.7131,0.7678
1,-0.1862,0.4838,0.7022,0.5719,0.5857,0.5788,0.6702,0.6552,0.6627,0.8152,0.6998,0.7575
1.1,-0.1909,0.4585,0.6804,0.5676,0.5752,0.5714,0.6619,0.6361,0.649,0.8096,0.6892,0.7494
1.2,-0.191,0.4331,0.6606,0.5641,0.5639,0.564,0.6507,0.6142,0.6324,0.8059,0.6813,0.7436
1.3,-0.1864,0.4081,0.6429,0.5614,0.5524,0.5569,0.6366,0.5902,0.6134,0.804,0.6761,0.74
1.4,-0.1769,0.3843,0.628,0.559,0.5407,0.5498,0.6196,0.5651,0.5924,0.8032,0.6724,0.7378
1.5,-0.1641,0.3618,0.6161,0.5564,0.529,0.5427,0.6,0.5403,0.5702,0.8026,0.6691,0.7359
1.6,-0.1508,0.3407,0.6068,0.5528,0.5171,0.5349,0.5779,0.5165,0.5472,0.801,0.6655,0.7333
1.7,-0.1397,0.3216,0.5998,0.5478,0.505,0.5264,0.5542,0.4943,0.5243,0.7979,0.6613,0.7296
1.8,-0.1329,0.3054,0.5954,0.5421,0.4938,0.518,0.5302,0.4747,0.5025,0.7932,0.6568,0.725
1.9,-0.1315,0.2931,0.5944,0.5368,0.4851,0.5109,0.508,0.4587,0.4833,0.7875,0.652,0.7197
2,-0.1365,0.2847,0.5969,0.5321,0.4797,0.5059,0.4891,0.4469,0.468,0.7817,0.6469,0.7143
2.1,-0.1477,0.2789,0.6021,0.5271,0.477,0.5021,0.4741,0.4386,0.4564,0.776,0.6414,0.7087
2.2,-0.1644,0.2742,0.6088,0.5205,0.4756,0.498,0.4626,0.4326,0.4476,0.7705,0.6351,0.7028
2.3,-0.1854,0.2693,0.6156,0.5113,0.4737,0.4925,0.4534,0.4274,0.4404,0.7648,0.6275,0.6961
2.4,-0.2088,0.2635,0.6215,0.4993,0.4709,0.4851,0.4457,0.4222,0.434,0.7584,0.6186,0.6885
2.5,-0.2333,0.2565,0.6263,0.4845,0.4671,0.4758,0.4389,0.4169,0.4279,0.7508,0.6083,0.6796
2.6,-0.2586,0.2486,0.6299,0.4665,0.4624,0.4645,0.433,0.4116,0.4223,0.7418,0.5969,0.6694
2.7,-0.2854,0.2397,0.6316,0.4447,0.4561,0.4504,0.4274,0.4054,0.4164,0.7312,0.5848,0.658
2.8,-0.3135,0.2294,0.6303,0.4182,0.4469,0.4325,0.4214,0.3975,0.4095,0.7189,0.5719,0.6454
2.9,-0.3413,0.2178,0.6253,0.3877,0.4347,0.4112,0.4146,0.3876,0.4011,0.7044,0.5582,0.6313
3,-0.3661,0.2052,0.6162,0.3549,0.4204,0.3876,0.4071,0.376,0.3915,0.6877,0.5434,0.6156
3.1,-0.3862,0.1924,0.6036,0.3212,0.4052,0.3632,0.3994,0.3633,0.3814,0.6696,0.5279,0.5987
3.2,-0.401,0.1805,0.5878,0.2873,0.3899,0.3386,0.392,0.3504,0.3712,0.6507,0.5122,0.5814
3.3,-0.4114,0.1702,0.5698,0.2534,0.3752,0.3143,0.3853,0.338,0.3617,0.6315,0.4969,0.5642
3.4,-0.4179,0.1625,0.5511,0.2203,0.3618,0.2911,0.3796,0.3271,0.3534,0.6125,0.4826,0.5475
3.5,-0.4207,0.1576,0.5336,0.1893,0.3505,0.2699,0.3752,0.3188,0.347,0.5944,0.47,0.5322
3.6,-0.4194,0.1554,0.5187,0.1616,0.3416,0.2516,0.3724,0.314,0.3432,0.578,0.4597,0.5188
3.7,-0.4136,0.156,0.5075,0.138,0.3349,0.2365,0.3717,0.313,0.3423,0.5637,0.452,0.5079
3.8,-0.4031,0.1598,0.501,0.1192,0.3306,0.2249,0.3736,0.3164,0.345,0.552,0.4474,0.4997
3.9,-0.3886,0.1675,0.5003,0.1062,0.3293,0.2178,0.3785,0.3248,0.3516,0.5434,0.4461,0.4948
4,-0.3699,0.1797,0.5059,0.1005,0.332,0.2162,0.3866,0.3385,0.3625,0.5381,0.448,0.4931
4.1,-0.346,0.1972,0.5184,0.1035,0.3396,0.2215,0.3978,0.358,0.3779,0.536,0.4534,0.4947
4.2,-0.3148,0.2206,0.5376,0.1167,0.3523,0.2345,0.4121,0.3833,0.3977,0.5372,0.4623,0.4998
4.3,-0.275,0.2501,0.5627,0.141,0.3707,0.2558,0.4294,0.4138,0.4216,0.5417,0.4747,0.5082
4.4,-0.2274,0.2855,0.5932,0.177,0.3949,0.286,0.4493,0.4488,0.4491,0.5494,0.4905,0.52
4.5,-0.175,0.3263,0.6284,0.2241,0.4251,0.3246,0.4717,0.4872,0.4794,0.5602,0.5094,0.5348
4.6,-0.1219,0.371,0.6672,0.2799,0.46,0.3699,0.4959,0.5279,0.5119,0.5734,0.5308,0.5521
4.7,-0.0717,0.4171,0.7083,0.3403,0.4977,0.419,0.5215,0.5695,0.5455,0.5885,0.5541,0.5713
4.8,-0.0273,0.4622,0.7504,0.4015,0.5364,0.4689,0.5474,0.6107,0.579,0.6052,0.5786,0.5919
4.9,0.0096,0.504,0.792,0.4603,0.5744,0.5174,0.5723,0.6498,0.611,0.6229,0.6039,0.6134
5,0.0388,0.5412,0.8321,0.5146,0.6104,0.5625,0.5952,0.6855,0.6404,0.6414,0.6296,0.6355
5.1,0.061,0.5729,0.8696,0.5625,0.6436,0.603,0.6155,0.7172,0.6663,0.6606,0.6553,0.658
5.2,0.0773,0.5985,0.9037,0.603,0.6732,0.6381,0.6326,0.7448,0.6887,0.6799,0.6805,0.6802
5.3,0.0881,0.618,0.9339,0.6354,0.699,0.6672,0.6464,0.7681,0.7073,0.699,0.7044,0.7017
5.4,0.0944,0.6316,0.9601,0.6595,0.7205,0.69,0.6564,0.7869,0.7216,0.7173,0.7267,0.722
5.5,0.0972,0.6395,0.9813,0.6751,0.7372,0.7061,0.6622,0.8006,0.7314,0.7341,0.747,0.7406
5.6,0.0976,0.6422,0.9968,0.6829,0.749,0.716,0.6634,0.809,0.7362,0.749,0.7649,0.757
5.7,0.0966,0.6408,1.0063,0.6843,0.7566,0.7205,0.6602,0.8124,0.7363,0.7617,0.7803,0.771
5.8,0.0945,0.6366,1.0101,0.6807,0.7607,0.7207,0.6533,0.8114,0.7324,0.7718,0.7928,0.7823
5.9,0.091,0.6306,1.0083,0.673,0.7616,0.7173,0.6437,0.8063,0.725,0.7791,0.8023,0.7907
6,0.0861,0.6237,1.0009,0.6615,0.7595,0.7105,0.6321,0.7971,0.7146,0.7835,0.8085,0.796
6.1,0.0809,0.6161,0.9874,0.6462,0.7539,0.7,0.6193,0.7837,0.7015,0.7854,0.8114,0.7984
6.2,0.0767,0.6078,0.9683,0.6275,0.7452,0.6863,0.6061,0.7666,0.6864,0.7853,0.8114,0.7983
6.3,0.0746,0.5992,0.9449,0.6065,0.7342,0.6704,0.5933,0.7468,0.6701,0.7842,0.809,0.7966
6.4,0.0747,0.5907,0.919,0.5844,0.7221,0.6532,0.582,0.7256,0.6538,0.7829,0.8048,0.7938
6.5,0.0765,0.5829,0.8918,0.5618,0.7093,0.6355,0.5727,0.7037,0.6382,0.7816,0.799,0.7903
6.6,0.0798,0.5761,0.8643,0.5392,0.696,0.6176,0.5655,0.6812,0.6233,0.78,0.7917,0.7859
6.7,0.0846,0.5703,0.8373,0.5174,0.6827,0.6,0.5597,0.6586,0.6092,0.7781,0.7831,0.7806
6.8,0.0913,0.5656,0.8119,0.4977,0.6698,0.5837,0.5554,0.6365,0.5959,0.7758,0.7736,0.7747
6.9,0.0999,0.5619,0.7886,0.4807,0.6581,0.5694,0.5526,0.6152,0.5839,0.7731,0.7637,0.7684
7,0.1102,0.5595,0.7672,0.4669,0.6477,0.5573,0.5512,0.5951,0.5732,0.7696,0.7532,0.7614
7.1,0.1219,0.5586,0.7472,0.456,0.6384,0.5472,0.5509,0.5761,0.5635,0.7645,0.7417,0.7531
7.2,0.1344,0.5592,0.7286,0.4478,0.6305,0.5392,0.5513,0.5588,0.555,0.7575,0.729,0.7432
7.3,0.1472,0.5612,0.712,0.4423,0.6243,0.5333,0.5518,0.5438,0.5478,0.7483,0.7154,0.7319
7.4,0.1603,0.5646,0.6978,0.4392,0.6198,0.5295,0.5522,0.5316,0.5419,0.7373,0.7015,0.7194
7.5,0.1737,0.5689,0.6855,0.4382,0.6165,0.5273,0.552,0.5219,0.5369,0.7242,0.6876,0.7059
7.6,0.1874,0.5737,0.6739,0.4385,0.6136,0.5261,0.5511,0.5138,0.5324,0.709,0.6737,0.6914
7.7,0.2009,0.5787,0.6622,0.4396,0.6108,0.5252,0.5495,0.5067,0.5281,0.6916,0.6596,0.6756
7.8,0.213,0.5833,0.6502,0.4415,0.608,0.5248,0.5474,0.5002,0.5238,0.6727,0.6455,0.6591
7.9,0.223,0.5871,0.6381,0.4439,0.605,0.5245,0.5447,0.4944,0.5196,0.6529,0.6319,0.6424
8,0.2315,0.5894,0.6261,0.4467,0.601,0.5238,0.5414,0.4891,0.5153,0.6329,0.6193,0.6261
8.1,0.2392,0.5894,0.614,0.4493,0.5949,0.5221,0.5376,0.4843,0.5109,0.6129,0.6073,0.6101
8.2,0.2466,0.5865,0.6016,0.4517,0.5861,0.5189,0.5334,0.4793,0.5063,0.5929,0.596,0.5945
8.3,0.2533,0.5806,0.5887,0.4541,0.5742,0.5141,0.5287,0.4739,0.5013,0.5733,0.5854,0.5794
8.4,0.2582,0.5721,0.5749,0.4565,0.5596,0.5081,0.5238,0.4679,0.4959,0.5544,0.5759,0.5652
8.5,0.2603,0.5618,0.5608,0.4587,0.5429,0.5008,0.5188,0.4618,0.4903,0.5365,0.5675,0.552
8.6,0.2595,0.5501,0.5467,0.4609,0.5247,0.4928,0.5142,0.456,0.4851,0.5198,0.5601,0.54
8.7,0.2558,0.5377,0.5335,0.4634,0.5057,0.4846,0.5101,0.4509,0.4805,0.5044,0.5536,0.529
8.8,0.2496,0.5251,0.5217,0.4666,0.4864,0.4765,0.5067,0.4468,0.4767,0.49,0.548,0.519
8.9,0.2419,0.5132,0.5114,0.4708,0.4673,0.469,0.5037,0.4438,0.4737,0.477,0.5431,0.51
9,0.234,0.5028,0.5027,0.4758,0.4488,0.4623,0.501,0.4419,0.4715,0.4654,0.5392,0.5023
9.1,0.2272,0.4946,0.4961,0.4816,0.4318,0.4567,0.4988,0.4415,0.4702,0.4558,0.5366,0.4962
9.2,0.2228,0.4888,0.4921,0.4883,0.4171,0.4527,0.4976,0.4425,0.47,0.4482,0.5355,0.4918
9.3,0.221,0.4856,0.4909,0.4962,0.4051,0.4507,0.4974,0.4445,0.471,0.4425,0.5361,0.4893
9.4,0.2221,0.4849,0.4927,0.5058,0.3957,0.4507,0.4981,0.4471,0.4726,0.4389,0.539,0.4889
9.5,0.2266,0.4865,0.4974,0.5175,0.3884,0.4529,0.4993,0.4498,0.4746,0.4374,0.5443,0.4908
9.6,0.2349,0.4898,0.5055,0.5317,0.3834,0.4575,0.5006,0.4527,0.4767,0.4384,0.5524,0.4954
9.7,0.2467,0.4944,0.5172,0.5487,0.381,0.4649,0.5015,0.4561,0.4788,0.4419,0.5633,0.5026
9.8,0.2607,0.4992,0.532,0.5683,0.3816,0.475,0.5017,0.4602,0.4809,0.4473,0.5761,0.5117
9.9,0.2751,0.5035,0.5486,0.5896,0.3854,0.4875,0.5006,0.4649,0.4827,0.4532,0.5896,0.5214
10,0.2887,0.5067,0.5662,0.6116,0.3919,0.5017,0.4979,0.47,0.4839,0.4587,0.6026,0.5307
10.1,0.3008,0.5089,0.5843,0.634,0.4006,0.5173,0.4938,0.4753,0.4845,0.4634,0.6149,0.5392
10.2,0.3107,0.5105,0.6029,0.6565,0.4115,0.534,0.4897,0.4809,0.4853,0.4677,0.6259,0.5468
10.3,0.318,0.512,0.6213,0.6785,0.4245,0.5515,0.487,0.487,0.487,0.4717,0.6353,0.5535
10.4,0.3221,0.5133,0.6388,0.6989,0.4386,0.5688,0.4868,0.4938,0.4903,0.4752,0.6426,0.5589
10.5,0.3229,0.5141,0.6548,0.7166,0.453,0.5848,0.4897,0.5012,0.4954,0.4782,0.6474,0.5628
10.6,0.3205,0.5144,0.6687,0.7307,0.4666,0.5986,0.4957,0.5094,0.5026,0.4811,0.6501,0.5656
10.7,0.3149,0.5143,0.68,0.7411,0.4791,0.6101,0.5048,0.5182,0.5115,0.4844,0.6511,0.5678
10.8,0.3067,0.514,0.6881,0.7478,0.4906,0.6192,0.5168,0.5274,0.5221,0.4888,0.651,0.5699
10.9,0.2957,0.5135,0.6924,0.7511,0.5006,0.6259,0.5309,0.5366,0.5338,0.4946,0.6501,0.5723
11,0.2818,0.5126,0.6934,0.7514,0.5092,0.6303,0.5465,0.5459,0.5462,0.5017,0.6485,0.5751
11.1,0.2648,0.5115,0.6921,0.749,0.5161,0.6325,0.5625,0.5552,0.5589,0.51,0.6469,0.5784
11.2,0.2446,0.5106,0.6892,0.7438,0.5217,0.6328,0.5782,0.5645,0.5714,0.5195,0.6455,0.5825
11.3,0.2218,0.5099,0.6852,0.7358,0.5261,0.631,0.5927,0.5736,0.5832,0.5301,0.6448,0.5874
11.4,0.1974,0.5097,0.6802,0.7247,0.5292,0.627,0.6056,0.5821,0.5939,0.5415,0.6448,0.5932
11.5,0.1722,0.5097,0.6742,0.7105,0.531,0.6208,0.6165,0.5893,0.6029,0.553,0.6449,0.599
11.6,0.1463,0.5102,0.6674,0.6942,0.5315,0.6128,0.6246,0.5946,0.6096,0.5639,0.6449,0.6044
11.7,0.1196,0.5116,0.6604,0.6764,0.5314,0.6039,0.6297,0.5976,0.6136,0.5741,0.6448,0.6094
11.8,0.092,0.5139,0.6539,0.6578,0.531,0.5944,0.6314,0.5983,0.6149,0.5834,0.6442,0.6138
11.9,0.0636,0.5168,0.6485,0.6382,0.5301,0.5842,0.6297,0.5971,0.6134,0.5914,0.6426,0.617
12,0.0346,0.5196,0.644,0.6177,0.5282,0.5729,0.6245,0.5937,0.6091,0.5976,0.6395,0.6185
12.1,0.0054,0.5218,0.6401,0.5964,0.5246,0.5605,0.6159,0.5876,0.6017,0.6018,0.635,0.6184
12.2,-0.0232,0.5233,0.6365,0.575,0.5196,0.5473,0.6043,0.5789,0.5916,0.6043,0.6296,0.617
12.3,-0.0504,0.5239,0.6327,0.5536,0.5134,0.5335,0.5901,0.5679,0.579,0.6057,0.6239,0.6148
12.4,-0.0757,0.5228,0.6283,0.5322,0.506,0.5191,0.5737,0.5547,0.5642,0.606,0.6179,0.6119
12.5,-0.0991,0.5196,0.623,0.5111,0.4976,0.5043,0.5556,0.5395,0.5476,0.6049,0.6112,0.608
12.6,-0.1209,0.5141,0.6167,0.4907,0.488,0.4893,0.5363,0.5224,0.5294,0.6021,0.6037,0.6029
12.7,-0.1416,0.5064,0.6097,0.4717,0.4775,0.4746,0.5161,0.5039,0.51,0.5976,0.5955,0.5965
12.8,-0.1612,0.4968,0.6023,0.4543,0.4664,0.4604,0.4954,0.4849,0.4902,0.5916,0.5867,0.5891
12.9,-0.1788,0.4855,0.5949,0.4385,0.4555,0.447,0.4749,0.4665,0.4707,0.5845,0.5774,0.5809
13,-0.1932,0.4725,0.5873,0.4248,0.445,0.4349,0.4549,0.4493,0.4521,0.5765,0.5673,0.5719
13.1,-0.2033,0.458,0.5794,0.4134,0.4352,0.4243,0.4361,0.4335,0.4348,0.5673,0.5562,0.5618
13.2,-0.2091,0.442,0.5709,0.4045,0.4259,0.4152,0.4192,0.4189,0.4191,0.5567,0.5437,0.5502
13.3,-0.2108,0.4253,0.5625,0.3977,0.417,0.4073,0.4049,0.4058,0.4054,0.5449,0.5302,0.5376
13.4,-0.2086,0.4085,0.5547,0.3925,0.4084,0.4004,0.3935,0.3947,0.3941,0.5329,0.5167,0.5248
