Time,Colorsteel - Nothing Less Than 30 TVC,Colorsteel - Nothing Less Than 30 TVC,Colorsteel - Nothing Less Than 30 TVC,Colorsteel - Nothing Less Than 30 TVC,Colorsteel - Nothing Less Than 30 TVC,Colorsteel - Nothing Less Than 30 TVC,Colorsteel - Nothing Less Than 30 TVC,Colorsteel - Nothing Less Than 30 TVC,Colorsteel - Nothing Less Than 30 TVC,Colorsteel - Nothing Less Than 30 TVC,Colorsteel - Nothing Less Than 30 TVC,Colorsteel - Nothing Less Than 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1345,0.2918,0.6787,0.3423,0.2517,0.297,0.5107,0.6591,0.5849,0.4045,0.6048,0.5046
0.1,-0.1706,0.3278,0.6926,0.3768,0.2799,0.3283,0.5272,0.6748,0.601,0.389,0.6192,0.5041
0.2,-0.2018,0.3702,0.708,0.4161,0.3155,0.3658,0.5484,0.6932,0.6208,0.3723,0.6349,0.5036
0.3,-0.2286,0.4163,0.7237,0.4575,0.3566,0.407,0.5731,0.7131,0.6431,0.354,0.6509,0.5025
0.4,-0.2529,0.4633,0.739,0.4981,0.4003,0.4492,0.5998,0.7329,0.6663,0.3347,0.6668,0.5007
0.5,-0.276,0.5088,0.7533,0.5351,0.444,0.4896,0.627,0.7508,0.6889,0.3153,0.6824,0.4988
0.6,-0.2984,0.5509,0.7662,0.5667,0.4855,0.5261,0.6528,0.7656,0.7092,0.297,0.6974,0.4972
0.7,-0.3204,0.5882,0.777,0.5911,0.5226,0.5568,0.6752,0.7761,0.7256,0.2808,0.7108,0.4958
0.8,-0.3414,0.6191,0.7853,0.6071,0.5527,0.5799,0.6919,0.7816,0.7367,0.2668,0.7213,0.4941
0.9,-0.3598,0.6424,0.7913,0.6146,0.5736,0.5941,0.7014,0.782,0.7417,0.2551,0.7279,0.4915
1,-0.3736,0.6574,0.795,0.6143,0.5842,0.5992,0.7028,0.7773,0.74,0.2459,0.7301,0.488
1.1,-0.3812,0.6636,0.7958,0.6069,0.5849,0.5959,0.6951,0.7675,0.7313,0.2389,0.7283,0.4836
1.2,-0.3826,0.6606,0.7927,0.5925,0.5768,0.5847,0.6779,0.7523,0.7151,0.2334,0.7226,0.478
1.3,-0.3787,0.6489,0.7855,0.5708,0.5613,0.566,0.6508,0.7319,0.6913,0.2287,0.7123,0.4705
1.4,-0.3703,0.6291,0.7744,0.5423,0.5398,0.541,0.6143,0.707,0.6606,0.224,0.6973,0.4607
1.5,-0.3577,0.603,0.7603,0.5093,0.514,0.5116,0.5703,0.679,0.6247,0.2194,0.678,0.4487
1.6,-0.3405,0.5721,0.7439,0.4739,0.4859,0.4799,0.5224,0.6498,0.5861,0.216,0.6558,0.4359
1.7,-0.3189,0.5382,0.7258,0.4382,0.4572,0.4477,0.4741,0.6207,0.5474,0.2141,0.6331,0.4236
1.8,-0.2944,0.503,0.7068,0.404,0.4295,0.4167,0.4283,0.5929,0.5106,0.214,0.6115,0.4128
1.9,-0.2696,0.4684,0.6877,0.3733,0.4042,0.3888,0.3876,0.5674,0.4775,0.2156,0.5924,0.404
2,-0.2456,0.4367,0.6699,0.3477,0.3822,0.3649,0.3541,0.545,0.4496,0.2186,0.5761,0.3974
2.1,-0.2223,0.4092,0.6545,0.3277,0.3638,0.3457,0.329,0.5263,0.4276,0.2228,0.5632,0.393
2.2,-0.1992,0.3861,0.6421,0.3127,0.3495,0.3311,0.3121,0.5114,0.4118,0.2285,0.554,0.3913
2.3,-0.1774,0.3675,0.6333,0.3017,0.3399,0.3208,0.3024,0.5006,0.4015,0.2355,0.5487,0.3921
