Time,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC,Countdown - Feel good this Winter TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.218,0.5181,0.4817,0.5345,0.5603,0.5474,0.5858,0.3652,0.4755,0.7528,0.609,0.6809
0.1,-0.233,0.5085,0.4816,0.5308,0.5293,0.5301,0.5859,0.3588,0.4724,0.7531,0.6015,0.6773
0.2,-0.2368,0.4977,0.4824,0.5266,0.4971,0.5118,0.5862,0.3544,0.4703,0.7539,0.5961,0.675
0.3,-0.2302,0.4862,0.4836,0.5219,0.4639,0.4929,0.5866,0.352,0.4693,0.7551,0.5928,0.674
0.4,-0.2146,0.474,0.4846,0.517,0.4295,0.4733,0.5871,0.3513,0.4692,0.7563,0.5918,0.6741
0.5,-0.192,0.461,0.485,0.5121,0.3944,0.4533,0.5872,0.3523,0.4698,0.7568,0.5924,0.6746
0.6,-0.1643,0.4477,0.484,0.5071,0.3597,0.4334,0.5869,0.355,0.471,0.7562,0.5937,0.6749
0.7,-0.1349,0.4349,0.481,0.5018,0.3277,0.4147,0.5865,0.3595,0.473,0.7542,0.5952,0.6747
0.8,-0.1072,0.4235,0.4757,0.4962,0.3005,0.3983,0.5863,0.3656,0.4759,0.751,0.5962,0.6736
0.9,-0.0837,0.4141,0.4678,0.4904,0.2794,0.3849,0.5863,0.3727,0.4795,0.7466,0.5964,0.6715
1,-0.0653,0.4071,0.4576,0.4843,0.2645,0.3744,0.5862,0.38,0.4831,0.741,0.5952,0.6681
1.1,-0.0518,0.4024,0.4454,0.4774,0.2548,0.3661,0.5855,0.3867,0.4861,0.7344,0.5923,0.6634
1.2,-0.0431,0.3998,0.4316,0.4694,0.2488,0.3591,0.5839,0.3923,0.4881,0.7269,0.5874,0.6571
1.3,-0.0384,0.3991,0.4171,0.4604,0.246,0.3532,0.5816,0.3973,0.4895,0.719,0.5808,0.6499
1.4,-0.0375,0.4002,0.4029,0.4507,0.2459,0.3483,0.579,0.4022,0.4906,0.7117,0.5731,0.6424
1.5,-0.0398,0.4027,0.3904,0.4408,0.2482,0.3445,0.576,0.4074,0.4917,0.7053,0.5653,0.6353
1.6,-0.0442,0.4072,0.3804,0.4316,0.2532,0.3424,0.5727,0.4131,0.4929,0.7004,0.5579,0.6291
1.7,-0.0498,0.4145,0.3733,0.4243,0.2611,0.3427,0.5693,0.4197,0.4945,0.6971,0.5512,0.6242
1.8,-0.0555,0.4257,0.369,0.4203,0.2721,0.3462,0.5664,0.4272,0.4968,0.6959,0.5458,0.6209
1.9,-0.0611,0.4406,0.3674,0.4198,0.2856,0.3527,0.5647,0.4358,0.5002,0.6971,0.5418,0.6195
2,-0.0666,0.4585,0.3682,0.4223,0.301,0.3616,0.564,0.4453,0.5046,0.7004,0.5394,0.6199
2.1,-0.0723,0.4782,0.3711,0.4264,0.3176,0.372,0.5638,0.4557,0.5097,0.7054,0.5387,0.622
2.2,-0.0784,0.4983,0.3762,0.4315,0.3347,0.3831,0.564,0.4668,0.5154,0.7117,0.5395,0.6256
