Time,Commonwealth Bank Home Loans 30 TVC,Commonwealth Bank Home Loans 30 TVC,Commonwealth Bank Home Loans 30 TVC,Commonwealth Bank Home Loans 30 TVC,Commonwealth Bank Home Loans 30 TVC,Commonwealth Bank Home Loans 30 TVC,Commonwealth Bank Home Loans 30 TVC,Commonwealth Bank Home Loans 30 TVC,Commonwealth Bank Home Loans 30 TVC,Commonwealth Bank Home Loans 30 TVC,Commonwealth Bank Home Loans 30 TVC,Commonwealth Bank Home Loans 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.4901,0.6143,0.7491,0.5371,0.5412,0.5391,0.5734,0.5726,0.573,0.4061,0.7298,0.568
0.1,-0.4108,0.5846,0.7004,0.5125,0.478,0.4952,0.5756,0.5322,0.5539,0.3946,0.7144,0.5545
0.2,-0.3297,0.556,0.6564,0.4899,0.4198,0.4548,0.5763,0.4964,0.5363,0.3862,0.7002,0.5432
0.3,-0.2508,0.5291,0.6184,0.4698,0.3693,0.4195,0.5759,0.4662,0.5211,0.3804,0.6869,0.5337
0.4,-0.1785,0.5046,0.5875,0.4527,0.3278,0.3902,0.5758,0.4425,0.5092,0.3769,0.6745,0.5257
0.5,-0.1161,0.4823,0.5642,0.4388,0.2955,0.3672,0.5771,0.4259,0.5015,0.3755,0.6631,0.5193
0.6,-0.0651,0.4618,0.5478,0.4279,0.2714,0.3497,0.58,0.4166,0.4983,0.3758,0.6534,0.5146
0.7,-0.0255,0.4426,0.5367,0.419,0.2542,0.3366,0.5842,0.4141,0.4991,0.3776,0.6459,0.5117
0.8,0.0035,0.4247,0.5296,0.4114,0.2426,0.327,0.5898,0.4179,0.5038,0.381,0.6411,0.511
0.9,0.0235,0.4081,0.5256,0.4047,0.2355,0.3201,0.5971,0.4273,0.5122,0.3864,0.6395,0.5129
1,0.0357,0.3929,0.5242,0.3986,0.2319,0.3153,0.6064,0.4419,0.5241,0.3943,0.6408,0.5176
1.1,0.0417,0.3789,0.5249,0.3936,0.2316,0.3126,0.6175,0.461,0.5392,0.4045,0.6446,0.5246
1.2,0.042,0.3662,0.5267,0.3897,0.2343,0.312,0.6295,0.4839,0.5567,0.4161,0.6507,0.5334
1.3,0.0371,0.3552,0.5291,0.3863,0.2402,0.3133,0.6411,0.5097,0.5754,0.4282,0.6587,0.5435
1.4,0.0274,0.3456,0.5322,0.3827,0.2495,0.3161,0.6517,0.5378,0.5947,0.4404,0.6688,0.5546
1.5,0.0139,0.3375,0.537,0.3781,0.262,0.32,0.6611,0.5673,0.6142,0.4528,0.6807,0.5667
1.6,-0.0022,0.3307,0.5438,0.3721,0.2778,0.3249,0.6698,0.5979,0.6339,0.4652,0.6942,0.5797
1.7,-0.0193,0.3249,0.5522,0.3648,0.296,0.3304,0.6784,0.6292,0.6538,0.477,0.7087,0.5928
1.8,-0.0357,0.3197,0.5607,0.3565,0.3164,0.3364,0.6869,0.6603,0.6736,0.4872,0.7233,0.6052
1.9,-0.0499,0.3151,0.568,0.3477,0.339,0.3433,0.6951,0.6902,0.6927,0.4951,0.7371,0.6161
2,-0.0611,0.3111,0.5732,0.3385,0.3643,0.3514,0.7024,0.7173,0.7098,0.5004,0.7496,0.625
2.1,-0.0684,0.308,0.5762,0.3294,0.393,0.3612,0.7079,0.7401,0.724,0.5032,0.7603,0.6317
2.2,-0.0707,0.3062,0.5766,0.3212,0.4263,0.3737,0.7109,0.7576,0.7342,0.5039,0.7688,0.6364
2.3,-0.0683,0.306,0.5738,0.3142,0.4644,0.3893,0.7105,0.7685,0.7395,0.5025,0.7747,0.6386
2.4,-0.0619,0.3074,0.5672,0.3084,0.5071,0.4078,0.7063,0.7719,0.7391,0.4989,0.7777,0.6383
2.5,-0.053,0.3104,0.5565,0.3034,0.5533,0.4283,0.6983,0.7677,0.733,0.4932,0.7784,0.6358
2.6,-0.0415,0.3148,0.5422,0.2994,0.6007,0.4501,0.6871,0.7562,0.7216,0.4861,0.7773,0.6317
2.7,-0.0267,0.3202,0.5259,0.2976,0.6469,0.4722,0.6738,0.7386,0.7062,0.4784,0.7755,0.6269
2.8,-0.0083,0.3268,0.5095,0.299,0.6901,0.4946,0.66,0.7167,0.6883,0.4711,0.7739,0.6225
2.9,0.0123,0.3346,0.4938,0.3041,0.7287,0.5164,0.6468,0.6921,0.6695,0.465,0.773,0.619
