Time,Commbank - We Wont Rest Til Its Done 60 TVC,Commbank - We Wont Rest Til Its Done 60 TVC,Commbank - We Wont Rest Til Its Done 60 TVC,Commbank - We Wont Rest Til Its Done 60 TVC,Commbank - We Wont Rest Til Its Done 60 TVC,Commbank - We Wont Rest Til Its Done 60 TVC,Commbank - We Wont Rest Til Its Done 60 TVC,Commbank - We Wont Rest Til Its Done 60 TVC,Commbank - We Wont Rest Til Its Done 60 TVC,Commbank - We Wont Rest Til Its Done 60 TVC,Commbank - We Wont Rest Til Its Done 60 TVC,Commbank - We Wont Rest Til Its Done 60 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.6652,0.5871,0.7246,0.4222,0.6935,0.5579,0.7731,0.6859,0.7295,0.6672,0.7597,0.7134
0.1,-0.6264,0.624,0.711,0.447,0.6957,0.5713,0.7842,0.6893,0.7367,0.6709,0.772,0.7215
0.2,-0.5886,0.6563,0.696,0.4675,0.6937,0.5806,0.793,0.6912,0.7421,0.6765,0.7792,0.7279
0.3,-0.5527,0.6834,0.6797,0.4833,0.6878,0.5855,0.7996,0.6917,0.7457,0.6832,0.7813,0.7323
0.4,-0.5193,0.7043,0.6619,0.4942,0.6782,0.5862,0.8036,0.6911,0.7473,0.6904,0.7781,0.7343
0.5,-0.4891,0.7189,0.6421,0.5002,0.6658,0.583,0.8049,0.6895,0.7472,0.6957,0.769,0.7324
0.6,-0.4631,0.7277,0.6201,0.5021,0.6515,0.5768,0.8035,0.6874,0.7455,0.6975,0.754,0.7258
0.7,-0.4425,0.7321,0.597,0.5003,0.637,0.5687,0.7998,0.6848,0.7423,0.6957,0.7346,0.7151
0.8,-0.4276,0.7336,0.574,0.4963,0.6235,0.5599,0.7943,0.6821,0.7382,0.6912,0.7126,0.7019
0.9,-0.4179,0.7334,0.5523,0.4914,0.6121,0.5518,0.7877,0.6798,0.7337,0.685,0.6899,0.6875
1,-0.4126,0.7323,0.5325,0.4869,0.6032,0.545,0.7808,0.6787,0.7297,0.678,0.6677,0.6729
1.1,-0.4111,0.731,0.5156,0.4836,0.5971,0.5403,0.774,0.6792,0.7266,0.671,0.647,0.659
1.2,-0.4124,0.7299,0.5029,0.4821,0.5937,0.5379,0.7676,0.6817,0.7247,0.6648,0.6285,0.6467
1.3,-0.4153,0.7294,0.4963,0.4832,0.5925,0.5378,0.7622,0.6862,0.7242,0.6603,0.6131,0.6367
1.4,-0.4189,0.7301,0.4966,0.4871,0.5932,0.5401,0.7585,0.6924,0.7254,0.6572,0.601,0.6291
1.5,-0.4227,0.7327,0.5036,0.4938,0.5959,0.5448,0.7569,0.6999,0.7284,0.6549,0.5922,0.6236
1.6,-0.426,0.7375,0.5158,0.5031,0.6006,0.5518,0.7577,0.708,0.7328,0.6526,0.586,0.6193
1.7,-0.4284,0.7441,0.5317,0.5141,0.6069,0.5605,0.7601,0.7159,0.738,0.6497,0.5819,0.6158
1.8,-0.4298,0.7515,0.5495,0.5256,0.6142,0.5699,0.7634,0.7227,0.7431,0.6462,0.5795,0.6128
1.9,-0.4306,0.7583,0.5672,0.5362,0.6212,0.5787,0.7671,0.7273,0.7472,0.6415,0.5784,0.61
2,-0.4303,0.7638,0.583,0.5447,0.627,0.5858,0.7709,0.7287,0.7498,0.6357,0.578,0.6068
2.1,-0.4282,0.7677,0.5954,0.5498,0.6311,0.5905,0.7743,0.7265,0.7504,0.6289,0.5772,0.6031
2.2,-0.4242,0.7698,0.6049,0.551,0.6335,0.5922,0.7769,0.72,0.7485,0.6215,0.5755,0.5985
2.3,-0.4188,0.77,0.6117,0.5481,0.6342,0.5911,0.7782,0.7091,0.7436,0.6142,0.5722,0.5932
