Time,Deliveroo Food Freedom 15s TVC,Deliveroo Food Freedom 15s TVC,Deliveroo Food Freedom 15s TVC,Deliveroo Food Freedom 15s TVC,Deliveroo Food Freedom 15s TVC,Deliveroo Food Freedom 15s TVC,Deliveroo Food Freedom 15s TVC,Deliveroo Food Freedom 15s TVC,Deliveroo Food Freedom 15s TVC,Deliveroo Food Freedom 15s TVC,Deliveroo Food Freedom 15s TVC,Deliveroo Food Freedom 15s TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1447,0.5053,0.812,0.6433,0.0338,0.3385,0.4941,0.6713,0.5827,0.8275,0.5654,0.6964
0.1,0.1876,0.5147,0.8086,0.6537,0.0393,0.3465,0.477,0.6683,0.5727,0.8111,0.5371,0.6741
0.2,0.2355,0.5222,0.805,0.6646,0.0462,0.3554,0.4587,0.6631,0.5609,0.7931,0.5106,0.6519
0.3,0.286,0.5292,0.7995,0.6762,0.0549,0.3655,0.4388,0.655,0.5469,0.7741,0.4868,0.6304
0.4,0.3362,0.5372,0.7907,0.6884,0.0664,0.3774,0.4176,0.6434,0.5305,0.754,0.4655,0.6098
0.5,0.384,0.5469,0.7784,0.7011,0.0804,0.3907,0.3957,0.629,0.5124,0.7338,0.4473,0.5905
0.6,0.4287,0.558,0.763,0.7144,0.0962,0.4053,0.3745,0.6131,0.4938,0.7151,0.4338,0.5745
0.7,0.4689,0.57,0.7451,0.729,0.1127,0.4208,0.3555,0.5969,0.4762,0.6999,0.4272,0.5636
0.8,0.5021,0.5824,0.7253,0.7446,0.129,0.4368,0.3399,0.5807,0.4603,0.6893,0.4282,0.5587
0.9,0.5258,0.5943,0.7044,0.76,0.1447,0.4524,0.328,0.5647,0.4464,0.6834,0.436,0.5597
1,0.5392,0.6049,0.6835,0.7736,0.1591,0.4664,0.3198,0.549,0.4344,0.6817,0.4491,0.5654
1.1,0.543,0.6132,0.6632,0.7836,0.1712,0.4774,0.3144,0.5338,0.4241,0.6836,0.4661,0.5748
1.2,0.5374,0.6188,0.6435,0.7893,0.1808,0.485,0.3111,0.5189,0.415,0.6877,0.4854,0.5866
