Time,Dettol - Protect 24 15 TVC,Dettol - Protect 24 15 TVC,Dettol - Protect 24 15 TVC,Dettol - Protect 24 15 TVC,Dettol - Protect 24 15 TVC,Dettol - Protect 24 15 TVC,Dettol - Protect 24 15 TVC,Dettol - Protect 24 15 TVC,Dettol - Protect 24 15 TVC,Dettol - Protect 24 15 TVC,Dettol - Protect 24 15 TVC,Dettol - Protect 24 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.2628,0.8356,0.6818,0.5571,0.9381,0.7476,0.7668,0.9618,0.8643,0.791,0.5903,0.6906
0.1,-0.3277,0.8434,0.657,0.5562,0.9559,0.7561,0.7361,0.9438,0.8399,0.7858,0.5774,0.6816
0.2,-0.39,0.8519,0.6329,0.5582,0.9746,0.7664,0.7043,0.9211,0.8127,0.7731,0.5678,0.6705
0.3,-0.4474,0.8612,0.61,0.5632,0.9936,0.7784,0.672,0.8936,0.7828,0.7528,0.5606,0.6567
0.4,-0.4986,0.8703,0.5886,0.5714,1.0122,0.7918,0.6403,0.8622,0.7512,0.7256,0.5554,0.6405
0.5,-0.542,0.8781,0.5691,0.5829,1.0306,0.8067,0.6113,0.8289,0.7201,0.6937,0.5522,0.623
0.6,-0.5759,0.8834,0.5513,0.5973,1.0486,0.823,0.5867,0.7964,0.6915,0.6592,0.5508,0.605
0.7,-0.5983,0.8851,0.5349,0.6137,1.0652,0.8394,0.5675,0.7665,0.667,0.6235,0.5499,0.5867
0.8,-0.6076,0.882,0.5193,0.6311,1.0787,0.8549,0.5534,0.7402,0.6468,0.5881,0.5486,0.5683
0.9,-0.6042,0.8741,0.504,0.6495,1.0873,0.8684,0.5441,0.7176,0.6309,0.5547,0.5474,0.5511
1,-0.5895,0.8618,0.489,0.6687,1.0903,0.8795,0.539,0.6988,0.6189,0.5246,0.5469,0.5358
1.1,-0.565,0.8464,0.4738,0.6884,1.088,0.8882,0.5375,0.6836,0.6106,0.498,0.5468,0.5224
1.2,-0.5311,0.8289,0.4584,0.708,1.0815,0.8948,0.5397,0.6721,0.6059,0.4749,0.5468,0.5108
1.3,-0.4893,0.81,0.4428,0.7265,1.0713,0.8989,0.5455,0.6642,0.6048,0.4553,0.5462,0.5008
1.4,-0.4417,0.7902,0.4272,0.7427,1.0575,0.9001,0.5549,0.6598,0.6073,0.4394,0.5446,0.492
1.5,-0.3909,0.7702,0.4111,0.7563,1.0399,0.8981,0.5677,0.6589,0.6133,0.4266,0.5412,0.4839
