Time,Domain - Search by Map 15 TVC,Domain - Search by Map 15 TVC,Domain - Search by Map 15 TVC,Domain - Search by Map 15 TVC,Domain - Search by Map 15 TVC,Domain - Search by Map 15 TVC,Domain - Search by Map 15 TVC,Domain - Search by Map 15 TVC,Domain - Search by Map 15 TVC,Domain - Search by Map 15 TVC,Domain - Search by Map 15 TVC,Domain - Search by Map 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0341,0.5467,0.7687,0.544,0.6051,0.5746,0.6328,0.7089,0.6708,0.9658,0.686,0.8259
0.1,-0.0327,0.5442,0.7955,0.5429,0.5931,0.568,0.6463,0.7035,0.6749,1.0073,0.7002,0.8537
0.2,-0.0339,0.5412,0.8142,0.5387,0.5821,0.5604,0.6599,0.6981,0.679,1.037,0.7066,0.8718
0.3,-0.0386,0.5379,0.8242,0.5326,0.5722,0.5524,0.6728,0.6923,0.6826,1.0538,0.7051,0.8794
0.4,-0.0474,0.5347,0.8266,0.5261,0.5636,0.5449,0.6853,0.6861,0.6857,1.058,0.6966,0.8773
0.5,-0.0599,0.5321,0.8231,0.5202,0.5568,0.5385,0.6976,0.68,0.6888,1.0509,0.6824,0.8667
0.6,-0.0752,0.5304,0.8151,0.5156,0.552,0.5338,0.709,0.6742,0.6916,1.0338,0.6635,0.8487
0.7,-0.093,0.5297,0.803,0.5125,0.5487,0.5306,0.7182,0.6687,0.6934,1.007,0.6405,0.8238
0.8,-0.1127,0.5298,0.7869,0.5115,0.5465,0.529,0.7243,0.6632,0.6938,0.9712,0.6145,0.7928
0.9,-0.1343,0.5305,0.7672,0.5131,0.5445,0.5288,0.7274,0.6577,0.6926,0.928,0.5873,0.7576
1,-0.1576,0.5318,0.7449,0.5173,0.5429,0.5301,0.7281,0.6524,0.6903,0.8796,0.5606,0.7201
1.1,-0.1823,0.5339,0.7208,0.5238,0.5416,0.5327,0.7269,0.6477,0.6873,0.8283,0.5355,0.6819
1.2,-0.2075,0.5368,0.6964,0.5315,0.5412,0.5364,0.7243,0.6441,0.6842,0.7764,0.5127,0.6445
1.3,-0.2323,0.5405,0.6727,0.5397,0.5419,0.5408,0.7207,0.6419,0.6813,0.7256,0.4929,0.6093
1.4,-0.2564,0.5449,0.6501,0.5475,0.544,0.5458,0.7165,0.6415,0.679,0.6779,0.4771,0.5775
1.5,-0.2801,0.5504,0.6288,0.555,0.5486,0.5518,0.7125,0.6437,0.6781,0.635,0.4663,0.5506
1.6,-0.3038,0.5575,0.609,0.5626,0.5564,0.5595,0.709,0.649,0.679,0.5985,0.4622,0.5303
1.7,-0.3274,0.5665,0.5916,0.5709,0.5683,0.5696,0.7064,0.6581,0.6822,0.5696,0.4655,0.5175
1.8,-0.3504,0.5777,0.5774,0.5803,0.5842,0.5823,0.7048,0.6709,0.6879,0.5486,0.4765,0.5126
1.9,-0.3713,0.5907,0.567,0.5906,0.6035,0.5971,0.7045,0.6876,0.696,0.5351,0.4943,0.5147
2,-0.3892,0.6053,0.5601,0.6013,0.6254,0.6133,0.7055,0.7079,0.7067,0.5286,0.5173,0.5229
2.1,-0.4036,0.6215,0.5561,0.6119,0.6492,0.6306,0.708,0.7318,0.7199,0.5281,0.5443,0.5362
2.2,-0.4142,0.639,0.5549,0.6222,0.6742,0.6482,0.712,0.7583,0.7352,0.5329,0.574,0.5534
2.3,-0.4201,0.6575,0.5569,0.6316,0.6993,0.6655,0.7164,0.7858,0.7511,0.5415,0.6041,0.5728
2.4,-0.4198,0.6764,0.5623,0.6394,0.7232,0.6813,0.7199,0.8119,0.7659,0.5529,0.6319,0.5924
2.5,-0.4124,0.6953,0.5705,0.6448,0.7442,0.6945,0.7214,0.835,0.7782,0.5661,0.6558,0.611
2.6,-0.398,0.7132,0.5805,0.6476,0.7612,0.7044,0.7203,0.8541,0.7872,0.5806,0.6754,0.628
2.7,-0.3775,0.7292,0.5914,0.6476,0.7737,0.7106,0.7162,0.8688,0.7925,0.5956,0.6905,0.6431
2.8,-0.3521,0.7426,0.6026,0.6446,0.7809,0.7128,0.7089,0.8783,0.7936,0.61,0.7006,0.6553
2.9,-0.3222,0.7525,0.6137,0.6385,0.7821,0.7103,0.6982,0.881,0.7896,0.6225,0.705,0.6638
3,-0.2874,0.7581,0.6245,0.6287,0.7763,0.7025,0.6837,0.8757,0.7797,0.6332,0.7034,0.6683
3.1,-0.247,0.7592,0.6344,0.6153,0.7632,0.6893,0.6652,0.8626,0.7639,0.6422,0.6968,0.6695
3.2,-0.2012,0.7557,0.643,0.599,0.7429,0.6709,0.6435,0.8431,0.7433,0.65,0.687,0.6685
3.3,-0.1506,0.7478,0.6498,0.5805,0.7159,0.6482,0.6193,0.8187,0.719,0.6573,0.6746,0.666
3.4,-0.0958,0.7356,0.6546,0.561,0.6829,0.622,0.5933,0.7907,0.692,0.6641,0.6603,0.6622
3.5,-0.0377,0.7198,0.6573,0.5418,0.6454,0.5936,0.5663,0.76,0.6632,0.6708,0.6447,0.6577
3.6,0.022,0.7007,0.6587,0.5242,0.6052,0.5647,0.5395,0.7277,0.6336,0.6781,0.6294,0.6537
3.7,0.0806,0.6795,0.6599,0.5092,0.5645,0.5369,0.5142,0.695,0.6046,0.6866,0.6161,0.6513
3.8,0.1358,0.6572,0.6618,0.4972,0.5252,0.5112,0.4912,0.663,0.5771,0.6967,0.6055,0.6511
3.9,0.1863,0.6352,0.6648,0.4879,0.4887,0.4883,0.4708,0.6325,0.5516,0.7082,0.5974,0.6528
4,0.2313,0.6147,0.6687,0.4812,0.4563,0.4688,0.453,0.6041,0.5285,0.7205,0.5915,0.656
4.1,0.2695,0.5967,0.6735,0.4773,0.4288,0.453,0.4377,0.5789,0.5083,0.733,0.5876,0.6603
4.2,0.2998,0.5817,0.6791,0.4764,0.4069,0.4417,0.4253,0.5578,0.4916,0.7451,0.586,0.6655
4.3,0.3215,0.5696,0.6853,0.4782,0.3912,0.4347,0.4164,0.5417,0.479,0.7564,0.5864,0.6714
4.4,0.3349,0.5605,0.6913,0.4818,0.3819,0.4319,0.4112,0.5309,0.471,0.7659,0.5881,0.677
4.5,0.3407,0.5543,0.696,0.4867,0.3793,0.433,0.4098,0.525,0.4674,0.7726,0.5898,0.6812
4.6,0.3397,0.5509,0.6986,0.492,0.3832,0.4376,0.412,0.5232,0.4676,0.776,0.5913,0.6837
4.7,0.3314,0.5496,0.6985,0.4969,0.3933,0.4451,0.4172,0.5248,0.471,0.7763,0.5933,0.6848
4.8,0.3155,0.5498,0.6953,0.5006,0.4088,0.4547,0.4246,0.5292,0.4769,0.7738,0.5955,0.6846
4.9,0.2932,0.5511,0.6886,0.5023,0.4287,0.4655,0.433,0.5354,0.4842,0.7688,0.5968,0.6828
5,0.2658,0.5533,0.6785,0.5017,0.4515,0.4766,0.4416,0.5428,0.4922,0.7614,0.5962,0.6788
5.1,0.2341,0.557,0.6655,0.4992,0.4758,0.4875,0.4504,0.5513,0.5008,0.7515,0.5931,0.6723
5.2,0.1981,0.5624,0.6506,0.4955,0.5009,0.4982,0.4598,0.5611,0.5104,0.7395,0.5879,0.6637
5.3,0.1575,0.5695,0.6344,0.4908,0.5265,0.5086,0.4699,0.572,0.521,0.7257,0.581,0.6533
5.4,0.1131,0.5775,0.6168,0.4848,0.552,0.5184,0.48,0.5836,0.5318,0.7105,0.5727,0.6416
5.5,0.0655,0.5856,0.598,0.4776,0.5771,0.5273,0.4895,0.5949,0.5422,0.694,0.5631,0.6286
5.6,0.0158,0.593,0.5787,0.4691,0.6008,0.535,0.4978,0.6055,0.5516,0.6766,0.5522,0.6144
5.7,-0.0346,0.5992,0.56,0.4598,0.6226,0.5412,0.5053,0.6154,0.5604,0.6586,0.5403,0.5994
5.8,-0.0842,0.604,0.5423,0.4503,0.6416,0.5459,0.5126,0.6249,0.5687,0.6408,0.5283,0.5846
5.9,-0.1318,0.6067,0.5257,0.4408,0.6571,0.549,0.5199,0.634,0.577,0.6241,0.5171,0.5706
6,-0.1758,0.6069,0.51,0.4315,0.6684,0.55,0.5271,0.6426,0.5849,0.6084,0.5071,0.5578
6.1,-0.2149,0.6045,0.4954,0.4226,0.6757,0.5492,0.5342,0.6504,0.5923,0.5941,0.4983,0.5462
6.2,-0.248,0.6003,0.4824,0.4149,0.6792,0.547,0.5412,0.6571,0.5992,0.5815,0.491,0.5363
6.3,-0.2738,0.5951,0.4716,0.4093,0.6792,0.5443,0.5485,0.6627,0.6056,0.571,0.4859,0.5284
6.4,-0.2911,0.5898,0.4631,0.4068,0.6768,0.5418,0.5562,0.6678,0.612,0.5632,0.4837,0.5234
6.5,-0.2994,0.5845,0.4564,0.4085,0.6725,0.5405,0.5642,0.6727,0.6185,0.5581,0.4848,0.5215
6.6,-0.2991,0.579,0.4507,0.4148,0.6666,0.5407,0.5723,0.6778,0.6251,0.5549,0.4889,0.5219
6.7,-0.291,0.5728,0.4459,0.4255,0.6591,0.5423,0.5797,0.683,0.6313,0.5527,0.4949,0.5238
6.8,-0.2763,0.5662,0.4422,0.44,0.6504,0.5452,0.5853,0.688,0.6367,0.5505,0.5022,0.5263
6.9,-0.2566,0.5598,0.4394,0.4575,0.6411,0.5493,0.5884,0.6923,0.6403,0.5476,0.5103,0.5289
7,-0.2332,0.5543,0.4372,0.4772,0.6319,0.5546,0.5884,0.6955,0.642,0.5432,0.5185,0.5308
7.1,-0.2068,0.5506,0.4354,0.4984,0.6232,0.5608,0.5856,0.698,0.6418,0.5369,0.5254,0.5311
7.2,-0.1781,0.5492,0.4341,0.5202,0.6152,0.5677,0.5802,0.6998,0.64,0.5282,0.5295,0.5288
7.3,-0.1487,0.55,0.4337,0.5417,0.6079,0.5748,0.5722,0.7009,0.6366,0.5171,0.5302,0.5237
