Time,Domain - Car 30 TVC,Domain - Car 30 TVC,Domain - Car 30 TVC,Domain - Car 30 TVC,Domain - Car 30 TVC,Domain - Car 30 TVC,Domain - Car 30 TVC,Domain - Car 30 TVC,Domain - Car 30 TVC,Domain - Car 30 TVC,Domain - Car 30 TVC,Domain - Car 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0965,0.4574,0.6347,0.4084,0.264,0.3362,0.5324,0.5839,0.5582,0.487,0.4212,0.4541
0.1,-0.0647,0.4478,0.6555,0.3993,0.27,0.3346,0.5264,0.5903,0.5583,0.484,0.4382,0.4611
0.2,-0.0287,0.4395,0.6762,0.3912,0.2797,0.3354,0.5171,0.5957,0.5564,0.4814,0.4562,0.4688
0.3,0.01,0.4327,0.6965,0.3837,0.292,0.3379,0.5047,0.5998,0.5523,0.479,0.4753,0.4771
0.4,0.0513,0.4276,0.7158,0.3778,0.3064,0.3421,0.4904,0.6024,0.5464,0.4764,0.4951,0.4857
0.5,0.0946,0.4244,0.733,0.3743,0.3225,0.3484,0.4757,0.6032,0.5394,0.4729,0.515,0.494
0.6,0.1389,0.4234,0.7471,0.374,0.3396,0.3568,0.4625,0.6022,0.5324,0.4683,0.5341,0.5012
0.7,0.1824,0.4247,0.7576,0.3772,0.3569,0.367,0.4524,0.5995,0.5259,0.4626,0.5515,0.5071
0.8,0.2232,0.4284,0.7647,0.3837,0.3737,0.3787,0.4468,0.5947,0.5208,0.457,0.567,0.512
0.9,0.26,0.4347,0.768,0.3941,0.3897,0.3919,0.4476,0.5875,0.5176,0.453,0.5808,0.5169
1,0.2916,0.444,0.767,0.4084,0.405,0.4067,0.4568,0.5775,0.5171,0.4519,0.5932,0.5226
1.1,0.3172,0.4562,0.7613,0.4268,0.4201,0.4234,0.4754,0.5643,0.5199,0.4544,0.604,0.5292
1.2,0.336,0.4712,0.7509,0.4482,0.4358,0.442,0.5034,0.5482,0.5258,0.46,0.6123,0.5361
1.3,0.3473,0.4884,0.7361,0.4711,0.4524,0.4617,0.5393,0.5299,0.5346,0.4684,0.6177,0.5431
1.4,0.3508,0.5071,0.7177,0.494,0.4701,0.4821,0.5808,0.5101,0.5454,0.4798,0.6206,0.5502
1.5,0.3462,0.5268,0.6961,0.5161,0.4887,0.5024,0.6247,0.4896,0.5572,0.4947,0.6218,0.5582
1.6,0.3338,0.5467,0.6721,0.5371,0.5082,0.5226,0.6675,0.4689,0.5682,0.5128,0.6219,0.5673
1.7,0.314,0.5668,0.6468,0.5574,0.529,0.5432,0.7058,0.4482,0.577,0.5333,0.6213,0.5773
1.8,0.2889,0.5869,0.6212,0.5781,0.5513,0.5647,0.7375,0.428,0.5827,0.5541,0.6203,0.5872
1.9,0.261,0.607,0.5963,0.6001,0.5746,0.5874,0.762,0.4089,0.5855,0.5737,0.6189,0.5963
2,0.2334,0.6269,0.5732,0.6238,0.5982,0.611,0.7798,0.392,0.5859,0.591,0.6173,0.6041
2.1,0.2082,0.6465,0.5531,0.6491,0.6209,0.635,0.7919,0.3787,0.5853,0.6059,0.6162,0.611
2.2,0.186,0.6655,0.5366,0.6753,0.642,0.6587,0.7997,0.3703,0.585,0.6188,0.616,0.6174
2.3,0.1661,0.6831,0.5237,0.7013,0.6605,0.6809,0.8039,0.3668,0.5854,0.6299,0.6167,0.6233
2.4,0.1468,0.6984,0.5136,0.7261,0.6759,0.701,0.8048,0.3682,0.5865,0.6391,0.6179,0.6285
2.5,0.1271,0.711,0.5054,0.7494,0.688,0.7187,0.8023,0.3736,0.5879,0.6468,0.6193,0.633
2.6,0.1072,0.7205,0.4989,0.7711,0.6969,0.734,0.7959,0.3824,0.5892,0.6532,0.6209,0.637
2.7,0.0878,0.7265,0.4937,0.7912,0.7027,0.747,0.7858,0.3936,0.5897,0.6588,0.6232,0.641
2.8,0.0698,0.7286,0.4899,0.8088,0.7047,0.7568,0.7724,0.4062,0.5893,0.6643,0.6264,0.6454
2.9,0.0526,0.7258,0.4875,0.8219,0.7023,0.7621,0.756,0.4195,0.5877,0.6697,0.6301,0.6499
3,0.0354,0.7182,0.4869,0.8292,0.6953,0.7623,0.7372,0.4326,0.5849,0.6741,0.6336,0.6538
3.1,0.0175,0.7066,0.4881,0.8303,0.684,0.7571,0.7169,0.4451,0.581,0.6769,0.6361,0.6565
3.2,-0.002,0.6917,0.4905,0.8253,0.6689,0.7471,0.6958,0.4565,0.5761,0.6781,0.6376,0.6578
3.3,-0.0236,0.6741,0.4932,0.8149,0.6506,0.7328,0.6746,0.4665,0.5706,0.6782,0.638,0.6581
3.4,-0.0474,0.6543,0.4955,0.7993,0.6299,0.7146,0.6541,0.4753,0.5647,0.678,0.6377,0.6579
3.5,-0.0728,0.633,0.4974,0.7786,0.6077,0.6932,0.6346,0.4831,0.5588,0.6778,0.6372,0.6575
3.6,-0.0988,0.6112,0.4992,0.7535,0.5851,0.6693,0.6169,0.4899,0.5534,0.6784,0.6368,0.6576
3.7,-0.1239,0.5899,0.5006,0.725,0.5628,0.6439,0.6019,0.4954,0.5486,0.6798,0.6367,0.6583
3.8,-0.1469,0.5698,0.5011,0.6944,0.5414,0.6179,0.5904,0.499,0.5447,0.6816,0.6363,0.659
3.9,-0.1671,0.5513,0.4998,0.6631,0.5217,0.5924,0.5824,0.5006,0.5415,0.683,0.6347,0.6588
4,-0.1847,0.5345,0.4961,0.6325,0.504,0.5682,0.5777,0.4997,0.5387,0.6833,0.6311,0.6572
4.1,-0.2005,0.5196,0.4898,0.6039,0.489,0.5464,0.5757,0.4963,0.536,0.6823,0.6252,0.6537
4.2,-0.2154,0.5072,0.4805,0.5784,0.4774,0.5279,0.5761,0.4904,0.5332,0.6797,0.6172,0.6485
4.3,-0.2299,0.4976,0.468,0.5565,0.4698,0.5131,0.5786,0.4822,0.5304,0.6759,0.6075,0.6417
4.4,-0.2437,0.4904,0.4518,0.5377,0.4664,0.502,0.5828,0.4718,0.5273,0.6706,0.596,0.6333
4.5,-0.2563,0.485,0.4319,0.521,0.4671,0.4941,0.5876,0.4594,0.5235,0.6637,0.5826,0.6231
4.6,-0.2671,0.4813,0.409,0.5064,0.4714,0.4889,0.5919,0.4454,0.5186,0.6553,0.5673,0.6113
4.7,-0.2752,0.4789,0.3843,0.4941,0.4779,0.486,0.5953,0.4305,0.5129,0.6463,0.551,0.5987
4.8,-0.2796,0.4778,0.3589,0.4849,0.4849,0.4849,0.5982,0.4149,0.5065,0.6378,0.5351,0.5864
4.9,-0.2795,0.4775,0.3338,0.479,0.4904,0.4847,0.6005,0.3989,0.4997,0.6306,0.5204,0.5755
5,-0.2737,0.4774,0.3096,0.4764,0.493,0.4847,0.6018,0.3827,0.4923,0.6246,0.5072,0.5659
5.1,-0.2609,0.4774,0.2869,0.4767,0.4914,0.484,0.6009,0.3667,0.4838,0.6194,0.4952,0.5573
