Time,Fanta - For Colourful People 15 TVC,Fanta - For Colourful People 15 TVC,Fanta - For Colourful People 15 TVC,Fanta - For Colourful People 15 TVC,Fanta - For Colourful People 15 TVC,Fanta - For Colourful People 15 TVC,Fanta - For Colourful People 15 TVC,Fanta - For Colourful People 15 TVC,Fanta - For Colourful People 15 TVC,Fanta - For Colourful People 15 TVC,Fanta - For Colourful People 15 TVC,Fanta - For Colourful People 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0895,0.407,0.8344,0.8616,0.4191,0.6403,0.6612,0.4717,0.5664,0.7306,0.7205,0.7255
0.1,0.0846,0.409,0.8155,0.8545,0.4042,0.6294,0.6773,0.4699,0.5736,0.7481,0.7525,0.7503
0.2,0.0782,0.4108,0.7971,0.844,0.393,0.6185,0.6897,0.47,0.5799,0.7675,0.7826,0.775
0.3,0.0708,0.4127,0.7792,0.83,0.3861,0.608,0.6989,0.472,0.5855,0.7873,0.8098,0.7986
0.4,0.0642,0.4152,0.7618,0.813,0.384,0.5985,0.7054,0.4762,0.5908,0.8067,0.8344,0.8206
0.5,0.0609,0.4187,0.7451,0.7937,0.387,0.5904,0.7102,0.4828,0.5965,0.8262,0.8574,0.8418
0.6,0.062,0.4239,0.73,0.7732,0.3951,0.5841,0.7139,0.4921,0.603,0.8459,0.8795,0.8627
0.7,0.0665,0.4301,0.7172,0.7521,0.4071,0.5796,0.7164,0.5036,0.61,0.8649,0.9,0.8825
0.8,0.0724,0.4366,0.7074,0.7304,0.4214,0.5759,0.717,0.5158,0.6164,0.8819,0.9177,0.8998
0.9,0.0789,0.4426,0.6994,0.708,0.4359,0.572,0.7148,0.5273,0.6211,0.8953,0.9307,0.913
1,0.0853,0.4481,0.6917,0.6848,0.4491,0.5669,0.7089,0.5369,0.6229,0.9042,0.9379,0.921
1.1,0.0907,0.453,0.6843,0.6608,0.4602,0.5605,0.6985,0.5435,0.621,0.9081,0.9391,0.9236
1.2,0.0935,0.4571,0.6779,0.6368,0.4692,0.553,0.6836,0.5463,0.6149,0.9077,0.9346,0.9211
1.3,0.0927,0.4601,0.6727,0.6136,0.4764,0.545,0.6642,0.5445,0.6044,0.9031,0.9249,0.914
1.4,0.0877,0.4614,0.6676,0.5919,0.4818,0.5369,0.6409,0.5379,0.5894,0.8943,0.9105,0.9024
1.5,0.0795,0.4606,0.6602,0.5718,0.4849,0.5283,0.6141,0.5262,0.5702,0.8813,0.8917,0.8865
1.6,0.07,0.4575,0.6494,0.5532,0.4847,0.5189,0.585,0.51,0.5475,0.865,0.8694,0.8672
1.7,0.0604,0.4518,0.6356,0.5356,0.4806,0.5081,0.5545,0.4903,0.5224,0.8466,0.8448,0.8457
1.8,0.0505,0.4429,0.6206,0.5184,0.4724,0.4954,0.5232,0.4684,0.4958,0.8273,0.8188,0.8231
1.9,0.0401,0.4303,0.606,0.501,0.4605,0.4808,0.4919,0.4458,0.4688,0.8082,0.7923,0.8002
2,0.0297,0.4142,0.5922,0.4831,0.4453,0.4642,0.4614,0.423,0.4422,0.7898,0.7658,0.7778
2.1,0.0211,0.3952,0.5792,0.4645,0.4273,0.4459,0.4328,0.4008,0.4168,0.7728,0.7395,0.7562
2.2,0.0164,0.3738,0.567,0.4458,0.407,0.4264,0.4069,0.3796,0.3933,0.7578,0.7135,0.7356
2.3,0.0165,0.3507,0.556,0.4278,0.3851,0.4065,0.3844,0.3596,0.372,0.7457,0.6879,0.7168
2.4,0.0214,0.3261,0.5469,0.4113,0.3627,0.387,0.3653,0.341,0.3532,0.737,0.6632,0.7001
2.5,0.0297,0.3008,0.5396,0.3973,0.3406,0.3689,0.3496,0.3238,0.3367,0.7315,0.6399,0.6857
2.6,0.0405,0.2758,0.5334,0.3869,0.3194,0.3531,0.3369,0.3082,0.3226,0.7282,0.6186,0.6734
2.7,0.054,0.2525,0.527,0.381,0.2996,0.3403,0.3278,0.2942,0.311,0.7263,0.5995,0.6629
2.8,0.0709,0.2318,0.5194,0.38,0.2817,0.3309,0.3227,0.2816,0.3021,0.7247,0.5826,0.6537
2.9,0.0917,0.2139,0.5105,0.384,0.266,0.325,0.3217,0.2706,0.2962,0.7229,0.5676,0.6452
3,0.1162,0.1987,0.5003,0.3922,0.2526,0.3224,0.3248,0.2614,0.2931,0.7206,0.5538,0.6372
3.1,0.1443,0.1861,0.4894,0.404,0.2415,0.3227,0.3317,0.2542,0.2929,0.7179,0.5412,0.6296
3.2,0.1759,0.1773,0.4779,0.4191,0.2333,0.3262,0.3418,0.2492,0.2955,0.7152,0.5305,0.6229
3.3,0.2099,0.1739,0.4659,0.4381,0.2291,0.3336,0.3549,0.2462,0.3006,0.7125,0.5221,0.6173
3.4,0.2431,0.1772,0.4536,0.4612,0.2302,0.3457,0.3703,0.2451,0.3077,0.7089,0.5161,0.6125
3.5,0.2713,0.188,0.4415,0.4874,0.2376,0.3625,0.3873,0.2459,0.3166,0.7033,0.5123,0.6078
3.6,0.2907,0.2062,0.4303,0.5151,0.2513,0.3832,0.4055,0.2483,0.3269,0.6951,0.5101,0.6026
3.7,0.2993,0.2312,0.4203,0.5422,0.2706,0.4064,0.4247,0.2525,0.3386,0.6843,0.5089,0.5966
3.8,0.2978,0.2619,0.4116,0.567,0.2944,0.4307,0.4447,0.2583,0.3515,0.6713,0.5082,0.5898
3.9,0.2874,0.2974,0.4041,0.5888,0.3219,0.4554,0.4648,0.2651,0.3649,0.6562,0.5075,0.5819
4,0.2695,0.3365,0.3973,0.6074,0.3526,0.48,0.4837,0.2721,0.3779,0.6387,0.5062,0.5724
4.1,0.2462,0.3773,0.3903,0.6224,0.3854,0.5039,0.5004,0.2787,0.3895,0.6182,0.5039,0.561
4.2,0.2207,0.417,0.3826,0.6333,0.4184,0.5259,0.5141,0.2845,0.3993,0.5949,0.5009,0.5479
4.3,0.197,0.4533,0.3735,0.6398,0.4498,0.5448,0.5248,0.2895,0.4071,0.5701,0.4975,0.5338
4.4,0.1778,0.4844,0.3632,0.6419,0.4776,0.5597,0.5326,0.2934,0.413,0.5449,0.494,0.5195
4.5,0.1642,0.5097,0.3517,0.6401,0.5008,0.5704,0.5374,0.2966,0.417,0.5205,0.4898,0.5052
4.6,0.1558,0.5292,0.3392,0.6349,0.5189,0.5769,0.5394,0.2996,0.4195,0.4969,0.4845,0.4907
4.7,0.1519,0.5434,0.3258,0.6267,0.5323,0.5795,0.5386,0.3035,0.4211,0.4744,0.4774,0.4759
4.8,0.1517,0.553,0.312,0.6161,0.5415,0.5788,0.5356,0.3095,0.4226,0.4535,0.4685,0.461
