Time,Farmers Union - Greek Style Yogurt Ice Cream Truck 15 TVC,Farmers Union - Greek Style Yogurt Ice Cream Truck 15 TVC,Farmers Union - Greek Style Yogurt Ice Cream Truck 15 TVC,Farmers Union - Greek Style Yogurt Ice Cream Truck 15 TVC,Farmers Union - Greek Style Yogurt Ice Cream Truck 15 TVC,Farmers Union - Greek Style Yogurt Ice Cream Truck 15 TVC,Farmers Union - Greek Style Yogurt Ice Cream Truck 15 TVC,Farmers Union - Greek Style Yogurt Ice Cream Truck 15 TVC,Farmers Union - Greek Style Yogurt Ice Cream Truck 15 TVC,Farmers Union - Greek Style Yogurt Ice Cream Truck 15 TVC,Farmers Union - Greek Style Yogurt Ice Cream Truck 15 TVC,Farmers Union - Greek Style Yogurt Ice Cream Truck 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.2752,0.5154,0.5286,0.5444,0.6172,0.5808,0.8125,0.7,0.7563,0.6916,0.7949,0.7433
0.1,-0.2616,0.519,0.5291,0.5404,0.6316,0.586,0.8322,0.7125,0.7723,0.7275,0.8203,0.7739
0.2,-0.246,0.521,0.5283,0.5374,0.6459,0.5916,0.8488,0.7231,0.786,0.7577,0.84,0.7989
0.3,-0.2304,0.5219,0.5261,0.5359,0.6604,0.5981,0.8616,0.7313,0.7965,0.7825,0.8536,0.818
0.4,-0.2166,0.5223,0.5235,0.5364,0.675,0.6057,0.8704,0.7368,0.8036,0.8023,0.8611,0.8317
0.5,-0.2058,0.5227,0.5212,0.5392,0.6893,0.6143,0.8751,0.7392,0.8072,0.8176,0.8625,0.84
0.6,-0.1983,0.5229,0.5197,0.5439,0.7027,0.6233,0.876,0.7385,0.8072,0.8286,0.8581,0.8433
0.7,-0.1936,0.5225,0.5191,0.5497,0.7147,0.6322,0.8736,0.7354,0.8045,0.8358,0.8484,0.8421
0.8,-0.1909,0.5209,0.5195,0.5558,0.725,0.6404,0.8686,0.7305,0.7996,0.8392,0.8342,0.8367
0.9,-0.1895,0.5176,0.521,0.5615,0.7331,0.6473,0.8608,0.7238,0.7923,0.8388,0.8165,0.8276
1,-0.1889,0.5127,0.5235,0.5663,0.7388,0.6525,0.8495,0.715,0.7823,0.8345,0.7962,0.8154
1.1,-0.1892,0.5068,0.5268,0.5701,0.7423,0.6562,0.8347,0.7043,0.7695,0.8268,0.7743,0.8006
1.2,-0.1903,0.5008,0.5307,0.5727,0.7442,0.6585,0.817,0.6924,0.7547,0.8164,0.7518,0.7841
1.3,-0.1915,0.4954,0.5354,0.574,0.7449,0.6595,0.7974,0.6802,0.7388,0.8046,0.7294,0.767
1.4,-0.1918,0.4912,0.5408,0.5737,0.7447,0.6592,0.7765,0.6684,0.7225,0.7923,0.7085,0.7504
1.5,-0.1904,0.4883,0.5472,0.5715,0.7436,0.6576,0.7544,0.6576,0.706,0.7796,0.6897,0.7347
1.6,-0.1869,0.4865,0.5544,0.5673,0.7416,0.6544,0.731,0.6474,0.6892,0.7664,0.6729,0.7197
1.7,-0.1814,0.4855,0.5624,0.5611,0.739,0.65,0.706,0.638,0.672,0.7522,0.658,0.7051
1.8,-0.1743,0.485,0.5709,0.5534,0.7364,0.6449,0.6796,0.6297,0.6547,0.7369,0.6448,0.6908
1.9,-0.1654,0.4854,0.5797,0.5451,0.7346,0.6399,0.6524,0.6226,0.6375,0.721,0.633,0.677
2,-0.1546,0.4871,0.5888,0.5376,0.734,0.6358,0.6252,0.6169,0.621,0.7049,0.6226,0.6638
2.1,-0.1413,0.4906,0.5984,0.532,0.735,0.6335,0.5993,0.6132,0.6062,0.6896,0.6137,0.6516
2.2,-0.126,0.4963,0.609,0.5291,0.7379,0.6335,0.5762,0.6125,0.5944,0.6757,0.6058,0.6407
2.3,-0.1094,0.5037,0.6211,0.5289,0.7426,0.6357,0.5572,0.6158,0.5865,0.6639,0.5987,0.6313
2.4,-0.0924,0.5123,0.6344,0.5307,0.748,0.6394,0.5424,0.6234,0.5829,0.6547,0.5923,0.6235
2.5,-0.0764,0.5217,0.6488,0.5342,0.7529,0.6435,0.531,0.6343,0.5827,0.6483,0.587,0.6176
2.6,-0.0627,0.5319,0.6643,0.5392,0.7563,0.6478,0.522,0.6473,0.5847,0.6448,0.5831,0.614
2.7,-0.052,0.5432,0.6814,0.5463,0.7584,0.6524,0.515,0.6614,0.5882,0.6446,0.5811,0.6129
2.8,-0.045,0.5561,0.7001,0.556,0.7601,0.658,0.5107,0.6761,0.5934,0.6484,0.5811,0.6148
2.9,-0.0427,0.5706,0.7205,0.5684,0.7623,0.6653,0.5101,0.6918,0.601,0.6571,0.5832,0.6201
3,-0.0462,0.5861,0.7423,0.5828,0.7653,0.674,0.5134,0.7086,0.611,0.671,0.5877,0.6293
3.1,-0.0562,0.6018,0.7651,0.598,0.7686,0.6833,0.52,0.7258,0.6229,0.6891,0.5949,0.642
3.2,-0.0719,0.6169,0.7885,0.6129,0.7714,0.6921,0.5282,0.7421,0.6351,0.7097,0.6047,0.6572
3.3,-0.0918,0.6312,0.8119,0.6267,0.7737,0.7002,0.5365,0.7557,0.6461,0.7306,0.6165,0.6735
3.4,-0.1143,0.6446,0.8344,0.6394,0.7759,0.7077,0.5443,0.7658,0.655,0.7505,0.6297,0.6901
3.5,-0.138,0.6573,0.8558,0.6513,0.7786,0.7149,0.5514,0.7725,0.662,0.7692,0.6441,0.7066
3.6,-0.1618,0.6697,0.8766,0.6627,0.7817,0.7222,0.5581,0.7771,0.6676,0.7865,0.6601,0.7233
3.7,-0.1849,0.6822,0.8973,0.6735,0.7848,0.7291,0.5647,0.7805,0.6726,0.8021,0.6781,0.7401
3.8,-0.2062,0.695,0.918,0.6832,0.7873,0.7352,0.5712,0.7837,0.6774,0.8155,0.6986,0.757
3.9,-0.2246,0.7076,0.9377,0.6909,0.7887,0.7398,0.5776,0.787,0.6823,0.826,0.7213,0.7737
4,-0.2396,0.7194,0.9552,0.696,0.7887,0.7424,0.5841,0.7905,0.6873,0.8339,0.7461,0.79
4.1,-0.252,0.7299,0.9697,0.6985,0.7873,0.7429,0.5907,0.7942,0.6925,0.8403,0.7722,0.8063
4.2,-0.2626,0.7391,0.9808,0.6985,0.7847,0.7416,0.5973,0.7982,0.6977,0.8458,0.7989,0.8224
4.3,-0.2719,0.7469,0.9883,0.6966,0.7814,0.739,0.6034,0.8022,0.7028,0.8509,0.8255,0.8382
4.4,-0.2794,0.7535,0.992,0.693,0.778,0.7355,0.6091,0.8061,0.7076,0.8557,0.8517,0.8537
4.5,-0.2846,0.759,0.9919,0.688,0.7749,0.7314,0.6146,0.8098,0.7122,0.8603,0.8772,0.8688
4.6,-0.2874,0.7636,0.9883,0.6819,0.7721,0.727,0.6203,0.8131,0.7167,0.8647,0.902,0.8833
4.7,-0.2878,0.7671,0.9819,0.675,0.7696,0.7223,0.626,0.816,0.721,0.8688,0.9256,0.8972
4.8,-0.2861,0.7696,0.9731,0.6677,0.7673,0.7175,0.6312,0.8185,0.7248,0.8725,0.9475,0.91
4.9,-0.2824,0.7709,0.9618,0.6605,0.7647,0.7126,0.6357,0.8202,0.7279,0.8753,0.9671,0.9212
5,-0.2768,0.7708,0.9483,0.654,0.7615,0.7078,0.6393,0.8211,0.7302,0.8769,0.9835,0.9302
5.1,-0.2691,0.7686,0.9325,0.6489,0.7575,0.7032,0.6425,0.8211,0.7318,0.8772,0.9967,0.9369
5.2,-0.2595,0.7643,0.9151,0.6453,0.7525,0.6989,0.6458,0.8201,0.7329,0.8764,1.0067,0.9415
5.3,-0.2481,0.7578,0.8968,0.6433,0.7463,0.6948,0.6498,0.8179,0.7338,0.8751,1.0139,0.9445
5.4,-0.2349,0.7494,0.8781,0.6424,0.7389,0.6906,0.6546,0.8145,0.7345,0.8736,1.0189,0.9462
5.5,-0.2202,0.7391,0.8592,0.6417,0.7305,0.6861,0.6601,0.81,0.7351,0.8717,1.0217,0.9467
5.6,-0.2047,0.7268,0.8396,0.6403,0.7212,0.6808,0.666,0.8045,0.7352,0.8688,1.0223,0.9456
5.7,-0.189,0.7126,0.8189,0.637,0.7114,0.6742,0.6714,0.7971,0.7343,0.8644,1.0202,0.9423
5.8,-0.1734,0.6967,0.7969,0.6316,0.701,0.6663,0.6755,0.7871,0.7313,0.8582,1.015,0.9366
5.9,-0.1571,0.6795,0.7739,0.6241,0.6899,0.657,0.6781,0.7736,0.7259,0.8503,1.0065,0.9284
6,-0.1389,0.6616,0.7505,0.6154,0.6781,0.6468,0.6793,0.7566,0.7179,0.8407,0.9944,0.9175
6.1,-0.1175,0.6435,0.7272,0.6067,0.6656,0.6362,0.6799,0.7362,0.708,0.8293,0.9785,0.9039
6.2,-0.0922,0.6259,0.7044,0.5991,0.6525,0.6258,0.6804,0.7128,0.6966,0.8156,0.959,0.8873
6.3,-0.0631,0.6093,0.682,0.5931,0.6389,0.616,0.6809,0.6868,0.6838,0.7993,0.9363,0.8678
6.4,-0.0304,0.5939,0.6602,0.5893,0.6248,0.607,0.6805,0.6577,0.6691,0.7802,0.9107,0.8454
6.5,0.0063,0.5797,0.6393,0.5875,0.6102,0.5988,0.6782,0.6254,0.6518,0.7579,0.8824,0.8202
6.6,0.0471,0.5664,0.6197,0.5879,0.5951,0.5915,0.6738,0.5903,0.6321,0.7327,0.8523,0.7925
6.7,0.0915,0.554,0.6018,0.5905,0.5797,0.5851,0.6677,0.5533,0.6105,0.7057,0.8214,0.7636
6.8,0.1376,0.5424,0.5859,0.5952,0.5647,0.58,0.6607,0.5165,0.5886,0.6784,0.7917,0.7351
6.9,0.1831,0.5318,0.5728,0.6013,0.5505,0.5759,0.6534,0.4819,0.5677,0.6525,0.7645,0.7085
7,0.2258,0.5216,0.5632,0.6072,0.5375,0.5724,0.6458,0.4509,0.5483,0.6286,0.7405,0.6845
7.1,0.2635,0.5111,0.5571,0.6116,0.5258,0.5687,0.637,0.4239,0.5305,0.6068,0.7199,0.6633
7.2,0.2946,0.4997,0.5541,0.6137,0.5153,0.5645,0.6262,0.4007,0.5134,0.5867,0.7025,0.6446
7.3,0.318,0.4871,0.5535,0.6134,0.5064,0.5599,0.6127,0.381,0.4969,0.5687,0.6887,0.6287
7.4,0.3328,0.4736,0.5552,0.6113,0.4998,0.5556,0.5966,0.3653,0.481,0.5539,0.6787,0.6163
7.5,0.3389,0.4602,0.5593,0.6078,0.4962,0.552,0.5784,0.3542,0.4663,0.5431,0.6724,0.6077
7.6,0.3368,0.4477,0.5662,0.6033,0.496,0.5496,0.5593,0.3482,0.4538,0.5366,0.6699,0.6032
7.7,0.3272,0.437,0.5761,0.598,0.4991,0.5486,0.5407,0.3477,0.4442,0.534,0.671,0.6025
7.8,0.3115,0.4285,0.5889,0.5924,0.5051,0.5487,0.5237,0.3527,0.4382,0.5346,0.6756,0.6051
7.9,0.2908,0.4226,0.604,0.5867,0.5134,0.55,0.5091,0.3626,0.4359,0.5382,0.6831,0.6106
8,0.2662,0.4198,0.6212,0.5812,0.5238,0.5525,0.4973,0.3769,0.4371,0.5449,0.6926,0.6187
8.1,0.2382,0.4202,0.6403,0.5761,0.5364,0.5562,0.4884,0.3947,0.4416,0.5545,0.7032,0.6289
8.2,0.2068,0.424,0.661,0.5717,0.5517,0.5617,0.483,0.4155,0.4492,0.5669,0.7139,0.6404
8.3,0.1714,0.4308,0.6824,0.5681,0.5699,0.569,0.4812,0.4387,0.46,0.5814,0.7241,0.6527
8.4,0.1325,0.4398,0.7037,0.5649,0.5905,0.5777,0.4836,0.4633,0.4734,0.5976,0.7335,0.6655
8.5,0.0907,0.4505,0.7242,0.5614,0.613,0.5872,0.4902,0.4882,0.4892,0.6151,0.7421,0.6786
8.6,0.0467,0.4626,0.7435,0.5572,0.637,0.5971,0.5006,0.5124,0.5065,0.6334,0.7497,0.6915
8.7,0.0014,0.4765,0.7612,0.5529,0.6624,0.6077,0.5141,0.5353,0.5247,0.6517,0.7557,0.7037
8.8,-0.0444,0.4928,0.7767,0.5495,0.6898,0.6197,0.5301,0.5566,0.5433,0.6691,0.7594,0.7143
8.9,-0.0889,0.5117,0.7893,0.5478,0.7188,0.6333,0.5479,0.5761,0.562,0.6851,0.7602,0.7226
9,-0.1291,0.5322,0.7987,0.5482,0.748,0.6481,0.5673,0.5937,0.5805,0.6992,0.7583,0.7288
9.1,-0.1617,0.553,0.8047,0.5505,0.7754,0.6629,0.588,0.6093,0.5987,0.7119,0.7541,0.733
9.2,-0.1846,0.573,0.8078,0.5549,0.7996,0.6772,0.6101,0.623,0.6165,0.7232,0.7483,0.7357
