Time,GDay Parks 15 TVC,GDay Parks 15 TVC,GDay Parks 15 TVC,GDay Parks 15 TVC,GDay Parks 15 TVC,GDay Parks 15 TVC,GDay Parks 15 TVC,GDay Parks 15 TVC,GDay Parks 15 TVC,GDay Parks 15 TVC,GDay Parks 15 TVC,GDay Parks 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1513,0.6409,0.1068,0.4899,0.388,0.4389,0.2928,0.2003,0.2465,0.7914,0.6444,0.7179
0.1,0.1226,0.6369,0.0993,0.4852,0.4077,0.4465,0.3005,0.1975,0.249,0.7991,0.6252,0.7121
0.2,0.0919,0.6312,0.0948,0.4812,0.428,0.4546,0.3105,0.199,0.2547,0.8031,0.6037,0.7034
0.3,0.0602,0.6233,0.094,0.4772,0.448,0.4626,0.3224,0.2051,0.2638,0.8033,0.5802,0.6918
0.4,0.0268,0.6133,0.0972,0.4723,0.4673,0.4698,0.3363,0.2157,0.276,0.7995,0.5548,0.6772
0.5,-0.0091,0.6019,0.1042,0.4658,0.4859,0.4758,0.3519,0.23,0.2909,0.7923,0.5283,0.6603
0.6,-0.0476,0.5896,0.1146,0.4569,0.5034,0.4802,0.3692,0.2471,0.3081,0.7824,0.5018,0.6421
0.7,-0.0881,0.5768,0.1277,0.4454,0.5188,0.4821,0.3882,0.266,0.3271,0.7712,0.4773,0.6243
0.8,-0.1289,0.5637,0.143,0.4316,0.5312,0.4814,0.4085,0.286,0.3473,0.76,0.4566,0.6083
0.9,-0.1683,0.5509,0.1602,0.416,0.5412,0.4786,0.4298,0.307,0.3684,0.7499,0.4408,0.5953
1,-0.2053,0.5389,0.1793,0.3994,0.5496,0.4745,0.4514,0.3287,0.39,0.7412,0.4304,0.5858
1.1,-0.2399,0.5284,0.2001,0.3832,0.5575,0.4704,0.473,0.351,0.412,0.7339,0.4254,0.5797
1.2,-0.2714,0.5196,0.2226,0.3691,0.5655,0.4673,0.4951,0.3739,0.4345,0.7277,0.4259,0.5768
1.3,-0.2979,0.5126,0.2466,0.3586,0.5736,0.4661,0.5176,0.3974,0.4575,0.7231,0.4319,0.5775
1.4,-0.3175,0.5076,0.2725,0.3528,0.5822,0.4675,0.5408,0.4212,0.481,0.721,0.4435,0.5823
1.5,-0.3299,0.5046,0.3004,0.3517,0.5912,0.4715,0.5647,0.4444,0.5046,0.7222,0.4606,0.5914
1.6,-0.336,0.5035,0.3306,0.355,0.601,0.478,0.5896,0.4666,0.5281,0.7269,0.4827,0.6048
1.7,-0.3377,0.5041,0.3628,0.3624,0.6113,0.4868,0.6157,0.4873,0.5515,0.735,0.5095,0.6222
1.8,-0.3361,0.5062,0.3964,0.3736,0.6222,0.4979,0.6431,0.5066,0.5748,0.7458,0.5404,0.6431
1.9,-0.3311,0.5095,0.431,0.3891,0.6336,0.5114,0.6717,0.5248,0.5982,0.7584,0.5752,0.6668
2,-0.3223,0.5146,0.4661,0.4091,0.6459,0.5275,0.7016,0.5421,0.6218,0.7721,0.6127,0.6924
