Time,Genesis - Charge Net Stations 30 TVC,Genesis - Charge Net Stations 30 TVC,Genesis - Charge Net Stations 30 TVC,Genesis - Charge Net Stations 30 TVC,Genesis - Charge Net Stations 30 TVC,Genesis - Charge Net Stations 30 TVC,Genesis - Charge Net Stations 30 TVC,Genesis - Charge Net Stations 30 TVC,Genesis - Charge Net Stations 30 TVC,Genesis - Charge Net Stations 30 TVC,Genesis - Charge Net Stations 30 TVC,Genesis - Charge Net Stations 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1666,0.4521,0.7594,0.6782,0.4786,0.5784,0.5711,0.5974,0.5842,0.8322,0.638,0.7351
0.1,0.1727,0.4489,0.7779,0.688,0.4693,0.5786,0.5777,0.5973,0.5875,0.8683,0.6751,0.7717
0.2,0.1704,0.4449,0.791,0.6922,0.4594,0.5758,0.5796,0.5941,0.5869,0.892,0.7062,0.7991
0.3,0.1608,0.44,0.7981,0.6908,0.4489,0.5699,0.5767,0.5867,0.5817,0.9029,0.7301,0.8165
0.4,0.1454,0.4343,0.7988,0.684,0.4372,0.5606,0.5685,0.574,0.5712,0.9013,0.7466,0.824
0.5,0.1268,0.4276,0.7938,0.6717,0.4239,0.5478,0.5547,0.5561,0.5554,0.8887,0.7563,0.8225
0.6,0.1062,0.4199,0.7845,0.6541,0.4094,0.5318,0.5355,0.5341,0.5348,0.8668,0.7599,0.8134
0.7,0.084,0.4121,0.7722,0.6322,0.3947,0.5134,0.5119,0.5092,0.5105,0.8375,0.7581,0.7978
0.8,0.0601,0.4051,0.7583,0.6073,0.381,0.4942,0.4852,0.483,0.4841,0.8021,0.751,0.7766
0.9,0.0345,0.3995,0.7436,0.581,0.3693,0.4751,0.457,0.4561,0.4565,0.7624,0.7386,0.7505
1,0.0073,0.3956,0.7288,0.5546,0.3594,0.457,0.4284,0.429,0.4287,0.7203,0.7214,0.7208
1.1,-0.0203,0.3932,0.7143,0.5298,0.351,0.4404,0.4004,0.4027,0.4016,0.6779,0.6998,0.6888
1.2,-0.0466,0.3924,0.7006,0.5081,0.3437,0.4259,0.3734,0.3779,0.3757,0.636,0.6742,0.6551
1.3,-0.0705,0.3932,0.6879,0.4908,0.3376,0.4142,0.3474,0.3549,0.3511,0.5951,0.6448,0.6199
1.4,-0.0921,0.3956,0.6757,0.4786,0.333,0.4058,0.3223,0.3337,0.328,0.5558,0.6123,0.5841
1.5,-0.1115,0.3997,0.6637,0.4715,0.3305,0.401,0.2989,0.3146,0.3067,0.5195,0.578,0.5488
1.6,-0.129,0.4055,0.6523,0.4693,0.3308,0.4,0.278,0.2979,0.2879,0.4877,0.5438,0.5157
1.7,-0.1447,0.4129,0.6418,0.4716,0.3342,0.4029,0.2605,0.2842,0.2724,0.461,0.5108,0.4859
1.8,-0.1587,0.4215,0.6327,0.478,0.3411,0.4096,0.2464,0.274,0.2602,0.4393,0.4801,0.4597
1.9,-0.1717,0.4313,0.6249,0.488,0.352,0.42,0.2355,0.2672,0.2514,0.4224,0.452,0.4372
2,-0.1841,0.4419,0.6184,0.5005,0.3671,0.4338,0.228,0.2641,0.2461,0.4103,0.4268,0.4186
2.1,-0.1965,0.4536,0.6136,0.5148,0.3871,0.4509,0.2246,0.2652,0.2449,0.4032,0.4049,0.4041
2.2,-0.2096,0.4666,0.6115,0.5304,0.4123,0.4714,0.2262,0.2715,0.2489,0.4015,0.3872,0.3944
2.3,-0.2243,0.4808,0.6122,0.5469,0.4431,0.495,0.233,0.2834,0.2582,0.405,0.3746,0.3898
