Time,Foxtel TVC - TS,Foxtel TVC - TS,Foxtel TVC - TS,Foxtel TVC - TS,Foxtel TVC - TS,Foxtel TVC - TS,Foxtel TVC - TS,Foxtel TVC - TS,Foxtel TVC - TS,Foxtel TVC - TS,Foxtel TVC - TS,Foxtel TVC - TS
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0607,0.4685,0.4395,0.5187,0.5142,0.5165,0.4504,0.5068,0.4786,0.4815,0.4989,0.4902
0.1,-0.0675,0.4737,0.4434,0.522,0.517,0.5195,0.4577,0.5087,0.4832,0.4867,0.5056,0.4961
0.2,-0.0741,0.479,0.4476,0.5252,0.5198,0.5225,0.4655,0.511,0.4883,0.4927,0.5113,0.502
0.3,-0.0802,0.4844,0.4519,0.5281,0.5226,0.5254,0.4738,0.5138,0.4938,0.4992,0.5159,0.5076
0.4,-0.0855,0.4897,0.456,0.5308,0.5253,0.5281,0.4821,0.5168,0.4995,0.5061,0.5196,0.5128
0.5,-0.0901,0.4949,0.4599,0.5334,0.5277,0.5306,0.4905,0.5199,0.5052,0.5132,0.5224,0.5178
0.6,-0.0939,0.4999,0.4637,0.536,0.53,0.533,0.4986,0.5231,0.5108,0.5207,0.5243,0.5225
0.7,-0.0969,0.505,0.4674,0.5388,0.5324,0.5356,0.5064,0.5267,0.5165,0.5285,0.5255,0.527
0.8,-0.0989,0.5102,0.4713,0.542,0.5351,0.5386,0.5139,0.531,0.5224,0.5365,0.5263,0.5314
0.9,-0.0998,0.5156,0.4755,0.5457,0.5385,0.5421,0.5209,0.5363,0.5286,0.5446,0.5269,0.5358
1,-0.0996,0.5213,0.4801,0.55,0.5429,0.5464,0.5276,0.5426,0.5351,0.5524,0.5276,0.54
1.1,-0.0983,0.5274,0.4852,0.5548,0.5486,0.5517,0.5343,0.55,0.5421,0.5599,0.5285,0.5442
1.2,-0.0959,0.534,0.4909,0.5604,0.5556,0.558,0.5413,0.5585,0.5499,0.5672,0.5301,0.5486
1.3,-0.093,0.541,0.4971,0.5669,0.564,0.5655,0.5489,0.5681,0.5585,0.5744,0.5326,0.5535
1.4,-0.0894,0.5483,0.5039,0.5742,0.5734,0.5738,0.557,0.5785,0.5678,0.5813,0.536,0.5587
1.5,-0.0852,0.5555,0.5112,0.5819,0.5836,0.5827,0.5653,0.5893,0.5773,0.5879,0.5402,0.564
1.6,-0.0803,0.5622,0.5189,0.59,0.594,0.592,0.5735,0.6004,0.5869,0.5938,0.5451,0.5695
1.7,-0.0748,0.5681,0.527,0.5981,0.6044,0.6012,0.5814,0.6116,0.5965,0.5989,0.5508,0.5749
1.8,-0.0687,0.5731,0.5354,0.6063,0.6143,0.6103,0.5892,0.6227,0.6059,0.6032,0.5572,0.5802
1.9,-0.0619,0.577,0.5438,0.6142,0.6236,0.6189,0.597,0.6334,0.6152,0.6068,0.5642,0.5855
2,-0.0541,0.58,0.5521,0.6218,0.6317,0.6267,0.6047,0.6435,0.6241,0.6098,0.5715,0.5906
2.1,-0.0453,0.582,0.5602,0.6289,0.6382,0.6335,0.6123,0.6525,0.6324,0.6122,0.5789,0.5955
2.2,-0.0355,0.5833,0.5679,0.6356,0.6429,0.6393,0.6198,0.6603,0.64,0.6142,0.5863,0.6002
2.3,-0.0252,0.5842,0.575,0.642,0.6459,0.644,0.6274,0.6669,0.6471,0.6161,0.5934,0.6048
2.4,-0.0147,0.5849,0.5815,0.648,0.6475,0.6478,0.635,0.6724,0.6537,0.6182,0.6004,0.6093
2.5,-0.0045,0.5859,0.5871,0.6538,0.648,0.6509,0.6427,0.6768,0.6597,0.6208,0.6069,0.6139
2.6,0.0054,0.5874,0.5916,0.6594,0.6476,0.6535,0.6499,0.6802,0.665,0.6238,0.6131,0.6185
2.7,0.0148,0.5896,0.5948,0.665,0.6467,0.6558,0.6563,0.6827,0.6695,0.6274,0.6189,0.6232
2.8,0.0233,0.5926,0.5971,0.6705,0.6457,0.6581,0.6618,0.6844,0.6731,0.6315,0.6244,0.6279
2.9,0.0305,0.5965,0.5984,0.6762,0.6449,0.6606,0.6664,0.6856,0.676,0.636,0.6294,0.6327
3,0.0366,0.6011,0.5989,0.682,0.6446,0.6633,0.67,0.6864,0.6782,0.6409,0.6339,0.6374
3.1,0.0418,0.6063,0.5988,0.6876,0.645,0.6663,0.6726,0.6869,0.6797,0.6463,0.6381,0.6422
3.2,0.0462,0.6116,0.5983,0.6929,0.6461,0.6695,0.6741,0.6872,0.6806,0.652,0.6422,0.6471
3.3,0.0494,0.6167,0.5975,0.698,0.648,0.673,0.6745,0.6872,0.6809,0.6581,0.6464,0.6522
3.4,0.0507,0.621,0.5964,0.7028,0.6505,0.6766,0.6738,0.6871,0.6804,0.664,0.6505,0.6572
3.5,0.0495,0.6239,0.5949,0.7068,0.6535,0.6801,0.6719,0.6864,0.6791,0.6693,0.6541,0.6617
3.6,0.0453,0.6251,0.5927,0.7097,0.6566,0.6832,0.6688,0.6849,0.6768,0.6733,0.6566,0.665
3.7,0.0386,0.6243,0.59,0.7113,0.6595,0.6854,0.6642,0.6824,0.6733,0.6755,0.6579,0.6667
3.8,0.0299,0.6215,0.5865,0.7114,0.6619,0.6866,0.6582,0.6788,0.6685,0.6757,0.6577,0.6667
3.9,0.0198,0.6168,0.5826,0.7099,0.6637,0.6868,0.651,0.6741,0.6626,0.6736,0.656,0.6648
4,0.0089,0.6107,0.5781,0.707,0.665,0.686,0.6429,0.6683,0.6556,0.669,0.6528,0.6609
4.1,-0.0022,0.6036,0.5732,0.7027,0.6659,0.6843,0.6341,0.6613,0.6477,0.6617,0.6483,0.655
4.2,-0.0126,0.5957,0.5679,0.6969,0.6665,0.6817,0.6249,0.6534,0.6392,0.6518,0.6426,0.6472
4.3,-0.0215,0.5873,0.5623,0.6897,0.6666,0.6782,0.6156,0.6444,0.63,0.6395,0.6357,0.6376
4.4,-0.0289,0.5784,0.5565,0.6815,0.6662,0.6738,0.6063,0.6345,0.6204,0.6251,0.628,0.6266
4.5,-0.0345,0.5692,0.5506,0.6724,0.6652,0.6688,0.5971,0.6238,0.6104,0.6089,0.6196,0.6142
4.6,-0.0387,0.56,0.5448,0.6627,0.6637,0.6632,0.5882,0.6125,0.6003,0.5917,0.6106,0.6011
4.7,-0.0414,0.5508,0.5392,0.6526,0.6617,0.6571,0.5796,0.6008,0.5902,0.574,0.6013,0.5877
4.8,-0.0425,0.5417,0.5341,0.642,0.6592,0.6506,0.5712,0.589,0.5801,0.5566,0.592,0.5743
4.9,-0.0422,0.5329,0.5293,0.6311,0.6563,0.6437,0.5634,0.5771,0.5702,0.54,0.5827,0.5613
5,-0.0406,0.5245,0.5249,0.6203,0.6529,0.6366,0.5564,0.5655,0.5609,0.5246,0.5736,0.5491
5.1,-0.038,0.517,0.5213,0.6102,0.6493,0.6297,0.5505,0.5547,0.5526,0.5109,0.565,0.538
5.2,-0.0345,0.5109,0.5183,0.601,0.6456,0.6233,0.5462,0.545,0.5456,0.4996,0.5574,0.5285
5.3,-0.0302,0.5066,0.5163,0.5927,0.6421,0.6174,0.5432,0.5367,0.54,0.4906,0.5509,0.5208
5.4,-0.0253,0.504,0.5152,0.5856,0.6389,0.6123,0.5417,0.5302,0.536,0.4843,0.5461,0.5152
5.5,-0.0201,0.5033,0.5151,0.5799,0.6362,0.608,0.5416,0.5255,0.5335,0.4807,0.5431,0.5119
5.6,-0.0148,0.5042,0.5161,0.5755,0.6341,0.6048,0.5427,0.5228,0.5328,0.48,0.5419,0.511
5.7,-0.0098,0.5065,0.5182,0.5724,0.6325,0.6024,0.5452,0.5221,0.5337,0.4824,0.5427,0.5125
5.8,-0.0053,0.51,0.5214,0.5705,0.6312,0.6009,0.549,0.5231,0.5361,0.4877,0.5453,0.5165
5.9,-0.0014,0.5143,0.5255,0.5695,0.6301,0.5998,0.554,0.5256,0.5398,0.4957,0.5495,0.5226
6,0.0014,0.519,0.5305,0.5695,0.6291,0.5993,0.5603,0.5294,0.5448,0.5059,0.5554,0.5307
6.1,0.0031,0.524,0.5361,0.5702,0.6281,0.5991,0.5676,0.5344,0.551,0.5181,0.5628,0.5404
6.2,0.0031,0.5289,0.5425,0.5714,0.6271,0.5993,0.5758,0.5404,0.5581,0.5319,0.5715,0.5517
6.3,0.0012,0.5333,0.5493,0.5728,0.6261,0.5995,0.5844,0.5471,0.5658,0.5468,0.5813,0.5641
6.4,-0.0024,0.5369,0.5563,0.574,0.6248,0.5994,0.5931,0.554,0.5736,0.5625,0.5916,0.5771
6.5,-0.0073,0.5395,0.563,0.5748,0.6228,0.5988,0.6016,0.5608,0.5812,0.5783,0.602,0.5901
6.6,-0.0129,0.5408,0.5691,0.5753,0.6202,0.5977,0.6099,0.5669,0.5884,0.5933,0.612,0.6027
6.7,-0.0179,0.541,0.5744,0.5757,0.6167,0.5962,0.6179,0.5722,0.5951,0.607,0.6212,0.6141
6.8,-0.0216,0.5404,0.5788,0.5761,0.6125,0.5943,0.6258,0.5765,0.6012,0.6189,0.6293,0.6241
6.9,-0.0232,0.5394,0.5823,0.5768,0.6075,0.5921,0.6336,0.5801,0.6068,0.6287,0.636,0.6324
7,-0.0218,0.5385,0.5851,0.5781,0.6021,0.5901,0.6413,0.583,0.6121,0.6364,0.6413,0.6389
7.1,-0.0172,0.5383,0.5872,0.5802,0.5966,0.5884,0.6488,0.5855,0.6172,0.642,0.6453,0.6437
7.2,-0.0093,0.5391,0.5885,0.5833,0.5913,0.5873,0.6561,0.5877,0.6219,0.6452,0.6479,0.6466
7.3,0.0014,0.5408,0.5889,0.5873,0.5863,0.5868,0.663,0.5894,0.6262,0.6461,0.6489,0.6475
7.4,0.014,0.5434,0.5884,0.592,0.5816,0.5868,0.6693,0.5908,0.6301,0.6446,0.6483,0.6465
7.5,0.0281,0.5467,0.5872,0.5971,0.5771,0.5871,0.6747,0.5918,0.6332,0.6409,0.6458,0.6434
7.6,0.0432,0.5504,0.5852,0.6025,0.5728,0.5877,0.679,0.5923,0.6357,0.6351,0.6415,0.6383
7.7,0.0588,0.5544,0.5826,0.6081,0.5685,0.5883,0.6819,0.5924,0.6371,0.6276,0.6352,0.6314
7.8,0.074,0.5584,0.5791,0.6137,0.5643,0.589,0.6832,0.5921,0.6377,0.6186,0.627,0.6228
7.9,0.0882,0.5621,0.5748,0.6192,0.56,0.5896,0.683,0.5915,0.6372,0.6088,0.6171,0.6129
8,0.101,0.5654,0.5699,0.6246,0.5557,0.5902,0.6816,0.5904,0.636,0.5985,0.606,0.6023
8.1,0.1121,0.5682,0.5647,0.6297,0.5516,0.5906,0.6792,0.5891,0.6342,0.5883,0.5943,0.5913
8.2,0.1214,0.5707,0.5593,0.6344,0.5477,0.5911,0.6759,0.5876,0.6318,0.5785,0.5823,0.5804
8.3,0.1289,0.5728,0.5539,0.6388,0.5442,0.5915,0.6719,0.586,0.6289,0.5694,0.5707,0.57
8.4,0.1343,0.5746,0.5486,0.6427,0.5411,0.5919,0.667,0.5844,0.6257,0.5609,0.5596,0.5603
8.5,0.1374,0.576,0.5433,0.6459,0.5385,0.5922,0.6615,0.5829,0.6222,0.5532,0.5494,0.5513
8.6,0.1382,0.5773,0.5378,0.6483,0.5363,0.5923,0.6555,0.5812,0.6184,0.5462,0.5401,0.5432
8.7,0.1367,0.5784,0.5324,0.6501,0.5346,0.5923,0.6491,0.5794,0.6143,0.5402,0.5321,0.5361
8.8,0.1328,0.5792,0.5272,0.6512,0.5336,0.5924,0.6426,0.5773,0.6099,0.5353,0.5254,0.5304
8.9,0.1267,0.5798,0.5223,0.6517,0.5331,0.5924,0.636,0.5749,0.6054,0.5315,0.52,0.5258
9,0.1187,0.5797,0.5175,0.6515,0.533,0.5923,0.6293,0.5719,0.6006,0.5286,0.5156,0.5221
9.1,0.1096,0.5789,0.5127,0.6504,0.5332,0.5918,0.6226,0.5682,0.5954,0.5261,0.5118,0.519
9.2,0.1002,0.5772,0.5078,0.6485,0.5336,0.591,0.6159,0.5639,0.5899,0.5239,0.5087,0.5163
9.3,0.0911,0.5751,0.5028,0.6461,0.5344,0.5903,0.6095,0.5593,0.5844,0.5218,0.5064,0.5141
9.4,0.0825,0.5729,0.498,0.6434,0.536,0.5897,0.6035,0.5547,0.5791,0.5201,0.5052,0.5126
9.5,0.0746,0.5707,0.4934,0.6403,0.5384,0.5893,0.5978,0.5501,0.574,0.5186,0.5047,0.5117
9.6,0.0675,0.5684,0.4889,0.6369,0.5412,0.589,0.5924,0.5454,0.5689,0.5172,0.5048,0.511
9.7,0.0616,0.566,0.4842,0.633,0.5441,0.5885,0.5872,0.5403,0.5637,0.5158,0.5049,0.5103
9.8,0.0575,0.5633,0.4793,0.6286,0.5467,0.5877,0.5821,0.5349,0.5585,0.5143,0.5049,0.5096
9.9,0.0554,0.5606,0.4746,0.6242,0.5491,0.5866,0.5774,0.5295,0.5534,0.513,0.5051,0.509
10,0.0551,0.5582,0.4704,0.6201,0.5512,0.5856,0.5734,0.5247,0.549,0.5125,0.5057,0.5091
10.1,0.056,0.5565,0.4672,0.6166,0.5531,0.5849,0.5703,0.5209,0.5456,0.5132,0.5072,0.5102
10.2,0.0573,0.5555,0.465,0.6136,0.5549,0.5842,0.5685,0.5186,0.5436,0.5154,0.51,0.5127
10.3,0.0589,0.5551,0.4641,0.6108,0.5564,0.5836,0.5682,0.518,0.5431,0.5192,0.5142,0.5167
10.4,0.0608,0.555,0.4645,0.6078,0.5575,0.5826,0.5692,0.5188,0.544,0.5244,0.5198,0.5221
10.5,0.0631,0.5551,0.4662,0.6046,0.558,0.5813,0.5714,0.521,0.5462,0.5306,0.5264,0.5285
10.6,0.0659,0.5552,0.4692,0.6012,0.5579,0.5796,0.5745,0.5244,0.5494,0.5374,0.5339,0.5356
10.7,0.0693,0.5555,0.4734,0.5979,0.5572,0.5775,0.5785,0.5286,0.5535,0.5447,0.542,0.5433
10.8,0.0731,0.556,0.4787,0.595,0.556,0.5755,0.5832,0.5335,0.5583,0.5524,0.5507,0.5515
10.9,0.0774,0.557,0.4848,0.5928,0.5549,0.5739,0.5884,0.5392,0.5638,0.5607,0.5598,0.5602
11,0.0819,0.5586,0.4917,0.5915,0.5542,0.5729,0.5943,0.5456,0.5699,0.5695,0.5691,0.5693
11.1,0.0863,0.5609,0.4992,0.5912,0.5542,0.5727,0.6009,0.5526,0.5767,0.5788,0.5784,0.5786
11.2,0.0903,0.5642,0.5071,0.5919,0.555,0.5734,0.6083,0.56,0.5842,0.5884,0.5874,0.5879
