Time,Google - OK Google,Google - OK Google,Google - OK Google,Google - OK Google,Google - OK Google,Google - OK Google,Google - OK Google,Google - OK Google,Google - OK Google,Google - OK Google,Google - OK Google,Google - OK Google
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0895,0.8292,0.7722,0.8626,1.0191,0.9409,0.617,0.7564,0.6867,0.7385,0.6791,0.7088
0.1,0.0767,0.8333,0.7785,0.8803,1.0403,0.9603,0.6299,0.7774,0.7037,0.7672,0.7034,0.7353
0.2,0.068,0.8316,0.7823,0.8923,1.0527,0.9725,0.6418,0.7947,0.7182,0.7947,0.7282,0.7614
0.3,0.0644,0.8241,0.7842,0.8981,1.0559,0.977,0.6523,0.8079,0.7301,0.8206,0.753,0.7868
0.4,0.0661,0.8116,0.7843,0.8978,1.0502,0.974,0.6612,0.8169,0.7391,0.8448,0.7773,0.811
0.5,0.0739,0.7949,0.7831,0.8918,1.0364,0.9641,0.6689,0.8219,0.7454,0.8668,0.8005,0.8337
0.6,0.088,0.775,0.7809,0.8813,1.0153,0.9483,0.6754,0.8232,0.7493,0.8865,0.8225,0.8545
0.7,0.1087,0.7532,0.7781,0.8671,0.9882,0.9277,0.6811,0.8212,0.7512,0.9037,0.8432,0.8734
0.8,0.1361,0.7306,0.775,0.8504,0.9564,0.9034,0.686,0.8164,0.7512,0.9184,0.8621,0.8903
0.9,0.1691,0.7089,0.7717,0.8319,0.9215,0.8767,0.6901,0.8089,0.7495,0.9305,0.879,0.9048
1,0.2063,0.6892,0.768,0.8124,0.8846,0.8485,0.6934,0.7991,0.7462,0.94,0.8937,0.9168
1.1,0.246,0.672,0.7638,0.7925,0.8472,0.8198,0.6958,0.787,0.7414,0.947,0.9058,0.9264
1.2,0.2863,0.6576,0.7591,0.7722,0.8108,0.7915,0.6981,0.7733,0.7357,0.9521,0.9153,0.9337
1.3,0.325,0.6461,0.7541,0.7519,0.7767,0.7643,0.701,0.7588,0.7299,0.9557,0.922,0.9388
1.4,0.3601,0.6381,0.7486,0.7323,0.7465,0.7394,0.7053,0.7448,0.7251,0.9578,0.9258,0.9418
1.5,0.3906,0.6347,0.7429,0.7143,0.722,0.7181,0.7115,0.7325,0.722,0.9583,0.9265,0.9424
1.6,0.4163,0.6365,0.738,0.6991,0.7046,0.7018,0.7194,0.723,0.7212,0.957,0.924,0.9405
1.7,0.4374,0.6436,0.7354,0.6875,0.695,0.6912,0.7286,0.7174,0.723,0.9546,0.9188,0.9367
1.8,0.4544,0.6556,0.7361,0.6795,0.6934,0.6865,0.7389,0.7166,0.7277,0.9521,0.9118,0.9319
1.9,0.4672,0.6719,0.7396,0.6749,0.6998,0.6874,0.7503,0.7211,0.7357,0.9509,0.904,0.9274
2,0.4755,0.692,0.7452,0.6741,0.7144,0.6942,0.7626,0.7314,0.747,0.9518,0.8963,0.9241
2.1,0.4798,0.7151,0.7522,0.6778,0.7367,0.7073,0.7756,0.7477,0.7616,0.9548,0.8896,0.9222
2.2,0.4812,0.74,0.7605,0.6866,0.7659,0.7262,0.7883,0.7696,0.779,0.9589,0.8836,0.9213
2.3,0.4805,0.7656,0.7703,0.7002,0.8,0.7501,0.8005,0.7972,0.7988,0.9633,0.8783,0.9208
2.4,0.4777,0.7911,0.7818,0.7178,0.8372,0.7775,0.8119,0.8301,0.821,0.967,0.8732,0.9201
2.5,0.4725,0.8161,0.7945,0.7377,0.8749,0.8063,0.8226,0.8676,0.8451,0.9692,0.8682,0.9187
2.6,0.4651,0.84,0.8076,0.7588,0.9106,0.8347,0.8321,0.9075,0.8698,0.9687,0.8623,0.9155
2.7,0.4573,0.8619,0.8198,0.7798,0.9418,0.8608,0.8387,0.9474,0.8931,0.964,0.8548,0.9094
2.8,0.4514,0.8805,0.8311,0.7995,0.9665,0.883,0.8412,0.9856,0.9134,0.9546,0.8451,0.8998
2.9,0.4488,0.8943,0.8417,0.8164,0.9834,0.8999,0.8395,1.0205,0.93,0.9409,0.8341,0.8875
3,0.4492,0.9028,0.8518,0.8292,0.9925,0.9108,0.8343,1.0519,0.9431,0.9243,0.8232,0.8737
3.1,0.4506,0.9064,0.8615,0.8374,0.9947,0.916,0.8264,1.0793,0.9529,0.9061,0.8134,0.8598
3.2,0.4508,0.9056,0.8709,0.8408,0.9913,0.916,0.8156,1.1021,0.9588,0.8866,0.8044,0.8455
