Time,Google Chrome - Passwords remembered for you 30 TVC,Google Chrome - Passwords remembered for you 30 TVC,Google Chrome - Passwords remembered for you 30 TVC,Google Chrome - Passwords remembered for you 30 TVC,Google Chrome - Passwords remembered for you 30 TVC,Google Chrome - Passwords remembered for you 30 TVC,Google Chrome - Passwords remembered for you 30 TVC,Google Chrome - Passwords remembered for you 30 TVC,Google Chrome - Passwords remembered for you 30 TVC,Google Chrome - Passwords remembered for you 30 TVC,Google Chrome - Passwords remembered for you 30 TVC,Google Chrome - Passwords remembered for you 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.091,0.4512,0.6186,0.3199,0.2782,0.299,0.602,0.5988,0.6004,0.5397,0.4064,0.4731
0.1,-0.1107,0.4572,0.644,0.3276,0.2979,0.3127,0.6275,0.6246,0.626,0.558,0.4466,0.5023
0.2,-0.1321,0.4599,0.6734,0.3275,0.3157,0.3216,0.646,0.6486,0.6473,0.5726,0.4879,0.5302
0.3,-0.1547,0.4595,0.7056,0.32,0.3314,0.3257,0.6567,0.6696,0.6632,0.5815,0.5278,0.5547
0.4,-0.1784,0.4564,0.739,0.3065,0.3449,0.3257,0.6597,0.6868,0.6733,0.5841,0.564,0.574
0.5,-0.2029,0.4511,0.7708,0.2879,0.3558,0.3219,0.6558,0.6997,0.6778,0.5801,0.5938,0.587
0.6,-0.2282,0.4438,0.7983,0.2641,0.3636,0.3138,0.6458,0.7081,0.677,0.5699,0.6158,0.5929
0.7,-0.2541,0.4345,0.8202,0.2348,0.3675,0.3012,0.6303,0.7118,0.6711,0.5545,0.6299,0.5922
0.8,-0.2804,0.4229,0.8357,0.1999,0.3673,0.2836,0.6093,0.7107,0.66,0.5357,0.6369,0.5863
0.9,-0.3057,0.4088,0.8446,0.1598,0.3623,0.2611,0.5835,0.7047,0.6441,0.5152,0.6378,0.5765
1,-0.3286,0.3925,0.8471,0.1159,0.3527,0.2343,0.5546,0.6944,0.6245,0.4948,0.6339,0.5644
1.1,-0.3478,0.3748,0.8435,0.0704,0.3392,0.2048,0.5248,0.6808,0.6028,0.4756,0.6268,0.5512
1.2,-0.3626,0.3569,0.8347,0.0259,0.3227,0.1743,0.4962,0.6648,0.5805,0.4584,0.6183,0.5384
1.3,-0.3728,0.3399,0.8218,-0.016,0.3042,0.1441,0.4693,0.647,0.5581,0.4436,0.6097,0.5267
1.4,-0.3789,0.3241,0.8061,-0.0539,0.2847,0.1154,0.444,0.6276,0.5358,0.4312,0.6017,0.5165
1.5,-0.3815,0.3099,0.7882,-0.087,0.2655,0.0892,0.4204,0.6073,0.5138,0.421,0.5946,0.5078
1.6,-0.3814,0.2979,0.7689,-0.1147,0.2478,0.0666,0.399,0.5865,0.4928,0.413,0.5886,0.5008
1.7,-0.3793,0.2887,0.7489,-0.1362,0.2328,0.0483,0.3807,0.5663,0.4735,0.4077,0.5839,0.4958
1.8,-0.3754,0.2833,0.7296,-0.1511,0.2213,0.0351,0.3667,0.5475,0.4571,0.4058,0.5812,0.4935
1.9,-0.3694,0.282,0.7124,-0.1598,0.2137,0.027,0.3576,0.531,0.4443,0.4076,0.581,0.4943
2,-0.3608,0.2845,0.6978,-0.1625,0.2092,0.0234,0.3537,0.5175,0.4356,0.413,0.5837,0.4984
2.1,-0.3498,0.29,0.6857,-0.1595,0.2071,0.0238,0.3547,0.5071,0.4309,0.4216,0.5896,0.5056
2.2,-0.3372,0.2982,0.6756,-0.1509,0.2071,0.0281,0.3599,0.4993,0.4296,0.433,0.5985,0.5158
2.3,-0.324,0.3092,0.6671,-0.1361,0.2104,0.0371,0.3688,0.4939,0.4313,0.4472,0.6105,0.5289
2.4,-0.3116,0.3233,0.6601,-0.1143,0.2181,0.0519,0.3815,0.4907,0.4361,0.4644,0.6258,0.5451
2.5,-0.301,0.3402,0.6545,-0.0852,0.231,0.0729,0.3979,0.4894,0.4437,0.4845,0.6444,0.5644
2.6,-0.2927,0.3593,0.6496,-0.0497,0.2489,0.0996,0.4176,0.4892,0.4534,0.5072,0.6653,0.5862
2.7,-0.2875,0.3795,0.6446,-0.0096,0.271,0.1307,0.44,0.4898,0.4649,0.5321,0.6875,0.6098
2.8,-0.2869,0.4002,0.6394,0.0335,0.2967,0.1651,0.4643,0.4912,0.4778,0.5593,0.71,0.6347
2.9,-0.2922,0.421,0.6342,0.0782,0.3257,0.202,0.4902,0.4941,0.4921,0.5887,0.7322,0.6604
3,-0.3031,0.4419,0.6295,0.1235,0.3578,0.2407,0.5172,0.4987,0.508,0.62,0.7529,0.6864
3.1,-0.3187,0.4627,0.6256,0.1687,0.3922,0.2804,0.5445,0.5047,0.5246,0.6519,0.7711,0.7115
3.2,-0.3373,0.4826,0.6226,0.2122,0.4274,0.3198,0.5706,0.5103,0.5405,0.6828,0.7853,0.734
3.3,-0.3569,0.5005,0.6203,0.2523,0.4613,0.3568,0.5943,0.5143,0.5543,0.711,0.7944,0.7527
3.4,-0.3757,0.5154,0.619,0.2875,0.4922,0.3899,0.6148,0.5167,0.5658,0.7356,0.7981,0.7668
3.5,-0.3932,0.5266,0.619,0.3169,0.5189,0.4179,0.6318,0.518,0.5749,0.756,0.7966,0.7763
3.6,-0.4091,0.5337,0.6202,0.3401,0.5407,0.4404,0.6454,0.5181,0.5818,0.7719,0.7904,0.7812
3.7,-0.4227,0.5366,0.6224,0.3573,0.557,0.4571,0.6561,0.5172,0.5867,0.7834,0.7802,0.7818
3.8,-0.4334,0.5356,0.6252,0.3684,0.5674,0.4679,0.6643,0.5156,0.59,0.7905,0.7665,0.7785
3.9,-0.441,0.5306,0.6279,0.3732,0.5713,0.4723,0.6701,0.5136,0.5918,0.7933,0.7499,0.7716
