Time,Google Pixel 8 Pro 15 TVC,Google Pixel 8 Pro 15 TVC,Google Pixel 8 Pro 15 TVC,Google Pixel 8 Pro 15 TVC,Google Pixel 8 Pro 15 TVC,Google Pixel 8 Pro 15 TVC,Google Pixel 8 Pro 15 TVC,Google Pixel 8 Pro 15 TVC,Google Pixel 8 Pro 15 TVC,Google Pixel 8 Pro 15 TVC,Google Pixel 8 Pro 15 TVC,Google Pixel 8 Pro 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.7352,0.4756,0.1944,0.2073,0.5773,0.3923,0.3677,0.4342,0.401,0.5743,0.8352,0.7048
0.1,-0.7431,0.4772,0.186,0.2281,0.567,0.3975,0.3518,0.4123,0.3821,0.5533,0.8213,0.6873
0.2,-0.7502,0.4789,0.1866,0.2483,0.5554,0.4019,0.3399,0.3924,0.3661,0.5365,0.8061,0.6713
0.3,-0.7562,0.481,0.1959,0.2682,0.5427,0.4054,0.3322,0.3749,0.3536,0.5244,0.7906,0.6575
0.4,-0.7604,0.4836,0.2137,0.2876,0.5291,0.4084,0.328,0.3605,0.3442,0.5166,0.7756,0.6461
0.5,-0.7613,0.4866,0.2397,0.3063,0.5156,0.411,0.326,0.3498,0.3379,0.5123,0.7623,0.6373
0.6,-0.7579,0.4892,0.2734,0.3239,0.5027,0.4133,0.3259,0.343,0.3344,0.511,0.7514,0.6312
0.7,-0.7502,0.4905,0.3139,0.3399,0.49,0.4149,0.3288,0.3399,0.3344,0.5124,0.7437,0.628
0.8,-0.7375,0.4901,0.3601,0.3537,0.4771,0.4154,0.3359,0.3406,0.3383,0.5163,0.7399,0.6281
0.9,-0.7192,0.4884,0.4099,0.3657,0.4642,0.4149,0.3476,0.3451,0.3464,0.5228,0.7406,0.6317
1,-0.695,0.4859,0.4609,0.3763,0.4518,0.414,0.3636,0.3533,0.3584,0.5309,0.7448,0.6378
1.1,-0.6655,0.4829,0.5108,0.386,0.4401,0.413,0.382,0.3648,0.3734,0.5393,0.751,0.6451
1.2,-0.6324,0.4796,0.5575,0.3949,0.4291,0.412,0.4016,0.3785,0.3901,0.5467,0.7584,0.6525
1.3,-0.5979,0.4753,0.5994,0.4023,0.4183,0.4103,0.4227,0.3938,0.4083,0.5527,0.7668,0.6598
1.4,-0.5641,0.4691,0.6348,0.4076,0.4073,0.4074,0.4459,0.4101,0.428,0.5586,0.7761,0.6674
1.5,-0.532,0.4602,0.6619,0.4101,0.3963,0.4032,0.4714,0.427,0.4492,0.5656,0.7863,0.6759
1.6,-0.5021,0.4486,0.6798,0.4098,0.3863,0.3981,0.4977,0.4445,0.4711,0.5742,0.7965,0.6854
1.7,-0.4749,0.4348,0.6887,0.4064,0.378,0.3922,0.5228,0.4625,0.4927,0.5845,0.8062,0.6953
1.8,-0.4511,0.4198,0.6899,0.3994,0.3718,0.3856,0.5455,0.4809,0.5132,0.5963,0.8151,0.7057
1.9,-0.4314,0.4039,0.6846,0.3884,0.3671,0.3777,0.5654,0.4994,0.5324,0.6095,0.8234,0.7164
2,-0.4158,0.3871,0.674,0.3732,0.363,0.3681,0.5828,0.5177,0.5503,0.6244,0.8309,0.7276
2.1,-0.4042,0.3696,0.659,0.3549,0.3595,0.3572,0.5978,0.5358,0.5668,0.6412,0.8373,0.7392
2.2,-0.397,0.3521,0.6405,0.3351,0.3571,0.3461,0.6098,0.554,0.5819,0.659,0.8423,0.7507
2.3,-0.3951,0.3356,0.6198,0.315,0.3568,0.3359,0.6184,0.5727,0.5955,0.6768,0.8456,0.7612
2.4,-0.3981,0.3209,0.5976,0.2957,0.359,0.3273,0.6241,0.5922,0.6081,0.6931,0.8472,0.7701
2.5,-0.404,0.3087,0.5743,0.2778,0.3646,0.3212,0.6278,0.6119,0.6198,0.7072,0.8467,0.777
2.6,-0.4096,0.2992,0.5499,0.2622,0.374,0.3181,0.6305,0.6308,0.6306,0.7191,0.8436,0.7813
2.7,-0.4124,0.2922,0.5252,0.2493,0.3873,0.3183,0.6331,0.648,0.6406,0.7286,0.8373,0.7829
2.8,-0.412,0.2873,0.502,0.239,0.4046,0.3218,0.6362,0.6634,0.6498,0.7363,0.8285,0.7824
2.9,-0.4096,0.2838,0.4825,0.2306,0.4256,0.3281,0.6397,0.6772,0.6584,0.7431,0.8181,0.7806
3,-0.4065,0.2816,0.468,0.2238,0.4502,0.337,0.643,0.6891,0.666,0.7494,0.8069,0.7781
3.1,-0.4027,0.2812,0.4587,0.2184,0.4777,0.3481,0.6451,0.6985,0.6718,0.7549,0.7944,0.7746
3.2,-0.3982,0.2834,0.4536,0.2152,0.5075,0.3613,0.6454,0.7047,0.6751,0.7585,0.7795,0.769
3.3,-0.3928,0.2888,0.4516,0.2146,0.5388,0.3767,0.6437,0.7074,0.6755,0.7592,0.762,0.7606
3.4,-0.387,0.2984,0.4525,0.2166,0.5701,0.3934,0.6408,0.7071,0.6739,0.7571,0.7428,0.7499
3.5,-0.3816,0.3126,0.4561,0.2208,0.6001,0.4104,0.6378,0.7047,0.6712,0.7525,0.7232,0.7378
3.6,-0.3764,0.3321,0.4616,0.2267,0.6272,0.4269,0.6352,0.7007,0.668,0.7455,0.7042,0.7249
3.7,-0.3697,0.3567,0.4681,0.2344,0.6503,0.4423,0.6327,0.6954,0.664,0.736,0.6859,0.7109
3.8,-0.3604,0.3854,0.4745,0.2438,0.6686,0.4562,0.6301,0.6887,0.6594,0.7235,0.6685,0.696
3.9,-0.3484,0.417,0.4801,0.2544,0.6819,0.4681,0.6279,0.681,0.6545,0.7084,0.6522,0.6803
4,-0.3349,0.4503,0.4847,0.2653,0.6898,0.4776,0.6269,0.6728,0.6498,0.6915,0.6374,0.6645
4.1,-0.3197,0.4841,0.4881,0.2758,0.6923,0.4841,0.6274,0.6641,0.6457,0.6734,0.6239,0.6486
