Time,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC,Harvey Norman - Kitchen Appliances Sale 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.5103,0.3001,0.1599,0.3018,0.4471,0.3744,0.5596,0.6915,0.6255,0.9115,0.4427,0.6771
0.1,0.4757,0.2995,0.1556,0.3006,0.4589,0.3798,0.5282,0.6865,0.6073,0.9189,0.4362,0.6776
0.2,0.442,0.3017,0.1515,0.3024,0.4714,0.3869,0.4963,0.6773,0.5868,0.9175,0.4271,0.6723
0.3,0.4091,0.3066,0.1474,0.3075,0.4842,0.3959,0.4664,0.665,0.5657,0.9078,0.4174,0.6626
0.4,0.3774,0.3131,0.1434,0.3158,0.4969,0.4063,0.4411,0.6512,0.5462,0.8918,0.4087,0.6502
0.5,0.3474,0.3199,0.1406,0.3265,0.5094,0.418,0.4221,0.6379,0.53,0.8716,0.4017,0.6367
0.6,0.3186,0.3262,0.1401,0.3388,0.5225,0.4307,0.41,0.6263,0.5182,0.8495,0.3971,0.6233
0.7,0.2898,0.3315,0.1426,0.3519,0.5368,0.4444,0.4043,0.6167,0.5105,0.8271,0.3956,0.6113
0.8,0.2602,0.3354,0.1484,0.3651,0.5525,0.4588,0.4045,0.6085,0.5065,0.8048,0.3985,0.6017
0.9,0.2295,0.3378,0.157,0.3783,0.5694,0.4739,0.4092,0.6006,0.5049,0.7821,0.4063,0.5942
1,0.1979,0.3383,0.1678,0.3911,0.5868,0.4889,0.4168,0.5919,0.5043,0.7579,0.4185,0.5882
1.1,0.165,0.3362,0.1806,0.4028,0.604,0.5034,0.4255,0.5823,0.5039,0.7317,0.4347,0.5832
1.2,0.1299,0.3312,0.1959,0.4128,0.6204,0.5166,0.4341,0.5721,0.5031,0.7044,0.4549,0.5796
1.3,0.0924,0.3229,0.2138,0.4205,0.6352,0.5279,0.4425,0.5617,0.5021,0.6778,0.4792,0.5785
1.4,0.0528,0.3107,0.2342,0.425,0.6479,0.5365,0.4511,0.551,0.501,0.6541,0.5073,0.5807
1.5,0.0112,0.2942,0.2566,0.4257,0.6577,0.5417,0.4604,0.5396,0.5,0.6342,0.5379,0.5861
1.6,-0.0324,0.2733,0.281,0.4222,0.6639,0.5431,0.4709,0.5275,0.4992,0.6185,0.5695,0.594
1.7,-0.0771,0.2489,0.3069,0.4156,0.6665,0.5411,0.4825,0.5145,0.4985,0.6074,0.6006,0.604
1.8,-0.1207,0.2222,0.3337,0.4075,0.6665,0.537,0.4947,0.5011,0.4979,0.601,0.63,0.6155
1.9,-0.1606,0.1941,0.3599,0.3997,0.6652,0.5325,0.507,0.488,0.4975,0.5992,0.6561,0.6276
