Time,Google x AFL - Helping you help them 30 TVC,Google x AFL - Helping you help them 30 TVC,Google x AFL - Helping you help them 30 TVC,Google x AFL - Helping you help them 30 TVC,Google x AFL - Helping you help them 30 TVC,Google x AFL - Helping you help them 30 TVC,Google x AFL - Helping you help them 30 TVC,Google x AFL - Helping you help them 30 TVC,Google x AFL - Helping you help them 30 TVC,Google x AFL - Helping you help them 30 TVC,Google x AFL - Helping you help them 30 TVC,Google x AFL - Helping you help them 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0944,0.6675,0.5054,0.5697,0.867,0.7184,0.6223,0.5956,0.609,0.653,0.509,0.581
0.1,-0.1232,0.647,0.4843,0.5389,0.8731,0.706,0.6217,0.5902,0.6059,0.6415,0.4809,0.5612
0.2,-0.1451,0.6204,0.4583,0.5093,0.8763,0.6928,0.6191,0.5809,0.6,0.625,0.4498,0.5374
0.3,-0.1594,0.5891,0.4284,0.4823,0.8764,0.6794,0.615,0.5685,0.5918,0.6049,0.417,0.5109
0.4,-0.1674,0.5553,0.396,0.4591,0.8737,0.6664,0.6105,0.5541,0.5823,0.5836,0.3838,0.4837
0.5,-0.1712,0.5216,0.3624,0.4403,0.8689,0.6546,0.6065,0.5392,0.5728,0.5627,0.3515,0.4571
0.6,-0.1728,0.4904,0.3282,0.4263,0.8625,0.6444,0.6038,0.5248,0.5643,0.5435,0.3207,0.4321
0.7,-0.1737,0.4634,0.2938,0.4175,0.8551,0.6363,0.6026,0.5114,0.557,0.5264,0.2919,0.4091
0.8,-0.175,0.4418,0.2598,0.4149,0.8478,0.6313,0.6029,0.4997,0.5513,0.5122,0.2661,0.3891
0.9,-0.1773,0.4265,0.2275,0.419,0.8416,0.6303,0.6044,0.4901,0.5473,0.5021,0.2451,0.3736
1,-0.1797,0.4182,0.1983,0.4304,0.8368,0.6336,0.6068,0.4831,0.545,0.4978,0.2308,0.3643
1.1,-0.1805,0.4167,0.1738,0.449,0.8328,0.6409,0.61,0.4788,0.5444,0.5002,0.2247,0.3624
1.2,-0.1779,0.4212,0.1554,0.4738,0.8282,0.651,0.6138,0.4774,0.5456,0.5095,0.2276,0.3686
1.3,-0.1711,0.4306,0.1434,0.5035,0.822,0.6627,0.6174,0.4788,0.5481,0.5248,0.2391,0.3819
1.4,-0.1601,0.4437,0.1367,0.5364,0.8136,0.675,0.6201,0.4823,0.5512,0.5436,0.258,0.4008
