Time,Holden - Fav Uncle,Holden - Fav Uncle,Holden - Fav Uncle,Holden - Fav Uncle,Holden - Fav Uncle,Holden - Fav Uncle,Holden - Fav Uncle,Holden - Fav Uncle,Holden - Fav Uncle,Holden - Fav Uncle,Holden - Fav Uncle,Holden - Fav Uncle
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.016,0.5475,0.5612,0.6732,0.68,0.6766,0.6712,0.5674,0.6193,0.6281,0.6028,0.6155
0.1,0.0023,0.5482,0.5554,0.6699,0.6739,0.6719,0.6666,0.5662,0.6164,0.6231,0.6028,0.6129
0.2,-0.0076,0.5499,0.5496,0.6666,0.6679,0.6672,0.6611,0.5651,0.6131,0.6188,0.6026,0.6107
0.3,-0.0144,0.5531,0.5445,0.6636,0.6623,0.6629,0.6549,0.5646,0.6097,0.6156,0.6027,0.6091
0.4,-0.019,0.5581,0.5404,0.6611,0.6571,0.6591,0.6485,0.5646,0.6066,0.6133,0.6032,0.6083
0.5,-0.0222,0.5645,0.5376,0.6591,0.6527,0.6559,0.6422,0.5653,0.6037,0.6123,0.6039,0.6081
0.6,-0.0241,0.5723,0.5364,0.6579,0.6495,0.6537,0.6363,0.5669,0.6016,0.6127,0.6049,0.6088
0.7,-0.025,0.5816,0.5371,0.6576,0.6479,0.6528,0.6312,0.5698,0.6005,0.6146,0.6065,0.6105
0.8,-0.0245,0.5924,0.5398,0.6581,0.6478,0.6529,0.627,0.5743,0.6006,0.618,0.6093,0.6136
0.9,-0.0222,0.6042,0.5448,0.6589,0.6488,0.6538,0.624,0.5803,0.6022,0.6229,0.6134,0.6181
1,-0.0179,0.6162,0.5522,0.6598,0.6503,0.6551,0.6223,0.5878,0.605,0.6293,0.6185,0.6239
1.1,-0.0121,0.6278,0.562,0.6609,0.6524,0.6566,0.6222,0.5965,0.6093,0.6372,0.6247,0.631
1.2,-0.0055,0.6391,0.5742,0.6626,0.6553,0.6589,0.6239,0.6062,0.6151,0.6466,0.6323,0.6395
1.3,0.0017,0.6501,0.5884,0.6652,0.6595,0.6623,0.6271,0.6171,0.6221,0.6574,0.6416,0.6495
1.4,0.0094,0.6605,0.6041,0.6687,0.6648,0.6667,0.6316,0.6288,0.6302,0.6692,0.6521,0.6606
1.5,0.0178,0.67,0.6205,0.6723,0.6707,0.6715,0.6368,0.6408,0.6388,0.6816,0.6634,0.6725
1.6,0.0267,0.6783,0.6369,0.6753,0.6768,0.676,0.6422,0.6524,0.6473,0.6941,0.6753,0.6847
1.7,0.0356,0.6853,0.6526,0.6772,0.6826,0.6799,0.6475,0.6629,0.6552,0.7062,0.6876,0.6969
