Time,Holden - Next Generation,Holden - Next Generation,Holden - Next Generation,Holden - Next Generation,Holden - Next Generation,Holden - Next Generation,Holden - Next Generation,Holden - Next Generation,Holden - Next Generation,Holden - Next Generation,Holden - Next Generation,Holden - Next Generation
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1425,0.704,0.6955,0.6934,0.7067,0.7,0.6569,0.6786,0.6678,0.648,0.6433,0.6456
0.1,0.1579,0.7026,0.6893,0.6896,0.7039,0.6968,0.6639,0.675,0.6695,0.6464,0.6339,0.6401
0.2,0.1681,0.7022,0.6832,0.6867,0.7003,0.6935,0.6716,0.6719,0.6718,0.6439,0.6244,0.6342
0.3,0.1733,0.7024,0.6773,0.6847,0.696,0.6903,0.6797,0.6692,0.6745,0.6407,0.6147,0.6277
0.4,0.1733,0.7027,0.6717,0.6832,0.6913,0.6873,0.6879,0.6671,0.6775,0.6369,0.6049,0.6209
0.5,0.168,0.7029,0.6666,0.6821,0.6866,0.6844,0.6955,0.6658,0.6806,0.6328,0.5952,0.614
0.6,0.1585,0.7032,0.662,0.6814,0.6819,0.6817,0.7017,0.6653,0.6835,0.6284,0.5857,0.607
0.7,0.1461,0.7038,0.6577,0.6813,0.6773,0.6793,0.7059,0.6655,0.6857,0.6236,0.5764,0.6
0.8,0.1313,0.7046,0.6534,0.6819,0.6728,0.6774,0.708,0.6657,0.6869,0.6183,0.5673,0.5928
0.9,0.1136,0.7051,0.6489,0.6833,0.6687,0.676,0.7077,0.6661,0.6869,0.6125,0.5581,0.5853
1,0.0927,0.7047,0.6443,0.685,0.6657,0.6753,0.705,0.6665,0.6858,0.6062,0.5487,0.5775
1.1,0.0691,0.7032,0.6396,0.6867,0.6637,0.6752,0.6996,0.6669,0.6833,0.5994,0.5391,0.5692
1.2,0.0445,0.701,0.6346,0.688,0.6625,0.6752,0.6915,0.6671,0.6793,0.5921,0.5292,0.5606
1.3,0.0203,0.6983,0.6295,0.6888,0.6616,0.6752,0.6814,0.6669,0.6741,0.5846,0.5194,0.552
1.4,-0.0033,0.6949,0.6246,0.6895,0.6615,0.6755,0.6702,0.6666,0.6684,0.5774,0.5104,0.5439
1.5,-0.0264,0.6905,0.6207,0.6906,0.6629,0.6767,0.6586,0.6665,0.6626,0.5709,0.5024,0.5366
1.6,-0.0487,0.685,0.6185,0.6921,0.666,0.6791,0.6473,0.6669,0.6571,0.5654,0.4957,0.5305
1.7,-0.0695,0.6789,0.6184,0.6941,0.6708,0.6824,0.6364,0.6681,0.6522,0.5609,0.4905,0.5257
1.8,-0.0878,0.6727,0.6203,0.6965,0.6767,0.6866,0.6265,0.6701,0.6483,0.5579,0.4869,0.5224
1.9,-0.1032,0.6668,0.6244,0.6992,0.6833,0.6912,0.6181,0.6732,0.6457,0.5567,0.4854,0.521
2,-0.1165,0.6615,0.6304,0.702,0.6906,0.6963,0.6117,0.6777,0.6447,0.5581,0.4861,0.5221
2.1,-0.1287,0.6568,0.6379,0.7048,0.6985,0.7016,0.6072,0.6835,0.6453,0.5621,0.4892,0.5257
2.2,-0.1402,0.6527,0.6462,0.7073,0.7064,0.7069,0.6042,0.6901,0.6471,0.5683,0.4942,0.5313
2.3,-0.1507,0.649,0.6553,0.7092,0.7142,0.7117,0.6019,0.6969,0.6494,0.5761,0.5003,0.5382
