Time,Holden - Colorado - Some Men - TS,Holden - Colorado - Some Men - TS,Holden - Colorado - Some Men - TS,Holden - Colorado - Some Men - TS,Holden - Colorado - Some Men - TS,Holden - Colorado - Some Men - TS,Holden - Colorado - Some Men - TS,Holden - Colorado - Some Men - TS,Holden - Colorado - Some Men - TS,Holden - Colorado - Some Men - TS,Holden - Colorado - Some Men - TS,Holden - Colorado - Some Men - TS
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0684,0.5526,0.6239,0.5744,0.6047,0.5896,0.6218,0.5547,0.5883,0.6035,0.592,0.5977
0.1,-0.0772,0.5537,0.6236,0.5734,0.6092,0.5913,0.6172,0.5505,0.5839,0.6021,0.5891,0.5956
0.2,-0.0851,0.5541,0.6219,0.5714,0.6132,0.5923,0.6119,0.5456,0.5788,0.5995,0.5853,0.5924
0.3,-0.0916,0.5539,0.6192,0.5687,0.6168,0.5928,0.6063,0.5404,0.5734,0.596,0.5808,0.5884
0.4,-0.0965,0.5532,0.6159,0.5654,0.6201,0.5927,0.6005,0.5355,0.568,0.5917,0.576,0.5838
0.5,-0.0998,0.5519,0.6119,0.5616,0.6228,0.5922,0.5947,0.531,0.5628,0.5871,0.5708,0.5789
0.6,-0.1015,0.5501,0.6076,0.5575,0.625,0.5912,0.5892,0.527,0.5581,0.5823,0.5654,0.5738
0.7,-0.1013,0.5478,0.6032,0.5533,0.6264,0.5899,0.5838,0.5237,0.5537,0.5775,0.5599,0.5687
0.8,-0.0995,0.5453,0.5988,0.5494,0.6271,0.5882,0.5786,0.5209,0.5497,0.5729,0.5544,0.5637
0.9,-0.0963,0.5428,0.5946,0.5457,0.6268,0.5863,0.5736,0.5185,0.5461,0.5684,0.5492,0.5588
1,-0.0925,0.5403,0.5908,0.5422,0.6257,0.584,0.5689,0.5167,0.5428,0.5642,0.5443,0.5542
1.1,-0.0883,0.5379,0.5874,0.5391,0.6239,0.5815,0.5645,0.5157,0.5401,0.5604,0.5399,0.5502
1.2,-0.0837,0.5358,0.5847,0.5364,0.6218,0.5791,0.5609,0.5156,0.5383,0.5574,0.5363,0.5468
1.3,-0.0784,0.5343,0.5828,0.5343,0.6198,0.5771,0.5581,0.5165,0.5373,0.5551,0.5335,0.5443
1.4,-0.0726,0.5338,0.5816,0.5328,0.6183,0.5755,0.5562,0.5182,0.5372,0.5538,0.5317,0.5428
1.5,-0.0661,0.5343,0.581,0.5316,0.6172,0.5744,0.555,0.5207,0.5378,0.5532,0.5306,0.5419
1.6,-0.0593,0.5355,0.5808,0.5306,0.6162,0.5734,0.5543,0.5236,0.5389,0.5532,0.5301,0.5416
1.7,-0.0523,0.537,0.5808,0.5295,0.6153,0.5724,0.5539,0.5267,0.5403,0.5535,0.5301,0.5418
1.8,-0.0454,0.5389,0.5811,0.5282,0.6143,0.5713,0.5539,0.5301,0.542,0.554,0.5309,0.5424
1.9,-0.0387,0.5412,0.5817,0.5266,0.6134,0.57,0.554,0.5336,0.5438,0.5548,0.5323,0.5436
2,-0.0324,0.5437,0.5824,0.5246,0.6122,0.5684,0.5543,0.5369,0.5456,0.5558,0.5343,0.5451
2.1,-0.0266,0.5461,0.5831,0.5219,0.6106,0.5662,0.5548,0.5399,0.5473,0.557,0.5366,0.5468
2.2,-0.0218,0.5482,0.5836,0.5185,0.6083,0.5634,0.5553,0.5424,0.5489,0.5582,0.5391,0.5486
2.3,-0.018,0.5497,0.5842,0.5145,0.6054,0.56,0.556,0.5446,0.5503,0.5596,0.5418,0.5507
2.4,-0.0154,0.5508,0.5851,0.5102,0.6022,0.5562,0.5568,0.5466,0.5517,0.5613,0.5449,0.5531
2.5,-0.0141,0.5514,0.5864,0.5059,0.5991,0.5525,0.5578,0.5486,0.5532,0.5634,0.5486,0.556
2.6,-0.0139,0.5514,0.5881,0.5013,0.596,0.5486,0.5588,0.5506,0.5547,0.5657,0.5527,0.5592
2.7,-0.0148,0.5506,0.5901,0.4962,0.5929,0.5445,0.5597,0.5525,0.5561,0.5682,0.5571,0.5627
