Time,Holden - Sportwagon - TS,Holden - Sportwagon - TS,Holden - Sportwagon - TS,Holden - Sportwagon - TS,Holden - Sportwagon - TS,Holden - Sportwagon - TS,Holden - Sportwagon - TS,Holden - Sportwagon - TS,Holden - Sportwagon - TS,Holden - Sportwagon - TS,Holden - Sportwagon - TS,Holden - Sportwagon - TS
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.054,0.5111,0.515,0.5186,0.5071,0.5128,0.5244,0.5624,0.5434,0.5231,0.5531,0.5381
0.1,0.0643,0.5033,0.5125,0.5127,0.497,0.5049,0.5251,0.5625,0.5438,0.5251,0.557,0.541
0.2,0.0747,0.4958,0.5106,0.5078,0.4875,0.4976,0.5263,0.5626,0.5444,0.5275,0.5604,0.544
0.3,0.0847,0.4889,0.5095,0.5039,0.4789,0.4914,0.5281,0.5627,0.5454,0.5303,0.5633,0.5468
0.4,0.0942,0.4828,0.5091,0.501,0.4715,0.4863,0.5306,0.5629,0.5467,0.5332,0.5656,0.5494
0.5,0.1031,0.4778,0.5094,0.4994,0.4655,0.4824,0.5335,0.563,0.5482,0.536,0.5673,0.5517
0.6,0.1114,0.4741,0.5103,0.499,0.4611,0.4801,0.5366,0.5629,0.5498,0.5386,0.5684,0.5535
0.7,0.1195,0.4721,0.5117,0.5002,0.4585,0.4793,0.5398,0.5627,0.5512,0.5412,0.5691,0.5551
0.8,0.1272,0.4716,0.5133,0.5028,0.4575,0.4802,0.5431,0.5623,0.5527,0.5439,0.5694,0.5566
0.9,0.1348,0.4726,0.515,0.5067,0.458,0.4824,0.5464,0.5621,0.5542,0.547,0.5695,0.5582
1,0.1427,0.4747,0.5166,0.5118,0.4598,0.4858,0.5499,0.562,0.5559,0.5504,0.5694,0.5599
1.1,0.1508,0.478,0.5181,0.5179,0.4626,0.4903,0.5534,0.562,0.5577,0.5539,0.5693,0.5616
1.2,0.1589,0.4826,0.5193,0.5252,0.4666,0.4959,0.5569,0.5623,0.5596,0.5574,0.569,0.5632
1.3,0.1664,0.4886,0.5203,0.5334,0.4716,0.5025,0.5603,0.5625,0.5614,0.5606,0.5685,0.5645
1.4,0.1731,0.4958,0.5208,0.5421,0.4775,0.5098,0.5633,0.5624,0.5628,0.5632,0.5676,0.5654
1.5,0.1784,0.5039,0.5206,0.5508,0.4838,0.5173,0.5655,0.5618,0.5637,0.5648,0.5663,0.5656
1.6,0.182,0.5123,0.5197,0.559,0.4901,0.5246,0.5667,0.5605,0.5636,0.565,0.5642,0.5646
1.7,0.1835,0.5207,0.5178,0.5665,0.4962,0.5314,0.5665,0.5582,0.5624,0.5635,0.5614,0.5625
1.8,0.1826,0.5287,0.5149,0.5727,0.5017,0.5372,0.5651,0.5548,0.5599,0.5604,0.5579,0.5592
1.9,0.1792,0.5358,0.5107,0.5775,0.5063,0.5419,0.5621,0.5503,0.5562,0.5558,0.5537,0.5548
2,0.1736,0.5418,0.5055,0.5804,0.5098,0.5451,0.5576,0.5448,0.5512,0.55,0.5489,0.5494
2.1,0.1661,0.5464,0.4996,0.5813,0.5121,0.5467,0.5515,0.5383,0.5449,0.5433,0.5436,0.5434
2.2,0.1571,0.55,0.4932,0.5804,0.5132,0.5468,0.544,0.5312,0.5376,0.5359,0.5382,0.537
2.3,0.147,0.5526,0.4868,0.5778,0.5132,0.5455,0.5352,0.5237,0.5295,0.5281,0.533,0.5305
2.4,0.1361,0.5546,0.4807,0.574,0.512,0.543,0.5252,0.5162,0.5207,0.5201,0.5281,0.5241
2.5,0.1243,0.556,0.4752,0.5691,0.5095,0.5393,0.5143,0.5089,0.5116,0.512,0.5235,0.5178
2.6,0.1116,0.5566,0.4704,0.5634,0.5061,0.5347,0.5028,0.5019,0.5024,0.504,0.5191,0.5115
2.7,0.0979,0.5565,0.4663,0.5574,0.5022,0.5298,0.491,0.4956,0.4933,0.4959,0.5148,0.5054
2.8,0.0833,0.556,0.4632,0.5515,0.4986,0.5251,0.4795,0.4899,0.4847,0.4879,0.5106,0.4992
2.9,0.0681,0.5553,0.4611,0.5461,0.4958,0.521,0.4685,0.4851,0.4768,0.4802,0.5064,0.4933
3,0.0527,0.5545,0.46,0.5416,0.4939,0.5177,0.4585,0.4812,0.4699,0.473,0.5025,0.4877
3.1,0.0374,0.5534,0.46,0.5382,0.4928,0.5155,0.4499,0.4783,0.4641,0.4666,0.4989,0.4828
3.2,0.0224,0.5519,0.4609,0.5358,0.4928,0.5143,0.4428,0.4765,0.4596,0.4611,0.4959,0.4785
3.3,0.0079,0.5499,0.4626,0.5345,0.4938,0.5141,0.4372,0.4756,0.4564,0.4565,0.4933,0.4749
3.4,-0.0055,0.5477,0.465,0.5342,0.4961,0.5152,0.4332,0.4757,0.4544,0.453,0.491,0.472
3.5,-0.0175,0.5456,0.4679,0.5348,0.4997,0.5173,0.4309,0.4767,0.4538,0.4504,0.4888,0.4696
3.6,-0.0278,0.5435,0.4712,0.5363,0.5045,0.5204,0.4305,0.4787,0.4546,0.4488,0.4868,0.4678
3.7,-0.0365,0.5417,0.4747,0.5384,0.5103,0.5243,0.432,0.4815,0.4568,0.4482,0.4852,0.4667
3.8,-0.0432,0.5403,0.4784,0.5413,0.5168,0.529,0.4354,0.4852,0.4603,0.4487,0.4841,0.4664
3.9,-0.0479,0.5396,0.4825,0.545,0.5241,0.5346,0.4404,0.4898,0.4651,0.4503,0.4837,0.467
4,-0.0503,0.5395,0.487,0.5499,0.5321,0.541,0.4473,0.4953,0.4713,0.4533,0.4841,0.4687
4.1,-0.0505,0.5399,0.492,0.5555,0.5404,0.548,0.4559,0.5017,0.4788,0.4574,0.4855,0.4714
4.2,-0.0486,0.5402,0.4974,0.5614,0.5485,0.555,0.466,0.5087,0.4873,0.4624,0.4876,0.475
4.3,-0.045,0.5402,0.503,0.567,0.5558,0.5614,0.477,0.5161,0.4965,0.4677,0.4901,0.4789
4.4,-0.0401,0.5396,0.5085,0.5721,0.5622,0.5671,0.4886,0.5234,0.506,0.473,0.4929,0.483
4.5,-0.0345,0.5385,0.5137,0.5764,0.5675,0.5719,0.5005,0.5305,0.5155,0.4781,0.4957,0.4869
4.6,-0.0283,0.5369,0.5184,0.5798,0.5719,0.5759,0.5124,0.537,0.5247,0.4831,0.4985,0.4908
4.7,-0.0219,0.5346,0.5223,0.5819,0.5754,0.5786,0.5238,0.5427,0.5332,0.4879,0.5014,0.4946
4.8,-0.0152,0.5316,0.5254,0.5825,0.5776,0.5801,0.5343,0.5473,0.5408,0.4923,0.5042,0.4982
4.9,-0.008,0.5279,0.5275,0.5814,0.5786,0.58,0.5434,0.5506,0.547,0.4962,0.5068,0.5015
5,-0.0004,0.5239,0.5288,0.5788,0.5782,0.5785,0.5509,0.5527,0.5518,0.4996,0.5091,0.5044
5.1,0.0079,0.5198,0.5293,0.5746,0.5766,0.5756,0.5569,0.5536,0.5553,0.5027,0.5112,0.5069
