Time,Holden - Volt - Change - TS,Holden - Volt - Change - TS,Holden - Volt - Change - TS,Holden - Volt - Change - TS,Holden - Volt - Change - TS,Holden - Volt - Change - TS,Holden - Volt - Change - TS,Holden - Volt - Change - TS,Holden - Volt - Change - TS,Holden - Volt - Change - TS,Holden - Volt - Change - TS,Holden - Volt - Change - TS
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.071,0.529,0.562,0.5771,0.5659,0.5715,0.5756,0.543,0.5593,0.5165,0.5325,0.5245
0.1,-0.0806,0.5342,0.562,0.5787,0.5661,0.5724,0.5755,0.5444,0.5599,0.5227,0.5342,0.5285
0.2,-0.0907,0.5398,0.5615,0.5802,0.5661,0.5732,0.575,0.5456,0.5603,0.529,0.5358,0.5324
0.3,-0.1007,0.5458,0.5608,0.5814,0.566,0.5737,0.5741,0.5466,0.5603,0.5352,0.5374,0.5363
0.4,-0.1102,0.552,0.5599,0.5825,0.5657,0.5741,0.5727,0.5475,0.5601,0.5412,0.5389,0.54
0.5,-0.1185,0.5583,0.559,0.5833,0.5654,0.5743,0.5708,0.5483,0.5596,0.5467,0.5403,0.5435
0.6,-0.1254,0.5647,0.5579,0.5842,0.5651,0.5747,0.5686,0.5491,0.5588,0.5516,0.5414,0.5465
0.7,-0.1304,0.571,0.5565,0.5852,0.5652,0.5752,0.5659,0.5497,0.5578,0.5558,0.5423,0.5491
0.8,-0.1335,0.5771,0.5548,0.5863,0.5655,0.5759,0.5629,0.5499,0.5564,0.5591,0.5427,0.5509
0.9,-0.1345,0.5827,0.5526,0.5876,0.566,0.5768,0.5594,0.5494,0.5544,0.5615,0.5424,0.5519
1,-0.1337,0.5878,0.55,0.589,0.5664,0.5777,0.5557,0.5484,0.552,0.563,0.5416,0.5523
1.1,-0.131,0.5922,0.5473,0.5905,0.5668,0.5786,0.5522,0.5472,0.5497,0.564,0.5406,0.5523
1.2,-0.1267,0.5957,0.5447,0.5921,0.5671,0.5796,0.5494,0.5462,0.5478,0.5649,0.5398,0.5524
1.3,-0.1209,0.598,0.5425,0.5937,0.5675,0.5806,0.5475,0.5456,0.5466,0.5658,0.5396,0.5527
1.4,-0.1135,0.5991,0.5407,0.5953,0.5682,0.5817,0.5467,0.5455,0.5461,0.5668,0.5401,0.5535
1.5,-0.1046,0.5992,0.5395,0.5967,0.5691,0.5829,0.5472,0.5457,0.5465,0.5681,0.5412,0.5546
1.6,-0.0942,0.5986,0.539,0.5982,0.5702,0.5842,0.549,0.5463,0.5477,0.5696,0.543,0.5563
1.7,-0.0825,0.5976,0.5393,0.5996,0.5715,0.5856,0.5521,0.5473,0.5497,0.5714,0.5457,0.5585
1.8,-0.0701,0.5964,0.5405,0.6009,0.5732,0.587,0.5565,0.5488,0.5527,0.5734,0.5492,0.5613
1.9,-0.0577,0.595,0.5425,0.6019,0.5753,0.5886,0.562,0.5508,0.5564,0.5755,0.5533,0.5644
2,-0.0459,0.5934,0.5456,0.6025,0.5778,0.5902,0.5683,0.5532,0.5607,0.5778,0.558,0.5679
2.1,-0.035,0.592,0.5495,0.6028,0.5806,0.5917,0.5751,0.556,0.5655,0.5803,0.5631,0.5717
2.2,-0.0253,0.5909,0.5544,0.6028,0.5836,0.5932,0.5821,0.5593,0.5707,0.583,0.5687,0.5759
2.3,-0.0169,0.5905,0.56,0.6027,0.5867,0.5947,0.589,0.563,0.576,0.586,0.5745,0.5802
2.4,-0.0099,0.5908,0.5664,0.6026,0.5901,0.5964,0.5957,0.5669,0.5813,0.5889,0.5804,0.5847
2.5,-0.0047,0.5919,0.5734,0.6025,0.5937,0.5981,0.6019,0.5709,0.5864,0.5919,0.5863,0.5891
2.6,-0.0015,0.5937,0.5808,0.6024,0.5972,0.5998,0.6075,0.5748,0.5912,0.5947,0.5923,0.5935
2.7,-0.0003,0.596,0.5884,0.6022,0.6006,0.6014,0.6123,0.5784,0.5953,0.5975,0.5979,0.5977
2.8,-0.0011,0.5986,0.5959,0.6021,0.6035,0.6028,0.6161,0.5816,0.5988,0.6,0.6032,0.6016
2.9,-0.0035,0.6015,0.6032,0.6021,0.6062,0.6042,0.6186,0.5842,0.6014,0.6019,0.6076,0.6048
3,-0.0072,0.6044,0.6104,0.6025,0.6086,0.6056,0.6197,0.5861,0.6029,0.603,0.611,0.607
3.1,-0.0117,0.6073,0.6171,0.6033,0.6109,0.6071,0.6195,0.5874,0.6035,0.603,0.6132,0.6081
