Time,Hotels Combined - TVC,Hotels Combined - TVC,Hotels Combined - TVC,Hotels Combined - TVC,Hotels Combined - TVC,Hotels Combined - TVC,Hotels Combined - TVC,Hotels Combined - TVC,Hotels Combined - TVC,Hotels Combined - TVC,Hotels Combined - TVC,Hotels Combined - TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.2476,0.4974,0.5764,0.4495,0.6855,0.5675,0.5537,0.6588,0.6063,0.6489,0.6566,0.6528
0.1,-0.2658,0.4945,0.5758,0.4508,0.6773,0.564,0.5464,0.6547,0.6005,0.6541,0.6555,0.6548
0.2,-0.2785,0.4934,0.5774,0.4536,0.6688,0.5612,0.5391,0.652,0.5955,0.6603,0.6552,0.6578
0.3,-0.286,0.4941,0.5815,0.4577,0.6605,0.5591,0.5324,0.651,0.5917,0.6681,0.6565,0.6623
0.4,-0.2888,0.4963,0.588,0.4628,0.6525,0.5576,0.5271,0.6517,0.5894,0.6778,0.6599,0.6688
0.5,-0.2874,0.4995,0.5966,0.4685,0.6449,0.5567,0.5233,0.6542,0.5888,0.6893,0.6654,0.6774
0.6,-0.2824,0.5033,0.6069,0.4742,0.6376,0.5559,0.521,0.6582,0.5896,0.7022,0.6726,0.6874
0.7,-0.2737,0.5075,0.6182,0.4795,0.6303,0.5549,0.52,0.6632,0.5916,0.7157,0.6812,0.6984
0.8,-0.2616,0.5115,0.63,0.4842,0.6229,0.5536,0.5203,0.6689,0.5946,0.7292,0.6907,0.71
0.9,-0.2468,0.5151,0.6422,0.4882,0.6154,0.5518,0.5218,0.6751,0.5984,0.7421,0.7011,0.7216
1,-0.23,0.5184,0.6546,0.4916,0.6081,0.5499,0.524,0.6814,0.6027,0.7537,0.712,0.7328
1.1,-0.2121,0.5219,0.6675,0.4947,0.6014,0.548,0.5267,0.6875,0.6071,0.7633,0.7229,0.7431
1.2,-0.1931,0.5258,0.681,0.4976,0.5954,0.5465,0.5296,0.6929,0.6113,0.7698,0.733,0.7514
1.3,-0.1736,0.53,0.6948,0.4999,0.5904,0.5451,0.5327,0.6973,0.615,0.7723,0.7417,0.757
1.4,-0.1538,0.5344,0.7084,0.5015,0.5862,0.5438,0.5362,0.7007,0.6184,0.7709,0.7486,0.7598
1.5,-0.1343,0.5394,0.7212,0.5027,0.5834,0.543,0.5408,0.7033,0.6221,0.7661,0.7536,0.7599
1.6,-0.1157,0.5453,0.7338,0.5044,0.5823,0.5434,0.5473,0.7061,0.6267,0.7593,0.7566,0.7579
1.7,-0.0985,0.5528,0.7468,0.5074,0.5834,0.5454,0.5562,0.7097,0.6329,0.7515,0.7577,0.7546
1.8,-0.0834,0.562,0.7608,0.5118,0.5864,0.5491,0.5676,0.7144,0.641,0.743,0.7568,0.7499
1.9,-0.0709,0.5723,0.7757,0.5169,0.5905,0.5537,0.5808,0.7203,0.6505,0.7339,0.754,0.744
2,-0.0613,0.5832,0.7907,0.5221,0.595,0.5586,0.5947,0.7268,0.6607,0.724,0.7496,0.7368
2.1,-0.0543,0.594,0.805,0.5273,0.5993,0.5633,0.6082,0.7332,0.6707,0.7137,0.7441,0.7289
2.2,-0.0498,0.6048,0.8179,0.533,0.6036,0.5683,0.6207,0.739,0.6798,0.7035,0.7386,0.7211
