Time,Hungry Jack's Coffee 15s TVC,Hungry Jack's Coffee 15s TVC,Hungry Jack's Coffee 15s TVC,Hungry Jack's Coffee 15s TVC,Hungry Jack's Coffee 15s TVC,Hungry Jack's Coffee 15s TVC,Hungry Jack's Coffee 15s TVC,Hungry Jack's Coffee 15s TVC,Hungry Jack's Coffee 15s TVC,Hungry Jack's Coffee 15s TVC,Hungry Jack's Coffee 15s TVC,Hungry Jack's Coffee 15s TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.2167,0.7067,0.5638,0.7667,0.5995,0.6831,0.7238,0.4387,0.5812,0.765,0.6761,0.7206
0.1,-0.2455,0.7072,0.5332,0.7379,0.5949,0.6664,0.7053,0.4252,0.5652,0.7485,0.6728,0.7106
0.2,-0.2713,0.7086,0.5015,0.7097,0.5937,0.6517,0.687,0.4152,0.5511,0.7317,0.6684,0.7001
0.3,-0.293,0.7106,0.4698,0.6834,0.5955,0.6394,0.6694,0.409,0.5392,0.7161,0.6635,0.6898
0.4,-0.3104,0.7132,0.439,0.6601,0.5998,0.6299,0.6534,0.4066,0.53,0.7034,0.6587,0.681
0.5,-0.3239,0.7158,0.4096,0.6404,0.6059,0.6232,0.6397,0.4077,0.5237,0.6947,0.6545,0.6746
0.6,-0.3335,0.7178,0.3819,0.6243,0.6135,0.6189,0.6283,0.4119,0.5201,0.6901,0.6508,0.6704
0.7,-0.3378,0.7184,0.3564,0.6116,0.6221,0.6169,0.6188,0.4185,0.5186,0.6888,0.6471,0.668
0.8,-0.3354,0.7176,0.334,0.602,0.6315,0.6168,0.6109,0.4268,0.5188,0.69,0.6432,0.6666
0.9,-0.3259,0.7162,0.3151,0.5956,0.6415,0.6185,0.605,0.4366,0.5208,0.6935,0.639,0.6663
1,-0.3104,0.7152,0.2994,0.5924,0.6518,0.6221,0.602,0.448,0.525,0.6994,0.6346,0.667
1.1,-0.2912,0.7154,0.2862,0.5924,0.6624,0.6274,0.6025,0.4612,0.5319,0.7077,0.6303,0.669
1.2,-0.27,0.7167,0.2751,0.5951,0.6729,0.634,0.6071,0.4763,0.5417,0.7179,0.6262,0.6721
1.3,-0.248,0.7188,0.2662,0.5997,0.6829,0.6413,0.6157,0.4936,0.5547,0.7298,0.6229,0.6763
1.4,-0.226,0.7219,0.2601,0.6058,0.6927,0.6492,0.6284,0.5131,0.5707,0.7429,0.6204,0.6816
1.5,-0.2039,0.7259,0.2568,0.6129,0.7024,0.6577,0.6449,0.5344,0.5896,0.7568,0.6187,0.6877
1.6,-0.1809,0.7303,0.2562,0.6207,0.7112,0.666,0.6645,0.5567,0.6106,0.7708,0.6175,0.6941
1.7,-0.1567,0.7345,0.2577,0.6286,0.7179,0.6732,0.6855,0.5795,0.6325,0.7839,0.6165,0.7002
1.8,-0.1309,0.7382,0.2618,0.6359,0.7213,0.6786,0.7061,0.602,0.654,0.795,0.6157,0.7053
1.9,-0.1031,0.7417,0.269,0.6423,0.7209,0.6816,0.7249,0.6241,0.6745,0.8029,0.6156,0.7093
2,-0.0729,0.7458,0.2802,0.6482,0.717,0.6826,0.741,0.6461,0.6935,0.8076,0.6173,0.7124
2.1,-0.0408,0.7515,0.296,0.6538,0.7099,0.6818,0.7541,0.6674,0.7108,0.809,0.6218,0.7154
2.2,-0.0077,0.7586,0.3166,0.6585,0.6998,0.6791,0.7639,0.6869,0.7254,0.8071,0.6295,0.7183
2.3,0.0244,0.7656,0.3418,0.6612,0.6865,0.6739,0.7696,0.7032,0.7364,0.8016,0.6403,0.7209
2.4,0.0536,0.7711,0.3716,0.6609,0.6698,0.6653,0.7702,0.716,0.7431,0.792,0.6542,0.7231
2.5,0.0784,0.7746,0.4063,0.6577,0.65,0.6539,0.7657,0.7254,0.7455,0.7787,0.6708,0.7247
2.6,0.0977,0.776,0.4453,0.6526,0.6282,0.6404,0.7562,0.7314,0.7438,0.7625,0.6895,0.726
2.7,0.1108,0.776,0.487,0.6464,0.6061,0.6262,0.742,0.7339,0.738,0.7441,0.7092,0.7267
2.8,0.1165,0.7746,0.5295,0.6396,0.5852,0.6124,0.7223,0.7316,0.727,0.7232,0.7283,0.7258
2.9,0.1141,0.7718,0.571,0.6318,0.5666,0.5992,0.6969,0.7236,0.7102,0.6998,0.7456,0.7227
3,0.1038,0.7674,0.6097,0.6223,0.5509,0.5866,0.6665,0.7096,0.688,0.6747,0.761,0.7178
3.1,0.0871,0.7616,0.6445,0.6108,0.5386,0.5747,0.6328,0.69,0.6614,0.6492,0.7742,0.7117
3.2,0.0646,0.7549,0.6746,0.5973,0.5306,0.564,0.5979,0.6661,0.632,0.6245,0.7851,0.7048
3.3,0.0372,0.7478,0.6997,0.5824,0.5271,0.5547,0.5629,0.639,0.601,0.6015,0.7938,0.6977
3.4,0.0057,0.7403,0.7195,0.566,0.5278,0.5469,0.5288,0.6101,0.5694,0.5809,0.8007,0.6908
3.5,-0.0284,0.7318,0.7338,0.5485,0.5316,0.5401,0.4962,0.5802,0.5382,0.5635,0.8065,0.685
3.6,-0.0636,0.722,0.7419,0.5301,0.5373,0.5337,0.4658,0.5508,0.5083,0.5503,0.812,0.6812
3.7,-0.0984,0.711,0.7434,0.511,0.544,0.5275,0.4383,0.5229,0.4806,0.5416,0.817,0.6793
3.8,-0.1324,0.6992,0.7379,0.4916,0.5513,0.5215,0.4138,0.4971,0.4554,0.5365,0.8208,0.6787
3.9,-0.166,0.6873,0.7256,0.4715,0.5592,0.5154,0.3923,0.4735,0.4329,0.5344,0.8229,0.6786
4,-0.1994,0.6756,0.7074,0.4506,0.5676,0.5091,0.3735,0.4521,0.4128,0.535,0.8231,0.679
4.1,-0.2323,0.6651,0.6846,0.4293,0.5765,0.5029,0.3573,0.4332,0.3952,0.5391,0.8216,0.6803
4.2,-0.2645,0.6567,0.6582,0.4089,0.5859,0.4974,0.3442,0.4169,0.3805,0.5476,0.8186,0.6831
4.3,-0.2959,0.6512,0.629,0.3911,0.5957,0.4934,0.334,0.4033,0.3687,0.5604,0.8138,0.6871
4.4,-0.3258,0.6487,0.598,0.377,0.6061,0.4915,0.3265,0.3923,0.3594,0.5762,0.8068,0.6915
4.5,-0.3536,0.6491,0.5663,0.3675,0.617,0.4923,0.3211,0.3834,0.3523,0.5931,0.7977,0.6954
4.6,-0.3784,0.652,0.5355,0.3632,0.6283,0.4958,0.3172,0.3761,0.3467,0.609,0.7865,0.6977
4.7,-0.3993,0.6571,0.5071,0.3644,0.6402,0.5023,0.3145,0.3705,0.3425,0.6224,0.7733,0.6979
4.8,-0.4157,0.6642,0.4819,0.3714,0.6524,0.5119,0.3131,0.3663,0.3397,0.6323,0.7581,0.6952
