Time,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC,KIA - Enjoy your flight 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1399,0.7182,0.8156,1.0455,0.8342,0.9399,0.7729,1.0775,0.9252,0.6647,0.721,0.6928
0.1,0.1498,0.699,0.7872,1.0084,0.8106,0.9095,0.7616,1.0576,0.9096,0.6727,0.6884,0.6806
0.2,0.1623,0.6813,0.7589,0.9694,0.7852,0.8773,0.7483,1.0315,0.8899,0.6784,0.6565,0.6674
0.3,0.1768,0.6655,0.7314,0.9283,0.7588,0.8436,0.731,1.0001,0.8655,0.6813,0.626,0.6536
0.4,0.1921,0.6516,0.7059,0.8842,0.7313,0.8077,0.7092,0.9646,0.8369,0.6818,0.5973,0.6395
0.5,0.2073,0.6391,0.6827,0.8357,0.7025,0.7691,0.6843,0.9267,0.8055,0.68,0.5709,0.6254
0.6,0.2225,0.6273,0.6619,0.7826,0.6732,0.7279,0.6582,0.8876,0.7729,0.6753,0.5471,0.6112
0.7,0.2381,0.6154,0.6433,0.7256,0.6445,0.685,0.632,0.8475,0.7397,0.6668,0.526,0.5964
0.8,0.2544,0.6024,0.627,0.6651,0.6166,0.6409,0.6067,0.8068,0.7068,0.6544,0.5078,0.5811
0.9,0.2712,0.5874,0.6134,0.6025,0.5888,0.5956,0.5838,0.7662,0.675,0.6389,0.4924,0.5656
1,0.2886,0.5699,0.6031,0.5395,0.5604,0.55,0.5646,0.7262,0.6454,0.6213,0.4797,0.5505
1.1,0.3067,0.5497,0.5962,0.4791,0.5315,0.5053,0.5495,0.6874,0.6185,0.6024,0.4698,0.5361
1.2,0.3253,0.5273,0.5922,0.4239,0.5032,0.4635,0.5377,0.6498,0.5937,0.5825,0.4623,0.5224
1.3,0.3427,0.5031,0.5906,0.3752,0.4764,0.4258,0.5277,0.613,0.5703,0.5626,0.4572,0.5099
1.4,0.3572,0.4777,0.5915,0.3332,0.4518,0.3925,0.5188,0.5772,0.548,0.5437,0.4543,0.499
1.5,0.3682,0.4518,0.5953,0.2978,0.4296,0.3637,0.511,0.5432,0.5271,0.5262,0.4537,0.4899
1.6,0.3767,0.4263,0.6022,0.2694,0.4108,0.3401,0.5044,0.5118,0.5081,0.5097,0.4545,0.4821
1.7,0.3846,0.4025,0.6122,0.2483,0.3962,0.3223,0.4988,0.4829,0.4909,0.4936,0.456,0.4748
1.8,0.3932,0.3811,0.6248,0.2343,0.3865,0.3104,0.4932,0.4562,0.4747,0.4775,0.4573,0.4674
