Time,Kmart - Lego Masters Journey 30 TVC,Kmart - Lego Masters Journey 30 TVC,Kmart - Lego Masters Journey 30 TVC,Kmart - Lego Masters Journey 30 TVC,Kmart - Lego Masters Journey 30 TVC,Kmart - Lego Masters Journey 30 TVC,Kmart - Lego Masters Journey 30 TVC,Kmart - Lego Masters Journey 30 TVC,Kmart - Lego Masters Journey 30 TVC,Kmart - Lego Masters Journey 30 TVC,Kmart - Lego Masters Journey 30 TVC,Kmart - Lego Masters Journey 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.275,0.3299,0.3066,0.4263,0.3935,0.4099,0.2624,0.294,0.2782,0.5652,0.5637,0.5645
0.1,0.3083,0.3535,0.3015,0.4612,0.4027,0.4319,0.2931,0.3235,0.3083,0.558,0.5848,0.5714
0.2,0.3359,0.3766,0.3038,0.4935,0.4133,0.4534,0.3251,0.3545,0.3398,0.5516,0.6057,0.5787
0.3,0.3594,0.3985,0.3124,0.5233,0.4248,0.474,0.3575,0.3857,0.3716,0.5467,0.6256,0.5862
0.4,0.3789,0.4187,0.3259,0.551,0.4371,0.494,0.3892,0.4161,0.4026,0.5435,0.6437,0.5936
0.5,0.3943,0.4372,0.3434,0.577,0.4505,0.5137,0.4191,0.4456,0.4324,0.5418,0.6596,0.6007
0.6,0.4056,0.4536,0.3641,0.6022,0.4654,0.5338,0.4467,0.4742,0.4605,0.5419,0.6738,0.6079
0.7,0.4132,0.4679,0.3874,0.6274,0.4824,0.5549,0.472,0.5016,0.4868,0.5437,0.6867,0.6152
0.8,0.4178,0.4797,0.4121,0.6526,0.5017,0.5772,0.4951,0.5268,0.5109,0.5471,0.6981,0.6226
0.9,0.4202,0.4888,0.437,0.6776,0.5231,0.6004,0.5156,0.5489,0.5323,0.5516,0.7076,0.6296
1,0.4206,0.4956,0.4612,0.702,0.5456,0.6238,0.5332,0.5671,0.5502,0.5567,0.715,0.6359
1.1,0.4188,0.5002,0.4843,0.7252,0.5684,0.6468,0.5473,0.5809,0.5641,0.5618,0.7204,0.6411
1.2,0.4143,0.5031,0.5063,0.7475,0.5911,0.6693,0.5573,0.5897,0.5735,0.5671,0.7241,0.6456
1.3,0.4071,0.5049,0.5269,0.769,0.6138,0.6914,0.5634,0.5931,0.5783,0.5731,0.7266,0.6498
1.4,0.3973,0.5065,0.5458,0.7902,0.6368,0.7135,0.5661,0.5911,0.5786,0.5802,0.728,0.6541
1.5,0.3855,0.508,0.5634,0.8112,0.6601,0.7357,0.5668,0.584,0.5754,0.5884,0.7287,0.6585
1.6,0.3726,0.5097,0.58,0.832,0.6827,0.7573,0.5664,0.5722,0.5693,0.5968,0.7288,0.6628
1.7,0.3606,0.5118,0.5954,0.8524,0.7031,0.7778,0.565,0.556,0.5605,0.6045,0.7283,0.6664
1.8,0.3509,0.5148,0.6091,0.8723,0.7207,0.7965,0.5627,0.5354,0.549,0.6103,0.7267,0.6685
1.9,0.3436,0.5196,0.6206,0.8912,0.7363,0.8138,0.5594,0.5111,0.5353,0.6134,0.7236,0.6685
2,0.3372,0.5268,0.6298,0.9087,0.751,0.8298,0.5558,0.4851,0.5204,0.6136,0.7186,0.6661
2.1,0.3302,0.5363,0.6372,0.9237,0.7652,0.8444,0.5528,0.4597,0.5063,0.6109,0.7122,0.6616
2.2,0.3215,0.5479,0.644,0.9354,0.7782,0.8568,0.5514,0.4371,0.4942,0.6061,0.7055,0.6558
