Time,Samsung Galaxy S10 Plus TVC 30,Samsung Galaxy S10 Plus TVC 30,Samsung Galaxy S10 Plus TVC 30,Samsung Galaxy S10 Plus TVC 30,Samsung Galaxy S10 Plus TVC 30,Samsung Galaxy S10 Plus TVC 30,Samsung Galaxy S10 Plus TVC 30,Samsung Galaxy S10 Plus TVC 30,Samsung Galaxy S10 Plus TVC 30,Samsung Galaxy S10 Plus TVC 30,Samsung Galaxy S10 Plus TVC 30,Samsung Galaxy S10 Plus TVC 30
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1021,0.7366,0.6709,0.6527,0.6635,0.6581,0.64,0.8136,0.7268,0.6741,0.6201,0.6471
0.1,-0.0506,0.7533,0.6749,0.6795,0.6864,0.6829,0.6689,0.8243,0.7466,0.6686,0.5963,0.6325
0.2,-0.003,0.7704,0.674,0.7053,0.7132,0.7093,0.6971,0.8308,0.7639,0.6627,0.5693,0.616
0.3,0.0393,0.7873,0.6679,0.7302,0.7429,0.7365,0.7244,0.8326,0.7785,0.6559,0.5391,0.5975
0.4,0.0751,0.8037,0.6568,0.7539,0.7735,0.7637,0.751,0.83,0.7905,0.6477,0.5067,0.5772
0.5,0.1037,0.8195,0.6415,0.7761,0.8023,0.7892,0.7764,0.8233,0.7998,0.6379,0.4734,0.5556
0.6,0.1245,0.834,0.6229,0.7954,0.8258,0.8106,0.7997,0.8128,0.8062,0.6261,0.4395,0.5328
0.7,0.1378,0.8462,0.6017,0.8109,0.8405,0.8257,0.82,0.7991,0.8095,0.6121,0.4055,0.5088
0.8,0.1442,0.8553,0.5785,0.8226,0.8447,0.8336,0.8374,0.7832,0.8103,0.5959,0.3719,0.4839
0.9,0.1443,0.8604,0.554,0.831,0.8379,0.8345,0.8523,0.7664,0.8094,0.5776,0.3393,0.4585
1,0.1394,0.8608,0.5291,0.8367,0.8211,0.8289,0.8653,0.75,0.8076,0.5575,0.309,0.4332
1.1,0.1312,0.8561,0.5048,0.8395,0.7955,0.8175,0.8766,0.7348,0.8057,0.5362,0.2816,0.4089
1.2,0.1213,0.8462,0.482,0.8392,0.7628,0.801,0.8869,0.7215,0.8042,0.5149,0.258,0.3864
1.3,0.1104,0.831,0.4616,0.8358,0.7247,0.7802,0.8969,0.7106,0.8037,0.4955,0.2391,0.3673
1.4,0.0994,0.8108,0.4442,0.8299,0.6824,0.7562,0.9072,0.7024,0.8048,0.4803,0.2261,0.3532
1.5,0.0887,0.7857,0.4304,0.8224,0.6376,0.73,0.918,0.697,0.8075,0.4708,0.2198,0.3453
1.6,0.0792,0.7568,0.4205,0.8142,0.5925,0.7034,0.9294,0.6946,0.812,0.4683,0.2206,0.3444
1.7,0.0722,0.7256,0.4149,0.8062,0.5495,0.6779,0.941,0.6956,0.8183,0.4726,0.2284,0.3505
1.8,0.0688,0.694,0.4131,0.7989,0.5107,0.6548,0.9529,0.6999,0.8264,0.4831,0.2419,0.3625
1.9,0.0689,0.6641,0.4146,0.7932,0.4784,0.6358,0.9652,0.7075,0.8363,0.4987,0.2595,0.3791
2,0.0714,0.6381,0.4187,0.7898,0.4544,0.6221,0.9779,0.718,0.8479,0.5186,0.28,0.3993
2.1,0.0746,0.6177,0.4247,0.7891,0.4396,0.6144,0.9906,0.7309,0.8607,0.5416,0.3022,0.4219
2.2,0.076,0.6037,0.4318,0.7907,0.4338,0.6122,1.0021,0.7457,0.8739,0.5669,0.325,0.4459
2.3,0.0741,0.5958,0.4394,0.7932,0.4356,0.6144,1.011,0.7617,0.8863,0.5931,0.3474,0.4703
2.4,0.0685,0.5927,0.4462,0.7959,0.4429,0.6194,1.0159,0.7774,0.8967,0.619,0.3679,0.4934
2.5,0.0603,0.5929,0.4514,0.7981,0.4532,0.6256,1.016,0.7917,0.9038,0.6431,0.3853,0.5142
2.6,0.0512,0.5949,0.4548,0.7992,0.4651,0.6322,1.0113,0.8036,0.9074,0.6646,0.399,0.5318
2.7,0.0417,0.5982,0.4567,0.799,0.4781,0.6386,1.0024,0.8129,0.9077,0.6829,0.409,0.546
2.8,0.0319,0.6023,0.4575,0.797,0.4924,0.6447,0.9902,0.82,0.9051,0.6978,0.4161,0.5569
2.9,0.0215,0.6073,0.4576,0.7932,0.508,0.6506,0.9759,0.8249,0.9004,0.709,0.4209,0.5649
3,0.0101,0.6133,0.4571,0.788,0.5253,0.6566,0.9605,0.8281,0.8943,0.7166,0.4236,0.5701
3.1,-0.003,0.6205,0.4566,0.7824,0.544,0.6632,0.945,0.8297,0.8873,0.7206,0.4245,0.5726
3.2,-0.0186,0.629,0.4565,0.7773,0.5638,0.6706,0.9302,0.8301,0.8801,0.7208,0.4238,0.5723
3.3,-0.0367,0.6389,0.457,0.7731,0.5843,0.6787,0.9165,0.8295,0.873,0.7174,0.4219,0.5696
3.4,-0.0562,0.6496,0.4578,0.7701,0.6049,0.6875,0.9041,0.8279,0.866,0.7114,0.4196,0.5655
3.5,-0.0751,0.6608,0.4592,0.7684,0.6247,0.6966,0.8934,0.8253,0.8593,0.704,0.4183,0.5611
3.6,-0.0918,0.6722,0.4617,0.7684,0.6436,0.706,0.8846,0.8223,0.8535,0.6967,0.4191,0.5579
3.7,-0.1055,0.6837,0.466,0.7698,0.6615,0.7156,0.8782,0.8195,0.8489,0.6902,0.4232,0.5567
3.8,-0.1165,0.6951,0.4723,0.7721,0.6777,0.7249,0.8737,0.8175,0.8456,0.685,0.4311,0.558
3.9,-0.1254,0.7054,0.4801,0.7745,0.6914,0.733,0.8701,0.8161,0.8431,0.6814,0.4429,0.5621
4,-0.1322,0.7141,0.4887,0.7768,0.702,0.7394,0.8666,0.8151,0.8408,0.6806,0.4583,0.5694
4.1,-0.1362,0.721,0.4977,0.7794,0.7092,0.7443,0.8628,0.8142,0.8385,0.6836,0.4776,0.5806
4.2,-0.1366,0.7263,0.5067,0.7829,0.7131,0.748,0.8589,0.8134,0.8362,0.6914,0.5006,0.596
4.3,-0.1332,0.7303,0.5156,0.7871,0.7142,0.7507,0.8546,0.8129,0.8338,0.7039,0.5269,0.6154
4.4,-0.1267,0.733,0.5245,0.7916,0.7129,0.7522,0.8497,0.8126,0.8311,0.7207,0.5557,0.6382
4.5,-0.1178,0.7342,0.5333,0.7956,0.7093,0.7525,0.8436,0.8119,0.8278,0.7408,0.5866,0.6637
4.6,-0.1081,0.7341,0.5419,0.7992,0.7039,0.7515,0.8359,0.8107,0.8233,0.7631,0.6187,0.6909
4.7,-0.098,0.7329,0.5503,0.803,0.6971,0.75,0.8262,0.8086,0.8174,0.7868,0.6512,0.719
4.8,-0.0863,0.731,0.5578,0.8076,0.6896,0.7486,0.8144,0.8054,0.8099,0.8105,0.6827,0.7466
4.9,-0.0719,0.7282,0.5639,0.8131,0.6827,0.7479,0.8003,0.8008,0.8005,0.8326,0.7118,0.7722
