Time,Kmart - TVC,Kmart - TVC,Kmart - TVC,Kmart - TVC,Kmart - TVC,Kmart - TVC,Kmart - TVC,Kmart - TVC,Kmart - TVC,Kmart - TVC,Kmart - TVC,Kmart - TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1394,0.6771,0.5858,0.6588,0.6706,0.6647,0.553,0.6289,0.591,0.5796,0.5618,0.5707
0.1,-0.1527,0.6855,0.5794,0.6695,0.6746,0.672,0.5517,0.6262,0.5889,0.5768,0.5598,0.5683
0.2,-0.1638,0.6933,0.5747,0.6792,0.6786,0.6789,0.5513,0.6237,0.5875,0.575,0.5591,0.5671
0.3,-0.1726,0.7003,0.5719,0.6879,0.6826,0.6853,0.5519,0.6215,0.5867,0.5743,0.5596,0.5669
0.4,-0.1791,0.7066,0.5711,0.6956,0.6864,0.691,0.5537,0.6196,0.5867,0.5747,0.5611,0.5679
0.5,-0.1833,0.7122,0.5721,0.7021,0.69,0.6961,0.5566,0.618,0.5873,0.5763,0.5636,0.57
0.6,-0.185,0.717,0.5749,0.7075,0.6931,0.7003,0.5605,0.6168,0.5887,0.5788,0.567,0.5729
0.7,-0.1844,0.7208,0.579,0.7115,0.6956,0.7035,0.5651,0.6159,0.5905,0.5819,0.5712,0.5766
0.8,-0.1814,0.7232,0.5841,0.7137,0.6971,0.7054,0.57,0.6155,0.5927,0.5854,0.5757,0.5806
0.9,-0.1761,0.7242,0.5895,0.7141,0.6974,0.7057,0.5748,0.6153,0.5951,0.589,0.5802,0.5846
1,-0.169,0.7237,0.5947,0.7126,0.6965,0.7046,0.5795,0.6155,0.5975,0.5926,0.5845,0.5886
1.1,-0.1606,0.722,0.5992,0.7096,0.6947,0.7021,0.5841,0.6161,0.6001,0.5961,0.5885,0.5923
1.2,-0.1512,0.7191,0.6029,0.7056,0.6921,0.6989,0.5887,0.6172,0.603,0.5996,0.5921,0.5959
1.3,-0.1409,0.7153,0.6059,0.7011,0.6892,0.6952,0.5932,0.6188,0.606,0.6031,0.5952,0.5991
1.4,-0.13,0.711,0.6078,0.6968,0.6864,0.6916,0.5977,0.6208,0.6093,0.6065,0.5978,0.6021
1.5,-0.1192,0.7064,0.6086,0.6933,0.684,0.6887,0.6023,0.6234,0.6129,0.6099,0.5999,0.6049
1.6,-0.109,0.7017,0.6082,0.6908,0.6825,0.6866,0.6071,0.6268,0.6169,0.6132,0.6014,0.6073
1.7,-0.1001,0.6974,0.6068,0.6894,0.6818,0.6856,0.6119,0.6307,0.6213,0.6163,0.6026,0.6095
1.8,-0.0922,0.6934,0.6046,0.6893,0.6817,0.6855,0.6165,0.6349,0.6257,0.619,0.6035,0.6113
1.9,-0.0853,0.6897,0.6019,0.6903,0.682,0.6861,0.6208,0.6392,0.63,0.6212,0.6041,0.6126
2,-0.08,0.6865,0.5988,0.6922,0.6827,0.6875,0.6247,0.6433,0.634,0.6228,0.6046,0.6137
2.1,-0.0765,0.6838,0.5954,0.695,0.6838,0.6894,0.6281,0.6471,0.6376,0.6238,0.605,0.6144
2.2,-0.0752,0.6817,0.5919,0.6985,0.6851,0.6918,0.6313,0.6505,0.6409,0.6244,0.6056,0.615
2.3,-0.0757,0.6804,0.5886,0.7022,0.6867,0.6945,0.6343,0.6535,0.6439,0.6247,0.6065,0.6156
2.4,-0.0778,0.6798,0.5858,0.7061,0.6887,0.6974,0.6374,0.656,0.6467,0.6248,0.6077,0.6163
2.5,-0.0809,0.6796,0.5834,0.7101,0.691,0.7006,0.6405,0.6579,0.6492,0.6249,0.6094,0.6172
2.6,-0.0845,0.6799,0.5815,0.7143,0.6936,0.704,0.6439,0.6594,0.6517,0.625,0.6115,0.6183
2.7,-0.0881,0.6804,0.5804,0.7185,0.6965,0.7075,0.6477,0.6604,0.654,0.6252,0.6142,0.6197
2.8,-0.0919,0.6814,0.5804,0.7225,0.6994,0.7109,0.6519,0.6609,0.6564,0.6257,0.6176,0.6216
2.9,-0.0964,0.6829,0.5818,0.7265,0.7022,0.7143,0.6564,0.6609,0.6587,0.6265,0.6216,0.624
3,-0.1013,0.6849,0.5847,0.7303,0.7049,0.7176,0.6613,0.6607,0.661,0.6276,0.6262,0.6269
3.1,-0.1063,0.687,0.5889,0.7338,0.7073,0.7205,0.6666,0.6604,0.6635,0.6292,0.6312,0.6302
3.2,-0.1105,0.6889,0.5942,0.7367,0.7091,0.7229,0.6722,0.66,0.6661,0.6311,0.6365,0.6338
3.3,-0.1134,0.6904,0.6,0.7389,0.71,0.7244,0.6781,0.6593,0.6687,0.6334,0.6418,0.6376
3.4,-0.1151,0.6913,0.6057,0.74,0.7096,0.7248,0.6843,0.658,0.6711,0.636,0.6468,0.6414
3.5,-0.1157,0.6914,0.6109,0.74,0.7079,0.724,0.6904,0.6562,0.6733,0.6389,0.6514,0.6452
3.6,-0.1152,0.6904,0.6151,0.7391,0.7047,0.7219,0.6963,0.6537,0.675,0.6419,0.6555,0.6487
3.7,-0.1139,0.6882,0.618,0.7372,0.7,0.7186,0.7015,0.6506,0.676,0.6447,0.6589,0.6518
3.8,-0.1115,0.6846,0.6195,0.7343,0.6938,0.714,0.7055,0.6466,0.6761,0.647,0.6617,0.6543
3.9,-0.1077,0.6796,0.6192,0.7301,0.6863,0.7082,0.7078,0.642,0.6749,0.6483,0.6638,0.656
4,-0.1023,0.673,0.617,0.7246,0.6773,0.7009,0.708,0.6367,0.6723,0.6485,0.6648,0.6566
4.1,-0.0953,0.6647,0.6129,0.7175,0.6669,0.6922,0.7059,0.6307,0.6683,0.6475,0.6646,0.656
4.2,-0.0868,0.6548,0.6067,0.7089,0.655,0.6819,0.7014,0.624,0.6627,0.6454,0.6631,0.6542
4.3,-0.0775,0.6439,0.5988,0.6988,0.6418,0.6703,0.6949,0.6167,0.6558,0.6424,0.6603,0.6514
4.4,-0.0683,0.6326,0.5896,0.688,0.6283,0.6581,0.6867,0.6093,0.648,0.6389,0.6566,0.6477
4.5,-0.0597,0.6214,0.5797,0.6767,0.615,0.6458,0.6776,0.6023,0.6399,0.6352,0.6523,0.6438
4.6,-0.0519,0.6108,0.5696,0.6654,0.6027,0.634,0.6682,0.5959,0.6321,0.6318,0.6478,0.6398
4.7,-0.0447,0.601,0.5598,0.6541,0.5917,0.6229,0.6588,0.5906,0.6247,0.6288,0.6433,0.636
4.8,-0.0389,0.5924,0.5505,0.6433,0.5825,0.6129,0.6498,0.5865,0.6182,0.6264,0.6392,0.6328
4.9,-0.0348,0.5855,0.542,0.633,0.5754,0.6042,0.6413,0.5839,0.6126,0.6246,0.6357,0.6302
5,-0.033,0.5805,0.5344,0.6235,0.5707,0.5971,0.6335,0.5829,0.6082,0.6232,0.633,0.6281
5.1,-0.0331,0.5775,0.528,0.6148,0.5686,0.5917,0.6264,0.5831,0.6048,0.6222,0.631,0.6266
5.2,-0.0349,0.5763,0.5225,0.6066,0.5689,0.5878,0.62,0.5845,0.6022,0.6214,0.6296,0.6255
5.3,-0.0379,0.5766,0.5181,0.5991,0.5713,0.5852,0.6143,0.5867,0.6005,0.621,0.6288,0.6249
5.4,-0.0418,0.5781,0.5145,0.5922,0.5756,0.5839,0.6096,0.5897,0.5997,0.6211,0.6288,0.6249
5.5,-0.0466,0.5808,0.5118,0.5862,0.5816,0.5839,0.606,0.5933,0.5996,0.6216,0.6294,0.6255
5.6,-0.052,0.5846,0.5101,0.5813,0.5891,0.5852,0.6034,0.5975,0.6004,0.6226,0.6309,0.6267
5.7,-0.0578,0.5893,0.5095,0.5779,0.5979,0.5879,0.6019,0.6021,0.602,0.6239,0.6331,0.6285
5.8,-0.0636,0.5949,0.5098,0.5761,0.6078,0.5919,0.6014,0.6071,0.6043,0.6256,0.6358,0.6307
5.9,-0.0689,0.6012,0.5113,0.5758,0.6186,0.5972,0.6019,0.6123,0.6071,0.6273,0.639,0.6332
6,-0.0735,0.6082,0.5137,0.5771,0.6299,0.6035,0.6034,0.6175,0.6105,0.6292,0.6426,0.6359
6.1,-0.077,0.6156,0.5172,0.5797,0.6413,0.6105,0.6058,0.6225,0.6142,0.6312,0.6466,0.6389
6.2,-0.0791,0.623,0.5217,0.583,0.6524,0.6177,0.609,0.627,0.618,0.6334,0.651,0.6422
6.3,-0.0796,0.6299,0.5268,0.587,0.6626,0.6248,0.6127,0.631,0.6219,0.6357,0.6556,0.6457
6.4,-0.0783,0.6358,0.5327,0.5913,0.6716,0.6314,0.617,0.6343,0.6256,0.6381,0.6606,0.6493
6.5,-0.0753,0.6409,0.539,0.596,0.6791,0.6376,0.6217,0.637,0.6294,0.6404,0.6659,0.6531
6.6,-0.0708,0.6454,0.5459,0.6011,0.6853,0.6432,0.6268,0.6391,0.633,0.6427,0.6714,0.657
6.7,-0.0654,0.6496,0.5533,0.6065,0.6904,0.6485,0.6323,0.6407,0.6365,0.6451,0.6769,0.661
6.8,-0.0594,0.6536,0.5611,0.6122,0.6943,0.6533,0.6382,0.6417,0.64,0.6475,0.6821,0.6648
6.9,-0.0531,0.6573,0.5693,0.6181,0.6969,0.6575,0.6444,0.6425,0.6434,0.6501,0.6872,0.6686
7,-0.0467,0.6605,0.5779,0.6241,0.6979,0.661,0.651,0.6431,0.647,0.653,0.6918,0.6724
7.1,-0.0405,0.6628,0.5866,0.6298,0.6971,0.6635,0.6578,0.6436,0.6507,0.6562,0.696,0.6761
7.2,-0.0345,0.6641,0.5951,0.635,0.6943,0.6646,0.6644,0.6438,0.6541,0.6598,0.6995,0.6796
7.3,-0.0287,0.6641,0.6032,0.6391,0.6898,0.6644,0.6708,0.644,0.6574,0.6638,0.702,0.6829
7.4,-0.0235,0.6627,0.6107,0.642,0.6838,0.6629,0.6766,0.644,0.6603,0.6681,0.7036,0.6858
7.5,-0.0192,0.6604,0.6172,0.6438,0.6769,0.6604,0.6817,0.644,0.6629,0.6723,0.7041,0.6882
7.6,-0.0158,0.6575,0.6227,0.6445,0.6696,0.657,0.6858,0.6438,0.6648,0.6764,0.7036,0.69
7.7,-0.013,0.6542,0.6268,0.6442,0.6621,0.6532,0.6888,0.6433,0.6661,0.6798,0.7019,0.6908
7.8,-0.0107,0.6504,0.6292,0.6435,0.6551,0.6493,0.6908,0.6425,0.6667,0.6823,0.6987,0.6905
7.9,-0.0088,0.6459,0.6297,0.6421,0.6488,0.6455,0.6914,0.6412,0.6663,0.6837,0.6941,0.6889
8,-0.0074,0.641,0.6286,0.64,0.6436,0.6418,0.6905,0.6391,0.6648,0.6837,0.6881,0.6859
8.1,-0.0067,0.6358,0.6259,0.6371,0.6397,0.6384,0.688,0.6362,0.6621,0.682,0.6806,0.6813
8.2,-0.007,0.6306,0.6217,0.6335,0.6372,0.6354,0.6839,0.6328,0.6584,0.6788,0.6718,0.6753
8.3,-0.0079,0.6257,0.6162,0.6297,0.6364,0.6331,0.6786,0.6289,0.6537,0.6739,0.6619,0.6679
8.4,-0.0087,0.6212,0.6094,0.6257,0.6369,0.6313,0.6722,0.6245,0.6484,0.6676,0.6513,0.6594
8.5,-0.0086,0.617,0.6017,0.6216,0.6382,0.6299,0.6652,0.6198,0.6425,0.6602,0.6403,0.6502
8.6,-0.0077,0.6133,0.5934,0.6175,0.6396,0.6286,0.6577,0.6149,0.6363,0.6518,0.6294,0.6406
8.7,-0.006,0.6103,0.5851,0.6137,0.6408,0.6273,0.6503,0.6102,0.6303,0.6427,0.6188,0.6307
8.8,-0.004,0.6086,0.5774,0.6105,0.642,0.6262,0.6434,0.6061,0.6247,0.6331,0.6089,0.621
8.9,-0.0019,0.6083,0.571,0.6081,0.6432,0.6256,0.6373,0.6028,0.62,0.6234,0.6,0.6117
9,0.0006,0.6097,0.5662,0.6065,0.6446,0.6256,0.6322,0.6005,0.6164,0.614,0.5923,0.6032
9.1,0.0039,0.6125,0.5633,0.6056,0.646,0.6258,0.6286,0.5991,0.6139,0.6055,0.5862,0.5959
9.2,0.0086,0.6163,0.5626,0.605,0.6471,0.6261,0.6268,0.5987,0.6127,0.5981,0.5817,0.5899
9.3,0.0145,0.6207,0.5637,0.6046,0.6474,0.626,0.6269,0.5992,0.613,0.5923,0.5789,0.5856
9.4,0.0212,0.625,0.5666,0.6042,0.6467,0.6254,0.6291,0.6006,0.6149,0.5883,0.5776,0.5829
9.5,0.0281,0.6288,0.5709,0.6037,0.6447,0.6242,0.6336,0.6028,0.6182,0.5863,0.5777,0.582
9.6,0.035,0.632,0.5763,0.6032,0.6414,0.6223,0.6401,0.6057,0.6229,0.5864,0.5791,0.5828
9.7,0.0418,0.6347,0.5823,0.6031,0.6368,0.6199,0.6487,0.6092,0.6289,0.5885,0.5815,0.585
9.8,0.0484,0.6373,0.5888,0.6034,0.6309,0.6172,0.6588,0.613,0.6359,0.5922,0.5845,0.5884
9.9,0.0552,0.64,0.5955,0.6042,0.6236,0.6139,0.6697,0.6169,0.6433,0.5973,0.5875,0.5924
10,0.0618,0.6426,0.6022,0.6051,0.6151,0.6101,0.6807,0.6204,0.6506,0.603,0.5901,0.5965
10.1,0.0678,0.6445,0.6086,0.6057,0.6051,0.6054,0.6909,0.6233,0.6571,0.6088,0.5919,0.6004
10.2,0.0728,0.6451,0.6142,0.6057,0.5937,0.5997,0.6996,0.6253,0.6624,0.6141,0.5927,0.6034
10.3,0.0763,0.6441,0.6188,0.6051,0.5807,0.5929,0.706,0.6263,0.6662,0.6182,0.5922,0.6052
10.4,0.0783,0.6412,0.6219,0.6039,0.5665,0.5852,0.7097,0.6261,0.6679,0.6205,0.5901,0.6053
10.5,0.0785,0.6363,0.6234,0.6018,0.5514,0.5766,0.7099,0.6246,0.6673,0.6207,0.5864,0.6036
10.6,0.0769,0.6297,0.6232,0.5987,0.5355,0.5671,0.7064,0.6217,0.664,0.6186,0.5809,0.5997
10.7,0.0733,0.6215,0.6213,0.5942,0.5192,0.5567,0.6991,0.6173,0.6582,0.6139,0.5736,0.5938
10.8,0.0672,0.6121,0.6176,0.5886,0.5025,0.5455,0.6883,0.6114,0.6499,0.6068,0.5648,0.5858
