Time,Libra - Megan Washington,Libra - Megan Washington,Libra - Megan Washington,Libra - Megan Washington,Libra - Megan Washington,Libra - Megan Washington,Libra - Megan Washington,Libra - Megan Washington,Libra - Megan Washington,Libra - Megan Washington,Libra - Megan Washington,Libra - Megan Washington
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1375,0.3831,0.2768,0.3592,0.3243,0.3418,0.3761,0.3865,0.3813,0.4527,0.3642,0.4084
0.1,0.1558,0.3804,0.2927,0.3404,0.3166,0.3285,0.3584,0.3729,0.3656,0.4553,0.3659,0.4106
0.2,0.167,0.3794,0.3109,0.3251,0.3144,0.3197,0.3425,0.362,0.3522,0.4589,0.3701,0.4145
0.3,0.1698,0.3802,0.3313,0.3132,0.3177,0.3155,0.3283,0.3542,0.3412,0.4632,0.3769,0.4201
0.4,0.1633,0.3824,0.3537,0.3043,0.3267,0.3155,0.316,0.3492,0.3326,0.4679,0.3859,0.4269
0.5,0.1474,0.386,0.3773,0.2983,0.3406,0.3195,0.3059,0.347,0.3265,0.4724,0.3964,0.4344
0.6,0.1224,0.3911,0.4021,0.2953,0.359,0.3271,0.2985,0.3479,0.3232,0.4763,0.4076,0.442
0.7,0.0894,0.3984,0.4281,0.2954,0.3812,0.3383,0.2941,0.3521,0.3231,0.4797,0.4193,0.4495
0.8,0.0498,0.4078,0.4552,0.2985,0.4067,0.3526,0.2927,0.3598,0.3262,0.4831,0.4318,0.4574
0.9,0.0057,0.4185,0.4828,0.3038,0.434,0.3689,0.294,0.3702,0.3321,0.487,0.4451,0.4661
1,-0.0403,0.4293,0.5096,0.3105,0.4613,0.3859,0.2978,0.3819,0.3399,0.4918,0.4594,0.4756
1.1,-0.0861,0.4387,0.5342,0.3174,0.4866,0.402,0.3037,0.394,0.3488,0.4975,0.4744,0.4859
1.2,-0.1286,0.4461,0.5555,0.3241,0.5082,0.4162,0.3111,0.4056,0.3584,0.5037,0.4895,0.4966
1.3,-0.1658,0.4515,0.5729,0.3304,0.5257,0.4281,0.3196,0.4161,0.3678,0.5099,0.5039,0.5069
1.4,-0.1974,0.4554,0.5857,0.3368,0.5392,0.438,0.3283,0.4247,0.3765,0.5159,0.5173,0.5166
1.5,-0.2241,0.4583,0.5942,0.3438,0.5493,0.4465,0.3372,0.4311,0.3841,0.5219,0.5294,0.5257
1.6,-0.2464,0.4606,0.5982,0.3513,0.5568,0.454,0.3461,0.4351,0.3906,0.528,0.5404,0.5342
1.7,-0.2647,0.4622,0.598,0.359,0.5621,0.4606,0.3548,0.437,0.3959,0.5346,0.55,0.5423
1.8,-0.278,0.4628,0.5939,0.3664,0.5654,0.4659,0.3631,0.4367,0.3999,0.5413,0.5579,0.5496
1.9,-0.2857,0.4621,0.5863,0.3732,0.5665,0.4699,0.3707,0.4346,0.4026,0.5481,0.5634,0.5558
2,-0.2878,0.46,0.5753,0.3792,0.5656,0.4724,0.3775,0.4306,0.404,0.5549,0.5665,0.5607
2.1,-0.2859,0.4566,0.5616,0.3845,0.5627,0.4736,0.3838,0.4253,0.4046,0.562,0.5674,0.5647
2.2,-0.2819,0.4523,0.5459,0.3888,0.5579,0.4733,0.39,0.4195,0.4048,0.5695,0.5669,0.5682
2.3,-0.2775,0.4478,0.5296,0.3919,0.5512,0.4716,0.396,0.4138,0.4049,0.5776,0.5658,0.5717
2.4,-0.2731,0.4439,0.5137,0.3935,0.5429,0.4682,0.4016,0.4086,0.4051,0.5863,0.5645,0.5754
2.5,-0.2683,0.4414,0.4993,0.3937,0.5337,0.4637,0.4065,0.4041,0.4053,0.5954,0.5634,0.5794
2.6,-0.2634,0.4409,0.4872,0.393,0.5246,0.4588,0.4108,0.4007,0.4058,0.6051,0.5628,0.5839
2.7,-0.2596,0.4429,0.478,0.3924,0.5166,0.4545,0.4151,0.3991,0.4071,0.6157,0.5633,0.5895
2.8,-0.2583,0.4474,0.4717,0.3924,0.5102,0.4513,0.42,0.3998,0.4099,0.6271,0.5654,0.5963
2.9,-0.2602,0.4544,0.468,0.3932,0.5059,0.4495,0.4256,0.4032,0.4144,0.6393,0.5692,0.6042
3,-0.2652,0.4637,0.4665,0.3948,0.5039,0.4493,0.4324,0.4093,0.4208,0.6517,0.5744,0.6131
3.1,-0.2728,0.4751,0.4672,0.3973,0.5047,0.451,0.4404,0.4183,0.4294,0.664,0.5804,0.6222
3.2,-0.2826,0.4883,0.47,0.4012,0.5089,0.4551,0.4501,0.43,0.4401,0.6755,0.587,0.6313
3.3,-0.2949,0.5032,0.4751,0.407,0.517,0.462,0.4619,0.4444,0.4531,0.6861,0.594,0.6401
3.4,-0.309,0.5194,0.4823,0.4151,0.5288,0.472,0.4759,0.4609,0.4684,0.6955,0.6015,0.6485
3.5,-0.3234,0.5366,0.4916,0.4259,0.5435,0.4847,0.4927,0.4791,0.4859,0.7038,0.6092,0.6565
3.6,-0.3368,0.5542,0.5031,0.4393,0.5604,0.4999,0.5125,0.4985,0.5055,0.7112,0.6168,0.664
3.7,-0.3481,0.5719,0.5167,0.4553,0.5791,0.5172,0.5357,0.5191,0.5274,0.7182,0.6239,0.671
3.8,-0.3571,0.5892,0.5323,0.4737,0.599,0.5363,0.5621,0.5408,0.5515,0.725,0.6304,0.6777
3.9,-0.3642,0.6057,0.5493,0.4937,0.6197,0.5567,0.5914,0.5635,0.5774,0.7318,0.636,0.6839
4,-0.3697,0.6208,0.5671,0.5146,0.6398,0.5772,0.6227,0.5863,0.6045,0.7385,0.6407,0.6896
4.1,-0.3742,0.6338,0.5857,0.5354,0.6582,0.5968,0.6549,0.6083,0.6316,0.745,0.6443,0.6946
4.2,-0.378,0.6441,0.6052,0.5551,0.6735,0.6143,0.6872,0.6287,0.658,0.751,0.6467,0.6988
4.3,-0.3817,0.6512,0.626,0.5732,0.6851,0.6291,0.719,0.6473,0.6831,0.756,0.6478,0.7019
4.4,-0.3857,0.655,0.6481,0.5892,0.6928,0.641,0.7497,0.6639,0.7068,0.7596,0.6472,0.7034
4.5,-0.3903,0.6557,0.6713,0.6029,0.6969,0.6499,0.779,0.6789,0.7289,0.7615,0.6447,0.7031
4.6,-0.3953,0.6539,0.6949,0.6148,0.6978,0.6563,0.8062,0.6918,0.749,0.7612,0.64,0.7006
4.7,-0.4003,0.6501,0.7184,0.6255,0.6956,0.6606,0.8307,0.7025,0.7666,0.759,0.6332,0.6961
4.8,-0.4051,0.6449,0.7411,0.6354,0.6909,0.6631,0.852,0.7105,0.7813,0.7552,0.6247,0.6899
4.9,-0.4087,0.638,0.7621,0.6436,0.6834,0.6635,0.8695,0.7152,0.7923,0.7499,0.6151,0.6825
5,-0.4099,0.6291,0.7803,0.6487,0.6729,0.6608,0.8821,0.7161,0.7991,0.7432,0.6048,0.674
5.1,-0.4073,0.6181,0.7951,0.6494,0.659,0.6542,0.8888,0.7126,0.8007,0.7347,0.5939,0.6643
5.2,-0.4006,0.6047,0.8061,0.6455,0.6421,0.6438,0.8889,0.7045,0.7967,0.7248,0.5824,0.6536
5.3,-0.3902,0.5893,0.8132,0.6371,0.6228,0.63,0.8817,0.6918,0.7867,0.7141,0.5708,0.6425
5.4,-0.3771,0.5722,0.8162,0.6246,0.6018,0.6132,0.8673,0.6752,0.7713,0.7032,0.5601,0.6317
