Time,Lite n Easy Samantha 15 TVC ATT CASEY,Lite n Easy Samantha 15 TVC ATT CASEY,Lite n Easy Samantha 15 TVC ATT CASEY,Lite n Easy Samantha 15 TVC ATT CASEY,Lite n Easy Samantha 15 TVC ATT CASEY,Lite n Easy Samantha 15 TVC ATT CASEY,Lite n Easy Samantha 15 TVC ATT CASEY,Lite n Easy Samantha 15 TVC ATT CASEY,Lite n Easy Samantha 15 TVC ATT CASEY,Lite n Easy Samantha 15 TVC ATT CASEY,Lite n Easy Samantha 15 TVC ATT CASEY,Lite n Easy Samantha 15 TVC ATT CASEY
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0583,0.6718,0.9976,0.7994,0.8717,0.8356,0.728,0.8425,0.7852,0.9062,0.8935,0.8998
0.1,-0.0371,0.6777,0.9873,0.8027,0.8631,0.8329,0.7414,0.8517,0.7965,0.9084,0.8928,0.9006
0.2,-0.0165,0.6834,0.9752,0.8059,0.8518,0.8289,0.7557,0.8604,0.808,0.9095,0.8909,0.9002
0.3,0.0021,0.6884,0.9614,0.8082,0.8378,0.823,0.7705,0.8679,0.8192,0.9095,0.8875,0.8985
0.4,0.0169,0.6927,0.9459,0.8088,0.8215,0.8152,0.7856,0.8738,0.8297,0.9082,0.8824,0.8953
0.5,0.0269,0.6962,0.9294,0.8076,0.8035,0.8056,0.8008,0.8783,0.8395,0.906,0.8761,0.8911
0.6,0.0323,0.6992,0.913,0.805,0.7844,0.7947,0.8164,0.8823,0.8494,0.9035,0.8691,0.8863
0.7,0.0343,0.7017,0.8978,0.8013,0.7642,0.7828,0.8323,0.8865,0.8594,0.9009,0.8614,0.8812
0.8,0.0337,0.7033,0.8842,0.7968,0.743,0.7699,0.8482,0.891,0.8696,0.8982,0.8531,0.8756
0.9,0.0308,0.7036,0.8728,0.7915,0.7206,0.756,0.8639,0.8954,0.8797,0.8956,0.8445,0.8701
1,0.0262,0.7023,0.8644,0.7854,0.6975,0.7414,0.8791,0.9001,0.8896,0.894,0.8367,0.8653
1.1,0.0203,0.6993,0.8593,0.7789,0.6745,0.7267,0.8937,0.9053,0.8995,0.894,0.8306,0.8623
1.2,0.0138,0.6948,0.8579,0.772,0.6524,0.7122,0.9073,0.9113,0.9093,0.8959,0.8268,0.8614
1.3,0.0081,0.6884,0.8601,0.7647,0.6315,0.6981,0.9192,0.918,0.9186,0.8992,0.8253,0.8622
1.4,0.0052,0.68,0.8657,0.7569,0.6123,0.6846,0.9285,0.9248,0.9267,0.9032,0.8252,0.8642
1.5,0.0067,0.6695,0.874,0.7488,0.5951,0.672,0.9347,0.931,0.9328,0.9069,0.826,0.8665
1.6,0.013,0.6577,0.8841,0.7406,0.5811,0.6609,0.9375,0.9361,0.9368,0.9098,0.8271,0.8684
1.7,0.0237,0.6457,0.895,0.7328,0.5708,0.6518,0.937,0.94,0.9385,0.9114,0.8282,0.8698
1.8,0.0384,0.6349,0.905,0.7255,0.5644,0.645,0.9332,0.9428,0.938,0.9121,0.8293,0.8707
1.9,0.0558,0.6257,0.9135,0.7188,0.5617,0.6402,0.9267,0.9444,0.9355,0.912,0.8304,0.8712
2,0.0739,0.6186,0.9195,0.713,0.562,0.6375,0.9182,0.9445,0.9314,0.911,0.8314,0.8712
2.1,0.0909,0.6143,0.9222,0.7086,0.5649,0.6368,0.9087,0.943,0.9258,0.909,0.8319,0.8705
2.2,0.1059,0.6134,0.9217,0.7063,0.5703,0.6383,0.8987,0.9402,0.9195,0.906,0.8315,0.8687
2.3,0.1189,0.6164,0.918,0.7068,0.578,0.6424,0.8891,0.9359,0.9125,0.9019,0.8301,0.866
2.4,0.1305,0.6234,0.9114,0.7108,0.5879,0.6494,0.8802,0.9304,0.9053,0.8974,0.8278,0.8626
2.5,0.1411,0.6343,0.9027,0.7189,0.6,0.6595,0.8728,0.9237,0.8983,0.8932,0.8253,0.8592
2.6,0.1502,0.649,0.893,0.7311,0.6139,0.6725,0.8672,0.9164,0.8918,0.8896,0.823,0.8563
2.7,0.1574,0.6671,0.8832,0.7468,0.6289,0.6879,0.8632,0.9089,0.886,0.8869,0.8214,0.8542
2.8,0.1623,0.688,0.8736,0.765,0.6447,0.7049,0.8608,0.9014,0.8811,0.8853,0.8208,0.853
2.9,0.1648,0.7108,0.864,0.7845,0.6609,0.7227,0.8598,0.894,0.8769,0.8846,0.8211,0.8529
3,0.1647,0.7343,0.8542,0.8046,0.6772,0.7409,0.86,0.8864,0.8732,0.8851,0.822,0.8536
3.1,0.1622,0.7579,0.8437,0.8248,0.693,0.7589,0.8617,0.8782,0.8699,0.8867,0.8232,0.855
3.2,0.158,0.7809,0.8328,0.8448,0.7074,0.7761,0.8648,0.8693,0.8671,0.8891,0.8245,0.8568
3.3,0.1534,0.8032,0.822,0.8642,0.72,0.7921,0.8693,0.86,0.8647,0.8922,0.8258,0.859
3.4,0.1493,0.8245,0.8119,0.882,0.7303,0.8061,0.8747,0.8504,0.8626,0.8959,0.8273,0.8616
3.5,0.1457,0.8447,0.803,0.8974,0.7385,0.818,0.8805,0.8402,0.8603,0.9002,0.8289,0.8646
3.6,0.1423,0.8635,0.7952,0.9101,0.7451,0.8276,0.8858,0.8288,0.8573,0.9048,0.8304,0.8676
3.7,0.1399,0.8802,0.7882,0.9197,0.75,0.8348,0.8897,0.8157,0.8527,0.9089,0.8314,0.8702
3.8,0.1407,0.8941,0.7815,0.9263,0.7528,0.8395,0.8916,0.801,0.8463,0.912,0.8318,0.8719
3.9,0.1466,0.9044,0.7751,0.9295,0.7529,0.8412,0.8909,0.7852,0.8381,0.9133,0.8314,0.8723
