Time,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC,Lite n Easy - 10 Chances to win 10Grand 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.2069,0.8879,0.5623,0.5399,0.784,0.6619,0.5551,0.8358,0.6954,0.3268,0.4696,0.3982
0.1,-0.2294,0.8822,0.5754,0.5633,0.7911,0.6772,0.5492,0.8541,0.7016,0.3366,0.4978,0.4172
0.2,-0.2513,0.8713,0.5897,0.5908,0.7977,0.6943,0.5422,0.8651,0.7036,0.3501,0.5259,0.438
0.3,-0.2743,0.8551,0.6043,0.6204,0.804,0.7122,0.5347,0.8703,0.7025,0.3671,0.5536,0.4604
0.4,-0.2986,0.8342,0.6193,0.6511,0.8103,0.7307,0.5274,0.8706,0.699,0.387,0.5804,0.4837
0.5,-0.3224,0.8093,0.6345,0.682,0.8167,0.7493,0.5203,0.8666,0.6934,0.4092,0.6049,0.5071
0.6,-0.342,0.7812,0.6494,0.711,0.8227,0.7668,0.5133,0.8584,0.6858,0.4334,0.6263,0.5299
0.7,-0.3538,0.7512,0.6637,0.7369,0.8281,0.7825,0.5076,0.8461,0.6769,0.4599,0.6448,0.5524
0.8,-0.3567,0.7211,0.6776,0.7598,0.8327,0.7963,0.5055,0.8306,0.668,0.4887,0.6611,0.5749
0.9,-0.351,0.6925,0.6915,0.78,0.8364,0.8082,0.5081,0.8125,0.6603,0.5191,0.6758,0.5975
1,-0.338,0.6668,0.7056,0.7973,0.8392,0.8183,0.516,0.793,0.6545,0.5499,0.6896,0.6197
1.1,-0.3187,0.6443,0.7196,0.812,0.8412,0.8266,0.5291,0.7732,0.6511,0.5799,0.7031,0.6415
1.2,-0.2951,0.625,0.7329,0.824,0.8423,0.8331,0.5478,0.7535,0.6507,0.6087,0.7169,0.6628
1.3,-0.2693,0.6086,0.7455,0.8334,0.8418,0.8376,0.5726,0.7346,0.6536,0.6359,0.7309,0.6834
1.4,-0.2429,0.5948,0.7578,0.8402,0.8391,0.8397,0.6031,0.7166,0.6599,0.6614,0.7441,0.7027
1.5,-0.2164,0.5834,0.7693,0.8443,0.8339,0.8391,0.6378,0.6995,0.6687,0.6847,0.756,0.7203
1.6,-0.19,0.5743,0.7786,0.8459,0.8261,0.836,0.6748,0.6826,0.6787,0.7055,0.7664,0.7359
1.7,-0.1646,0.5668,0.784,0.8453,0.8153,0.8303,0.7119,0.6656,0.6887,0.7234,0.7758,0.7496
1.8,-0.1407,0.5606,0.7841,0.8429,0.801,0.822,0.7475,0.6482,0.6979,0.738,0.7842,0.7611
1.9,-0.118,0.5554,0.7793,0.8392,0.7829,0.8111,0.7808,0.6309,0.7058,0.7485,0.7904,0.7695
2,-0.0965,0.5514,0.7708,0.8342,0.7623,0.7982,0.8106,0.6146,0.7126,0.7542,0.7938,0.774
2.1,-0.0763,0.5487,0.759,0.8274,0.7407,0.7841,0.8361,0.6001,0.7181,0.7548,0.7936,0.7742
2.2,-0.0571,0.547,0.744,0.8183,0.7202,0.7693,0.8566,0.5876,0.7221,0.7504,0.79,0.7702
2.3,-0.0394,0.5462,0.7261,0.8068,0.7022,0.7545,0.8722,0.5768,0.7245,0.7415,0.7838,0.7627
2.4,-0.0242,0.5463,0.7067,0.7937,0.687,0.7403,0.8831,0.5675,0.7253,0.7294,0.7756,0.7525
2.5,-0.012,0.5481,0.6878,0.7806,0.675,0.7278,0.8898,0.56,0.7249,0.715,0.7656,0.7403
2.6,-0.0027,0.5516,0.6708,0.7685,0.6665,0.7175,0.8919,0.5548,0.7233,0.6988,0.7541,0.7264
2.7,0.0046,0.5562,0.6553,0.7568,0.6616,0.7092,0.8893,0.5517,0.7205,0.6815,0.7413,0.7114
2.8,0.0115,0.561,0.6398,0.7449,0.6597,0.7023,0.8822,0.5498,0.716,0.6637,0.728,0.6958
2.9,0.0174,0.5655,0.6238,0.7322,0.6606,0.6964,0.8714,0.5487,0.71,0.646,0.715,0.6805
3,0.0199,0.5695,0.6081,0.7186,0.6646,0.6916,0.8578,0.5488,0.7033,0.629,0.7028,0.6659
3.1,0.0178,0.5737,0.5941,0.7052,0.6727,0.6889,0.8428,0.5512,0.697,0.6131,0.6911,0.6521
3.2,0.0124,0.5781,0.5821,0.6927,0.6852,0.6889,0.8271,0.5567,0.6919,0.5984,0.6795,0.6389
3.3,0.0056,0.5823,0.5722,0.6818,0.7012,0.6915,0.8111,0.5654,0.6883,0.5847,0.6681,0.6264
3.4,0.0002,0.5856,0.5645,0.6732,0.7194,0.6963,0.7949,0.5773,0.6861,0.5723,0.6571,0.6147
3.5,-0.0024,0.5876,0.5597,0.6677,0.7384,0.703,0.7793,0.5927,0.686,0.5611,0.647,0.6041
3.6,-0.0018,0.5881,0.5584,0.6651,0.7571,0.7111,0.7652,0.6114,0.6883,0.5511,0.638,0.5946
3.7,0.0026,0.5869,0.5607,0.6651,0.7742,0.7197,0.753,0.6328,0.6929,0.5416,0.63,0.5858
3.8,0.0119,0.5839,0.5663,0.6674,0.789,0.7282,0.7432,0.6554,0.6993,0.5326,0.6226,0.5776
3.9,0.026,0.5797,0.574,0.6725,0.8008,0.7366,0.7367,0.6781,0.7074,0.5242,0.6165,0.5704
4,0.0439,0.5751,0.5833,0.6806,0.8094,0.745,0.7348,0.7,0.7174,0.5172,0.6127,0.5649
4.1,0.0634,0.5709,0.5938,0.6916,0.8152,0.7534,0.7385,0.7204,0.7294,0.5117,0.6116,0.5617
4.2,0.0826,0.5676,0.6052,0.7044,0.8184,0.7614,0.7479,0.7392,0.7436,0.5071,0.6132,0.5601
4.3,0.1015,0.5651,0.617,0.718,0.819,0.7685,0.762,0.7563,0.7592,0.5026,0.6166,0.5596
4.4,0.1203,0.5639,0.6282,0.7322,0.8172,0.7747,0.7796,0.7717,0.7757,0.4978,0.6209,0.5594
4.5,0.1385,0.5645,0.6385,0.747,0.8129,0.7799,0.7995,0.7854,0.7925,0.4925,0.6254,0.559
4.6,0.1545,0.5671,0.6475,0.7621,0.8063,0.7842,0.8203,0.7972,0.8088,0.4866,0.629,0.5578
4.7,0.1681,0.5718,0.6552,0.7762,0.7975,0.7869,0.8411,0.8064,0.8238,0.48,0.6307,0.5553
4.8,0.1805,0.5781,0.6611,0.7881,0.7862,0.7871,0.8607,0.8125,0.8366,0.4727,0.6301,0.5514
4.9,0.1934,0.5855,0.6641,0.7973,0.7717,0.7845,0.8788,0.8153,0.847,0.4654,0.6278,0.5466
5,0.2069,0.5941,0.6643,0.8044,0.7544,0.7794,0.8953,0.8152,0.8553,0.4587,0.625,0.5419
5.1,0.2201,0.6046,0.6631,0.8102,0.7355,0.7729,0.9106,0.8134,0.862,0.4533,0.6225,0.5379
5.2,0.2313,0.6175,0.6619,0.8149,0.7175,0.7662,0.9246,0.8114,0.868,0.4494,0.6201,0.5347
5.3,0.2399,0.6333,0.661,0.8186,0.7033,0.7609,0.9369,0.81,0.8734,0.4471,0.6175,0.5323
5.4,0.2461,0.6518,0.6598,0.8213,0.6949,0.7581,0.9463,0.8093,0.8778,0.4467,0.6145,0.5306
5.5,0.2509,0.6717,0.6571,0.8237,0.6925,0.7581,0.9517,0.8088,0.8802,0.4484,0.611,0.5297
5.6,0.2543,0.6922,0.6524,0.8264,0.6956,0.761,0.9525,0.8077,0.8801,0.4523,0.6077,0.53
5.7,0.2544,0.7124,0.6454,0.8303,0.7025,0.7664,0.9492,0.8049,0.8771,0.4584,0.6046,0.5315
5.8,0.2505,0.7314,0.6355,0.8353,0.7111,0.7732,0.9421,0.8,0.871,0.4662,0.6003,0.5332
5.9,0.2439,0.7479,0.6222,0.8409,0.7199,0.7804,0.9315,0.7923,0.8619,0.4743,0.5933,0.5338
6,0.2368,0.7613,0.6057,0.8469,0.7282,0.7876,0.9179,0.7823,0.8501,0.4816,0.5831,0.5324
6.1,0.2309,0.7718,0.5871,0.8536,0.7365,0.795,0.9022,0.7708,0.8365,0.487,0.5702,0.5286
6.2,0.2269,0.7801,0.5678,0.8607,0.745,0.8028,0.8857,0.7583,0.822,0.4904,0.5554,0.5229
