Time,Maggi Meal Sauces,Maggi Meal Sauces,Maggi Meal Sauces,Maggi Meal Sauces,Maggi Meal Sauces,Maggi Meal Sauces,Maggi Meal Sauces,Maggi Meal Sauces,Maggi Meal Sauces,Maggi Meal Sauces,Maggi Meal Sauces,Maggi Meal Sauces
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1352,0.6839,0.8946,0.9959,1.0144,1.0052,0.7469,0.9149,0.8309,0.5803,0.7387,0.6595
0.1,-0.1523,0.6713,0.913,0.9556,0.9889,0.9723,0.7234,0.9161,0.8197,0.5502,0.7266,0.6384
0.2,-0.1672,0.6586,0.9288,0.9093,0.959,0.9341,0.7004,0.9137,0.807,0.5226,0.7153,0.619
0.3,-0.1795,0.6464,0.9415,0.8576,0.9245,0.8911,0.6785,0.9079,0.7932,0.4984,0.7048,0.6016
0.4,-0.1881,0.6353,0.9511,0.8021,0.8864,0.8442,0.6579,0.8989,0.7784,0.4781,0.6955,0.5868
0.5,-0.1916,0.6261,0.9576,0.7452,0.8467,0.7959,0.6394,0.8871,0.7633,0.4623,0.6875,0.5749
0.6,-0.189,0.6203,0.9615,0.6904,0.8084,0.7494,0.6243,0.8736,0.749,0.4515,0.6811,0.5663
0.7,-0.1803,0.6193,0.9631,0.6405,0.7741,0.7073,0.6139,0.8596,0.7367,0.4458,0.676,0.5609
0.8,-0.1663,0.6227,0.9626,0.5966,0.7451,0.6709,0.6088,0.8459,0.7273,0.4452,0.6722,0.5587
0.9,-0.1483,0.6294,0.9599,0.5584,0.7213,0.6398,0.6086,0.8329,0.7207,0.4493,0.6691,0.5592
1,-0.1281,0.6381,0.955,0.525,0.7022,0.6136,0.6121,0.8208,0.7164,0.4576,0.6664,0.562
1.1,-0.1081,0.6489,0.9482,0.4961,0.6879,0.592,0.6177,0.8095,0.7136,0.4693,0.6638,0.5666
1.2,-0.0905,0.6628,0.9395,0.4722,0.6786,0.5754,0.6243,0.7991,0.7117,0.4838,0.6612,0.5725
1.3,-0.0767,0.6803,0.9292,0.4537,0.6741,0.5639,0.6307,0.7897,0.7102,0.5003,0.6584,0.5794
1.4,-0.0667,0.7008,0.9176,0.4408,0.6738,0.5573,0.6367,0.7815,0.7091,0.5182,0.6553,0.5868
1.5,-0.0605,0.7231,0.9055,0.4327,0.6767,0.5547,0.6421,0.7747,0.7084,0.5373,0.6521,0.5947
1.6,-0.0583,0.7459,0.8938,0.4284,0.6821,0.5552,0.6468,0.769,0.7079,0.5573,0.6492,0.6033
1.7,-0.0598,0.768,0.8832,0.4267,0.6891,0.5579,0.6501,0.7638,0.707,0.5774,0.6471,0.6122
1.8,-0.0645,0.7885,0.8741,0.4266,0.697,0.5618,0.6511,0.7583,0.7047,0.5965,0.6458,0.6211
1.9,-0.0716,0.8064,0.867,0.4268,0.7048,0.5658,0.6494,0.7521,0.7008,0.6135,0.6455,0.6295
2,-0.0797,0.821,0.8621,0.4268,0.712,0.5694,0.6455,0.7456,0.6956,0.6282,0.6466,0.6374
2.1,-0.0887,0.8318,0.8596,0.4264,0.7186,0.5725,0.6403,0.7394,0.6899,0.6404,0.6494,0.6449
2.2,-0.0983,0.8388,0.8593,0.4261,0.7244,0.5752,0.6348,0.7339,0.6843,0.6502,0.6536,0.6519
2.3,-0.1078,0.8419,0.8609,0.4265,0.7287,0.5776,0.6296,0.7288,0.6792,0.6579,0.6591,0.6585
2.4,-0.1167,0.8411,0.8641,0.4281,0.7311,0.5796,0.625,0.7239,0.6745,0.664,0.6659,0.665
2.5,-0.1239,0.8365,0.8684,0.4312,0.7312,0.5812,0.621,0.7193,0.6701,0.6687,0.674,0.6713
2.6,-0.1287,0.8276,0.8734,0.4354,0.7287,0.582,0.6175,0.7146,0.6661,0.6722,0.683,0.6776
2.7,-0.1309,0.8145,0.879,0.4398,0.7232,0.5815,0.6147,0.7097,0.6622,0.6746,0.6922,0.6834
2.8,-0.1311,0.7979,0.8851,0.444,0.715,0.5795,0.6129,0.7049,0.6589,0.6765,0.7014,0.689
2.9,-0.1295,0.7787,0.8919,0.4485,0.7046,0.5765,0.613,0.701,0.657,0.6789,0.7108,0.6948
3,-0.1261,0.7581,0.8994,0.4534,0.6927,0.573,0.6158,0.6989,0.6574,0.6828,0.7211,0.7019
3.1,-0.121,0.7368,0.9075,0.4585,0.6799,0.5692,0.6218,0.6989,0.6604,0.6894,0.733,0.7112
3.2,-0.1146,0.7152,0.9163,0.4631,0.6668,0.5649,0.6312,0.7009,0.6661,0.6992,0.7468,0.723
3.3,-0.1071,0.6936,0.9254,0.4664,0.6536,0.56,0.644,0.7043,0.6742,0.7119,0.7621,0.737
3.4,-0.0983,0.6725,0.9344,0.4683,0.6403,0.5543,0.6599,0.7087,0.6843,0.7271,0.7782,0.7526
3.5,-0.0872,0.6523,0.943,0.4692,0.6275,0.5483,0.6782,0.7137,0.696,0.744,0.7945,0.7692
3.6,-0.0728,0.6337,0.9508,0.4697,0.6158,0.5428,0.6984,0.7188,0.7086,0.7621,0.8104,0.7862
3.7,-0.055,0.6171,0.9574,0.47,0.6059,0.538,0.7194,0.7232,0.7213,0.7807,0.825,0.8028
3.8,-0.0348,0.6023,0.9619,0.47,0.5976,0.5338,0.7401,0.7262,0.7332,0.7989,0.8376,0.8182
3.9,-0.0135,0.5891,0.963,0.4692,0.5902,0.5297,0.7597,0.7271,0.7434,0.8157,0.8473,0.8315
4,0.0079,0.5768,0.96,0.4673,0.5831,0.5252,0.7771,0.7255,0.7513,0.83,0.8536,0.8418
4.1,0.0286,0.5647,0.9523,0.4641,0.5754,0.5198,0.7915,0.7211,0.7563,0.8413,0.8563,0.8488
4.2,0.0482,0.5526,0.9402,0.4601,0.5672,0.5137,0.8026,0.7143,0.7584,0.8495,0.8557,0.8526
4.3,0.0667,0.5414,0.9243,0.4562,0.559,0.5076,0.8104,0.7057,0.7581,0.8545,0.8519,0.8532
4.4,0.0841,0.5325,0.9054,0.4543,0.5518,0.503,0.8153,0.6964,0.7559,0.8562,0.8452,0.8507
4.5,0.1002,0.527,0.8844,0.4561,0.5466,0.5014,0.818,0.6872,0.7526,0.855,0.836,0.8455
4.6,0.1151,0.5254,0.8621,0.4631,0.5441,0.5036,0.8191,0.6787,0.7489,0.8511,0.8247,0.8379
4.7,0.1291,0.5268,0.8398,0.4751,0.5447,0.5099,0.8188,0.6711,0.7449,0.8448,0.8117,0.8282
4.8,0.1422,0.5302,0.818,0.4914,0.548,0.5197,0.8172,0.6641,0.7407,0.8359,0.797,0.8165
4.9,0.1537,0.5351,0.7974,0.5108,0.5535,0.5322,0.8142,0.6579,0.736,0.8246,0.7811,0.8028
5,0.1635,0.5416,0.7784,0.5327,0.5609,0.5468,0.8096,0.6523,0.731,0.811,0.7644,0.7877
5.1,0.1721,0.5493,0.7613,0.5564,0.57,0.5632,0.8035,0.6479,0.7257,0.7956,0.7477,0.7717
5.2,0.1798,0.5577,0.7467,0.5811,0.5802,0.5807,0.7964,0.645,0.7207,0.7791,0.7313,0.7552
5.3,0.1862,0.5658,0.735,0.6059,0.5912,0.5985,0.7887,0.6446,0.7166,0.762,0.7155,0.7387
5.4,0.1901,0.5729,0.7268,0.6295,0.6023,0.6159,0.7808,0.6472,0.714,0.745,0.7006,0.7228
5.5,0.19,0.5787,0.7223,0.651,0.6128,0.6319,0.773,0.653,0.713,0.7291,0.687,0.708
5.6,0.1852,0.5831,0.7217,0.6695,0.6225,0.646,0.7657,0.6617,0.7137,0.7147,0.6753,0.695
5.7,0.1761,0.5866,0.7246,0.6844,0.631,0.6577,0.7587,0.6726,0.7156,0.7022,0.666,0.6841
5.8,0.1639,0.5895,0.7309,0.6958,0.6385,0.6671,0.7522,0.6855,0.7188,0.6919,0.6594,0.6757
5.9,0.15,0.5918,0.7401,0.7039,0.645,0.6744,0.7469,0.7002,0.7235,0.6843,0.6557,0.67
6,0.1355,0.5935,0.7519,0.709,0.6504,0.6797,0.743,0.7165,0.7297,0.6796,0.6549,0.6672
6.1,0.1215,0.5941,0.7656,0.7115,0.6544,0.683,0.7409,0.7335,0.7372,0.678,0.6567,0.6673
6.2,0.109,0.5936,0.7801,0.7119,0.6564,0.6841,0.7403,0.7501,0.7452,0.6791,0.6606,0.6699
6.3,0.0985,0.5918,0.7944,0.7102,0.6565,0.6833,0.7407,0.7649,0.7528,0.6825,0.6662,0.6743
6.4,0.0902,0.5886,0.8078,0.7064,0.6547,0.6806,0.7414,0.7771,0.7593,0.6878,0.6727,0.6802
6.5,0.0842,0.5841,0.8198,0.7003,0.6513,0.6758,0.7417,0.7861,0.7639,0.6944,0.6793,0.6868
6.6,0.0803,0.578,0.83,0.6923,0.6465,0.6694,0.7412,0.7916,0.7664,0.7016,0.6855,0.6936
6.7,0.0783,0.5701,0.8378,0.6826,0.6402,0.6614,0.7394,0.7934,0.7664,0.7089,0.6906,0.6997
6.8,0.0781,0.5602,0.8426,0.6718,0.6327,0.6523,0.7362,0.7916,0.7639,0.7153,0.6939,0.7046
