Time,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC,Tower - Canstar Car Insurer of the Year 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.4346,0.4793,0.6305,0.3,0.638,0.469,0.3577,0.7147,0.5362,0.7056,0.6222,0.6639
0.1,-0.4186,0.46,0.586,0.2937,0.6109,0.4523,0.3684,0.7108,0.5396,0.6784,0.6149,0.6467
0.2,-0.4005,0.4449,0.5427,0.2881,0.5874,0.4377,0.3834,0.7081,0.5458,0.6489,0.6062,0.6276
0.3,-0.3799,0.4339,0.5034,0.2838,0.5669,0.4253,0.403,0.7076,0.5553,0.6185,0.597,0.6077
0.4,-0.3563,0.4267,0.4701,0.2812,0.5497,0.4154,0.4271,0.7096,0.5684,0.5885,0.5879,0.5882
0.5,-0.3303,0.4232,0.445,0.2804,0.5366,0.4085,0.4557,0.714,0.5848,0.5602,0.5791,0.5696
0.6,-0.3029,0.4231,0.4301,0.281,0.5286,0.4048,0.4879,0.7202,0.6041,0.5351,0.5707,0.5529
0.7,-0.2745,0.4262,0.4262,0.2825,0.5264,0.4044,0.5228,0.7276,0.6252,0.5141,0.5633,0.5387
0.8,-0.2454,0.432,0.4327,0.2848,0.5291,0.407,0.5581,0.7356,0.6469,0.4975,0.5573,0.5274
0.9,-0.2168,0.4401,0.4477,0.2882,0.5353,0.4117,0.5919,0.7431,0.6675,0.4848,0.5522,0.5185
1,-0.1899,0.4499,0.4689,0.2932,0.5442,0.4187,0.6223,0.7492,0.6857,0.4761,0.5471,0.5116
1.1,-0.1651,0.4612,0.4938,0.3007,0.5555,0.4281,0.6483,0.7536,0.701,0.4716,0.5416,0.5066
1.2,-0.1412,0.474,0.5205,0.3115,0.5683,0.4399,0.6691,0.757,0.713,0.4708,0.5348,0.5028
1.3,-0.1174,0.4885,0.547,0.3266,0.5819,0.4542,0.684,0.7596,0.7218,0.4726,0.5264,0.4995
1.4,-0.0947,0.5045,0.5726,0.3465,0.5953,0.4709,0.6925,0.7621,0.7273,0.4753,0.5169,0.4961
1.5,-0.0759,0.5215,0.5961,0.3704,0.6089,0.4897,0.6942,0.7643,0.7293,0.4774,0.507,0.4922
1.6,-0.0637,0.5388,0.6166,0.3968,0.6233,0.51,0.6896,0.7659,0.7277,0.4783,0.498,0.4882
1.7,-0.0595,0.5562,0.6336,0.4244,0.6384,0.5314,0.6797,0.7669,0.7233,0.4784,0.4916,0.485
1.8,-0.0632,0.5731,0.6476,0.4522,0.6536,0.5529,0.6658,0.7677,0.7168,0.4779,0.4888,0.4833
1.9,-0.0734,0.5882,0.6587,0.4793,0.6677,0.5735,0.6488,0.7681,0.7084,0.4769,0.4897,0.4833
2,-0.0887,0.6004,0.6667,0.5053,0.6801,0.5927,0.6292,0.7676,0.6984,0.4762,0.494,0.4851
