Time,Mazda3 TVC 30,Mazda3 TVC 30,Mazda3 TVC 30,Mazda3 TVC 30,Mazda3 TVC 30,Mazda3 TVC 30,Mazda3 TVC 30,Mazda3 TVC 30,Mazda3 TVC 30,Mazda3 TVC 30,Mazda3 TVC 30,Mazda3 TVC 30
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.4256,0.5776,0.8219,0.5367,0.6681,0.6024,0.6959,0.79,0.7429,0.698,0.732,0.715
0.1,-0.44,0.5639,0.7984,0.509,0.6586,0.5838,0.6772,0.7847,0.731,0.6671,0.6943,0.6807
0.2,-0.4516,0.5522,0.7715,0.4834,0.6493,0.5664,0.6566,0.7775,0.717,0.6334,0.655,0.6442
0.3,-0.46,0.5433,0.743,0.4606,0.6408,0.5507,0.6346,0.7686,0.7016,0.5982,0.6161,0.6071
0.4,-0.4647,0.5375,0.7143,0.4413,0.6336,0.5374,0.6122,0.7586,0.6854,0.5625,0.5793,0.5709
0.5,-0.4658,0.5347,0.6868,0.4255,0.6278,0.5266,0.5901,0.7481,0.6691,0.5271,0.5459,0.5365
0.6,-0.4631,0.5345,0.6609,0.4126,0.6234,0.518,0.5689,0.7368,0.6528,0.4928,0.5163,0.5045
0.7,-0.4556,0.5369,0.6373,0.4025,0.6199,0.5112,0.5488,0.7244,0.6366,0.4603,0.4907,0.4755
0.8,-0.4425,0.5418,0.6166,0.3953,0.6172,0.5063,0.5306,0.7113,0.621,0.4308,0.4697,0.4503
0.9,-0.4236,0.5496,0.5999,0.3921,0.6158,0.504,0.5153,0.6983,0.6068,0.4056,0.4537,0.4296
1,-0.3999,0.5601,0.5882,0.3935,0.6163,0.5049,0.5036,0.6867,0.5951,0.3854,0.443,0.4142
1.1,-0.3731,0.5731,0.5817,0.3994,0.6188,0.5091,0.4958,0.6768,0.5863,0.3705,0.4374,0.404
1.2,-0.3447,0.5878,0.5797,0.4091,0.6227,0.5159,0.4914,0.6681,0.5798,0.3605,0.4361,0.3983
1.3,-0.3159,0.6035,0.5812,0.4212,0.627,0.5241,0.4898,0.6599,0.5748,0.3545,0.4382,0.3963
1.4,-0.2868,0.6195,0.5853,0.4349,0.6311,0.533,0.4903,0.6517,0.571,0.3516,0.4429,0.3972
1.5,-0.2578,0.6352,0.5912,0.4496,0.6344,0.542,0.4924,0.6436,0.568,0.3508,0.4493,0.4001
1.6,-0.2296,0.6494,0.598,0.4646,0.6363,0.5505,0.4957,0.6361,0.5659,0.3515,0.4564,0.404
1.7,-0.2033,0.6612,0.6048,0.4787,0.6363,0.5575,0.4996,0.6291,0.5643,0.353,0.4632,0.4081
1.8,-0.1804,0.67,0.6109,0.4904,0.6339,0.5622,0.5034,0.6225,0.563,0.3549,0.4691,0.412
1.9,-0.162,0.6752,0.6158,0.4994,0.6289,0.5641,0.507,0.616,0.5615,0.357,0.4738,0.4154
2,-0.1483,0.6771,0.6192,0.5058,0.6218,0.5638,0.51,0.6095,0.5597,0.3594,0.4776,0.4185
2.1,-0.1387,0.6759,0.6207,0.5103,0.6132,0.5618,0.5126,0.6028,0.5577,0.3619,0.4805,0.4212
2.2,-0.1322,0.6719,0.6198,0.5136,0.6034,0.5585,0.5146,0.5961,0.5554,0.3638,0.4819,0.4229
2.3,-0.1278,0.6655,0.6164,0.5159,0.5927,0.5543,0.5161,0.5896,0.5529,0.3649,0.4816,0.4232
2.4,-0.1241,0.6571,0.6106,0.5176,0.5815,0.5496,0.5175,0.5837,0.5506,0.3651,0.4796,0.4224
2.5,-0.1202,0.6473,0.6033,0.5194,0.5708,0.5451,0.5192,0.579,0.5491,0.3648,0.4765,0.4207
2.6,-0.1161,0.6366,0.5948,0.5216,0.5614,0.5415,0.5214,0.5757,0.5486,0.3642,0.473,0.4186
2.7,-0.1119,0.6257,0.5852,0.5245,0.554,0.5392,0.5242,0.5739,0.549,0.3633,0.4694,0.4164
2.8,-0.1076,0.6146,0.5746,0.5281,0.5483,0.5382,0.5275,0.5733,0.5504,0.3623,0.4659,0.4141
2.9,-0.1032,0.6036,0.5631,0.532,0.5441,0.538,0.5309,0.5739,0.5524,0.3611,0.4626,0.4118
3,-0.0987,0.593,0.5516,0.5362,0.5409,0.5386,0.5342,0.5758,0.555,0.3598,0.46,0.4099
3.1,-0.0942,0.5833,0.5413,0.5408,0.5389,0.5398,0.5375,0.5792,0.5583,0.3586,0.4581,0.4084
3.2,-0.0896,0.5752,0.533,0.5458,0.5382,0.542,0.541,0.5844,0.5627,0.3578,0.4575,0.4077
3.3,-0.085,0.5689,0.5276,0.5512,0.5388,0.545,0.5449,0.5914,0.5682,0.3575,0.4584,0.4079
3.4,-0.0805,0.5643,0.5255,0.5566,0.5403,0.5485,0.5495,0.6002,0.5748,0.3579,0.4612,0.4095
3.5,-0.0761,0.561,0.527,0.5618,0.5422,0.552,0.5548,0.6103,0.5825,0.3591,0.4661,0.4126
3.6,-0.0723,0.5586,0.5324,0.5664,0.5444,0.5554,0.5605,0.6216,0.5911,0.3615,0.4733,0.4174
3.7,-0.0692,0.5566,0.5415,0.5702,0.5465,0.5584,0.5666,0.6341,0.6003,0.3653,0.4824,0.4239
3.8,-0.0673,0.555,0.5538,0.5733,0.5485,0.5609,0.573,0.6476,0.6103,0.3707,0.4932,0.4319
3.9,-0.0668,0.5538,0.5689,0.5756,0.5503,0.5629,0.5796,0.662,0.6208,0.3779,0.505,0.4414
4,-0.068,0.5536,0.5865,0.5773,0.552,0.5647,0.5865,0.6773,0.6319,0.3871,0.5177,0.4524
4.1,-0.0708,0.5551,0.6065,0.5792,0.5539,0.5665,0.5939,0.6931,0.6435,0.398,0.5308,0.4644
4.2,-0.0747,0.5588,0.6289,0.5819,0.5565,0.5692,0.6019,0.7095,0.6557,0.4103,0.5437,0.477
4.3,-0.0798,0.565,0.6534,0.5856,0.5599,0.5727,0.6104,0.7258,0.6681,0.4233,0.556,0.4896
4.4,-0.086,0.5737,0.6789,0.5899,0.5637,0.5768,0.6187,0.7416,0.6801,0.4362,0.5669,0.5016
4.5,-0.093,0.5849,0.7043,0.5942,0.5677,0.581,0.6265,0.7559,0.6912,0.4488,0.5763,0.5126
4.6,-0.0999,0.5987,0.729,0.5985,0.5722,0.5853,0.6335,0.7684,0.7009,0.4613,0.5844,0.5228
