Time,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash,Mcdonalds - Frozen Sprite Splash
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.047,0.5015,0.4811,0.47,0.5194,0.4947,0.5474,0.5622,0.5548,0.5122,0.4959,0.5041
0.1,0.0604,0.5128,0.4905,0.4839,0.5268,0.5053,0.5602,0.5702,0.5652,0.5228,0.5097,0.5162
0.2,0.0732,0.5247,0.5019,0.4983,0.5345,0.5164,0.5731,0.5786,0.5758,0.5333,0.5242,0.5287
0.3,0.0855,0.5369,0.5149,0.5133,0.5424,0.5278,0.5858,0.587,0.5864,0.5434,0.539,0.5412
0.4,0.0975,0.5491,0.5293,0.5288,0.5501,0.5394,0.5977,0.5952,0.5965,0.5532,0.5538,0.5535
0.5,0.1088,0.5608,0.5443,0.5441,0.5572,0.5507,0.6084,0.6025,0.6054,0.5622,0.5681,0.5652
0.6,0.1183,0.5714,0.5591,0.5583,0.5632,0.5608,0.6172,0.6082,0.6127,0.5703,0.5817,0.576
0.7,0.1248,0.5801,0.5729,0.5703,0.5677,0.569,0.6238,0.6118,0.6178,0.5774,0.5942,0.5858
0.8,0.1273,0.5867,0.5852,0.5793,0.5707,0.575,0.6281,0.6133,0.6207,0.5836,0.6055,0.5946
0.9,0.1253,0.5907,0.5957,0.5853,0.5725,0.5789,0.6301,0.6128,0.6214,0.589,0.6157,0.6024
1,0.1195,0.5923,0.6042,0.5884,0.5729,0.5807,0.6298,0.6101,0.62,0.5939,0.6248,0.6093
1.1,0.1107,0.5917,0.6107,0.5891,0.572,0.5805,0.6272,0.6056,0.6164,0.5983,0.6326,0.6154
1.2,0.0998,0.5894,0.6153,0.588,0.57,0.579,0.6226,0.5994,0.611,0.6027,0.6394,0.621
1.3,0.0874,0.586,0.618,0.586,0.5671,0.5766,0.6169,0.5922,0.6046,0.6074,0.6454,0.6264
1.4,0.0744,0.5818,0.619,0.5836,0.5637,0.5737,0.6111,0.585,0.5981,0.6131,0.6513,0.6322
1.5,0.062,0.5772,0.6189,0.5815,0.5601,0.5708,0.6059,0.5788,0.5923,0.62,0.6575,0.6388
1.6,0.0512,0.5721,0.6177,0.5798,0.5565,0.5681,0.6016,0.5739,0.5877,0.6282,0.6639,0.646
1.7,0.0427,0.5667,0.6155,0.5787,0.5528,0.5657,0.5981,0.5704,0.5842,0.637,0.6705,0.6537
1.8,0.0369,0.5613,0.6122,0.5783,0.5492,0.5638,0.5953,0.5683,0.5818,0.6462,0.6767,0.6614
1.9,0.0337,0.5564,0.6082,0.5789,0.5459,0.5624,0.5933,0.5675,0.5804,0.6552,0.6824,0.6688
2,0.0329,0.5524,0.6038,0.5804,0.5434,0.5619,0.5924,0.568,0.5802,0.6638,0.6877,0.6758
2.1,0.0338,0.5498,0.5997,0.5828,0.5421,0.5625,0.5929,0.5703,0.5816,0.6721,0.6929,0.6825
2.2,0.0356,0.5489,0.5963,0.586,0.5424,0.5642,0.5947,0.5744,0.5846,0.6798,0.698,0.6889
2.3,0.0375,0.55,0.5939,0.5897,0.5444,0.567,0.5978,0.5804,0.5891,0.6868,0.703,0.6949
2.4,0.0386,0.5529,0.5925,0.5936,0.5479,0.5707,0.6018,0.5879,0.5949,0.693,0.7078,0.7004
2.5,0.0386,0.5571,0.5926,0.5974,0.5527,0.5751,0.6068,0.5971,0.6019,0.6987,0.7121,0.7054
2.6,0.0371,0.562,0.5943,0.6009,0.5587,0.5798,0.6128,0.6076,0.6102,0.7039,0.7161,0.71
2.7,0.0339,0.567,0.5975,0.6033,0.5657,0.5845,0.6194,0.6194,0.6194,0.7087,0.7196,0.7142
2.8,0.0287,0.5718,0.602,0.6044,0.5734,0.5889,0.6264,0.6316,0.629,0.713,0.7226,0.7178
2.9,0.0215,0.5763,0.6075,0.6039,0.5817,0.5928,0.6336,0.6437,0.6387,0.7164,0.7247,0.7205
3,0.0124,0.5803,0.6135,0.6018,0.59,0.5959,0.6406,0.6549,0.6477,0.7184,0.7256,0.722
3.1,0.0018,0.5835,0.6195,0.5982,0.5979,0.598,0.647,0.6644,0.6557,0.7187,0.7247,0.7217
3.2,-0.0097,0.5857,0.625,0.5932,0.6048,0.599,0.6523,0.6718,0.6621,0.7172,0.7219,0.7195
3.3,-0.0218,0.5867,0.6298,0.5872,0.6105,0.5989,0.6564,0.6769,0.6666,0.7137,0.717,0.7154
3.4,-0.034,0.5865,0.6336,0.5808,0.615,0.5979,0.6592,0.6795,0.6694,0.7087,0.7103,0.7095
3.5,-0.0459,0.5854,0.6365,0.5742,0.6184,0.5963,0.6608,0.6801,0.6704,0.7026,0.7021,0.7024
3.6,-0.0575,0.5834,0.6387,0.5678,0.6212,0.5945,0.6613,0.6789,0.6701,0.6959,0.6932,0.6945
3.7,-0.0683,0.5811,0.6402,0.5618,0.6234,0.5926,0.661,0.6761,0.6685,0.6889,0.6843,0.6866
3.8,-0.0785,0.5786,0.6413,0.5564,0.6254,0.5909,0.6599,0.672,0.666,0.6822,0.6759,0.6791
3.9,-0.0878,0.5765,0.6419,0.5518,0.6275,0.5897,0.6583,0.6671,0.6627,0.6759,0.6684,0.6721
4,-0.0963,0.5747,0.6419,0.5481,0.6294,0.5887,0.6562,0.6615,0.6588,0.6699,0.6616,0.6657
4.1,-0.1039,0.5733,0.6414,0.5452,0.631,0.5881,0.6538,0.6556,0.6547,0.6642,0.6554,0.6598
4.2,-0.1104,0.5722,0.6406,0.5433,0.6323,0.5878,0.6511,0.6497,0.6504,0.6587,0.6498,0.6543
4.3,-0.116,0.5716,0.6394,0.5425,0.6332,0.5879,0.6481,0.6442,0.6462,0.6535,0.6449,0.6492
4.4,-0.1204,0.5716,0.638,0.5429,0.6336,0.5883,0.6449,0.6393,0.6421,0.6486,0.6407,0.6447
4.5,-0.1237,0.5719,0.636,0.5444,0.6334,0.5889,0.6416,0.6351,0.6384,0.6441,0.637,0.6405
4.6,-0.1254,0.5725,0.6334,0.547,0.6328,0.5899,0.6385,0.6315,0.635,0.6399,0.6335,0.6367
4.7,-0.1255,0.573,0.6302,0.5503,0.6314,0.5909,0.6356,0.6287,0.6322,0.6362,0.6304,0.6333
4.8,-0.124,0.5733,0.6265,0.5541,0.6293,0.5917,0.633,0.6266,0.6298,0.6328,0.6276,0.6302
4.9,-0.1209,0.5734,0.6224,0.5582,0.6263,0.5922,0.6303,0.6253,0.6278,0.6295,0.625,0.6273
5,-0.1167,0.5734,0.6181,0.5623,0.6225,0.5924,0.6275,0.6245,0.626,0.6263,0.6225,0.6244
5.1,-0.1115,0.5733,0.6138,0.5662,0.618,0.5921,0.6246,0.6242,0.6244,0.6233,0.6202,0.6217
5.2,-0.1053,0.5731,0.6094,0.5697,0.6131,0.5914,0.6217,0.6244,0.6231,0.6206,0.6182,0.6194
5.3,-0.0979,0.5726,0.6052,0.5728,0.6081,0.5905,0.619,0.625,0.622,0.6184,0.6168,0.6176
5.4,-0.0895,0.5718,0.6013,0.5755,0.6031,0.5893,0.6164,0.626,0.6212,0.6168,0.6159,0.6163
5.5,-0.0804,0.5708,0.5975,0.5774,0.598,0.5877,0.6139,0.6273,0.6206,0.6155,0.6152,0.6153
5.6,-0.0709,0.5694,0.5937,0.5783,0.5926,0.5854,0.6112,0.6284,0.6198,0.6142,0.6142,0.6142
5.7,-0.0614,0.5672,0.5894,0.5781,0.5865,0.5823,0.6081,0.629,0.6185,0.6127,0.6124,0.6126
5.8,-0.0519,0.564,0.5846,0.5768,0.5798,0.5783,0.6044,0.6291,0.6167,0.611,0.6097,0.6103
5.9,-0.0429,0.5599,0.5793,0.5747,0.5728,0.5738,0.6003,0.6285,0.6144,0.6091,0.6061,0.6076
