Time,McDonalds McCafe - Coffee fit for an Aussie 30 TVC,McDonalds McCafe - Coffee fit for an Aussie 30 TVC,McDonalds McCafe - Coffee fit for an Aussie 30 TVC,McDonalds McCafe - Coffee fit for an Aussie 30 TVC,McDonalds McCafe - Coffee fit for an Aussie 30 TVC,McDonalds McCafe - Coffee fit for an Aussie 30 TVC,McDonalds McCafe - Coffee fit for an Aussie 30 TVC,McDonalds McCafe - Coffee fit for an Aussie 30 TVC,McDonalds McCafe - Coffee fit for an Aussie 30 TVC,McDonalds McCafe - Coffee fit for an Aussie 30 TVC,McDonalds McCafe - Coffee fit for an Aussie 30 TVC,McDonalds McCafe - Coffee fit for an Aussie 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1611,0.5839,0.3136,0.4381,0.712,0.5751,0.1417,0.3354,0.2386,0.5338,0.6904,0.6121
0.1,-0.1565,0.5691,0.3213,0.4296,0.7033,0.5664,0.1145,0.3321,0.2233,0.533,0.6768,0.6049
0.2,-0.1537,0.5557,0.331,0.4235,0.6953,0.5594,0.089,0.3295,0.2092,0.5316,0.6628,0.5972
0.3,-0.1541,0.544,0.3417,0.4199,0.688,0.554,0.0651,0.3273,0.1962,0.5286,0.6482,0.5884
0.4,-0.1585,0.5346,0.3524,0.4193,0.6818,0.5506,0.043,0.3255,0.1842,0.5235,0.6326,0.5781
0.5,-0.1679,0.5283,0.3624,0.4216,0.677,0.5493,0.0224,0.3239,0.1732,0.516,0.6156,0.5658
0.6,-0.183,0.5252,0.3712,0.4262,0.6733,0.5498,0.0035,0.3226,0.163,0.5053,0.5966,0.551
0.7,-0.2041,0.525,0.3784,0.4324,0.6701,0.5512,-0.0126,0.3215,0.1544,0.4911,0.5755,0.5333
0.8,-0.2301,0.5274,0.3838,0.4396,0.667,0.5533,-0.0242,0.3211,0.1485,0.4738,0.5523,0.513
0.9,-0.26,0.5327,0.387,0.448,0.6643,0.5562,-0.0294,0.3221,0.1463,0.4548,0.5279,0.4913
