Time,McDonalds Truth about Buns 30 TVC,McDonalds Truth about Buns 30 TVC,McDonalds Truth about Buns 30 TVC,McDonalds Truth about Buns 30 TVC,McDonalds Truth about Buns 30 TVC,McDonalds Truth about Buns 30 TVC,McDonalds Truth about Buns 30 TVC,McDonalds Truth about Buns 30 TVC,McDonalds Truth about Buns 30 TVC,McDonalds Truth about Buns 30 TVC,McDonalds Truth about Buns 30 TVC,McDonalds Truth about Buns 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0051,0.4168,0.6788,0.3567,0.4097,0.3832,0.7178,0.4551,0.5865,0.6732,0.6233,0.6483
0.1,-0.0336,0.4357,0.6557,0.3469,0.4144,0.3807,0.7069,0.4431,0.575,0.6731,0.6186,0.6459
0.2,-0.061,0.4584,0.6333,0.3455,0.4242,0.3849,0.6979,0.4343,0.5661,0.673,0.6162,0.6446
0.3,-0.0872,0.4842,0.6117,0.3533,0.4394,0.3964,0.6914,0.4294,0.5604,0.6728,0.6157,0.6442
0.4,-0.1111,0.5125,0.5918,0.3713,0.4599,0.4156,0.6883,0.4294,0.5588,0.6725,0.617,0.6448
0.5,-0.1308,0.543,0.5745,0.3994,0.4854,0.4424,0.6894,0.4349,0.5621,0.6726,0.6205,0.6466
0.6,-0.1449,0.5751,0.5605,0.4371,0.5149,0.476,0.6948,0.4462,0.5705,0.674,0.6263,0.6501
0.7,-0.1533,0.6089,0.5504,0.4829,0.5473,0.5151,0.7042,0.4631,0.5836,0.6769,0.6346,0.6557
0.8,-0.1566,0.644,0.5447,0.5346,0.5816,0.5581,0.7169,0.4853,0.6011,0.6817,0.6455,0.6636
0.9,-0.1562,0.6795,0.5438,0.5891,0.6168,0.6029,0.7321,0.5122,0.6221,0.6884,0.6587,0.6735
1,-0.1535,0.7141,0.5475,0.6433,0.652,0.6476,0.7496,0.5423,0.646,0.6963,0.6738,0.6851
1.1,-0.1489,0.7462,0.5554,0.6947,0.6865,0.6906,0.7692,0.5742,0.6717,0.7053,0.6905,0.6979
1.2,-0.1429,0.7744,0.5662,0.7411,0.7188,0.7299,0.7901,0.6063,0.6982,0.715,0.7082,0.7116
1.3,-0.137,0.7976,0.5792,0.7808,0.7474,0.7641,0.811,0.6375,0.7242,0.7254,0.7264,0.7259
1.4,-0.1328,0.815,0.5943,0.8131,0.7712,0.7921,0.8306,0.667,0.7488,0.7363,0.7445,0.7404
1.5,-0.1302,0.8259,0.6115,0.8383,0.7893,0.8138,0.8485,0.694,0.7712,0.7476,0.7622,0.7549
1.6,-0.128,0.8305,0.6302,0.8568,0.8013,0.829,0.8649,0.7182,0.7915,0.759,0.7792,0.7691
1.7,-0.1246,0.8291,0.6498,0.8688,0.807,0.8379,0.8801,0.7393,0.8097,0.7705,0.7951,0.7828
1.8,-0.1192,0.8226,0.6695,0.8748,0.8067,0.8408,0.8938,0.7571,0.8255,0.782,0.8092,0.7956
1.9,-0.1118,0.8119,0.6889,0.8757,0.8014,0.8385,0.9056,0.7713,0.8384,0.7931,0.8211,0.8071
2,-0.1029,0.7981,0.7081,0.873,0.7923,0.8326,0.915,0.7816,0.8483,0.8035,0.8305,0.817
2.1,-0.0926,0.7816,0.7269,0.868,0.7807,0.8244,0.9216,0.788,0.8548,0.8126,0.8375,0.8251
2.2,-0.0808,0.7626,0.7447,0.8615,0.7676,0.8146,0.9253,0.7905,0.8579,0.8202,0.8422,0.8312
2.3,-0.0674,0.7415,0.7609,0.854,0.7535,0.8038,0.9263,0.7893,0.8578,0.8257,0.8447,0.8352
2.4,-0.0531,0.7186,0.7751,0.8457,0.7394,0.7925,0.9247,0.7849,0.8548,0.8289,0.8453,0.8371
2.5,-0.0393,0.6952,0.7876,0.8373,0.7261,0.7817,0.921,0.7781,0.8495,0.8298,0.8444,0.8371
2.6,-0.0273,0.6719,0.7987,0.8289,0.7146,0.7717,0.9154,0.7696,0.8425,0.8281,0.8424,0.8352
2.7,-0.0181,0.6489,0.8087,0.8196,0.7048,0.7622,0.9078,0.7599,0.8339,0.8234,0.8394,0.8314
2.8,-0.0119,0.626,0.8173,0.8084,0.6966,0.7525,0.8976,0.749,0.8233,0.8155,0.8354,0.8255
2.9,-0.0086,0.6034,0.8242,0.7948,0.6895,0.7422,0.884,0.7367,0.8104,0.8043,0.8305,0.8174
3,-0.0076,0.582,0.8292,0.7785,0.6838,0.7312,0.8671,0.7235,0.7953,0.7902,0.825,0.8076
3.1,-0.0083,0.5627,0.8322,0.7601,0.6796,0.7199,0.8479,0.7098,0.7789,0.7738,0.8189,0.7964
3.2,-0.0107,0.5458,0.8328,0.74,0.6774,0.7087,0.8274,0.6959,0.7616,0.756,0.8124,0.7842
3.3,-0.0146,0.5317,0.831,0.7189,0.6768,0.6978,0.8062,0.682,0.7441,0.7375,0.8055,0.7715
3.4,-0.02,0.5205,0.8267,0.6972,0.6779,0.6875,0.7849,0.6688,0.7268,0.7189,0.7985,0.7587
3.5,-0.0267,0.5124,0.8205,0.6756,0.6805,0.678,0.7637,0.657,0.7103,0.701,0.7918,0.7464
3.6,-0.0341,0.5078,0.8132,0.6546,0.6841,0.6694,0.7433,0.6473,0.6953,0.6846,0.7858,0.7352
3.7,-0.0411,0.5065,0.8054,0.6343,0.6884,0.6614,0.7242,0.6401,0.6821,0.67,0.7809,0.7255
3.8,-0.0465,0.5084,0.7975,0.6143,0.6927,0.6535,0.7071,0.635,0.671,0.6577,0.7775,0.7176
3.9,-0.0499,0.5134,0.7894,0.5944,0.6965,0.6454,0.6922,0.6314,0.6618,0.6472,0.7754,0.7113
4,-0.0517,0.5216,0.7806,0.5752,0.6997,0.6375,0.6795,0.6291,0.6543,0.6383,0.7746,0.7065
4.1,-0.0519,0.5334,0.7715,0.5577,0.7028,0.6302,0.6694,0.6285,0.649,0.631,0.7751,0.7031
4.2,-0.0498,0.5483,0.763,0.5427,0.7059,0.6243,0.6625,0.6299,0.6462,0.6254,0.7767,0.7011
4.3,-0.0445,0.5653,0.756,0.5307,0.7086,0.6196,0.6589,0.6335,0.6462,0.6213,0.7793,0.7003
4.4,-0.0357,0.583,0.7509,0.5217,0.7102,0.616,0.6581,0.6385,0.6483,0.6187,0.7823,0.7005
4.5,-0.0239,0.6008,0.7483,0.5162,0.7105,0.6134,0.6595,0.6447,0.6521,0.6176,0.7855,0.7016
4.6,-0.0094,0.6184,0.749,0.5152,0.7094,0.6123,0.6624,0.6516,0.657,0.6183,0.7888,0.7035
4.7,0.0075,0.6358,0.7539,0.5195,0.7068,0.6132,0.666,0.6594,0.6627,0.6208,0.7922,0.7065
4.8,0.0265,0.6527,0.7634,0.5291,0.7026,0.6159,0.6696,0.668,0.6688,0.6252,0.7958,0.7105
4.9,0.0471,0.6682,0.777,0.5427,0.6968,0.6197,0.6718,0.6768,0.6743,0.6311,0.7992,0.7152
5,0.0692,0.6819,0.7932,0.5585,0.6894,0.6239,0.6719,0.6848,0.6784,0.638,0.8021,0.7201
5.1,0.0924,0.6935,0.8106,0.5751,0.6809,0.628,0.6695,0.6919,0.6807,0.6457,0.8044,0.7251
5.2,0.1169,0.7033,0.8283,0.5921,0.6719,0.632,0.665,0.698,0.6815,0.6543,0.8058,0.73
5.3,0.1422,0.7108,0.8458,0.6093,0.6625,0.6359,0.6588,0.703,0.6809,0.6634,0.8058,0.7346
5.4,0.1677,0.7159,0.8627,0.6263,0.6529,0.6396,0.6514,0.707,0.6792,0.6726,0.804,0.7383
5.5,0.1923,0.7191,0.878,0.6422,0.6434,0.6428,0.6432,0.7096,0.6764,0.6812,0.7997,0.7404
5.6,0.2146,0.7211,0.8907,0.6561,0.6343,0.6452,0.6343,0.7108,0.6726,0.6889,0.793,0.741
5.7,0.234,0.7227,0.9005,0.6676,0.6258,0.6467,0.6254,0.711,0.6682,0.6959,0.784,0.7399
5.8,0.249,0.7243,0.9069,0.6761,0.6179,0.647,0.6171,0.7101,0.6636,0.7023,0.7728,0.7376
5.9,0.2579,0.7256,0.9096,0.681,0.6107,0.6459,0.61,0.7083,0.6592,0.7085,0.7595,0.734
6,0.2589,0.726,0.9087,0.6816,0.6041,0.6429,0.6044,0.7058,0.6551,0.7145,0.7442,0.7293
6.1,0.2503,0.7252,0.9039,0.6774,0.5985,0.638,0.6005,0.7026,0.6515,0.7203,0.7269,0.7236
6.2,0.2323,0.7235,0.8952,0.669,0.5941,0.6316,0.5984,0.6988,0.6486,0.7261,0.708,0.717
6.3,0.2071,0.7217,0.883,0.6577,0.5911,0.6244,0.5988,0.695,0.6469,0.7326,0.6884,0.7105
6.4,0.1776,0.7204,0.8679,0.6449,0.5893,0.6171,0.6026,0.6918,0.6472,0.7407,0.6694,0.7051
6.5,0.1457,0.72,0.8511,0.6316,0.5885,0.6101,0.6098,0.6895,0.6496,0.7508,0.6521,0.7015
6.6,0.1128,0.7203,0.8341,0.6184,0.5884,0.6034,0.62,0.6883,0.6542,0.7628,0.6373,0.7
6.7,0.0794,0.7213,0.8184,0.6055,0.5885,0.597,0.6328,0.6881,0.6605,0.7758,0.6256,0.7007
6.8,0.0458,0.7233,0.8054,0.5933,0.5888,0.591,0.6479,0.6892,0.6686,0.7896,0.6178,0.7037
6.9,0.0122,0.7264,0.7953,0.5822,0.5892,0.5857,0.6649,0.6917,0.6783,0.8038,0.6138,0.7088
7,-0.0215,0.7305,0.7883,0.5729,0.5895,0.5812,0.6834,0.6949,0.6891,0.8181,0.6133,0.7157
7.1,-0.0552,0.7354,0.784,0.5655,0.5899,0.5777,0.7023,0.6981,0.7002,0.8316,0.6154,0.7235
7.2,-0.0888,0.7405,0.782,0.5602,0.5906,0.5754,0.7211,0.701,0.7111,0.8435,0.6195,0.7315
7.3,-0.1218,0.7459,0.7816,0.5569,0.5922,0.5745,0.7396,0.7036,0.7216,0.8533,0.6255,0.7394
7.4,-0.1534,0.7516,0.7829,0.5554,0.5949,0.5751,0.758,0.7063,0.7321,0.8616,0.6335,0.7475
7.5,-0.1827,0.7579,0.7859,0.5555,0.5988,0.5772,0.776,0.7094,0.7427,0.8687,0.6433,0.756
7.6,-0.2093,0.7646,0.7902,0.557,0.6037,0.5803,0.7931,0.7122,0.7527,0.874,0.6545,0.7643
7.7,-0.2328,0.7713,0.7946,0.5592,0.6091,0.5842,0.8084,0.7142,0.7613,0.877,0.6662,0.7716
7.8,-0.253,0.7777,0.7976,0.5616,0.6149,0.5882,0.8212,0.7149,0.768,0.8773,0.6778,0.7776
7.9,-0.2691,0.7836,0.7982,0.5637,0.6207,0.5922,0.8316,0.7145,0.7731,0.875,0.6889,0.7819
8,-0.2799,0.7889,0.796,0.5652,0.6268,0.596,0.8395,0.7136,0.7765,0.8703,0.6991,0.7847
8.1,-0.2841,0.7933,0.7913,0.5659,0.6329,0.5994,0.8449,0.7123,0.7786,0.8632,0.708,0.7856
8.2,-0.2815,0.7963,0.7841,0.5655,0.6391,0.6023,0.8479,0.7106,0.7792,0.854,0.7155,0.7847
8.3,-0.2728,0.7981,0.7744,0.5642,0.6457,0.6049,0.8489,0.708,0.7784,0.8428,0.7218,0.7823
8.4,-0.2595,0.7985,0.7624,0.5621,0.6527,0.6074,0.8485,0.7048,0.7766,0.8303,0.7275,0.7789
8.5,-0.243,0.7976,0.7486,0.5596,0.6607,0.6101,0.8472,0.7011,0.7741,0.8169,0.7327,0.7748
8.6,-0.2244,0.7951,0.7335,0.5571,0.6692,0.6132,0.8452,0.6968,0.771,0.8024,0.7372,0.7698
8.7,-0.2047,0.7906,0.7176,0.5548,0.6778,0.6163,0.8421,0.692,0.7671,0.7865,0.7406,0.7635
8.8,-0.1844,0.7837,0.7008,0.5523,0.6856,0.619,0.8374,0.6864,0.7619,0.7693,0.7428,0.756
