Time,ME Bank - Do Gooders 30 Client TVC,ME Bank - Do Gooders 30 Client TVC,ME Bank - Do Gooders 30 Client TVC,ME Bank - Do Gooders 30 Client TVC,ME Bank - Do Gooders 30 Client TVC,ME Bank - Do Gooders 30 Client TVC,ME Bank - Do Gooders 30 Client TVC,ME Bank - Do Gooders 30 Client TVC,ME Bank - Do Gooders 30 Client TVC,ME Bank - Do Gooders 30 Client TVC,ME Bank - Do Gooders 30 Client TVC,ME Bank - Do Gooders 30 Client TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.522,0.8436,0.7096,0.5606,0.848,0.7043,0.8873,0.6673,0.7773,0.6976,0.8132,0.7554
0.1,-0.5165,0.841,0.7336,0.5405,0.8342,0.6873,0.8792,0.6766,0.7779,0.7388,0.8428,0.7908
0.2,-0.5055,0.8371,0.7566,0.5227,0.8199,0.6713,0.871,0.686,0.7785,0.7793,0.873,0.8261
0.3,-0.4886,0.8326,0.7784,0.5083,0.8059,0.6571,0.8626,0.6954,0.779,0.8173,0.9022,0.8598
0.4,-0.4655,0.8283,0.7986,0.4985,0.7929,0.6457,0.8534,0.7047,0.7791,0.8507,0.9291,0.8899
0.5,-0.4368,0.8244,0.8163,0.4937,0.7813,0.6375,0.8429,0.7136,0.7783,0.8774,0.9518,0.9146
0.6,-0.4034,0.8213,0.8309,0.4938,0.7711,0.6324,0.83,0.7217,0.7759,0.896,0.9684,0.9322
0.7,-0.3672,0.8185,0.8415,0.498,0.762,0.63,0.8137,0.7283,0.771,0.9057,0.9782,0.9419
0.8,-0.3298,0.8158,0.8475,0.5055,0.7537,0.6296,0.7936,0.7329,0.7632,0.9062,0.9803,0.9432
0.9,-0.2924,0.8127,0.8487,0.5154,0.7457,0.6306,0.7692,0.7351,0.7522,0.8975,0.9748,0.9361
