Time,Meridian Nature 30 TVC,Meridian Nature 30 TVC,Meridian Nature 30 TVC,Meridian Nature 30 TVC,Meridian Nature 30 TVC,Meridian Nature 30 TVC,Meridian Nature 30 TVC,Meridian Nature 30 TVC,Meridian Nature 30 TVC,Meridian Nature 30 TVC,Meridian Nature 30 TVC,Meridian Nature 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1597,0.7497,0.8077,0.7636,0.756,0.7598,0.5358,0.705,0.6204,0.5886,0.5466,0.5676
0.1,-0.1375,0.7479,0.7421,0.7867,0.7431,0.7649,0.5261,0.673,0.5996,0.577,0.5321,0.5546
0.2,-0.1092,0.744,0.6778,0.807,0.7294,0.7682,0.521,0.6396,0.5803,0.5719,0.5217,0.5468
0.3,-0.0748,0.7381,0.6176,0.8238,0.7159,0.7698,0.5209,0.6063,0.5636,0.5732,0.5158,0.5445
0.4,-0.0353,0.7306,0.5635,0.8351,0.7036,0.7694,0.5255,0.5746,0.5501,0.5803,0.515,0.5477
0.5,0.0071,0.7217,0.5159,0.8397,0.693,0.7664,0.5339,0.545,0.5395,0.5924,0.5197,0.556
0.6,0.0506,0.7116,0.4742,0.8371,0.684,0.7605,0.5448,0.5178,0.5313,0.6087,0.5294,0.5691
0.7,0.0943,0.7003,0.4381,0.828,0.676,0.752,0.5571,0.4937,0.5254,0.6293,0.544,0.5866
0.8,0.1385,0.6881,0.4083,0.8135,0.6686,0.7411,0.5714,0.4741,0.5228,0.6539,0.5635,0.6087
0.9,0.1835,0.6757,0.3857,0.7949,0.6624,0.7287,0.5889,0.4604,0.5246,0.6822,0.5881,0.6352
1,0.2286,0.6642,0.3709,0.7732,0.6583,0.7157,0.6102,0.4535,0.5319,0.7134,0.6182,0.6658
1.1,0.2716,0.6548,0.3633,0.7492,0.6569,0.7031,0.635,0.4531,0.544,0.7462,0.6532,0.6997
1.2,0.3104,0.6483,0.3619,0.7237,0.6586,0.6912,0.6609,0.4586,0.5597,0.7787,0.6922,0.7355
1.3,0.3429,0.645,0.3661,0.6977,0.6628,0.6803,0.6855,0.4692,0.5773,0.8101,0.7343,0.7722
1.4,0.3676,0.6455,0.3753,0.6723,0.6686,0.6705,0.7064,0.4845,0.5955,0.8398,0.778,0.8089
1.5,0.3838,0.6497,0.389,0.6488,0.6759,0.6624,0.7226,0.5039,0.6132,0.8674,0.8216,0.8445
1.6,0.3933,0.6568,0.4062,0.6291,0.6845,0.6568,0.7337,0.5263,0.63,0.8925,0.8628,0.8777
1.7,0.3991,0.6654,0.4254,0.6149,0.6942,0.6546,0.7398,0.5502,0.645,0.9151,0.9001,0.9076
1.8,0.4028,0.6745,0.445,0.6075,0.7046,0.656,0.7406,0.5745,0.6575,0.935,0.9322,0.9336
1.9,0.4047,0.6835,0.464,0.6069,0.7152,0.661,0.7369,0.5984,0.6677,0.9521,0.9591,0.9556
2,0.4044,0.6923,0.4827,0.6118,0.7256,0.6687,0.7303,0.6222,0.6763,0.9665,0.981,0.9737
2.1,0.4027,0.7003,0.5014,0.6202,0.7353,0.6778,0.723,0.6458,0.6844,0.9784,0.998,0.9882
2.2,0.4012,0.7063,0.5196,0.6303,0.7432,0.6868,0.7166,0.6683,0.6925,0.9879,1.0106,0.9993
2.3,0.4015,0.7096,0.536,0.6409,0.748,0.6944,0.7115,0.6884,0.6999,0.9953,1.0189,1.0071
2.4,0.4032,0.7103,0.5496,0.6515,0.7486,0.7,0.7072,0.7056,0.7064,1.0005,1.0234,1.012
2.5,0.4048,0.7092,0.5606,0.6616,0.7448,0.7032,0.7037,0.7203,0.712,1.0036,1.0245,1.0141
2.6,0.4049,0.7066,0.5698,0.6707,0.7371,0.7039,0.7016,0.7331,0.7173,1.0046,1.0222,1.0134
2.7,0.4027,0.7023,0.5776,0.6785,0.7261,0.7023,0.7014,0.7438,0.7226,1.0035,1.016,1.0098
2.8,0.3977,0.696,0.5839,0.6848,0.7124,0.6986,0.7029,0.752,0.7274,1.0001,1.0059,1.003
2.9,0.3895,0.6879,0.5877,0.6898,0.6962,0.693,0.7052,0.7567,0.731,0.9935,0.9922,0.9928
3,0.3782,0.6787,0.5887,0.693,0.6775,0.6853,0.7069,0.7581,0.7325,0.9832,0.9761,0.9797
3.1,0.3641,0.6687,0.5872,0.6943,0.6561,0.6752,0.7072,0.7577,0.7324,0.9691,0.9595,0.9643
3.2,0.3473,0.6585,0.5843,0.6935,0.6326,0.6631,0.7054,0.7567,0.7311,0.951,0.9437,0.9474
3.3,0.3269,0.6482,0.5804,0.6908,0.6081,0.6495,0.7014,0.756,0.7287,0.9292,0.9285,0.9288
3.4,0.3021,0.6384,0.5756,0.6866,0.5837,0.6352,0.6956,0.7556,0.7256,0.904,0.9125,0.9083
3.5,0.2734,0.6295,0.57,0.6815,0.5607,0.6211,0.6887,0.7553,0.722,0.876,0.8959,0.886
3.6,0.2431,0.6218,0.5643,0.6761,0.5407,0.6084,0.6816,0.7556,0.7186,0.846,0.8799,0.8629
3.7,0.2133,0.6158,0.5594,0.6709,0.525,0.5979,0.6746,0.7568,0.7157,0.8152,0.8655,0.8403
3.8,0.1847,0.6117,0.556,0.6664,0.514,0.5902,0.6678,0.7594,0.7136,0.7852,0.8526,0.8189
3.9,0.1573,0.6099,0.5547,0.6635,0.5081,0.5858,0.6605,0.763,0.7118,0.7575,0.8409,0.7992
4,0.132,0.6104,0.555,0.6633,0.507,0.5851,0.6521,0.7669,0.7095,0.733,0.8302,0.7816
4.1,0.1105,0.6133,0.5571,0.6673,0.511,0.5891,0.6424,0.7708,0.7066,0.7125,0.8214,0.7669
4.2,0.0934,0.6188,0.5616,0.6763,0.5208,0.5986,0.6323,0.7747,0.7035,0.696,0.8157,0.7558
4.3,0.0802,0.6274,0.5686,0.6903,0.5367,0.6135,0.6223,0.7789,0.7006,0.6819,0.8142,0.748
4.4,0.0703,0.6393,0.578,0.7085,0.5582,0.6334,0.6126,0.7829,0.6978,0.6692,0.8171,0.7432
4.5,0.0632,0.6543,0.5892,0.7305,0.5838,0.6571,0.603,0.7865,0.6947,0.6577,0.8234,0.7405
4.6,0.0592,0.6716,0.6019,0.7552,0.6115,0.6833,0.593,0.7893,0.6912,0.6475,0.8321,0.7398
4.7,0.0589,0.6902,0.6165,0.7813,0.6391,0.7102,0.5825,0.7921,0.6873,0.6388,0.8428,0.7408
4.8,0.0621,0.7089,0.6331,0.808,0.6652,0.7366,0.5718,0.7953,0.6836,0.631,0.855,0.743
4.9,0.0691,0.7267,0.6517,0.8345,0.6898,0.7622,0.5621,0.7987,0.6804,0.6235,0.8675,0.7455
5,0.0797,0.7427,0.6716,0.8604,0.7126,0.7865,0.5543,0.8018,0.678,0.6163,0.8792,0.7477
5.1,0.0925,0.7565,0.6918,0.8848,0.7328,0.8088,0.5488,0.8041,0.6765,0.6097,0.8895,0.7496
5.2,0.105,0.7681,0.7121,0.9069,0.7498,0.8283,0.5457,0.806,0.6758,0.6035,0.8991,0.7513
5.3,0.1153,0.778,0.7326,0.9262,0.7632,0.8447,0.5449,0.8076,0.6763,0.5971,0.9089,0.753
5.4,0.1235,0.7866,0.7534,0.9424,0.7729,0.8577,0.5463,0.8089,0.6776,0.59,0.9182,0.7541
5.5,0.1316,0.7937,0.7737,0.955,0.7785,0.8668,0.5491,0.8097,0.6794,0.5831,0.9253,0.7542
5.6,0.1406,0.7991,0.7931,0.9638,0.7795,0.8716,0.5526,0.81,0.6813,0.5772,0.9284,0.7528
5.7,0.1494,0.8031,0.8114,0.9682,0.776,0.8721,0.556,0.8109,0.6834,0.5731,0.9273,0.7502
5.8,0.1557,0.8059,0.829,0.9681,0.7688,0.8684,0.5592,0.8131,0.6862,0.5706,0.9229,0.7468
5.9,0.1586,0.8075,0.8461,0.9632,0.7587,0.8609,0.5628,0.8172,0.69,0.5697,0.916,0.7429
6,0.1593,0.8073,0.8615,0.9532,0.7463,0.8497,0.5663,0.8222,0.6943,0.5698,0.9061,0.738
6.1,0.1592,0.805,0.874,0.9379,0.7317,0.8348,0.5689,0.8272,0.698,0.5697,0.8923,0.731
6.2,0.1578,0.8009,0.8828,0.9174,0.7145,0.8159,0.5692,0.8314,0.7003,0.5678,0.8747,0.7213
6.3,0.1539,0.7956,0.8878,0.8924,0.6944,0.7934,0.5663,0.835,0.7007,0.563,0.8543,0.7086
6.4,0.1469,0.7888,0.8892,0.8638,0.6718,0.7678,0.5604,0.8378,0.6991,0.555,0.8314,0.6932
6.5,0.1368,0.7798,0.8865,0.8326,0.6474,0.74,0.5516,0.8392,0.6954,0.5441,0.8061,0.6751
6.6,0.1241,0.7678,0.8786,0.7992,0.6222,0.7107,0.5398,0.8383,0.689,0.5297,0.7778,0.6538
6.7,0.109,0.7527,0.8648,0.7644,0.5971,0.6808,0.5247,0.834,0.6793,0.5115,0.7464,0.629
6.8,0.0929,0.7349,0.8453,0.7288,0.5737,0.6512,0.5067,0.8262,0.6664,0.4899,0.7131,0.6015
6.9,0.0767,0.7147,0.8209,0.6934,0.5536,0.6235,0.4866,0.8154,0.651,0.4659,0.6797,0.5728
7,0.0603,0.6923,0.7928,0.6588,0.5382,0.5985,0.465,0.8022,0.6336,0.4403,0.6474,0.5438
7.1,0.0414,0.6679,0.7625,0.6252,0.528,0.5766,0.4426,0.7868,0.6147,0.4133,0.6172,0.5153
7.2,0.0169,0.6423,0.7312,0.5926,0.523,0.5578,0.42,0.77,0.595,0.3845,0.591,0.4877
7.3,-0.0152,0.6161,0.7003,0.5624,0.5229,0.5426,0.3976,0.7521,0.5749,0.3543,0.5698,0.4621
7.4,-0.0554,0.5898,0.6703,0.536,0.5268,0.5314,0.3761,0.7342,0.5551,0.3235,0.5546,0.4391
7.5,-0.1031,0.5638,0.6419,0.5137,0.534,0.5239,0.356,0.7176,0.5368,0.293,0.5457,0.4193
7.6,-0.1582,0.5384,0.6162,0.4947,0.5432,0.5189,0.3381,0.7041,0.5211,0.2632,0.5429,0.4031
7.7,-0.2223,0.5144,0.5943,0.4774,0.5533,0.5153,0.3229,0.6947,0.5088,0.2348,0.5461,0.3904
7.8,-0.295,0.4927,0.5775,0.4617,0.5634,0.5125,0.3109,0.6899,0.5004,0.2092,0.5545,0.3818
7.9,-0.3742,0.4737,0.5663,0.448,0.5732,0.5106,0.3024,0.6901,0.4962,0.1884,0.566,0.3772
8,-0.4564,0.4572,0.56,0.436,0.5817,0.5089,0.2966,0.6949,0.4958,0.1738,0.5784,0.3761
8.1,-0.5386,0.4428,0.5568,0.4248,0.5885,0.5066,0.2928,0.7038,0.4983,0.1653,0.5904,0.3779
8.2,-0.6181,0.4311,0.5554,0.4143,0.5939,0.5041,0.2912,0.7157,0.5035,0.1634,0.6012,0.3823
8.3,-0.6913,0.4235,0.555,0.4051,0.5988,0.502,0.2924,0.7291,0.5107,0.1692,0.6101,0.3897
8.4,-0.7536,0.4208,0.5546,0.3976,0.6031,0.5004,0.2961,0.7427,0.5194,0.1846,0.6166,0.4006
8.5,-0.8019,0.4229,0.5534,0.3913,0.6055,0.4984,0.3009,0.7555,0.5282,0.2094,0.6209,0.4152
8.6,-0.8349,0.4297,0.551,0.3851,0.6045,0.4948,0.3055,0.7669,0.5362,0.2416,0.6233,0.4324
8.7,-0.8518,0.4416,0.548,0.3788,0.5995,0.4891,0.309,0.7766,0.5428,0.2785,0.6241,0.4513
8.8,-0.8511,0.4584,0.5448,0.3724,0.591,0.4817,0.3119,0.7845,0.5482,0.319,0.6228,0.4709
