Time,MG ZS Sale 30 TVC,MG ZS Sale 30 TVC,MG ZS Sale 30 TVC,MG ZS Sale 30 TVC,MG ZS Sale 30 TVC,MG ZS Sale 30 TVC,MG ZS Sale 30 TVC,MG ZS Sale 30 TVC,MG ZS Sale 30 TVC,MG ZS Sale 30 TVC,MG ZS Sale 30 TVC,MG ZS Sale 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.4384,0.7252,1.2452,0.7149,0.6732,0.694,0.7489,0.78,0.7645,0.9534,0.7316,0.8425
0.1,-0.4491,0.7267,1.2248,0.7133,0.6777,0.6955,0.7724,0.7803,0.7763,0.9528,0.7502,0.8515
0.2,-0.4475,0.7267,1.1932,0.7148,0.6818,0.6983,0.793,0.7763,0.7846,0.947,0.7655,0.8562
0.3,-0.4341,0.7255,1.1521,0.7186,0.6857,0.7021,0.8094,0.7689,0.7891,0.9357,0.7771,0.8564
0.4,-0.4106,0.7238,1.1034,0.7237,0.6893,0.7065,0.8212,0.7589,0.7901,0.9194,0.7848,0.8521
0.5,-0.3782,0.7221,1.0488,0.7298,0.6927,0.7112,0.8288,0.7472,0.788,0.8989,0.7888,0.8438
0.6,-0.3379,0.7204,0.9902,0.7363,0.6957,0.716,0.8326,0.7344,0.7835,0.8753,0.7894,0.8323
0.7,-0.291,0.7184,0.9298,0.7431,0.6983,0.7207,0.8329,0.7209,0.7769,0.8492,0.787,0.8181
0.8,-0.2397,0.716,0.8694,0.7499,0.7004,0.7251,0.8296,0.7073,0.7685,0.821,0.7819,0.8015
0.9,-0.1874,0.7129,0.8106,0.7559,0.7019,0.7289,0.8236,0.6937,0.7586,0.7916,0.7744,0.783
1,-0.1362,0.7091,0.7547,0.761,0.7025,0.7318,0.8158,0.6804,0.7481,0.762,0.7651,0.7636
1.1,-0.0872,0.705,0.7029,0.7654,0.702,0.7337,0.8079,0.6677,0.7378,0.7337,0.7549,0.7443
1.2,-0.0401,0.7011,0.6556,0.7693,0.6997,0.7345,0.8009,0.6559,0.7284,0.7078,0.7445,0.7262
1.3,0.0047,0.6974,0.613,0.7732,0.6958,0.7345,0.7953,0.6449,0.7201,0.6849,0.7342,0.7096
1.4,0.046,0.6942,0.5748,0.7773,0.6904,0.7338,0.7913,0.6345,0.7129,0.6651,0.7242,0.6946
1.5,0.0821,0.6914,0.5405,0.7811,0.6839,0.7325,0.7885,0.6241,0.7063,0.648,0.7144,0.6812
