Time,Microsoft - Windows 11 doing it better 15 TVC,Microsoft - Windows 11 doing it better 15 TVC,Microsoft - Windows 11 doing it better 15 TVC,Microsoft - Windows 11 doing it better 15 TVC,Microsoft - Windows 11 doing it better 15 TVC,Microsoft - Windows 11 doing it better 15 TVC,Microsoft - Windows 11 doing it better 15 TVC,Microsoft - Windows 11 doing it better 15 TVC,Microsoft - Windows 11 doing it better 15 TVC,Microsoft - Windows 11 doing it better 15 TVC,Microsoft - Windows 11 doing it better 15 TVC,Microsoft - Windows 11 doing it better 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1255,0.7965,0.9488,0.8032,0.7671,0.7851,0.6519,0.8802,0.766,0.7472,0.8936,0.8204
0.1,-0.1418,0.7953,0.9334,0.8129,0.7718,0.7924,0.6819,0.8658,0.7738,0.7659,0.9005,0.8332
0.2,-0.1532,0.7888,0.9172,0.8159,0.7751,0.7955,0.7114,0.8515,0.7814,0.7845,0.9077,0.8461
0.3,-0.1605,0.7783,0.8996,0.8128,0.7774,0.7951,0.7388,0.8373,0.788,0.802,0.9143,0.8582
0.4,-0.1642,0.7646,0.8804,0.8045,0.7783,0.7914,0.7627,0.8228,0.7928,0.8175,0.9194,0.8684
0.5,-0.1642,0.748,0.8597,0.7919,0.7769,0.7844,0.7826,0.808,0.7953,0.8305,0.9221,0.8763
0.6,-0.1599,0.7288,0.8377,0.7754,0.7722,0.7738,0.7989,0.7932,0.7961,0.8411,0.9216,0.8814
0.7,-0.1513,0.7073,0.8149,0.7552,0.7641,0.7597,0.8118,0.779,0.7954,0.8494,0.9174,0.8834
0.8,-0.139,0.684,0.7919,0.7322,0.7529,0.7425,0.8211,0.7659,0.7935,0.8556,0.9092,0.8824
0.9,-0.1249,0.6594,0.7696,0.707,0.7388,0.7229,0.8265,0.7545,0.7905,0.8597,0.897,0.8784
1,-0.1111,0.6341,0.7498,0.6806,0.7218,0.7012,0.8278,0.7458,0.7868,0.8611,0.8814,0.8712
1.1,-0.0997,0.6086,0.7337,0.6539,0.7026,0.6782,0.8252,0.7407,0.783,0.8594,0.8627,0.861
