Time,Mondella Bathroom Range 15 TVC,Mondella Bathroom Range 15 TVC,Mondella Bathroom Range 15 TVC,Mondella Bathroom Range 15 TVC,Mondella Bathroom Range 15 TVC,Mondella Bathroom Range 15 TVC,Mondella Bathroom Range 15 TVC,Mondella Bathroom Range 15 TVC,Mondella Bathroom Range 15 TVC,Mondella Bathroom Range 15 TVC,Mondella Bathroom Range 15 TVC,Mondella Bathroom Range 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1367,0.5311,0.5024,0.6647,0.5326,0.5986,0.5544,0.4554,0.5049,0.6511,0.5964,0.6237
0.1,0.1394,0.5337,0.5143,0.6703,0.5418,0.606,0.5523,0.4642,0.5082,0.6442,0.5871,0.6157
0.2,0.138,0.5382,0.5259,0.677,0.5537,0.6154,0.5492,0.473,0.5111,0.6372,0.5775,0.6074
0.3,0.1326,0.5448,0.5368,0.6847,0.5676,0.6261,0.5446,0.4812,0.5129,0.6302,0.5676,0.5989
0.4,0.1238,0.553,0.5463,0.6928,0.5829,0.6379,0.5382,0.4885,0.5134,0.6235,0.5576,0.5905
0.5,0.1117,0.5625,0.5545,0.7009,0.5991,0.65,0.5303,0.4952,0.5128,0.617,0.5477,0.5824
0.6,0.0968,0.5727,0.5614,0.7085,0.6154,0.6619,0.5213,0.5015,0.5114,0.6109,0.5384,0.5747
0.7,0.0795,0.5831,0.5674,0.7147,0.6308,0.6728,0.5116,0.5075,0.5096,0.6054,0.5301,0.5678
0.8,0.0603,0.5935,0.5724,0.7189,0.6443,0.6816,0.5012,0.5129,0.507,0.6005,0.5231,0.5618
0.9,0.0397,0.6031,0.5761,0.7201,0.6551,0.6876,0.4899,0.5172,0.5036,0.5961,0.5173,0.5567
1,0.0178,0.6115,0.5785,0.7178,0.6633,0.6906,0.4779,0.5204,0.4991,0.5922,0.5127,0.5525
1.1,-0.0051,0.6184,0.5798,0.7121,0.6694,0.6907,0.4657,0.5226,0.4941,0.5885,0.5092,0.5489
1.2,-0.0279,0.6236,0.5802,0.7032,0.6736,0.6884,0.4535,0.5241,0.4888,0.5851,0.5067,0.5459
1.3,-0.0493,0.6267,0.5797,0.6918,0.6753,0.6835,0.4414,0.5248,0.4831,0.5816,0.505,0.5433
1.4,-0.068,0.6275,0.5778,0.6779,0.6739,0.6759,0.4287,0.5243,0.4765,0.5779,0.5039,0.5409
1.5,-0.0831,0.6259,0.5745,0.6616,0.6695,0.6655,0.4154,0.5225,0.469,0.5739,0.5034,0.5386
1.6,-0.0933,0.6227,0.5698,0.6433,0.6628,0.6531,0.4018,0.5201,0.461,0.5696,0.5035,0.5366
1.7,-0.0978,0.6186,0.564,0.624,0.655,0.6395,0.3888,0.5177,0.4533,0.5653,0.5045,0.5349
1.8,-0.0964,0.6144,0.5575,0.6047,0.6465,0.6256,0.3774,0.5157,0.4466,0.5613,0.5063,0.5338
1.9,-0.0899,0.6108,0.5508,0.586,0.6378,0.6119,0.3683,0.514,0.4411,0.5578,0.5088,0.5333
2,-0.0798,0.6084,0.5442,0.5686,0.6293,0.5989,0.3617,0.5123,0.437,0.5553,0.5117,0.5335
2.1,-0.0679,0.6075,0.5384,0.5527,0.6217,0.5872,0.358,0.5109,0.4345,0.5538,0.5155,0.5347
2.2,-0.055,0.6088,0.5338,0.5388,0.616,0.5774,0.3573,0.5102,0.4338,0.5537,0.5205,0.5371
2.3,-0.0409,0.6124,0.5305,0.5277,0.6123,0.57,0.3594,0.5104,0.4349,0.5548,0.5267,0.5408
2.4,-0.0259,0.6186,0.5279,0.5202,0.611,0.5656,0.3639,0.5113,0.4376,0.5573,0.5338,0.5456
2.5,-0.0111,0.6271,0.5261,0.5167,0.6119,0.5643,0.37,0.5127,0.4414,0.561,0.5412,0.5511
2.6,0.002,0.6379,0.5255,0.5167,0.6151,0.5659,0.3776,0.5148,0.4462,0.5656,0.5486,0.5571
2.7,0.0122,0.6505,0.5267,0.5199,0.6206,0.5702,0.3866,0.5182,0.4524,0.5712,0.5561,0.5637
2.8,0.0195,0.6646,0.5301,0.5253,0.6277,0.5765,0.3972,0.5234,0.4603,0.5778,0.5636,0.5707
2.9,0.0243,0.6796,0.5353,0.5323,0.6357,0.584,0.4094,0.5299,0.4697,0.585,0.5711,0.578
3,0.0273,0.6954,0.5418,0.5407,0.644,0.5923,0.4225,0.5371,0.4798,0.5925,0.5781,0.5853
3.1,0.0283,0.7114,0.549,0.5497,0.6522,0.6009,0.4358,0.5439,0.4899,0.5997,0.5843,0.592
3.2,0.0265,0.7272,0.5566,0.5589,0.6598,0.6094,0.4483,0.5501,0.4992,0.6062,0.5891,0.5977
3.3,0.0214,0.7423,0.5643,0.5676,0.6666,0.6171,0.4596,0.5556,0.5076,0.6119,0.5924,0.6022
3.4,0.0137,0.7561,0.5718,0.5748,0.6722,0.6235,0.4694,0.5606,0.515,0.6167,0.5945,0.6056
3.5,0.004,0.7684,0.5789,0.5801,0.6761,0.6281,0.4774,0.5652,0.5213,0.6209,0.5958,0.6084
3.6,-0.007,0.779,0.5857,0.5832,0.678,0.6306,0.4839,0.5694,0.5266,0.6245,0.5969,0.6107
3.7,-0.0191,0.7875,0.5923,0.5841,0.6779,0.631,0.489,0.5736,0.5313,0.6275,0.5979,0.6127
3.8,-0.0321,0.7935,0.5987,0.5831,0.6754,0.6293,0.4933,0.5781,0.5357,0.6299,0.599,0.6145
3.9,-0.0452,0.7964,0.6055,0.5809,0.6707,0.6258,0.4977,0.5833,0.5405,0.6318,0.6007,0.6163
4,-0.0574,0.7961,0.613,0.5782,0.6638,0.621,0.503,0.5895,0.5462,0.6336,0.6033,0.6185
4.1,-0.068,0.7929,0.6213,0.5757,0.6551,0.6154,0.5095,0.5964,0.553,0.6355,0.6071,0.6213
4.2,-0.0764,0.7867,0.6303,0.5737,0.6445,0.6091,0.5172,0.6036,0.5604,0.6377,0.6121,0.6249
4.3,-0.0814,0.7775,0.6394,0.572,0.632,0.602,0.5258,0.6107,0.5682,0.6402,0.6182,0.6292
4.4,-0.0817,0.7654,0.6484,0.571,0.6181,0.5945,0.5352,0.6175,0.5763,0.6433,0.6253,0.6343
4.5,-0.0765,0.7512,0.6569,0.5714,0.6034,0.5874,0.5454,0.6242,0.5848,0.6473,0.6337,0.6405
4.6,-0.0655,0.7358,0.6643,0.574,0.5892,0.5816,0.5565,0.6307,0.5936,0.6528,0.6435,0.6481
4.7,-0.0495,0.7205,0.6703,0.5793,0.5766,0.5779,0.5685,0.6366,0.6025,0.6598,0.6543,0.6571
4.8,-0.0301,0.7064,0.6747,0.5872,0.5668,0.577,0.5814,0.6422,0.6118,0.6684,0.6656,0.667
4.9,-0.009,0.6945,0.6775,0.598,0.5608,0.5794,0.5956,0.6479,0.6218,0.6783,0.677,0.6777
5,0.0123,0.6856,0.6792,0.6119,0.5594,0.5857,0.6112,0.6542,0.6327,0.6894,0.6882,0.6888
5.1,0.0326,0.6801,0.6802,0.6291,0.5627,0.5959,0.628,0.6614,0.6447,0.7018,0.6993,0.7005
5.2,0.0514,0.6778,0.6807,0.649,0.5706,0.6098,0.6458,0.6692,0.6575,0.7153,0.7098,0.7126
5.3,0.0687,0.6781,0.6807,0.6705,0.5824,0.6265,0.6639,0.6771,0.6705,0.7296,0.7196,0.7246
5.4,0.0853,0.68,0.6802,0.6925,0.5969,0.6447,0.6819,0.6845,0.6832,0.7442,0.7282,0.7362
5.5,0.1022,0.6826,0.6791,0.7142,0.6129,0.6636,0.6994,0.6911,0.6953,0.7588,0.7357,0.7472
5.6,0.1199,0.6853,0.6773,0.7353,0.6293,0.6823,0.7161,0.6966,0.7063,0.7728,0.742,0.7574
