Time,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC,NAB Business TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.2054,0.9111,0.8397,0.82,0.7077,0.7639,0.7852,0.7329,0.7591,0.7277,0.7932,0.7605
0.1,0.2092,0.9459,0.8493,0.8486,0.7277,0.7882,0.8005,0.7439,0.7722,0.753,0.8119,0.7825
0.2,0.204,0.9719,0.855,0.8725,0.7462,0.8094,0.8141,0.7539,0.784,0.777,0.8285,0.8028
0.3,0.1923,0.9881,0.857,0.8909,0.7624,0.8267,0.8257,0.7632,0.7944,0.7987,0.8427,0.8207
0.4,0.1767,0.9949,0.8558,0.9037,0.776,0.8398,0.8352,0.7717,0.8034,0.8172,0.8541,0.8356
0.5,0.1598,0.9934,0.8525,0.9115,0.7871,0.8493,0.8422,0.7798,0.811,0.8317,0.8625,0.8471
0.6,0.1439,0.9852,0.8477,0.9153,0.7959,0.8556,0.847,0.7873,0.8171,0.8422,0.8681,0.8552
0.7,0.1307,0.9716,0.842,0.9156,0.8023,0.859,0.8493,0.7941,0.8217,0.8488,0.8707,0.8598
0.8,0.1211,0.9535,0.8352,0.9123,0.8058,0.8591,0.8488,0.8002,0.8245,0.8515,0.8701,0.8608
0.9,0.1149,0.9315,0.8275,0.9053,0.8057,0.8555,0.845,0.8053,0.8251,0.8502,0.8663,0.8583
1,0.1117,0.9068,0.819,0.8947,0.802,0.8483,0.8376,0.809,0.8233,0.8447,0.8591,0.8519
1.1,0.1107,0.8809,0.8102,0.8816,0.7952,0.8384,0.8271,0.8108,0.819,0.835,0.8487,0.8418
1.2,0.1102,0.8553,0.8015,0.8658,0.7856,0.8257,0.8137,0.8102,0.812,0.8211,0.8362,0.8287
1.3,0.1092,0.8315,0.7933,0.848,0.7742,0.8111,0.7982,0.807,0.8026,0.8041,0.8229,0.8135
1.4,0.1077,0.8105,0.7858,0.8295,0.7619,0.7957,0.7818,0.8018,0.7918,0.7855,0.8098,0.7976
1.5,0.1055,0.7925,0.7792,0.8109,0.7493,0.7801,0.7653,0.7948,0.78,0.7664,0.7974,0.7819
1.6,0.1024,0.7773,0.7732,0.7923,0.7366,0.7645,0.7491,0.7861,0.7676,0.7477,0.7858,0.7667
1.7,0.0985,0.7648,0.7673,0.7741,0.7242,0.7492,0.7337,0.7758,0.7547,0.7294,0.7747,0.752
1.8,0.0936,0.7548,0.7613,0.7565,0.7124,0.7345,0.7194,0.7643,0.7418,0.7117,0.7637,0.7377
1.9,0.0875,0.7472,0.755,0.74,0.7015,0.7208,0.7067,0.7525,0.7296,0.6951,0.7528,0.7239
2,0.0804,0.7418,0.7486,0.7249,0.692,0.7084,0.696,0.7411,0.7186,0.6796,0.7422,0.7109
2.1,0.0721,0.7382,0.7425,0.7113,0.6841,0.6977,0.6875,0.7306,0.709,0.6654,0.7321,0.6988
2.2,0.063,0.7361,0.7367,0.6993,0.678,0.6887,0.6811,0.7209,0.701,0.6528,0.7229,0.6878
2.3,0.0532,0.7354,0.7314,0.6888,0.6737,0.6812,0.6771,0.7122,0.6947,0.6423,0.7146,0.6785
2.4,0.0426,0.7364,0.727,0.6794,0.6715,0.6755,0.6756,0.7047,0.6902,0.6342,0.7077,0.671
2.5,0.0311,0.7389,0.7234,0.6713,0.6716,0.6714,0.6764,0.6987,0.6875,0.6288,0.7022,0.6655
2.6,0.0187,0.7429,0.7206,0.6641,0.674,0.6691,0.6791,0.694,0.6866,0.6258,0.6979,0.6618
2.7,0.0054,0.748,0.7181,0.6578,0.6784,0.6681,0.6833,0.6903,0.6868,0.6247,0.6945,0.6596
2.8,-0.0088,0.7536,0.7156,0.6522,0.6844,0.6683,0.6886,0.6871,0.6878,0.6253,0.692,0.6586
2.9,-0.0238,0.7589,0.7127,0.6469,0.6914,0.6692,0.6947,0.6839,0.6893,0.6276,0.6902,0.6589
3,-0.0397,0.7633,0.7094,0.6418,0.699,0.6704,0.7015,0.6805,0.691,0.6316,0.6892,0.6604
3.1,-0.0564,0.7663,0.7053,0.6366,0.7068,0.6717,0.7084,0.6765,0.6924,0.6372,0.689,0.6631
3.2,-0.0733,0.7678,0.7005,0.6313,0.7147,0.673,0.7148,0.6715,0.6931,0.6442,0.6892,0.6667
3.3,-0.0898,0.7681,0.6948,0.6261,0.7228,0.6744,0.7206,0.6655,0.693,0.6523,0.69,0.6712
3.4,-0.1058,0.7678,0.6887,0.6211,0.7313,0.6762,0.726,0.6593,0.6927,0.6619,0.6914,0.6766
3.5,-0.1214,0.7675,0.6833,0.6167,0.7404,0.6786,0.7317,0.6539,0.6928,0.6733,0.6939,0.6836
3.6,-0.1364,0.7678,0.6793,0.6135,0.7504,0.682,0.738,0.6501,0.694,0.6866,0.6976,0.6921
