Time,MyBudget - Aaron and Jake,MyBudget - Aaron and Jake,MyBudget - Aaron and Jake,MyBudget - Aaron and Jake,MyBudget - Aaron and Jake,MyBudget - Aaron and Jake,MyBudget - Aaron and Jake,MyBudget - Aaron and Jake,MyBudget - Aaron and Jake,MyBudget - Aaron and Jake,MyBudget - Aaron and Jake,MyBudget - Aaron and Jake
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1042,0.4252,0.7812,0.5129,0.4832,0.498,0.4915,0.6869,0.5892,0.4033,0.5117,0.4575
0.1,-0.1232,0.4271,0.7584,0.503,0.474,0.4885,0.4743,0.6779,0.5761,0.3953,0.5071,0.4512
0.2,-0.1359,0.4304,0.735,0.4944,0.4656,0.48,0.4563,0.6683,0.5623,0.3872,0.5013,0.4443
0.3,-0.1422,0.4343,0.7118,0.4864,0.458,0.4722,0.438,0.6585,0.5483,0.3795,0.4945,0.437
0.4,-0.1418,0.4387,0.6894,0.4786,0.4511,0.4648,0.4197,0.6485,0.5341,0.3726,0.4866,0.4296
0.5,-0.1348,0.4436,0.6681,0.4702,0.4449,0.4575,0.4021,0.6384,0.5203,0.3666,0.4775,0.4221
0.6,-0.1225,0.4488,0.6479,0.4605,0.439,0.4498,0.3854,0.6285,0.507,0.3616,0.4668,0.4142
0.7,-0.1065,0.4539,0.6287,0.449,0.4327,0.4408,0.3695,0.6189,0.4942,0.357,0.4544,0.4057
0.8,-0.089,0.4582,0.61,0.4356,0.4254,0.4305,0.3542,0.6093,0.4817,0.3519,0.4396,0.3958
0.9,-0.0708,0.4613,0.5913,0.4208,0.417,0.4189,0.3393,0.599,0.4691,0.3459,0.4221,0.384
1,-0.0528,0.4628,0.5718,0.4054,0.4076,0.4065,0.3246,0.5875,0.456,0.3389,0.4016,0.3702
1.1,-0.0361,0.4626,0.551,0.3903,0.3976,0.394,0.3104,0.5742,0.4423,0.3311,0.3781,0.3546
1.2,-0.0215,0.4612,0.5285,0.3766,0.3875,0.382,0.2969,0.5591,0.428,0.3231,0.3518,0.3375
1.3,-0.0092,0.4588,0.5039,0.3648,0.3774,0.3711,0.2845,0.5423,0.4134,0.3153,0.3232,0.3193
1.4,0.0019,0.4558,0.477,0.3555,0.3669,0.3612,0.2731,0.5238,0.3984,0.308,0.2925,0.3003
1.5,0.0128,0.4527,0.4477,0.3488,0.3561,0.3524,0.263,0.5041,0.3836,0.3014,0.2604,0.2809
1.6,0.0238,0.4499,0.4165,0.3448,0.3452,0.345,0.2548,0.4841,0.3694,0.296,0.2275,0.2617
1.7,0.0339,0.4477,0.3845,0.3433,0.3352,0.3393,0.2488,0.4652,0.357,0.2924,0.1957,0.244
1.8,0.0423,0.4458,0.3535,0.3439,0.3266,0.3353,0.2458,0.4486,0.3472,0.2915,0.167,0.2292
1.9,0.0488,0.4439,0.3248,0.3464,0.3189,0.3327,0.2459,0.4352,0.3405,0.2941,0.143,0.2186
2,0.0544,0.4421,0.2997,0.3504,0.3117,0.331,0.2496,0.4253,0.3374,0.3011,0.1251,0.2131
2.1,0.0607,0.4402,0.2787,0.3556,0.3044,0.33,0.257,0.419,0.338,0.3135,0.1139,0.2137
2.2,0.0685,0.4387,0.2622,0.3621,0.2976,0.3298,0.2685,0.4165,0.3425,0.3317,0.1099,0.2208
2.3,0.0778,0.4379,0.2508,0.3703,0.2921,0.3312,0.2841,0.4181,0.3511,0.3559,0.1137,0.2348
2.4,0.0888,0.4385,0.2454,0.3806,0.289,0.3348,0.3044,0.4244,0.3644,0.3858,0.1262,0.256
2.5,0.1025,0.4413,0.2469,0.3936,0.2889,0.3412,0.33,0.436,0.383,0.4212,0.148,0.2846
2.6,0.1195,0.4469,0.2557,0.4096,0.2918,0.3507,0.3613,0.4528,0.407,0.4616,0.1795,0.3205
2.7,0.1405,0.456,0.2716,0.4286,0.2982,0.3634,0.398,0.4742,0.4361,0.5065,0.2204,0.3635
2.8,0.1659,0.469,0.2942,0.4508,0.3087,0.3798,0.4395,0.4997,0.4696,0.5552,0.2709,0.4131
2.9,0.1949,0.4862,0.3231,0.4765,0.3244,0.4005,0.4854,0.5287,0.5071,0.607,0.331,0.469
3,0.2266,0.5077,0.3576,0.5059,0.3455,0.4257,0.5353,0.5605,0.5479,0.6603,0.3999,0.5301
3.1,0.2605,0.5336,0.396,0.5387,0.3717,0.4552,0.5878,0.5943,0.591,0.7127,0.4746,0.5937
3.2,0.297,0.5635,0.4364,0.5742,0.4018,0.488,0.6408,0.6287,0.6348,0.7614,0.5513,0.6564
3.3,0.336,0.5968,0.4767,0.6117,0.4345,0.5231,0.6918,0.6624,0.6771,0.8041,0.6256,0.7149
3.4,0.3759,0.6319,0.5157,0.6502,0.4681,0.5592,0.739,0.694,0.7165,0.8392,0.6942,0.7667
3.5,0.4142,0.667,0.5528,0.6879,0.5011,0.5945,0.781,0.7223,0.7517,0.866,0.7545,0.8102
3.6,0.4487,0.7005,0.5867,0.7237,0.5323,0.628,0.8173,0.7463,0.7818,0.8843,0.8049,0.8446
3.7,0.4783,0.7316,0.6159,0.757,0.5614,0.6592,0.8474,0.7655,0.8064,0.8943,0.8447,0.8695
3.8,0.5021,0.7598,0.6387,0.7874,0.5886,0.688,0.8713,0.7795,0.8254,0.8963,0.8734,0.8849
3.9,0.5186,0.785,0.6541,0.8146,0.6142,0.7144,0.8891,0.7881,0.8386,0.8906,0.8915,0.891
4,0.5267,0.8071,0.6619,0.8375,0.6378,0.7376,0.9008,0.7912,0.846,0.8774,0.8992,0.8883
4.1,0.5262,0.8257,0.6625,0.8556,0.6591,0.7573,0.9062,0.7888,0.8475,0.857,0.8968,0.8769
4.2,0.5179,0.8407,0.6562,0.8686,0.6785,0.7736,0.906,0.7815,0.8438,0.8302,0.8847,0.8575
4.3,0.5022,0.8523,0.6442,0.8767,0.6965,0.7866,0.9015,0.7708,0.8361,0.7983,0.864,0.8312
4.4,0.4782,0.8603,0.6277,0.8795,0.7133,0.7964,0.8942,0.7583,0.8262,0.7633,0.8364,0.7998
4.5,0.4446,0.865,0.6085,0.8767,0.7289,0.8028,0.8856,0.7458,0.8157,0.7272,0.8035,0.7654
4.6,0.402,0.8664,0.5881,0.8684,0.7428,0.8056,0.8771,0.7342,0.8057,0.6918,0.7672,0.7295
4.7,0.3524,0.8648,0.5678,0.8546,0.7547,0.8047,0.8694,0.7241,0.7967,0.6585,0.7289,0.6937
4.8,0.2976,0.8603,0.5482,0.8355,0.7641,0.7998,0.8629,0.7156,0.7892,0.6279,0.69,0.659
4.9,0.238,0.8529,0.53,0.8111,0.7709,0.791,0.8578,0.709,0.7834,0.6008,0.6517,0.6263
5,0.1728,0.8426,0.5137,0.782,0.7753,0.7787,0.8544,0.7047,0.7795,0.5776,0.6154,0.5965
5.1,0.1025,0.8299,0.5001,0.7493,0.7773,0.7633,0.8526,0.7029,0.7777,0.5586,0.5819,0.5703
