Time,MyBudget - Jaz and Reid,MyBudget - Jaz and Reid,MyBudget - Jaz and Reid,MyBudget - Jaz and Reid,MyBudget - Jaz and Reid,MyBudget - Jaz and Reid,MyBudget - Jaz and Reid,MyBudget - Jaz and Reid,MyBudget - Jaz and Reid,MyBudget - Jaz and Reid,MyBudget - Jaz and Reid,MyBudget - Jaz and Reid
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.3268,0.4972,0.5832,0.6006,0.2809,0.4407,0.4345,0.5473,0.4909,0.4849,0.7088,0.5969
0.1,0.3544,0.4989,0.5751,0.6036,0.2787,0.4411,0.4522,0.5525,0.5024,0.4975,0.7193,0.6084
0.2,0.3774,0.5025,0.5653,0.6064,0.2776,0.442,0.4698,0.5553,0.5125,0.5076,0.7252,0.6164
0.3,0.396,0.5083,0.5536,0.6095,0.2778,0.4437,0.4868,0.5562,0.5215,0.5151,0.7266,0.6209
0.4,0.4093,0.5164,0.54,0.6134,0.2802,0.4468,0.5031,0.5559,0.5295,0.52,0.724,0.622
0.5,0.4162,0.5266,0.525,0.6188,0.2852,0.452,0.5182,0.5556,0.5369,0.5226,0.7183,0.6205
0.6,0.4161,0.5387,0.5099,0.6265,0.2934,0.46,0.5323,0.5564,0.5444,0.5235,0.7105,0.617
0.7,0.4092,0.5521,0.4958,0.6362,0.3047,0.4704,0.5456,0.5589,0.5523,0.5232,0.7014,0.6123
0.8,0.3953,0.5663,0.4831,0.6465,0.3181,0.4823,0.5572,0.5627,0.56,0.5215,0.6914,0.6065
0.9,0.3746,0.5808,0.4714,0.656,0.3324,0.4942,0.5662,0.5673,0.5667,0.5185,0.6809,0.5997
1,0.3468,0.5955,0.4608,0.6642,0.3471,0.5056,0.5719,0.5729,0.5724,0.5143,0.67,0.5921
1.1,0.3113,0.6102,0.4519,0.6716,0.3621,0.5169,0.5742,0.58,0.5771,0.5088,0.6593,0.5841
1.2,0.2683,0.6239,0.4454,0.6785,0.378,0.5282,0.5729,0.5888,0.5809,0.5025,0.6492,0.5759
1.3,0.2181,0.6353,0.4422,0.6843,0.3944,0.5394,0.568,0.599,0.5835,0.4959,0.6399,0.5679
1.4,0.1615,0.6431,0.4426,0.6884,0.4112,0.5498,0.5594,0.6097,0.5846,0.4892,0.6315,0.5604
1.5,0.1002,0.6471,0.4466,0.6906,0.4282,0.5594,0.5474,0.6204,0.5839,0.4828,0.624,0.5534
1.6,0.0364,0.6471,0.4541,0.6919,0.4458,0.5688,0.5326,0.6311,0.5818,0.4771,0.6174,0.5473
1.7,-0.0277,0.6431,0.4655,0.6935,0.4648,0.5791,0.5164,0.6424,0.5794,0.4729,0.612,0.5425
