Time,NAB Home Loans Refinancing 15s TVC,NAB Home Loans Refinancing 15s TVC,NAB Home Loans Refinancing 15s TVC,NAB Home Loans Refinancing 15s TVC,NAB Home Loans Refinancing 15s TVC,NAB Home Loans Refinancing 15s TVC,NAB Home Loans Refinancing 15s TVC,NAB Home Loans Refinancing 15s TVC,NAB Home Loans Refinancing 15s TVC,NAB Home Loans Refinancing 15s TVC,NAB Home Loans Refinancing 15s TVC,NAB Home Loans Refinancing 15s TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1462,0.4612,0.2438,0.5292,0.4297,0.4795,0.1764,0.4328,0.3046,0.2265,0.4616,0.3441
0.1,-0.211,0.4771,0.2728,0.5577,0.4684,0.513,0.1927,0.4346,0.3137,0.2469,0.465,0.3559
0.2,-0.273,0.4976,0.2979,0.59,0.5102,0.5501,0.2126,0.4373,0.3249,0.2681,0.4643,0.3662
0.3,-0.3305,0.5218,0.3184,0.625,0.554,0.5895,0.2354,0.4415,0.3385,0.2888,0.4601,0.3745
0.4,-0.3804,0.5481,0.3346,0.661,0.5981,0.6296,0.2605,0.448,0.3543,0.3084,0.4527,0.3805
0.5,-0.4192,0.5748,0.347,0.6958,0.6397,0.6678,0.2867,0.4564,0.3715,0.3257,0.4418,0.3837
0.6,-0.4438,0.6005,0.3549,0.7273,0.6748,0.7011,0.3123,0.4645,0.3884,0.3397,0.4263,0.383
0.7,-0.4523,0.6239,0.3576,0.7536,0.6995,0.7266,0.3362,0.4704,0.4033,0.3495,0.4052,0.3774
0.8,-0.445,0.6435,0.3548,0.7731,0.7106,0.7419,0.3576,0.4732,0.4154,0.3548,0.3788,0.3668
0.9,-0.4236,0.6582,0.3472,0.7855,0.7063,0.7459,0.3759,0.4728,0.4244,0.356,0.3485,0.3522
