Time,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC,Nescafe Dolce Gusto Will i am Shazam TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0881,0.5968,0.7377,0.5704,0.5288,0.5496,0.7816,0.6695,0.7255,0.7195,0.6724,0.696
0.1,0.1008,0.5846,0.7366,0.5689,0.5304,0.5497,0.7914,0.6667,0.729,0.7175,0.673,0.6952
0.2,0.1138,0.5746,0.733,0.5717,0.5346,0.5532,0.8017,0.663,0.7324,0.7148,0.6733,0.694
0.3,0.1271,0.5671,0.7272,0.578,0.5412,0.5596,0.8121,0.6583,0.7352,0.7104,0.673,0.6917
0.4,0.1401,0.5618,0.7199,0.5862,0.5492,0.5677,0.8219,0.6525,0.7372,0.7032,0.6716,0.6874
0.5,0.1524,0.558,0.7119,0.5944,0.5576,0.576,0.8304,0.646,0.7382,0.6926,0.669,0.6808
0.6,0.1634,0.5553,0.7034,0.6015,0.5654,0.5834,0.8368,0.6394,0.7381,0.6793,0.6654,0.6723
0.7,0.1725,0.5536,0.6945,0.6069,0.5724,0.5897,0.8405,0.633,0.7368,0.6649,0.6613,0.6631
0.8,0.1794,0.553,0.6852,0.6108,0.5789,0.5948,0.8412,0.6271,0.7341,0.6512,0.6573,0.6542
0.9,0.184,0.5539,0.6758,0.6134,0.5855,0.5994,0.8386,0.6221,0.7303,0.6393,0.6537,0.6465
1,0.1865,0.5567,0.6667,0.6153,0.5926,0.6039,0.8329,0.6182,0.7255,0.6293,0.6506,0.6399
1.1,0.187,0.5616,0.6582,0.6171,0.5999,0.6085,0.824,0.6155,0.7198,0.6207,0.6477,0.6342
1.2,0.1853,0.5683,0.6503,0.6188,0.6071,0.6129,0.8118,0.614,0.7129,0.6127,0.6449,0.6288
1.3,0.181,0.5761,0.6427,0.6201,0.6135,0.6168,0.7961,0.6132,0.7046,0.6051,0.6419,0.6235
1.4,0.1745,0.584,0.6353,0.6202,0.619,0.6196,0.7773,0.6126,0.695,0.5977,0.6382,0.618
1.5,0.1659,0.5912,0.6284,0.6189,0.6235,0.6212,0.7565,0.6123,0.6844,0.5905,0.6337,0.6121
1.6,0.1557,0.5974,0.6218,0.6163,0.6272,0.6217,0.7346,0.6121,0.6733,0.5836,0.6283,0.606
1.7,0.1442,0.6023,0.6153,0.6129,0.6298,0.6214,0.7124,0.6118,0.6621,0.5771,0.622,0.5996
1.8,0.1316,0.6057,0.6086,0.6088,0.6311,0.62,0.6903,0.6112,0.6507,0.5709,0.6146,0.5927
1.9,0.1186,0.6073,0.6015,0.604,0.6307,0.6174,0.6683,0.6099,0.6391,0.5648,0.6062,0.5855
2,0.1059,0.6068,0.5944,0.5984,0.6284,0.6134,0.6472,0.608,0.6276,0.5588,0.597,0.5779
2.1,0.0948,0.6045,0.5882,0.5919,0.6248,0.6083,0.6279,0.6061,0.617,0.5533,0.5877,0.5705
2.2,0.0863,0.6008,0.5835,0.585,0.6205,0.6028,0.6115,0.6052,0.6083,0.5488,0.579,0.5639
2.3,0.0813,0.5963,0.5806,0.5782,0.6163,0.5973,0.5988,0.6059,0.6023,0.5455,0.5713,0.5584
2.4,0.0797,0.5913,0.5797,0.5718,0.6126,0.5922,0.5898,0.6085,0.5992,0.5428,0.5643,0.5535
2.5,0.0811,0.5865,0.5808,0.5659,0.6099,0.5879,0.5843,0.6132,0.5987,0.54,0.5574,0.5487
2.6,0.0851,0.5831,0.5843,0.5614,0.609,0.5852,0.582,0.6201,0.6011,0.5367,0.5504,0.5436
2.7,0.0916,0.5823,0.5904,0.5594,0.6111,0.5852,0.5834,0.6292,0.6063,0.5337,0.5439,0.5388
2.8,0.1009,0.5844,0.5989,0.5609,0.6167,0.5888,0.5891,0.6402,0.6146,0.5317,0.5384,0.535
2.9,0.1125,0.5892,0.6093,0.5664,0.6257,0.596,0.5992,0.6524,0.6258,0.5314,0.5343,0.5329
3,0.1253,0.5958,0.621,0.5755,0.6372,0.6064,0.6131,0.6648,0.639,0.5327,0.5315,0.5321
3.1,0.1372,0.6038,0.6336,0.5877,0.6507,0.6192,0.6292,0.6768,0.653,0.5351,0.5293,0.5322
3.2,0.1455,0.6138,0.647,0.6023,0.6657,0.634,0.6462,0.6886,0.6674,0.5381,0.5275,0.5328
3.3,0.1484,0.6263,0.6613,0.619,0.6822,0.6506,0.6633,0.7003,0.6818,0.5418,0.5256,0.5337
3.4,0.1456,0.6415,0.6766,0.6373,0.7002,0.6687,0.6803,0.7123,0.6963,0.5464,0.524,0.5352
3.5,0.1369,0.6583,0.6927,0.6564,0.7189,0.6876,0.6972,0.7248,0.711,0.5522,0.5228,0.5375
3.6,0.1226,0.6753,0.7097,0.675,0.7373,0.7062,0.7138,0.7382,0.726,0.5594,0.5222,0.5408
3.7,0.103,0.6909,0.727,0.6917,0.7546,0.7232,0.7292,0.752,0.7406,0.5683,0.5227,0.5455
3.8,0.0787,0.7041,0.744,0.7055,0.7701,0.7378,0.7429,0.7657,0.7543,0.579,0.5246,0.5518
3.9,0.0504,0.7145,0.7595,0.7161,0.7833,0.7497,0.7545,0.7785,0.7665,0.5918,0.528,0.5599
4,0.0193,0.7221,0.7727,0.7235,0.794,0.7587,0.7639,0.7904,0.7771,0.6066,0.533,0.5698
4.1,-0.0133,0.7271,0.7836,0.7281,0.8019,0.765,0.7715,0.8018,0.7866,0.6232,0.5395,0.5814
4.2,-0.0458,0.7299,0.7925,0.7302,0.8071,0.7686,0.7777,0.8131,0.7954,0.6409,0.5473,0.5941
4.3,-0.0768,0.7307,0.7997,0.7298,0.8096,0.7697,0.7825,0.8246,0.8035,0.6588,0.5557,0.6072
4.4,-0.1053,0.7295,0.8048,0.7266,0.8092,0.7679,0.7858,0.8358,0.8108,0.6756,0.5638,0.6197
4.5,-0.1305,0.7257,0.807,0.7201,0.8053,0.7627,0.7874,0.8458,0.8166,0.6902,0.5708,0.6305
4.6,-0.1518,0.7184,0.806,0.7094,0.7971,0.7533,0.7869,0.8537,0.8203,0.702,0.576,0.639
4.7,-0.1689,0.7072,0.8017,0.6943,0.7842,0.7392,0.7848,0.8588,0.8218,0.7109,0.5792,0.6451
4.8,-0.1816,0.6925,0.7949,0.6744,0.7667,0.7206,0.7815,0.8608,0.8212,0.7172,0.5809,0.6491
4.9,-0.1895,0.6746,0.7861,0.6501,0.745,0.6976,0.7773,0.8597,0.8185,0.7214,0.5817,0.6515
5,-0.1929,0.6539,0.7755,0.6219,0.7196,0.6707,0.7722,0.8555,0.8138,0.7234,0.5819,0.6527
5.1,-0.1928,0.6304,0.7636,0.5902,0.6909,0.6405,0.7656,0.848,0.8068,0.723,0.5819,0.6525
5.2,-0.1904,0.6043,0.7507,0.5557,0.6596,0.6077,0.7569,0.8376,0.7973,0.7203,0.5816,0.651
5.3,-0.1865,0.5759,0.7376,0.5193,0.6264,0.5729,0.7457,0.8248,0.7853,0.7158,0.5812,0.6485
5.4,-0.1813,0.546,0.725,0.4816,0.5925,0.537,0.7321,0.8103,0.7712,0.7102,0.5811,0.6457
5.5,-0.1746,0.5154,0.7133,0.4433,0.5587,0.501,0.7163,0.795,0.7556,0.7047,0.5817,0.6432
5.6,-0.1668,0.4848,0.7024,0.4049,0.5258,0.4654,0.699,0.7793,0.7391,0.6997,0.583,0.6414
5.7,-0.1587,0.4549,0.6925,0.367,0.4947,0.4309,0.6804,0.7637,0.722,0.6955,0.585,0.6402
5.8,-0.1518,0.4264,0.6838,0.3302,0.466,0.3981,0.6607,0.7486,0.7047,0.6922,0.5872,0.6397
5.9,-0.1467,0.4004,0.6768,0.2952,0.4404,0.3678,0.6403,0.7342,0.6873,0.6902,0.5897,0.64
