Time,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC,NAB Home Loan Experts in Fast Approvals 30s TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0763,0.4417,0.6055,0.3561,0.6574,0.5067,0.4346,0.6727,0.5537,0.6953,0.7478,0.7215
0.1,0.0202,0.4415,0.6203,0.3556,0.6726,0.5141,0.4491,0.6804,0.5648,0.6994,0.7288,0.7141
0.2,-0.0312,0.4436,0.6335,0.3576,0.6853,0.5215,0.4627,0.6849,0.5738,0.7035,0.7086,0.706
0.3,-0.0763,0.4492,0.6446,0.3631,0.6957,0.5294,0.4754,0.6864,0.5809,0.708,0.6882,0.6981
0.4,-0.1151,0.4586,0.6529,0.3729,0.7041,0.5385,0.4875,0.6857,0.5866,0.7136,0.6691,0.6913
0.5,-0.1468,0.4716,0.6577,0.3872,0.7107,0.549,0.4996,0.6837,0.5916,0.7205,0.6526,0.6865
0.6,-0.17,0.4879,0.659,0.4056,0.7158,0.5607,0.5119,0.681,0.5965,0.7288,0.6394,0.6841
0.7,-0.1849,0.5071,0.6572,0.4272,0.72,0.5736,0.5247,0.678,0.6013,0.7381,0.6299,0.684
0.8,-0.193,0.5283,0.6536,0.4507,0.7241,0.5874,0.5373,0.6749,0.6061,0.7479,0.6242,0.686
0.9,-0.197,0.5496,0.6495,0.4739,0.7282,0.601,0.549,0.6724,0.6107,0.7579,0.622,0.6899
1,-0.1992,0.5692,0.6459,0.4946,0.7317,0.6131,0.5594,0.6709,0.6152,0.7684,0.6234,0.6959
1.1,-0.2009,0.5862,0.6442,0.5113,0.7345,0.6229,0.5687,0.6712,0.62,0.7802,0.6289,0.7045
1.2,-0.2032,0.6003,0.6456,0.5236,0.7369,0.6303,0.5777,0.6738,0.6258,0.7942,0.6389,0.7166
1.3,-0.2074,0.612,0.6509,0.5319,0.7397,0.6358,0.5874,0.6794,0.6334,0.811,0.654,0.7325
1.4,-0.2147,0.6214,0.6594,0.5362,0.7434,0.6398,0.598,0.6882,0.6431,0.8303,0.6735,0.7519
1.5,-0.2251,0.6284,0.6701,0.5365,0.7478,0.6421,0.609,0.6996,0.6543,0.8509,0.6962,0.7736
1.6,-0.2372,0.6328,0.6822,0.5324,0.7527,0.6426,0.6195,0.7124,0.6659,0.8715,0.7202,0.7958
1.7,-0.2492,0.6347,0.695,0.5243,0.7578,0.6411,0.6287,0.726,0.6773,0.8907,0.7442,0.8175
1.8,-0.2597,0.6342,0.7074,0.5134,0.7627,0.638,0.6363,0.7395,0.6879,0.908,0.767,0.8375
1.9,-0.2687,0.6307,0.7183,0.5008,0.7666,0.6337,0.6422,0.7523,0.6973,0.9228,0.7883,0.8555
2,-0.2772,0.6233,0.7266,0.4875,0.7681,0.6278,0.6461,0.7635,0.7048,0.9347,0.8077,0.8712
2.1,-0.286,0.6111,0.7324,0.4741,0.7657,0.6199,0.6473,0.7717,0.7095,0.9434,0.8248,0.8841
2.2,-0.2945,0.5941,0.7365,0.461,0.7593,0.6101,0.645,0.7762,0.7106,0.9481,0.8388,0.8935
2.3,-0.3008,0.5735,0.7397,0.4491,0.7495,0.5993,0.6389,0.7763,0.7076,0.9487,0.8493,0.899
2.4,-0.3018,0.5509,0.742,0.4398,0.7377,0.5887,0.6293,0.7721,0.7007,0.9449,0.8556,0.9003
2.5,-0.2945,0.5271,0.743,0.4335,0.7244,0.5789,0.617,0.764,0.6905,0.9372,0.8574,0.8973
2.6,-0.2766,0.5023,0.7427,0.4304,0.709,0.5697,0.603,0.7527,0.6778,0.9259,0.8547,0.8903
2.7,-0.2469,0.4768,0.7417,0.4307,0.6912,0.5609,0.5883,0.739,0.6637,0.9119,0.8479,0.8799
2.8,-0.2061,0.4523,0.7409,0.4348,0.6715,0.5532,0.5741,0.7242,0.6492,0.8968,0.8379,0.8674
2.9,-0.156,0.4319,0.7411,0.4437,0.6513,0.5475,0.5615,0.7098,0.6357,0.882,0.8255,0.8538
3,-0.0996,0.4182,0.7427,0.4571,0.6323,0.5447,0.5506,0.6964,0.6235,0.8681,0.8109,0.8395
3.1,-0.0408,0.4125,0.7452,0.4739,0.6156,0.5448,0.5409,0.6834,0.6122,0.8546,0.7941,0.8243
3.2,0.0174,0.4149,0.7475,0.4921,0.6023,0.5472,0.5321,0.6704,0.6013,0.8405,0.7746,0.8075
3.3,0.0727,0.4251,0.7489,0.5098,0.5929,0.5514,0.5243,0.6575,0.5909,0.8249,0.7525,0.7887
3.4,0.123,0.4423,0.7492,0.5263,0.5883,0.5573,0.5183,0.6455,0.5819,0.8077,0.7286,0.7682
3.5,0.1663,0.4649,0.7493,0.5409,0.589,0.565,0.5146,0.6358,0.5752,0.7893,0.7042,0.7468
3.6,0.1997,0.4902,0.7502,0.5524,0.5955,0.5739,0.5136,0.6297,0.5716,0.7706,0.6807,0.7257
3.7,0.2212,0.5157,0.7528,0.5596,0.6075,0.5835,0.515,0.6282,0.5716,0.7528,0.6592,0.706
3.8,0.2304,0.5391,0.7572,0.562,0.6244,0.5932,0.5187,0.6315,0.5751,0.7366,0.6404,0.6885
3.9,0.2289,0.5593,0.7629,0.5605,0.645,0.6028,0.5243,0.6385,0.5814,0.7225,0.6248,0.6736
4,0.2184,0.5758,0.7695,0.5557,0.668,0.6119,0.5309,0.6479,0.5894,0.7101,0.6126,0.6614
4.1,0.2,0.5884,0.7764,0.5484,0.6921,0.6203,0.5376,0.6586,0.5981,0.6992,0.6037,0.6514
4.2,0.1748,0.5973,0.7839,0.5391,0.716,0.6275,0.5436,0.6702,0.6069,0.6896,0.5979,0.6438
4.3,0.1444,0.6028,0.7919,0.5285,0.7386,0.6335,0.5486,0.6827,0.6157,0.6818,0.5953,0.6385
4.4,0.1108,0.6056,0.8001,0.5181,0.7594,0.6387,0.5526,0.6959,0.6243,0.6756,0.5958,0.6357
4.5,0.0759,0.6069,0.8077,0.5094,0.7785,0.644,0.5563,0.7091,0.6327,0.6708,0.5988,0.6348
4.6,0.0405,0.607,0.8137,0.5033,0.7962,0.6498,0.56,0.7219,0.641,0.6668,0.6038,0.6353
4.7,0.0056,0.606,0.8171,0.4999,0.8117,0.6558,0.5634,0.7342,0.6488,0.663,0.6096,0.6363
4.8,-0.0276,0.6034,0.8168,0.4984,0.8233,0.6608,0.5655,0.745,0.6553,0.6589,0.6152,0.637
4.9,-0.0581,0.5985,0.8118,0.4983,0.8291,0.6637,0.5657,0.7534,0.6596,0.6539,0.6195,0.6367
5,-0.0851,0.591,0.8019,0.4994,0.8279,0.6636,0.5639,0.7582,0.661,0.648,0.6222,0.6351
5.1,-0.1081,0.5807,0.7869,0.5014,0.8193,0.6604,0.5606,0.7589,0.6598,0.6413,0.6235,0.6324
5.2,-0.1273,0.5677,0.7672,0.5041,0.8035,0.6538,0.5571,0.7555,0.6563,0.6341,0.6239,0.629
5.3,-0.1431,0.5523,0.7434,0.5071,0.781,0.644,0.5544,0.7486,0.6515,0.6269,0.6239,0.6254
5.4,-0.1554,0.5349,0.7161,0.5098,0.7529,0.6314,0.5532,0.7388,0.646,0.6201,0.624,0.622
5.5,-0.1634,0.5161,0.6864,0.5119,0.721,0.6165,0.5535,0.7268,0.6402,0.6144,0.6242,0.6193
5.6,-0.1657,0.4967,0.6552,0.5134,0.6866,0.6,0.5554,0.7135,0.6345,0.6099,0.6247,0.6173
5.7,-0.1613,0.4775,0.6237,0.5146,0.6506,0.5826,0.5589,0.6998,0.6294,0.607,0.6257,0.6163
5.8,-0.1499,0.4587,0.5932,0.5157,0.6132,0.5645,0.5638,0.6864,0.6251,0.6059,0.6268,0.6163
5.9,-0.1325,0.4406,0.5651,0.5167,0.5748,0.5457,0.5693,0.6739,0.6216,0.6064,0.6278,0.6171
6,-0.1109,0.4233,0.5412,0.5174,0.5364,0.5269,0.5748,0.6622,0.6185,0.6088,0.6288,0.6188
6.1,-0.0874,0.4077,0.5226,0.5181,0.4999,0.509,0.5801,0.6514,0.6157,0.613,0.63,0.6215
6.2,-0.0634,0.395,0.5099,0.5191,0.4671,0.4931,0.5848,0.6412,0.613,0.6185,0.6312,0.6248
6.3,-0.0391,0.3864,0.5028,0.5209,0.4396,0.4802,0.5887,0.6314,0.61,0.6247,0.6317,0.6282
6.4,-0.014,0.3821,0.5013,0.5233,0.4181,0.4707,0.5911,0.622,0.6065,0.6307,0.6312,0.6309
6.5,0.0126,0.3817,0.5047,0.526,0.4028,0.4644,0.5913,0.6127,0.602,0.6359,0.6293,0.6326
6.6,0.0411,0.3848,0.5119,0.5288,0.3934,0.4611,0.589,0.6033,0.5962,0.64,0.6261,0.6331
6.7,0.0715,0.3913,0.5218,0.5317,0.3891,0.4604,0.5843,0.5938,0.589,0.6431,0.622,0.6325
6.8,0.104,0.4013,0.5341,0.5355,0.3895,0.4625,0.5775,0.5848,0.5812,0.6454,0.6169,0.6312
6.9,0.1379,0.4148,0.5482,0.541,0.3946,0.4678,0.5689,0.5772,0.5731,0.6476,0.6114,0.6295
7,0.1714,0.4313,0.5632,0.5485,0.4045,0.4765,0.5589,0.5717,0.5653,0.6497,0.6054,0.6276
