Time,New World - Amandas Go To Noodle Soup recipe TVC,New World - Amandas Go To Noodle Soup recipe TVC,New World - Amandas Go To Noodle Soup recipe TVC,New World - Amandas Go To Noodle Soup recipe TVC,New World - Amandas Go To Noodle Soup recipe TVC,New World - Amandas Go To Noodle Soup recipe TVC,New World - Amandas Go To Noodle Soup recipe TVC,New World - Amandas Go To Noodle Soup recipe TVC,New World - Amandas Go To Noodle Soup recipe TVC,New World - Amandas Go To Noodle Soup recipe TVC,New World - Amandas Go To Noodle Soup recipe TVC,New World - Amandas Go To Noodle Soup recipe TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.2706,0.5258,0.7416,0.55,0.5739,0.562,0.6315,0.7875,0.7095,0.815,0.7704,0.7927
0.1,-0.2708,0.5184,0.747,0.5454,0.5527,0.549,0.6264,0.7839,0.7051,0.825,0.7629,0.794
0.2,-0.2727,0.5119,0.7512,0.5424,0.532,0.5372,0.6207,0.7782,0.6995,0.8315,0.7535,0.7925
0.3,-0.2768,0.5063,0.7538,0.5409,0.5119,0.5264,0.6142,0.7704,0.6923,0.8344,0.7422,0.7883
0.4,-0.2836,0.5015,0.7542,0.54,0.4929,0.5164,0.6068,0.76,0.6834,0.8331,0.7295,0.7813
0.5,-0.2932,0.4978,0.7519,0.5392,0.4758,0.5075,0.5981,0.7466,0.6723,0.8275,0.7157,0.7716
0.6,-0.3054,0.4953,0.7464,0.5381,0.4611,0.4996,0.588,0.7297,0.6588,0.8173,0.7011,0.7592
0.7,-0.32,0.4944,0.7375,0.5372,0.4497,0.4934,0.5768,0.7094,0.6431,0.8033,0.6864,0.7448
0.8,-0.337,0.4958,0.7254,0.537,0.4422,0.4896,0.5655,0.6865,0.626,0.7867,0.6725,0.7296
0.9,-0.3558,0.4999,0.7102,0.5382,0.4398,0.489,0.5556,0.6623,0.6089,0.7692,0.6606,0.7149
1,-0.3755,0.5069,0.6926,0.5407,0.4435,0.4921,0.5481,0.6379,0.593,0.7519,0.6517,0.7018
1.1,-0.3949,0.5165,0.6739,0.5446,0.4537,0.4991,0.5434,0.6147,0.579,0.7354,0.6466,0.691
1.2,-0.4126,0.5281,0.6558,0.5496,0.4701,0.5098,0.5413,0.5939,0.5676,0.7202,0.6457,0.6829
1.3,-0.4281,0.5409,0.6399,0.5555,0.4922,0.5238,0.5417,0.5764,0.5591,0.7064,0.6488,0.6776
1.4,-0.4412,0.5546,0.6271,0.5624,0.5195,0.541,0.5446,0.5631,0.5538,0.6943,0.6555,0.6749
