Time,Nivea Everyday Active Deoderant TVC 15,Nivea Everyday Active Deoderant TVC 15,Nivea Everyday Active Deoderant TVC 15,Nivea Everyday Active Deoderant TVC 15,Nivea Everyday Active Deoderant TVC 15,Nivea Everyday Active Deoderant TVC 15,Nivea Everyday Active Deoderant TVC 15,Nivea Everyday Active Deoderant TVC 15,Nivea Everyday Active Deoderant TVC 15,Nivea Everyday Active Deoderant TVC 15,Nivea Everyday Active Deoderant TVC 15,Nivea Everyday Active Deoderant TVC 15
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.3923,0.8781,0.6022,0.8311,0.8749,0.853,0.7158,0.7289,0.7223,0.7224,0.6658,0.6941
0.1,0.4274,0.9115,0.5766,0.8556,0.883,0.8693,0.7271,0.7184,0.7228,0.7184,0.6496,0.684
0.2,0.4634,0.9484,0.5499,0.8805,0.8906,0.8855,0.7382,0.7094,0.7238,0.7101,0.6325,0.6713
0.3,0.4969,0.987,0.5219,0.9053,0.8984,0.9018,0.7495,0.7017,0.7256,0.6981,0.6149,0.6565
0.4,0.5253,1.025,0.4924,0.9297,0.9068,0.9183,0.7609,0.6947,0.7278,0.6813,0.596,0.6387
0.5,0.5477,1.0598,0.4615,0.9534,0.9154,0.9344,0.7711,0.6877,0.7294,0.6579,0.574,0.616
0.6,0.564,1.0891,0.4303,0.9759,0.9231,0.9495,0.7788,0.6795,0.7291,0.6271,0.5483,0.5877
0.7,0.5743,1.1116,0.4002,0.9966,0.93,0.9633,0.783,0.6696,0.7263,0.5904,0.52,0.5552
0.8,0.578,1.1275,0.3729,1.0155,0.9367,0.9761,0.7839,0.6584,0.7211,0.5507,0.4916,0.5211
0.9,0.5733,1.1372,0.3507,1.0322,0.9443,0.9882,0.7816,0.6465,0.7141,0.5111,0.465,0.4881
1,0.559,1.1413,0.3362,1.0463,0.953,0.9997,0.7765,0.6346,0.7055,0.4743,0.4418,0.4581
1.1,0.5356,1.1401,0.3313,1.0568,0.9624,1.0096,0.768,0.6232,0.6956,0.4424,0.4232,0.4328
1.2,0.5049,1.1342,0.3377,1.0631,0.9714,1.0173,0.7562,0.613,0.6846,0.4178,0.4108,0.4143
1.3,0.4697,1.1246,0.3559,1.0653,0.9797,1.0225,0.7416,0.6053,0.6734,0.4022,0.4067,0.4044
1.4,0.4319,1.1119,0.3853,1.0631,0.9868,1.0249,0.7247,0.6009,0.6628,0.3949,0.4113,0.4031
1.5,0.3925,1.0965,0.4238,1.0564,0.9917,1.0241,0.7055,0.6003,0.6529,0.3935,0.4231,0.4083
1.6,0.3522,1.0782,0.4679,1.0451,0.9932,1.0192,0.6838,0.6034,0.6436,0.3956,0.4398,0.4177
1.7,0.312,1.0571,0.5135,1.0292,0.9902,1.0097,0.6606,0.609,0.6348,0.4001,0.4589,0.4295
1.8,0.2727,1.0335,0.5568,1.0092,0.982,0.9956,0.6377,0.6166,0.6272,0.4065,0.479,0.4428
1.9,0.2345,1.0082,0.5951,0.9856,0.9688,0.9772,0.6168,0.6259,0.6214,0.4145,0.499,0.4567
2,0.1974,0.9818,0.6266,0.9588,0.9511,0.955,0.5987,0.6362,0.6175,0.4228,0.5176,0.4702
2.1,0.1615,0.9542,0.6502,0.9293,0.9294,0.9293,0.5834,0.647,0.6152,0.43,0.5335,0.4817
2.2,0.1272,0.9249,0.6654,0.8967,0.9035,0.9001,0.5703,0.6575,0.6139,0.4357,0.5458,0.4907
2.3,0.0951,0.893,0.6721,0.8608,0.8726,0.8667,0.5591,0.6669,0.613,0.4401,0.5547,0.4974
2.4,0.0655,0.8579,0.6704,0.8211,0.8353,0.8282,0.5497,0.674,0.6119,0.4443,0.561,0.5027
2.5,0.0384,0.8193,0.6605,0.7778,0.791,0.7844,0.5416,0.6779,0.6097,0.4487,0.5651,0.5069
2.6,0.0133,0.7777,0.6436,0.7316,0.741,0.7363,0.5341,0.6781,0.6061,0.4534,0.5674,0.5104
2.7,-0.0095,0.7337,0.6217,0.6835,0.6871,0.6853,0.5271,0.6744,0.6008,0.4582,0.5682,0.5132
2.8,-0.0296,0.6882,0.5971,0.634,0.6314,0.6327,0.5209,0.6671,0.594,0.4632,0.5677,0.5155
2.9,-0.0462,0.6423,0.5725,0.5848,0.5763,0.5806,0.5156,0.6568,0.5862,0.4687,0.5668,0.5178
3,-0.0596,0.5985,0.5499,0.5381,0.5247,0.5314,0.5111,0.6445,0.5778,0.4753,0.5662,0.5207
3.1,-0.0721,0.5593,0.5304,0.4958,0.4797,0.4877,0.5067,0.6312,0.569,0.4828,0.5665,0.5247
3.2,-0.0866,0.5265,0.5145,0.46,0.4443,0.4522,0.5016,0.6179,0.5598,0.4909,0.5678,0.5294
3.3,-0.1035,0.5018,0.5025,0.4319,0.421,0.4265,0.4955,0.6049,0.5502,0.4991,0.5701,0.5346
3.4,-0.1204,0.4866,0.4946,0.4132,0.4109,0.412,0.4892,0.5927,0.541,0.5075,0.5736,0.5405
3.5,-0.1313,0.4841,0.4905,0.4067,0.4139,0.4103,0.4847,0.5818,0.5332,0.517,0.5784,0.5477
3.6,-0.1284,0.498,0.4901,0.4158,0.4302,0.423,0.4838,0.5726,0.5282,0.5284,0.5848,0.5566
3.7,-0.1039,0.5301,0.4928,0.4424,0.4593,0.4508,0.4869,0.5655,0.5262,0.5416,0.5925,0.567
3.8,-0.0544,0.5789,0.4982,0.4857,0.4991,0.4924,0.4933,0.5605,0.5269,0.5558,0.6008,0.5783
3.9,0.0175,0.6395,0.5054,0.5427,0.5463,0.5445,0.5023,0.5575,0.5299,0.5705,0.6092,0.5899
4,0.104,0.7063,0.5142,0.6093,0.5974,0.6034,0.514,0.5571,0.5355,0.5866,0.6179,0.6022
4.1,0.1943,0.7747,0.5242,0.682,0.6503,0.6662,0.5293,0.5597,0.5445,0.6052,0.6275,0.6164
4.2,0.2778,0.8416,0.5348,0.757,0.7034,0.7302,0.5483,0.5656,0.557,0.6271,0.6379,0.6325
4.3,0.3475,0.9048,0.5456,0.8303,0.7545,0.7924,0.5702,0.5744,0.5723,0.6517,0.6484,0.6501
4.4,0.4016,0.9633,0.5559,0.8988,0.8011,0.85,0.5934,0.5848,0.5891,0.6777,0.6584,0.668
4.5,0.4424,1.0168,0.5648,0.9613,0.8413,0.9013,0.6162,0.5952,0.6057,0.7037,0.6671,0.6854
4.6,0.4729,1.0656,0.5717,1.0182,0.8747,0.9464,0.6374,0.6047,0.6211,0.7286,0.6744,0.7015
4.7,0.4947,1.1102,0.5767,1.0701,0.9018,0.986,0.6562,0.6129,0.6345,0.7516,0.6801,0.7158
4.8,0.508,1.1506,0.5799,1.1181,0.9234,1.0208,0.6724,0.6193,0.6458,0.7714,0.6832,0.7273
4.9,0.5135,1.1871,0.5817,1.1633,0.9399,1.0516,0.6869,0.6238,0.6553,0.7873,0.683,0.7352
5,0.5125,1.2204,0.583,1.2066,0.9518,1.0792,0.7016,0.627,0.6643,0.8001,0.6794,0.7398
