Time,Northern Territory  - Tourism 30 TVC,Northern Territory  - Tourism 30 TVC,Northern Territory  - Tourism 30 TVC,Northern Territory  - Tourism 30 TVC,Northern Territory  - Tourism 30 TVC,Northern Territory  - Tourism 30 TVC,Northern Territory  - Tourism 30 TVC,Northern Territory  - Tourism 30 TVC,Northern Territory  - Tourism 30 TVC,Northern Territory  - Tourism 30 TVC,Northern Territory  - Tourism 30 TVC,Northern Territory  - Tourism 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0057,0.6269,0.1391,0.7453,0.6528,0.6991,0.3408,0.264,0.3024,0.9067,0.5442,0.7254
0.1,0.0103,0.6313,0.176,0.7559,0.6651,0.7105,0.3603,0.2869,0.3236,0.92,0.5492,0.7346
0.2,0.0294,0.634,0.2113,0.7611,0.6742,0.7176,0.3781,0.3077,0.3429,0.9249,0.5506,0.7378
0.3,0.0522,0.6353,0.2447,0.7625,0.6799,0.7212,0.3938,0.3266,0.3602,0.9224,0.5489,0.7356
0.4,0.0787,0.6354,0.2761,0.7611,0.682,0.7215,0.4071,0.3435,0.3753,0.9131,0.5441,0.7286
0.5,0.1067,0.6341,0.305,0.7581,0.6804,0.7193,0.4177,0.3582,0.3879,0.898,0.536,0.717
0.6,0.1331,0.6318,0.3315,0.7546,0.6759,0.7152,0.4264,0.3711,0.3987,0.8782,0.5253,0.7017
0.7,0.1555,0.6291,0.3563,0.7513,0.6692,0.7102,0.4337,0.3833,0.4085,0.8549,0.513,0.684
0.8,0.1726,0.6268,0.3805,0.7486,0.6613,0.7049,0.4405,0.3963,0.4184,0.8294,0.5005,0.6649
0.9,0.1844,0.6257,0.4047,0.7469,0.6535,0.7002,0.4472,0.4107,0.4289,0.8026,0.4887,0.6456
1,0.1908,0.6266,0.4281,0.7468,0.647,0.6969,0.4541,0.4264,0.4403,0.7754,0.4779,0.6266
1.1,0.1907,0.6298,0.4498,0.7486,0.6435,0.6961,0.4616,0.4434,0.4525,0.7482,0.4679,0.6081
1.2,0.1833,0.6358,0.4694,0.7523,0.6437,0.698,0.47,0.4613,0.4656,0.7214,0.4584,0.5899
1.3,0.1687,0.6441,0.4871,0.7575,0.6476,0.7025,0.4794,0.4799,0.4796,0.6949,0.4495,0.5722
1.4,0.1481,0.6543,0.5034,0.7637,0.6551,0.7094,0.4897,0.4988,0.4942,0.669,0.4416,0.5553
1.5,0.1236,0.6656,0.5191,0.7712,0.6652,0.7182,0.5009,0.5172,0.509,0.6441,0.4357,0.5399
1.6,0.0968,0.6775,0.5346,0.7802,0.6774,0.7288,0.513,0.5342,0.5236,0.6212,0.4326,0.5269
1.7,0.0685,0.6898,0.5498,0.7906,0.6911,0.7408,0.5265,0.5496,0.538,0.601,0.4319,0.5164
1.8,0.0392,0.7023,0.5646,0.8019,0.7055,0.7537,0.5413,0.5633,0.5523,0.5838,0.4326,0.5082
1.9,0.0089,0.7149,0.5786,0.8131,0.7203,0.7667,0.5569,0.5756,0.5662,0.5692,0.4332,0.5012
2,-0.0214,0.7274,0.5916,0.8229,0.7347,0.7788,0.5728,0.5867,0.5798,0.5566,0.4332,0.4949
2.1,-0.0504,0.7397,0.6033,0.8309,0.7483,0.7896,0.5886,0.5966,0.5926,0.5458,0.4324,0.4891
2.2,-0.0766,0.7512,0.6135,0.8372,0.7604,0.7988,0.6035,0.6049,0.6042,0.5364,0.431,0.4837
2.3,-0.0995,0.7614,0.6222,0.8415,0.7706,0.806,0.6164,0.6114,0.6139,0.5281,0.4285,0.4783
2.4,-0.1194,0.7694,0.6293,0.843,0.7785,0.8108,0.6261,0.6152,0.6207,0.5202,0.4242,0.4722
2.5,-0.1368,0.7749,0.6345,0.8407,0.7841,0.8124,0.632,0.6161,0.624,0.5122,0.4176,0.4649
2.6,-0.1526,0.7777,0.6381,0.8345,0.787,0.8108,0.6343,0.6143,0.6243,0.5042,0.4096,0.4569
2.7,-0.1672,0.778,0.641,0.8254,0.7874,0.8064,0.634,0.6107,0.6223,0.4966,0.4014,0.449
2.8,-0.1804,0.7764,0.6437,0.8148,0.7857,0.8003,0.6319,0.6063,0.6191,0.4898,0.3938,0.4418
2.9,-0.1925,0.7733,0.6468,0.8039,0.7828,0.7933,0.6288,0.6018,0.6153,0.4841,0.3873,0.4357
3,-0.2037,0.769,0.6508,0.793,0.7791,0.786,0.6246,0.5975,0.6111,0.48,0.3825,0.4313
3.1,-0.2137,0.7635,0.6564,0.7817,0.775,0.7783,0.6198,0.5935,0.6066,0.4777,0.3804,0.4291
3.2,-0.2224,0.7567,0.664,0.77,0.7704,0.7702,0.6146,0.5898,0.6022,0.4773,0.3819,0.4296
3.3,-0.2296,0.749,0.6732,0.7585,0.7651,0.7618,0.6095,0.5867,0.5981,0.4788,0.3874,0.4331
3.4,-0.2344,0.7413,0.6835,0.7485,0.7592,0.7538,0.6052,0.5843,0.5947,0.4821,0.3968,0.4394
3.5,-0.2359,0.7345,0.6946,0.7413,0.753,0.7472,0.6026,0.583,0.5928,0.4874,0.4098,0.4486
3.6,-0.2342,0.7291,0.7062,0.7373,0.7472,0.7422,0.6019,0.583,0.5924,0.4946,0.4262,0.4604
3.7,-0.2309,0.7245,0.7177,0.7355,0.7428,0.7391,0.6031,0.5842,0.5936,0.5037,0.446,0.4748
3.8,-0.2263,0.7203,0.7289,0.7353,0.7401,0.7377,0.6066,0.5864,0.5965,0.5143,0.4688,0.4916
3.9,-0.2201,0.7159,0.7389,0.7363,0.7396,0.738,0.6123,0.5894,0.6009,0.526,0.4938,0.5099
4,-0.2106,0.7112,0.7469,0.7386,0.7412,0.7399,0.6205,0.5928,0.6066,0.5381,0.5199,0.529
4.1,-0.1959,0.7063,0.7522,0.742,0.7449,0.7434,0.6308,0.5959,0.6134,0.5496,0.546,0.5478
4.2,-0.1752,0.7015,0.7544,0.7458,0.7503,0.748,0.6427,0.5986,0.6206,0.5595,0.5706,0.565
4.3,-0.1495,0.6968,0.7528,0.7494,0.7568,0.7531,0.655,0.6003,0.6276,0.5666,0.5921,0.5793
4.4,-0.1208,0.6922,0.7472,0.7521,0.7636,0.7579,0.6668,0.6008,0.6338,0.57,0.6091,0.5896
4.5,-0.0909,0.687,0.7376,0.7538,0.7693,0.7615,0.6777,0.6001,0.6389,0.5692,0.621,0.5951
4.6,-0.0602,0.6808,0.7249,0.7541,0.7721,0.7631,0.6874,0.5986,0.643,0.5644,0.6281,0.5963
4.7,-0.0276,0.6734,0.7099,0.7533,0.7703,0.7618,0.6962,0.5966,0.6464,0.5561,0.6315,0.5938
4.8,0.0078,0.6643,0.6931,0.7518,0.7625,0.7572,0.7039,0.594,0.6489,0.5447,0.6318,0.5882
4.9,0.0464,0.6535,0.6743,0.7496,0.7482,0.7489,0.7101,0.5903,0.6502,0.5307,0.6289,0.5798
5,0.0869,0.641,0.6527,0.7463,0.7273,0.7368,0.7139,0.5851,0.6495,0.5146,0.6226,0.5686
5.1,0.1274,0.6268,0.628,0.7418,0.7007,0.7213,0.7146,0.5784,0.6465,0.4968,0.6124,0.5546
5.2,0.1657,0.6115,0.6002,0.7356,0.6692,0.7024,0.7113,0.5699,0.6406,0.4775,0.5982,0.5379
5.3,0.2004,0.5954,0.5698,0.7276,0.6336,0.6806,0.7039,0.5596,0.6317,0.4571,0.5802,0.5186
5.4,0.2306,0.5786,0.5381,0.7179,0.5951,0.6565,0.6928,0.5474,0.6201,0.4366,0.5589,0.4978
5.5,0.2554,0.5612,0.5074,0.7067,0.5551,0.6309,0.6791,0.5338,0.6065,0.4174,0.5355,0.4765
5.6,0.2731,0.5439,0.4798,0.6945,0.5157,0.6051,0.6637,0.5197,0.5917,0.4007,0.5113,0.456
5.7,0.2819,0.5278,0.4574,0.682,0.4791,0.5806,0.6472,0.5059,0.5766,0.3871,0.4875,0.4373
5.8,0.2804,0.5143,0.4416,0.6695,0.4473,0.5584,0.6302,0.4932,0.5617,0.377,0.4654,0.4212
5.9,0.2683,0.5044,0.4333,0.6573,0.4214,0.5393,0.613,0.4821,0.5475,0.3701,0.4463,0.4082
6,0.2466,0.4987,0.4328,0.6458,0.4024,0.5241,0.5959,0.473,0.5344,0.3661,0.4312,0.3986
6.1,0.2172,0.497,0.4402,0.6356,0.3904,0.513,0.5791,0.4663,0.5227,0.3645,0.4203,0.3924
6.2,0.1821,0.4984,0.4545,0.626,0.3853,0.5057,0.5626,0.4623,0.5125,0.3648,0.4128,0.3888
6.3,0.1432,0.5024,0.4753,0.6165,0.3866,0.5015,0.5466,0.4609,0.5037,0.3664,0.4084,0.3874
6.4,0.1023,0.5087,0.5015,0.6069,0.393,0.5,0.5309,0.4621,0.4965,0.3685,0.4062,0.3873
6.5,0.0614,0.5173,0.5316,0.5978,0.4037,0.5007,0.5159,0.4658,0.4909,0.3708,0.4056,0.3882
6.6,0.023,0.5282,0.5638,0.5901,0.4177,0.5039,0.5021,0.4716,0.4868,0.3734,0.4058,0.3896
6.7,-0.0106,0.541,0.5957,0.5845,0.4343,0.5094,0.4901,0.4788,0.4844,0.3772,0.4067,0.392
6.8,-0.0378,0.5552,0.6256,0.5811,0.453,0.5171,0.4805,0.4867,0.4836,0.3829,0.4088,0.3958
6.9,-0.058,0.5702,0.6527,0.5795,0.4733,0.5264,0.4733,0.4949,0.4841,0.3905,0.4128,0.4016
7,-0.0712,0.5852,0.6769,0.5789,0.4947,0.5368,0.4684,0.5033,0.4858,0.3995,0.4186,0.4091
7.1,-0.0777,0.5997,0.6981,0.5791,0.5165,0.5478,0.4652,0.5116,0.4884,0.4093,0.4256,0.4174
7.2,-0.0778,0.6135,0.7162,0.58,0.5381,0.559,0.4639,0.5197,0.4918,0.4191,0.4328,0.426
7.3,-0.0717,0.6269,0.7307,0.582,0.5585,0.5703,0.4648,0.5271,0.4959,0.4289,0.4396,0.4342
7.4,-0.0595,0.6405,0.7413,0.5852,0.5774,0.5813,0.4678,0.5335,0.5006,0.4385,0.4453,0.4419
7.5,-0.0419,0.6544,0.7482,0.5892,0.5944,0.5918,0.472,0.5388,0.5054,0.448,0.45,0.449
7.6,-0.0198,0.6684,0.7516,0.5935,0.6092,0.6014,0.476,0.5426,0.5093,0.4575,0.4535,0.4555
7.7,0.0053,0.6817,0.7516,0.5977,0.6217,0.6097,0.4783,0.5447,0.5115,0.4666,0.4558,0.4612
7.8,0.0326,0.6943,0.748,0.602,0.632,0.617,0.4783,0.5449,0.5116,0.4754,0.4571,0.4663
7.9,0.0615,0.7062,0.7412,0.6066,0.6401,0.6234,0.4764,0.5435,0.5099,0.4839,0.4578,0.4708
8,0.092,0.7175,0.7314,0.6116,0.6462,0.6289,0.4732,0.5405,0.5068,0.4921,0.4579,0.475
8.1,0.1232,0.728,0.719,0.6166,0.6501,0.6334,0.4691,0.536,0.5026,0.5001,0.4575,0.4788
8.2,0.1539,0.7373,0.7043,0.6212,0.6524,0.6368,0.4645,0.5303,0.4974,0.5076,0.4565,0.4821
