Time,Nintendo 3DS TVC - TS,Nintendo 3DS TVC - TS,Nintendo 3DS TVC - TS,Nintendo 3DS TVC - TS,Nintendo 3DS TVC - TS,Nintendo 3DS TVC - TS,Nintendo 3DS TVC - TS,Nintendo 3DS TVC - TS,Nintendo 3DS TVC - TS,Nintendo 3DS TVC - TS,Nintendo 3DS TVC - TS,Nintendo 3DS TVC - TS
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0359,0.5122,0.5414,0.5339,0.5657,0.5498,0.5859,0.6207,0.6033,0.5777,0.5395,0.5586
0.1,-0.0343,0.5018,0.534,0.5231,0.5513,0.5372,0.5793,0.6097,0.5945,0.5736,0.5349,0.5543
0.2,-0.0334,0.4914,0.5265,0.5119,0.5367,0.5243,0.5721,0.5977,0.5849,0.5686,0.5304,0.5495
0.3,-0.0335,0.4813,0.5192,0.5003,0.5226,0.5114,0.5646,0.5851,0.5748,0.5628,0.526,0.5444
0.4,-0.0343,0.4718,0.5121,0.4885,0.5091,0.4988,0.5567,0.5724,0.5645,0.5563,0.5212,0.5388
0.5,-0.0358,0.4634,0.5052,0.4769,0.4967,0.4868,0.5486,0.5599,0.5543,0.5493,0.516,0.5326
0.6,-0.0379,0.4563,0.4988,0.4659,0.4857,0.4758,0.5404,0.548,0.5442,0.5416,0.5103,0.526
0.7,-0.0407,0.4507,0.4927,0.4558,0.4763,0.466,0.532,0.5368,0.5344,0.5337,0.5042,0.519
0.8,-0.0442,0.4467,0.4872,0.4469,0.4686,0.4577,0.5236,0.5265,0.5251,0.526,0.4979,0.5119
0.9,-0.048,0.4443,0.4823,0.4396,0.4624,0.451,0.5155,0.5176,0.5166,0.5188,0.4916,0.5052
1,-0.052,0.4434,0.4782,0.4341,0.4578,0.446,0.508,0.5102,0.5091,0.5127,0.4856,0.4992
1.1,-0.0562,0.4444,0.4749,0.4306,0.4549,0.4428,0.5012,0.5046,0.5029,0.5078,0.4801,0.4939
1.2,-0.0607,0.4474,0.4723,0.429,0.4541,0.4415,0.4951,0.5009,0.498,0.504,0.4753,0.4897
1.3,-0.0655,0.4525,0.4705,0.4292,0.4554,0.4423,0.49,0.4991,0.4946,0.5014,0.4714,0.4864
1.4,-0.0704,0.4596,0.4695,0.4311,0.4589,0.445,0.4859,0.4993,0.4926,0.4998,0.4682,0.484
1.5,-0.075,0.4688,0.4695,0.4343,0.4643,0.4493,0.4828,0.5014,0.4921,0.4991,0.4659,0.4825
1.6,-0.0794,0.4797,0.4706,0.4387,0.4715,0.4551,0.4809,0.5052,0.493,0.499,0.4643,0.4817
1.7,-0.0837,0.4923,0.4727,0.444,0.4803,0.4621,0.48,0.5104,0.4952,0.4995,0.4638,0.4817
1.8,-0.088,0.5061,0.4755,0.4499,0.4905,0.4702,0.4802,0.5168,0.4985,0.5006,0.4643,0.4825
1.9,-0.0923,0.5207,0.479,0.4563,0.5016,0.4789,0.4814,0.524,0.5027,0.5021,0.4659,0.484
2,-0.0962,0.5354,0.4828,0.4628,0.5129,0.4879,0.4836,0.5315,0.5076,0.504,0.4683,0.4861
2.1,-0.0987,0.5494,0.4866,0.4692,0.5238,0.4965,0.4863,0.5388,0.5126,0.5058,0.4712,0.4885
2.2,-0.0991,0.5622,0.4901,0.4756,0.5335,0.5046,0.4894,0.5455,0.5174,0.507,0.4742,0.4906
2.3,-0.097,0.5735,0.4929,0.4821,0.542,0.5121,0.4925,0.5512,0.5218,0.5075,0.4772,0.4924
2.4,-0.0924,0.5827,0.495,0.4886,0.5491,0.5188,0.4956,0.556,0.5258,0.5075,0.4804,0.494
2.5,-0.086,0.5895,0.4965,0.4948,0.5544,0.5246,0.4987,0.5597,0.5292,0.5072,0.484,0.4956
2.6,-0.0783,0.5936,0.4975,0.5,0.5577,0.5288,0.5017,0.5622,0.5319,0.5067,0.488,0.4974
2.7,-0.0698,0.5946,0.4979,0.5041,0.5584,0.5312,0.5044,0.5633,0.5339,0.5062,0.4922,0.4992
2.8,-0.0606,0.5926,0.4976,0.5067,0.5562,0.5315,0.5068,0.5629,0.5348,0.5057,0.4961,0.5009
2.9,-0.0509,0.5877,0.4964,0.5081,0.551,0.5296,0.5086,0.5609,0.5348,0.5054,0.4994,0.5024
3,-0.0409,0.5801,0.4947,0.5082,0.543,0.5256,0.51,0.5573,0.5336,0.5053,0.502,0.5037
3.1,-0.0309,0.5702,0.4924,0.5072,0.5323,0.5198,0.5107,0.5522,0.5314,0.5057,0.5039,0.5048
3.2,-0.0214,0.5584,0.49,0.5051,0.5195,0.5123,0.5107,0.5457,0.5282,0.5067,0.5052,0.5059
