Time,Oppo Reno5G Phone 15 TVC,Oppo Reno5G Phone 15 TVC,Oppo Reno5G Phone 15 TVC,Oppo Reno5G Phone 15 TVC,Oppo Reno5G Phone 15 TVC,Oppo Reno5G Phone 15 TVC,Oppo Reno5G Phone 15 TVC,Oppo Reno5G Phone 15 TVC,Oppo Reno5G Phone 15 TVC,Oppo Reno5G Phone 15 TVC,Oppo Reno5G Phone 15 TVC,Oppo Reno5G Phone 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0817,0.5205,0.5755,0.4728,0.5779,0.5254,0.2356,0.455,0.3453,0.5113,0.541,0.5262
0.1,-0.0673,0.527,0.5567,0.4746,0.5619,0.5183,0.2188,0.4217,0.3203,0.5105,0.5491,0.5298
0.2,-0.0545,0.5315,0.5377,0.4728,0.5445,0.5087,0.2043,0.3906,0.2975,0.5059,0.5555,0.5307
0.3,-0.0435,0.5342,0.5188,0.4696,0.5258,0.4977,0.1932,0.3628,0.278,0.4977,0.56,0.5288
0.4,-0.033,0.5349,0.5005,0.466,0.5056,0.4858,0.1863,0.3388,0.2625,0.486,0.5624,0.5242
0.5,-0.0216,0.533,0.4832,0.462,0.4839,0.473,0.1835,0.3191,0.2513,0.4712,0.5628,0.517
0.6,-0.0089,0.5281,0.468,0.4573,0.4615,0.4594,0.1847,0.3041,0.2444,0.4542,0.562,0.5081
0.7,0.0033,0.5204,0.456,0.4511,0.4393,0.4452,0.1897,0.2944,0.2421,0.436,0.5603,0.4982
0.8,0.0128,0.5098,0.4482,0.4434,0.418,0.4307,0.1977,0.2903,0.244,0.4177,0.5582,0.488
0.9,0.0185,0.4967,0.4449,0.4347,0.3978,0.4163,0.2083,0.2918,0.2501,0.4004,0.5556,0.478
1,0.0211,0.4819,0.4459,0.4261,0.3793,0.4027,0.2211,0.2984,0.2598,0.3848,0.5523,0.4686
1.1,0.0214,0.4668,0.4502,0.4188,0.3634,0.3911,0.236,0.3097,0.2728,0.3716,0.5484,0.46
1.2,0.0195,0.4532,0.457,0.4142,0.3517,0.383,0.2528,0.325,0.2889,0.3612,0.5444,0.4528
1.3,0.0156,0.4419,0.4661,0.4126,0.3446,0.3786,0.2713,0.3439,0.3076,0.3537,0.5402,0.4469
