Time,One NZ - Gaining the Freedom 30 TVC,One NZ - Gaining the Freedom 30 TVC,One NZ - Gaining the Freedom 30 TVC,One NZ - Gaining the Freedom 30 TVC,One NZ - Gaining the Freedom 30 TVC,One NZ - Gaining the Freedom 30 TVC,One NZ - Gaining the Freedom 30 TVC,One NZ - Gaining the Freedom 30 TVC,One NZ - Gaining the Freedom 30 TVC,One NZ - Gaining the Freedom 30 TVC,One NZ - Gaining the Freedom 30 TVC,One NZ - Gaining the Freedom 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.5221,0.7645,0.6879,0.3121,0.8287,0.5704,0.3883,0.704,0.5462,0.5857,0.7442,0.665
0.1,-0.4592,0.7581,0.7001,0.3202,0.7794,0.5498,0.3829,0.6936,0.5382,0.6011,0.7536,0.6774
0.2,-0.3904,0.7479,0.711,0.3324,0.7286,0.5305,0.3815,0.6802,0.5308,0.6132,0.7602,0.6867
0.3,-0.316,0.7333,0.7198,0.3481,0.6791,0.5136,0.3836,0.6643,0.5239,0.6226,0.7635,0.693
0.4,-0.2367,0.7142,0.7261,0.3658,0.6327,0.4993,0.3883,0.6466,0.5174,0.6294,0.7629,0.6961
0.5,-0.155,0.691,0.7301,0.3837,0.5907,0.4872,0.395,0.6281,0.5115,0.633,0.7583,0.6957
0.6,-0.0745,0.6649,0.7323,0.4005,0.5537,0.4771,0.4032,0.6097,0.5064,0.6329,0.75,0.6914
0.7,0.0019,0.6369,0.7325,0.4162,0.5228,0.4695,0.4116,0.5917,0.5017,0.6285,0.7384,0.6834
0.8,0.0715,0.6083,0.7296,0.4311,0.4985,0.4648,0.4187,0.5743,0.4965,0.6197,0.7241,0.6719
0.9,0.1321,0.5804,0.7222,0.445,0.4807,0.4629,0.4232,0.5572,0.4902,0.6069,0.7077,0.6573
1,0.1821,0.5535,0.7097,0.4565,0.4679,0.4622,0.4243,0.5408,0.4825,0.5909,0.6899,0.6404
1.1,0.2212,0.5276,0.6923,0.4636,0.4586,0.4611,0.4217,0.5257,0.4737,0.5727,0.6709,0.6218
1.2,0.2494,0.5021,0.6709,0.4651,0.452,0.4586,0.4152,0.5127,0.464,0.5537,0.6518,0.6027
1.3,0.2672,0.4768,0.6468,0.4614,0.4484,0.4549,0.405,0.5027,0.4539,0.5354,0.6335,0.5844
1.4,0.2751,0.4519,0.6216,0.4536,0.4482,0.4509,0.3917,0.4963,0.444,0.5192,0.6167,0.5679
1.5,0.2742,0.4278,0.5969,0.4434,0.4514,0.4474,0.3761,0.4939,0.435,0.5064,0.6014,0.5539
1.6,0.2662,0.4051,0.5744,0.4326,0.4576,0.4451,0.3595,0.4962,0.4278,0.4975,0.5878,0.5427
1.7,0.2531,0.3843,0.5562,0.4234,0.4669,0.4452,0.3434,0.5039,0.4237,0.4928,0.5761,0.5344
1.8,0.2366,0.3654,0.5438,0.417,0.4791,0.448,0.3286,0.5175,0.423,0.492,0.5669,0.5294
1.9,0.2179,0.3484,0.5381,0.4134,0.4935,0.4535,0.316,0.5364,0.4262,0.4945,0.5609,0.5277
2,0.198,0.3339,0.5396,0.4125,0.5092,0.4608,0.3065,0.56,0.4333,0.4998,0.5587,0.5292
2.1,0.1781,0.3223,0.5482,0.4141,0.5251,0.4696,0.3014,0.5875,0.4445,0.5068,0.5603,0.5336
2.2,0.1594,0.3143,0.5636,0.4181,0.5407,0.4794,0.301,0.618,0.4595,0.5148,0.5653,0.5401
2.3,0.1426,0.3099,0.5847,0.4244,0.5554,0.4899,0.3052,0.6497,0.4774,0.5229,0.5729,0.5479
2.4,0.1271,0.3088,0.6101,0.4318,0.569,0.5004,0.3136,0.6813,0.4974,0.5307,0.5822,0.5564
2.5,0.1124,0.3106,0.6383,0.4394,0.5814,0.5104,0.3266,0.7114,0.519,0.538,0.5918,0.5649
2.6,0.0978,0.3154,0.6674,0.4462,0.5926,0.5194,0.3438,0.7387,0.5413,0.5446,0.6001,0.5724
2.7,0.0827,0.3234,0.6955,0.4521,0.6026,0.5273,0.3647,0.7618,0.5633,0.5503,0.6062,0.5782
2.8,0.0665,0.3346,0.7205,0.4575,0.6118,0.5347,0.3883,0.7799,0.5841,0.5551,0.6098,0.5824
2.9,0.0485,0.3487,0.741,0.463,0.6205,0.5418,0.4136,0.7923,0.603,0.5595,0.6117,0.5856
3,0.0284,0.3654,0.7562,0.4696,0.6286,0.5491,0.4399,0.7994,0.6197,0.5643,0.6126,0.5885
3.1,0.007,0.3843,0.7663,0.4781,0.6361,0.5571,0.4668,0.8016,0.6342,0.57,0.6134,0.5917
3.2,-0.0144,0.405,0.7719,0.4885,0.6427,0.5656,0.4933,0.7993,0.6463,0.577,0.6146,0.5958
3.3,-0.0353,0.4269,0.7736,0.5008,0.6485,0.5747,0.5186,0.7927,0.6556,0.5856,0.6164,0.601
3.4,-0.0568,0.4489,0.7714,0.5148,0.6539,0.5844,0.5417,0.7817,0.6617,0.5962,0.6186,0.6074
3.5,-0.0794,0.4701,0.7655,0.5297,0.659,0.5944,0.5615,0.7664,0.6639,0.609,0.6206,0.6148
3.6,-0.103,0.4902,0.7557,0.545,0.6638,0.6044,0.5772,0.7475,0.6624,0.624,0.622,0.623
