Time,Optus - My Plan,Optus - My Plan,Optus - My Plan,Optus - My Plan,Optus - My Plan,Optus - My Plan,Optus - My Plan,Optus - My Plan,Optus - My Plan,Optus - My Plan,Optus - My Plan,Optus - My Plan
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0926,0.546,0.4389,0.5417,0.4898,0.5157,0.538,0.5295,0.5337,0.4868,0.473,0.4799
0.1,0.085,0.5392,0.4364,0.5339,0.4808,0.5074,0.5335,0.5253,0.5294,0.4872,0.476,0.4816
0.2,0.0765,0.5325,0.4352,0.5258,0.4724,0.4991,0.5289,0.5212,0.525,0.4887,0.4803,0.4845
0.3,0.0673,0.5264,0.4355,0.5178,0.4649,0.4914,0.5247,0.5175,0.5211,0.4913,0.4859,0.4886
0.4,0.0575,0.5212,0.4375,0.5102,0.4588,0.4845,0.5213,0.5147,0.518,0.4953,0.4927,0.494
0.5,0.0475,0.5173,0.4407,0.5033,0.4544,0.4789,0.5188,0.5127,0.5157,0.5008,0.5007,0.5007
0.6,0.0379,0.5144,0.4448,0.4972,0.4521,0.4746,0.5172,0.5115,0.5143,0.5075,0.5094,0.5085
0.7,0.0299,0.5125,0.4495,0.4921,0.4516,0.4719,0.5163,0.5111,0.5137,0.5154,0.5186,0.517
0.8,0.0243,0.5115,0.4543,0.4883,0.4529,0.4706,0.5159,0.511,0.5135,0.5238,0.5277,0.5258
0.9,0.0214,0.5116,0.4592,0.4861,0.4557,0.4709,0.5159,0.5113,0.5136,0.5325,0.5362,0.5343
1,0.0218,0.5131,0.4643,0.4854,0.46,0.4727,0.5162,0.5119,0.5141,0.541,0.5436,0.5423
1.1,0.0255,0.5163,0.47,0.4867,0.4657,0.4762,0.517,0.5133,0.5152,0.5495,0.5497,0.5496
1.2,0.0326,0.5213,0.4766,0.4901,0.4732,0.4816,0.5186,0.5157,0.5172,0.5576,0.5545,0.5561
1.3,0.0431,0.5281,0.4843,0.4955,0.4823,0.4889,0.521,0.5194,0.5202,0.5656,0.5583,0.562
1.4,0.0562,0.5363,0.4933,0.5026,0.4929,0.4978,0.5243,0.5245,0.5244,0.5731,0.5612,0.5672
1.5,0.0711,0.5452,0.5034,0.511,0.5046,0.5078,0.5283,0.5307,0.5295,0.5802,0.5634,0.5718
