Time,Optus Sub Hub 15 TVC,Optus Sub Hub 15 TVC,Optus Sub Hub 15 TVC,Optus Sub Hub 15 TVC,Optus Sub Hub 15 TVC,Optus Sub Hub 15 TVC,Optus Sub Hub 15 TVC,Optus Sub Hub 15 TVC,Optus Sub Hub 15 TVC,Optus Sub Hub 15 TVC,Optus Sub Hub 15 TVC,Optus Sub Hub 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0529,0.2009,0.3844,0.1416,0.3242,0.2329,0.634,0.5563,0.5952,0.5482,0.3894,0.4688
0.1,-0.0501,0.2387,0.399,0.1521,0.3358,0.2439,0.6219,0.5463,0.5841,0.5461,0.4005,0.4733
0.2,-0.0488,0.2762,0.4146,0.1647,0.3487,0.2567,0.6093,0.5371,0.5732,0.5407,0.4119,0.4763
0.3,-0.0474,0.3126,0.4304,0.1793,0.3622,0.2708,0.5965,0.5278,0.5621,0.5321,0.4236,0.4778
0.4,-0.0447,0.3469,0.4461,0.1959,0.3753,0.2856,0.5835,0.5182,0.5509,0.5204,0.4352,0.4778
0.5,-0.0402,0.3776,0.4612,0.2135,0.3874,0.3005,0.5705,0.5085,0.5395,0.506,0.4462,0.4761
0.6,-0.0342,0.4036,0.4749,0.2314,0.3977,0.3145,0.5577,0.4993,0.5285,0.4899,0.4562,0.4731
0.7,-0.0274,0.4243,0.4866,0.2492,0.4058,0.3275,0.5455,0.4909,0.5182,0.4736,0.4655,0.4695
0.8,-0.0198,0.4395,0.4964,0.267,0.4115,0.3393,0.5347,0.4839,0.5093,0.4582,0.4744,0.4663
0.9,-0.0114,0.449,0.5046,0.2847,0.415,0.3499,0.5259,0.4783,0.5021,0.4446,0.4826,0.4636
1,-0.0023,0.453,0.5115,0.3022,0.4163,0.3592,0.5191,0.4743,0.4967,0.4326,0.4896,0.4611
1.1,0.0073,0.4522,0.5175,0.3191,0.4155,0.3673,0.5146,0.4719,0.4933,0.4225,0.4949,0.4587
1.2,0.0173,0.4475,0.5226,0.3358,0.4129,0.3743,0.5127,0.471,0.4919,0.4148,0.4983,0.4565
1.3,0.0279,0.4398,0.5271,0.3522,0.4089,0.3805,0.5136,0.4723,0.493,0.4102,0.5003,0.4552
1.4,0.0396,0.4298,0.5316,0.3681,0.4042,0.3862,0.5175,0.4762,0.4969,0.4093,0.5012,0.4553
1.5,0.0519,0.4177,0.5371,0.3827,0.4,0.3913,0.5239,0.4827,0.5033,0.4121,0.5011,0.4566
1.6,0.0637,0.4042,0.5441,0.3953,0.397,0.3961,0.532,0.4916,0.5118,0.4178,0.4999,0.4589
1.7,0.0734,0.3899,0.5527,0.4058,0.3959,0.4008,0.5413,0.503,0.5222,0.4258,0.4979,0.4618
