Time,Origin Energy 15 FOIL TVC,Origin Energy 15 FOIL TVC,Origin Energy 15 FOIL TVC,Origin Energy 15 FOIL TVC,Origin Energy 15 FOIL TVC,Origin Energy 15 FOIL TVC,Origin Energy 15 FOIL TVC,Origin Energy 15 FOIL TVC,Origin Energy 15 FOIL TVC,Origin Energy 15 FOIL TVC,Origin Energy 15 FOIL TVC,Origin Energy 15 FOIL TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0209,0.6263,0.4857,0.4767,0.5795,0.5281,0.6062,0.6184,0.6123,0.4626,0.3118,0.3872
0.1,0.0192,0.638,0.4898,0.4977,0.5885,0.5431,0.6098,0.6301,0.62,0.4728,0.3166,0.3947
0.2,0.021,0.6516,0.4964,0.5228,0.6001,0.5615,0.6139,0.6425,0.6282,0.4881,0.3266,0.4074
0.3,0.0265,0.6665,0.5043,0.5509,0.6134,0.5822,0.6173,0.6544,0.6358,0.5077,0.3411,0.4244
0.4,0.0357,0.6818,0.5122,0.5807,0.6271,0.6039,0.6191,0.6648,0.642,0.5306,0.3599,0.4452
0.5,0.048,0.6962,0.5188,0.6104,0.6398,0.6251,0.6192,0.673,0.6461,0.5561,0.3829,0.4695
0.6,0.0627,0.7091,0.5233,0.6383,0.65,0.6441,0.6174,0.6783,0.6479,0.5835,0.4098,0.4967
0.7,0.079,0.7199,0.5248,0.6627,0.6565,0.6596,0.6133,0.6802,0.6468,0.6116,0.4403,0.526
0.8,0.0948,0.7279,0.5227,0.682,0.6585,0.6703,0.6067,0.6782,0.6424,0.6392,0.4736,0.5564
0.9,0.1079,0.7325,0.5161,0.6943,0.6554,0.6749,0.5972,0.6717,0.6344,0.6651,0.5085,0.5868
1,0.1149,0.7325,0.5049,0.6981,0.6465,0.6723,0.5848,0.6604,0.6226,0.6885,0.5443,0.6164
1.1,0.1124,0.7267,0.4895,0.6919,0.6314,0.6616,0.5698,0.6444,0.6071,0.709,0.5802,0.6446
