Time,Optus Sport - Every Inspirational Moment 60 TVC,Optus Sport - Every Inspirational Moment 60 TVC,Optus Sport - Every Inspirational Moment 60 TVC,Optus Sport - Every Inspirational Moment 60 TVC,Optus Sport - Every Inspirational Moment 60 TVC,Optus Sport - Every Inspirational Moment 60 TVC,Optus Sport - Every Inspirational Moment 60 TVC,Optus Sport - Every Inspirational Moment 60 TVC,Optus Sport - Every Inspirational Moment 60 TVC,Optus Sport - Every Inspirational Moment 60 TVC,Optus Sport - Every Inspirational Moment 60 TVC,Optus Sport - Every Inspirational Moment 60 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1209,0.5082,0.2867,0.5812,0.4652,0.5232,0.5272,0.5164,0.5218,0.5195,0.527,0.5232
0.1,0.1338,0.5067,0.3229,0.5743,0.4581,0.5162,0.5091,0.493,0.5011,0.5102,0.5223,0.5162
0.2,0.1449,0.5083,0.3647,0.5664,0.4528,0.5096,0.4945,0.4702,0.4824,0.5067,0.5202,0.5135
0.3,0.1537,0.5126,0.4097,0.5576,0.4489,0.5033,0.4833,0.4483,0.4658,0.5087,0.5206,0.5146
0.4,0.16,0.5195,0.4554,0.5481,0.4461,0.4971,0.4751,0.4275,0.4513,0.5155,0.5231,0.5193
0.5,0.1631,0.5288,0.5007,0.5385,0.4441,0.4913,0.4696,0.4089,0.4392,0.5263,0.5273,0.5268
0.6,0.1628,0.5405,0.545,0.5295,0.4429,0.4862,0.466,0.3933,0.4297,0.54,0.533,0.5365
0.7,0.1605,0.5544,0.588,0.5214,0.442,0.4817,0.4635,0.3816,0.4225,0.5553,0.5395,0.5474
0.8,0.1576,0.5695,0.6281,0.5144,0.4405,0.4774,0.4615,0.3736,0.4176,0.5709,0.5466,0.5587
0.9,0.1552,0.5846,0.6636,0.5081,0.4371,0.4726,0.4594,0.3691,0.4143,0.5857,0.5537,0.5697
1,0.1537,0.5986,0.693,0.5025,0.4306,0.4666,0.4569,0.3674,0.4122,0.5983,0.5603,0.5793
1.1,0.1534,0.611,0.715,0.4977,0.4207,0.4592,0.454,0.3678,0.4109,0.6076,0.5654,0.5865
1.2,0.1548,0.6217,0.7283,0.4939,0.4074,0.4507,0.4507,0.3695,0.4101,0.6127,0.5679,0.5903
1.3,0.1587,0.6306,0.7321,0.4916,0.3914,0.4415,0.4467,0.3716,0.4091,0.6129,0.5668,0.5899
1.4,0.1651,0.6374,0.7266,0.4908,0.3733,0.432,0.4415,0.3736,0.4075,0.6085,0.562,0.5852
1.5,0.1734,0.6416,0.7134,0.4912,0.3537,0.4225,0.4344,0.3749,0.4047,0.5998,0.5536,0.5767
1.6,0.1822,0.6428,0.6943,0.4922,0.3333,0.4128,0.4247,0.3756,0.4001,0.5872,0.5424,0.5648
1.7,0.1909,0.641,0.6708,0.4934,0.3128,0.4031,0.4115,0.3757,0.3936,0.5711,0.5288,0.5499
1.8,0.1996,0.6364,0.644,0.4948,0.2927,0.3938,0.3947,0.3752,0.385,0.5517,0.5132,0.5325
1.9,0.2095,0.6294,0.6149,0.4968,0.2736,0.3852,0.3749,0.3744,0.3746,0.5294,0.4961,0.5127
2,0.2214,0.6208,0.5844,0.4996,0.2555,0.3775,0.3528,0.3731,0.3629,0.5049,0.4773,0.4911
2.1,0.2359,0.6109,0.5534,0.503,0.2388,0.3709,0.3291,0.3711,0.3501,0.4788,0.4573,0.4681
2.2,0.2518,0.6007,0.5235,0.507,0.2241,0.3656,0.3039,0.3684,0.3362,0.4518,0.4363,0.4441
2.3,0.2673,0.5912,0.4963,0.5117,0.2127,0.3622,0.2779,0.3649,0.3214,0.4249,0.4147,0.4198
2.4,0.2798,0.584,0.4733,0.5178,0.2065,0.3621,0.2517,0.3615,0.3066,0.3991,0.3931,0.3961
2.5,0.2873,0.5802,0.4557,0.526,0.2068,0.3664,0.2264,0.3591,0.2927,0.3757,0.3719,0.3738
2.6,0.2888,0.5805,0.4443,0.5369,0.2144,0.3756,0.2031,0.3588,0.2809,0.3553,0.3513,0.3533
2.7,0.2839,0.5855,0.4385,0.5516,0.229,0.3903,0.1826,0.3609,0.2718,0.3379,0.3311,0.3345
2.8,0.2727,0.5957,0.4374,0.571,0.2502,0.4106,0.1655,0.3652,0.2654,0.3229,0.3112,0.317
2.9,0.2555,0.6118,0.4401,0.5961,0.2773,0.4367,0.1522,0.3713,0.2617,0.3099,0.2921,0.301
3,0.2328,0.6339,0.4462,0.6275,0.3098,0.4686,0.1435,0.3793,0.2614,0.2998,0.2749,0.2874
3.1,0.2051,0.6615,0.456,0.6648,0.347,0.5059,0.1405,0.3897,0.2651,0.294,0.261,0.2775
3.2,0.173,0.6942,0.4695,0.707,0.3879,0.5475,0.1443,0.4028,0.2735,0.2936,0.2512,0.2724
3.3,0.1372,0.7316,0.4853,0.7533,0.4313,0.5923,0.155,0.418,0.2865,0.2988,0.246,0.2724
3.4,0.0991,0.7729,0.5012,0.803,0.4758,0.6394,0.1725,0.4345,0.3035,0.309,0.2452,0.2771
3.5,0.0607,0.817,0.5154,0.8554,0.52,0.6877,0.1966,0.4518,0.3242,0.3234,0.2488,0.2861
3.6,0.0243,0.8617,0.5284,0.9089,0.5628,0.7358,0.2272,0.4701,0.3487,0.3422,0.2574,0.2998
3.7,-0.0095,0.9047,0.5416,0.9612,0.6032,0.7822,0.2644,0.4903,0.3773,0.366,0.2712,0.3186
3.8,-0.0407,0.9441,0.5557,1.0099,0.6404,0.8252,0.3074,0.5127,0.41,0.3952,0.29,0.3426
3.9,-0.0683,0.9786,0.5696,1.0531,0.6732,0.8632,0.3546,0.5365,0.4455,0.4294,0.3129,0.3712
4,-0.09,1.0071,0.5819,1.0895,0.7002,0.8949,0.4042,0.5598,0.482,0.4678,0.3389,0.4034
4.1,-0.1029,1.0285,0.5911,1.118,0.7198,0.9189,0.4547,0.5803,0.5175,0.5086,0.367,0.4378
4.2,-0.1069,1.0421,0.5966,1.1376,0.7317,0.9346,0.5047,0.5965,0.5506,0.5501,0.3963,0.4732
4.3,-0.1026,1.0481,0.5984,1.1481,0.7373,0.9427,0.5533,0.6073,0.5803,0.5913,0.4256,0.5084
4.4,-0.0914,1.0476,0.5968,1.1506,0.7394,0.945,0.6,0.6124,0.6062,0.6311,0.4539,0.5425
4.5,-0.0734,1.042,0.5924,1.1467,0.7415,0.9441,0.6442,0.6124,0.6283,0.6686,0.4799,0.5742
4.6,-0.049,1.0328,0.5866,1.138,0.7465,0.9422,0.6857,0.6089,0.6473,0.7029,0.5031,0.603
4.7,-0.019,1.0205,0.5821,1.1252,0.7552,0.9402,0.724,0.6038,0.6639,0.7341,0.5238,0.6289
4.8,0.0147,1.0062,0.5821,1.109,0.7677,0.9384,0.7589,0.5989,0.6789,0.7618,0.5434,0.6526
4.9,0.0498,0.9913,0.589,1.0907,0.7834,0.937,0.7896,0.5951,0.6924,0.7858,0.563,0.6744
5,0.0843,0.9773,0.6033,1.072,0.8015,0.9367,0.8149,0.5924,0.7037,0.805,0.5828,0.6939
5.1,0.1166,0.965,0.6235,1.0544,0.8212,0.9378,0.8342,0.5912,0.7127,0.8183,0.6027,0.7105
5.2,0.1452,0.9543,0.6477,1.0383,0.8414,0.9398,0.8473,0.5918,0.7196,0.8253,0.6218,0.7235
5.3,0.1688,0.9447,0.6736,1.0227,0.8609,0.9418,0.8544,0.5941,0.7242,0.8261,0.6395,0.7328
5.4,0.1859,0.9358,0.6994,1.0068,0.8792,0.943,0.8558,0.5972,0.7265,0.8221,0.6556,0.7388
5.5,0.1954,0.9276,0.7237,0.9903,0.8961,0.9432,0.8522,0.6004,0.7263,0.815,0.6699,0.7424
