Time,Ostelin 30s TVC,Ostelin 30s TVC,Ostelin 30s TVC,Ostelin 30s TVC,Ostelin 30s TVC,Ostelin 30s TVC,Ostelin 30s TVC,Ostelin 30s TVC,Ostelin 30s TVC,Ostelin 30s TVC,Ostelin 30s TVC,Ostelin 30s TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0538,0.6456,0.7007,0.6762,0.7993,0.7377,0.939,1.1,1.0195,0.9416,0.5585,0.75
0.1,0.0682,0.6458,0.7288,0.695,0.7869,0.741,0.932,1.0901,1.011,0.9514,0.5702,0.7608
0.2,0.0858,0.646,0.7604,0.7145,0.7692,0.7419,0.9254,1.0754,1.0004,0.9581,0.5809,0.7695
0.3,0.1051,0.6447,0.7952,0.7325,0.7461,0.7393,0.9192,1.0562,0.9877,0.9615,0.5907,0.7761
0.4,0.1249,0.6411,0.8317,0.748,0.7182,0.7331,0.913,1.0333,0.9732,0.9607,0.5994,0.78
0.5,0.1439,0.6352,0.8682,0.7607,0.6869,0.7238,0.9062,1.007,0.9566,0.9551,0.6064,0.7808
0.6,0.1608,0.6274,0.9031,0.771,0.6533,0.7121,0.8983,0.9772,0.9378,0.9447,0.6117,0.7782
0.7,0.1752,0.6177,0.9352,0.7781,0.6187,0.6984,0.8888,0.9442,0.9165,0.9301,0.6156,0.7728
0.8,0.1868,0.6056,0.9635,0.7812,0.5842,0.6827,0.8775,0.9087,0.8931,0.9114,0.6189,0.7652
0.9,0.1955,0.5916,0.9866,0.7795,0.5514,0.6654,0.8648,0.8726,0.8687,0.8887,0.6225,0.7556
1,0.2017,0.5768,1.003,0.7728,0.5217,0.6472,0.8517,0.8384,0.845,0.862,0.6266,0.7443
1.1,0.2055,0.5624,1.012,0.762,0.4958,0.6289,0.8391,0.808,0.8236,0.8321,0.6311,0.7316
1.2,0.2066,0.5495,1.0135,0.748,0.4742,0.6111,0.8281,0.7824,0.8053,0.8003,0.6356,0.7179
1.3,0.2038,0.5383,1.0078,0.7314,0.4565,0.594,0.8192,0.762,0.7906,0.768,0.6395,0.7038
1.4,0.1963,0.529,0.9957,0.7124,0.4423,0.5773,0.8122,0.7469,0.7796,0.7367,0.6427,0.6897
1.5,0.1838,0.5222,0.9775,0.6913,0.4316,0.5614,0.8072,0.7374,0.7723,0.7079,0.6452,0.6765
1.6,0.1672,0.5188,0.9538,0.6692,0.4245,0.5468,0.8045,0.7333,0.7689,0.6829,0.6471,0.665
1.7,0.1471,0.5195,0.9257,0.6472,0.4214,0.5343,0.8046,0.7341,0.7694,0.6629,0.6487,0.6558
