Time,PAKnSAVE Collectables 15 TVC,PAKnSAVE Collectables 15 TVC,PAKnSAVE Collectables 15 TVC,PAKnSAVE Collectables 15 TVC,PAKnSAVE Collectables 15 TVC,PAKnSAVE Collectables 15 TVC,PAKnSAVE Collectables 15 TVC,PAKnSAVE Collectables 15 TVC,PAKnSAVE Collectables 15 TVC,PAKnSAVE Collectables 15 TVC,PAKnSAVE Collectables 15 TVC,PAKnSAVE Collectables 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.3891,0.5196,0.8022,0.3335,0.3308,0.3322,0.6432,0.8223,0.7327,0.6052,0.5921,0.5986
0.1,-0.3883,0.5271,0.812,0.3689,0.3359,0.3524,0.6649,0.8152,0.7401,0.6397,0.6406,0.6402
0.2,-0.3831,0.5341,0.8208,0.4058,0.3406,0.3732,0.6832,0.8049,0.7441,0.6715,0.6893,0.6804
0.3,-0.3738,0.5408,0.8286,0.4427,0.3454,0.3941,0.6979,0.7912,0.7445,0.6993,0.7355,0.7174
0.4,-0.3617,0.548,0.8353,0.4784,0.3512,0.4148,0.7086,0.7743,0.7415,0.7212,0.7765,0.7488
0.5,-0.3473,0.5557,0.8408,0.5119,0.3583,0.4351,0.715,0.7551,0.7351,0.7352,0.8096,0.7724
0.6,-0.33,0.564,0.8449,0.5426,0.3664,0.4545,0.7172,0.7345,0.7258,0.74,0.8331,0.7866
0.7,-0.3086,0.5726,0.8478,0.5697,0.3744,0.472,0.7157,0.7137,0.7147,0.7359,0.8472,0.7916
0.8,-0.2827,0.5816,0.8502,0.5929,0.3821,0.4875,0.7119,0.6936,0.7028,0.7247,0.8533,0.789
0.9,-0.2528,0.5909,0.8525,0.6121,0.39,0.5011,0.7071,0.6753,0.6912,0.7087,0.8541,0.7814
1,-0.2197,0.6004,0.855,0.6278,0.3989,0.5134,0.7015,0.6597,0.6806,0.6904,0.8522,0.7713
1.1,-0.1845,0.6097,0.858,0.6405,0.4093,0.5249,0.695,0.6482,0.6716,0.6716,0.8489,0.7602
1.2,-0.1482,0.6185,0.8618,0.6507,0.4215,0.5361,0.6875,0.6412,0.6643,0.6536,0.8444,0.749
1.3,-0.1122,0.6261,0.8664,0.6586,0.4347,0.5467,0.6792,0.6382,0.6587,0.6371,0.8384,0.7378
1.4,-0.0776,0.6324,0.8727,0.6647,0.448,0.5564,0.6703,0.6384,0.6544,0.6228,0.8316,0.7272
1.5,-0.0443,0.6371,0.8815,0.6695,0.4604,0.565,0.6619,0.6413,0.6516,0.6111,0.8244,0.7178
1.6,-0.013,0.6409,0.8932,0.6737,0.4721,0.5729,0.6546,0.6469,0.6507,0.6021,0.8176,0.7098
1.7,0.0155,0.6436,0.9077,0.6771,0.4839,0.5805,0.6486,0.6549,0.6517,0.5957,0.8117,0.7037
1.8,0.0401,0.6451,0.9239,0.6795,0.4967,0.5881,0.6438,0.6646,0.6542,0.5915,0.8066,0.6991
1.9,0.0602,0.6451,0.9415,0.6805,0.5105,0.5955,0.6402,0.6756,0.6579,0.5891,0.8024,0.6957
2,0.0758,0.6437,0.9608,0.6806,0.5252,0.6029,0.6374,0.6875,0.6624,0.5888,0.7991,0.694
2.1,0.0872,0.6414,0.9824,0.6804,0.5404,0.6104,0.6353,0.7003,0.6678,0.5909,0.7971,0.694
2.2,0.0942,0.6381,1.0055,0.6808,0.5553,0.618,0.634,0.7132,0.6736,0.5952,0.7965,0.6959
2.3,0.0962,0.6333,1.0282,0.6814,0.5689,0.6252,0.6329,0.7248,0.6788,0.601,0.797,0.699
2.4,0.0928,0.6262,1.0489,0.6824,0.58,0.6312,0.632,0.7343,0.6832,0.6068,0.798,0.7024
2.5,0.0855,0.6167,1.0673,0.6838,0.5874,0.6356,0.6312,0.7416,0.6864,0.6118,0.7994,0.7056
2.6,0.0754,0.6057,1.0835,0.6864,0.5906,0.6385,0.6307,0.7469,0.6888,0.6157,0.8013,0.7085
2.7,0.0625,0.5942,1.0979,0.6906,0.5896,0.6401,0.6303,0.7502,0.6903,0.619,0.8045,0.7118
2.8,0.0455,0.583,1.1099,0.6958,0.585,0.6404,0.6294,0.7518,0.6906,0.6231,0.8104,0.7167
2.9,0.0243,0.5723,1.1187,0.7012,0.5772,0.6392,0.6268,0.752,0.6894,0.6287,0.8202,0.7245
3,0.0008,0.5622,1.1228,0.7057,0.5659,0.6358,0.6222,0.7508,0.6865,0.6359,0.8346,0.7353
3.1,-0.0233,0.553,1.1209,0.7084,0.551,0.6297,0.6156,0.7482,0.6819,0.6445,0.8531,0.7488
3.2,-0.0483,0.5452,1.113,0.7086,0.5332,0.6209,0.6076,0.7442,0.6759,0.6547,0.8749,0.7648
3.3,-0.0751,0.5399,1.0997,0.7057,0.5143,0.61,0.5989,0.7394,0.6692,0.6669,0.8995,0.7832
3.4,-0.1049,0.5376,1.0812,0.6993,0.4961,0.5977,0.5893,0.7348,0.662,0.6815,0.9258,0.8037
3.5,-0.1376,0.5378,1.0577,0.6889,0.4801,0.5845,0.5788,0.7305,0.6547,0.6983,0.9518,0.825
3.6,-0.172,0.5398,1.029,0.6745,0.4666,0.5705,0.5675,0.727,0.6472,0.7167,0.9756,0.8462
3.7,-0.2069,0.5434,0.9951,0.6573,0.456,0.5566,0.5555,0.7245,0.64,0.7364,0.9964,0.8664
3.8,-0.2412,0.5493,0.9573,0.6394,0.4496,0.5445,0.5434,0.7239,0.6337,0.7573,1.0143,0.8858
3.9,-0.2727,0.5578,0.9172,0.6219,0.4483,0.5351,0.5322,0.7257,0.6289,0.779,1.0294,0.9042
4,-0.2993,0.5688,0.8767,0.6048,0.452,0.5284,0.5227,0.7301,0.6264,0.8014,1.041,0.9212
4.1,-0.3192,0.5814,0.8375,0.5877,0.46,0.5239,0.5164,0.7374,0.6269,0.8246,1.0489,0.9367
4.2,-0.3326,0.595,0.8004,0.5711,0.472,0.5215,0.5137,0.7476,0.6306,0.8481,1.0527,0.9504
4.3,-0.3404,0.6094,0.7661,0.5563,0.4877,0.522,0.5142,0.7607,0.6374,0.8712,1.0528,0.962
4.4,-0.3443,0.6246,0.7354,0.5443,0.5065,0.5254,0.5169,0.776,0.6465,0.8936,1.0498,0.9717
4.5,-0.3454,0.6407,0.7094,0.5359,0.5273,0.5316,0.521,0.7926,0.6568,0.9153,1.0446,0.9799
4.6,-0.3435,0.6573,0.6884,0.5311,0.5483,0.5397,0.526,0.8093,0.6676,0.9358,1.0374,0.9866
